Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mahoning,Ohio,0,0,US
2020-01-23,Mahoning,Ohio,0,0,US
2020-01-24,Mahoning,Ohio,0,0,US
2020-01-25,Mahoning,Ohio,0,0,US
2020-01-26,Mahoning,Ohio,0,0,US
2020-01-27,Mahoning,Ohio,0,0,US
2020-01-28,Mahoning,Ohio,0,0,US
2020-01-29,Mahoning,Ohio,0,0,US
2020-01-30,Mahoning,Ohio,0,0,US
2020-01-31,Mahoning,Ohio,0,0,US
2020-02-01,Mahoning,Ohio,0,0,US
2020-02-02,Mahoning,Ohio,0,0,US
2020-02-03,Mahoning,Ohio,0,0,US
2020-02-04,Mahoning,Ohio,0,0,US
2020-02-05,Mahoning,Ohio,0,0,US
2020-02-06,Mahoning,Ohio,0,0,US
2020-02-07,Mahoning,Ohio,0,0,US
2020-02-08,Mahoning,Ohio,0,0,US
2020-02-09,Mahoning,Ohio,0,0,US
2020-02-10,Mahoning,Ohio,0,0,US
2020-02-11,Mahoning,Ohio,0,0,US
2020-02-12,Mahoning,Ohio,0,0,US
2020-02-13,Mahoning,Ohio,0,0,US
2020-02-14,Mahoning,Ohio,0,0,US
2020-02-15,Mahoning,Ohio,0,0,US
2020-02-16,Mahoning,Ohio,0,0,US
2020-02-17,Mahoning,Ohio,0,0,US
2020-02-18,Mahoning,Ohio,0,0,US
2020-02-19,Mahoning,Ohio,0,0,US
2020-02-20,Mahoning,Ohio,0,0,US
2020-02-21,Mahoning,Ohio,0,0,US
2020-02-22,Mahoning,Ohio,0,0,US
2020-02-23,Mahoning,Ohio,0,0,US
2020-02-24,Mahoning,Ohio,0,0,US
2020-02-25,Mahoning,Ohio,0,0,US
2020-02-26,Mahoning,Ohio,0,0,US
2020-02-27,Mahoning,Ohio,0,0,US
2020-02-28,Mahoning,Ohio,0,0,US
2020-02-29,Mahoning,Ohio,0,0,US
2020-03-01,Mahoning,Ohio,0,0,US
2020-03-02,Mahoning,Ohio,0,0,US
2020-03-03,Mahoning,Ohio,0,0,US
2020-03-04,Mahoning,Ohio,0,0,US
2020-03-05,Mahoning,Ohio,0,0,US
2020-03-06,Mahoning,Ohio,0,0,US
2020-03-07,Mahoning,Ohio,0,0,US
2020-03-08,Mahoning,Ohio,0,0,US
2020-03-09,Mahoning,Ohio,0,0,US
2020-03-10,Mahoning,Ohio,0,0,US
2020-03-11,Mahoning,Ohio,0,0,US
2020-03-12,Mahoning,Ohio,0,0,US
2020-03-13,Mahoning,Ohio,0,0,US
2020-03-14,Mahoning,Ohio,0,0,US
2020-03-15,Mahoning,Ohio,0,0,US
2020-03-16,Mahoning,Ohio,0,0,US
2020-03-17,Mahoning,Ohio,1,0,US
2020-03-18,Mahoning,Ohio,3,0,US
2020-03-19,Mahoning,Ohio,5,0,US
2020-03-20,Mahoning,Ohio,7,0,US
2020-03-21,Mahoning,Ohio,14,0,US
2020-03-22,Mahoning,Ohio,18,0,US
2020-03-23,Mahoning,Ohio,23,1,US
2020-03-24,Mahoning,Ohio,28,2,US
2020-03-25,Mahoning,Ohio,42,3,US
2020-03-26,Mahoning,Ohio,51,4,US
2020-03-27,Mahoning,Ohio,68,5,US
2020-03-28,Mahoning,Ohio,80,6,US
2020-03-29,Mahoning,Ohio,84,9,US
2020-03-30,Mahoning,Ohio,117,11,US
2020-03-31,Mahoning,Ohio,153,12,US
2020-04-01,Mahoning,Ohio,177,13,US
2020-04-02,Mahoning,Ohio,192,16,US
2020-04-03,Mahoning,Ohio,220,18,US
2020-04-04,Mahoning,Ohio,250,21,US
2020-04-05,Mahoning,Ohio,261,26,US
2020-04-06,Mahoning,Ohio,272,27,US
2020-04-07,Mahoning,Ohio,300,29,US
2020-04-08,Mahoning,Ohio,305,31,US
2020-04-09,Mahoning,Ohio,334,34,US
2020-04-10,Mahoning,Ohio,358,38,US
2020-04-11,Mahoning,Ohio,375,38,US
2020-04-12,Mahoning,Ohio,417,39,US
2020-04-13,Mahoning,Ohio,443,41,US
2020-04-14,Mahoning,Ohio,469,44,US
2020-04-15,Mahoning,Ohio,486,47,US
2020-04-16,Mahoning,Ohio,512,50,US
2020-04-17,Mahoning,Ohio,547,53,US
2020-04-18,Mahoning,Ohio,572,58,US
2020-04-19,Mahoning,Ohio,589,60,US
2020-04-20,Mahoning,Ohio,604,62,US
2020-04-21,Mahoning,Ohio,621,65,US
2020-04-22,Mahoning,Ohio,635,66,US
2020-04-23,Mahoning,Ohio,666,70,US
2020-04-24,Mahoning,Ohio,688,71,US
2020-04-25,Mahoning,Ohio,721,73,US
2020-04-26,Mahoning,Ohio,737,75,US
2020-04-27,Mahoning,Ohio,764,79,US
2020-04-28,Mahoning,Ohio,784,83,US
2020-04-29,Mahoning,Ohio,804,84,US
2020-04-30,Mahoning,Ohio,828,90,US
2020-05-01,Mahoning,Ohio,853,91,US
2020-05-02,Mahoning,Ohio,883,96,US
2020-05-03,Mahoning,Ohio,937,100,US
2020-05-04,Mahoning,Ohio,961,106,US
2020-05-05,Mahoning,Ohio,998,110,US
2020-05-06,Mahoning,Ohio,1024,112,US
2020-05-07,Mahoning,Ohio,1044,113,US
2020-05-08,Mahoning,Ohio,1087,119,US
2020-05-09,Mahoning,Ohio,1104,123,US
2020-05-10,Mahoning,Ohio,1119,130,US
2020-05-11,Mahoning,Ohio,1144,132,US
2020-05-12,Mahoning,Ohio,1150,138,US
2020-05-13,Mahoning,Ohio,1163,144,US
2020-05-14,Mahoning,Ohio,1174,147,US
2020-05-15,Mahoning,Ohio,1185,154,US
2020-05-16,Mahoning,Ohio,1199,157,US
2020-05-17,Mahoning,Ohio,1212,159,US
2020-05-18,Mahoning,Ohio,1226,163,US
2020-05-19,Mahoning,Ohio,1247,164,US
2020-05-20,Mahoning,Ohio,1252,166,US
2020-05-21,Mahoning,Ohio,1277,168,US
2020-05-22,Mahoning,Ohio,1295,169,US
2020-05-23,Mahoning,Ohio,1317,171,US
2020-05-24,Mahoning,Ohio,1334,173,US
2020-05-25,Mahoning,Ohio,1341,173,US
2020-05-26,Mahoning,Ohio,1347,174,US
2020-05-27,Mahoning,Ohio,1367,177,US
2020-05-28,Mahoning,Ohio,1397,178,US
2020-05-29,Mahoning,Ohio,1405,180,US
2020-05-30,Mahoning,Ohio,1428,181,US
2020-05-31,Mahoning,Ohio,1431,183,US
2020-06-01,Mahoning,Ohio,1438,187,US
2020-06-02,Mahoning,Ohio,1456,188,US
2020-06-03,Mahoning,Ohio,1463,188,US
2020-06-04,Mahoning,Ohio,1466,188,US
2020-06-05,Mahoning,Ohio,1486,189,US
2020-06-06,Mahoning,Ohio,1502,190,US
2020-06-07,Mahoning,Ohio,1511,190,US
2020-06-08,Mahoning,Ohio,1516,191,US
2020-06-09,Mahoning,Ohio,1522,192,US
2020-06-10,Mahoning,Ohio,1529,193,US
2020-06-11,Mahoning,Ohio,1563,193,US
2020-06-12,Mahoning,Ohio,1576,196,US
2020-06-13,Mahoning,Ohio,1586,199,US
2020-06-14,Mahoning,Ohio,1595,201,US
2020-06-15,Mahoning,Ohio,1600,201,US
2020-06-16,Mahoning,Ohio,1607,201,US
2020-06-17,Mahoning,Ohio,1606,201,US
2020-06-18,Mahoning,Ohio,1619,202,US
2020-06-19,Mahoning,Ohio,1632,202,US
2020-06-20,Mahoning,Ohio,1639,202,US
2020-06-21,Mahoning,Ohio,1654,202,US
2020-06-22,Mahoning,Ohio,1665,202,US
2020-06-23,Mahoning,Ohio,1669,202,US
2020-06-24,Mahoning,Ohio,1680,202,US
2020-06-25,Mahoning,Ohio,1682,204,US
2020-06-26,Mahoning,Ohio,1695,205,US
2020-06-27,Mahoning,Ohio,1705,205,US
2020-06-28,Mahoning,Ohio,1720,206,US
2020-06-29,Mahoning,Ohio,1736,208,US
2020-06-30,Mahoning,Ohio,1741,208,US
2020-07-01,Mahoning,Ohio,1752,208,US
2020-07-02,Mahoning,Ohio,1752,208,US
2020-07-03,Mahoning,Ohio,1805,210,US
2020-07-04,Mahoning,Ohio,1818,210,US
2020-07-05,Mahoning,Ohio,1825,210,US
2020-07-06,Mahoning,Ohio,1832,210,US
2020-07-07,Mahoning,Ohio,1849,210,US
2020-07-08,Mahoning,Ohio,1861,212,US
2020-07-09,Mahoning,Ohio,1885,212,US
2020-07-10,Mahoning,Ohio,1907,213,US
2020-07-11,Mahoning,Ohio,1928,214,US
2020-07-12,Mahoning,Ohio,1948,215,US
2020-07-13,Mahoning,Ohio,1971,215,US
2020-07-14,Mahoning,Ohio,1996,215,US
2020-07-15,Mahoning,Ohio,2007,215,US
2020-07-16,Mahoning,Ohio,2027,215,US
2020-07-17,Mahoning,Ohio,2055,216,US
2020-07-18,Mahoning,Ohio,2073,220,US
2020-07-19,Mahoning,Ohio,2089,222,US
2020-07-20,Mahoning,Ohio,2119,223,US
2020-07-21,Mahoning,Ohio,2148,225,US
2020-07-22,Mahoning,Ohio,2187,225,US
2020-07-23,Mahoning,Ohio,2188,226,US
2020-07-24,Mahoning,Ohio,2214,226,US
2020-07-25,Mahoning,Ohio,2232,226,US
2020-07-26,Mahoning,Ohio,2258,227,US
2020-07-27,Mahoning,Ohio,2280,229,US
2020-07-28,Mahoning,Ohio,2306,230,US
2020-07-29,Mahoning,Ohio,2321,230,US
2020-07-30,Mahoning,Ohio,2349,230,US
2020-07-31,Mahoning,Ohio,2371,230,US
2020-08-01,Mahoning,Ohio,2383,230,US
2020-08-02,Mahoning,Ohio,2393,231,US
2020-08-03,Mahoning,Ohio,2411,231,US
2020-08-04,Mahoning,Ohio,2437,231,US
2020-08-05,Mahoning,Ohio,2470,231,US
2020-08-06,Mahoning,Ohio,2477,231,US
2020-08-07,Mahoning,Ohio,2502,232,US
2020-08-08,Mahoning,Ohio,2532,232,US
2020-08-09,Mahoning,Ohio,2554,234,US
2020-08-10,Mahoning,Ohio,2566,234,US
2020-08-11,Mahoning,Ohio,2595,234,US
2020-08-12,Mahoning,Ohio,2623,236,US
2020-08-13,Mahoning,Ohio,2644,237,US
2020-08-14,Mahoning,Ohio,2665,238,US
2020-08-15,Mahoning,Ohio,2675,238,US
2020-08-16,Mahoning,Ohio,2681,238,US
2020-08-17,Mahoning,Ohio,2691,238,US
2020-08-18,Mahoning,Ohio,2702,239,US
2020-08-19,Mahoning,Ohio,2710,239,US
2020-08-20,Mahoning,Ohio,2729,240,US
