Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Manitowoc,Wisconsin,0,0,US
2020-01-23,Manitowoc,Wisconsin,0,0,US
2020-01-24,Manitowoc,Wisconsin,0,0,US
2020-01-25,Manitowoc,Wisconsin,0,0,US
2020-01-26,Manitowoc,Wisconsin,0,0,US
2020-01-27,Manitowoc,Wisconsin,0,0,US
2020-01-28,Manitowoc,Wisconsin,0,0,US
2020-01-29,Manitowoc,Wisconsin,0,0,US
2020-01-30,Manitowoc,Wisconsin,0,0,US
2020-01-31,Manitowoc,Wisconsin,0,0,US
2020-02-01,Manitowoc,Wisconsin,0,0,US
2020-02-02,Manitowoc,Wisconsin,0,0,US
2020-02-03,Manitowoc,Wisconsin,0,0,US
2020-02-04,Manitowoc,Wisconsin,0,0,US
2020-02-05,Manitowoc,Wisconsin,0,0,US
2020-02-06,Manitowoc,Wisconsin,0,0,US
2020-02-07,Manitowoc,Wisconsin,0,0,US
2020-02-08,Manitowoc,Wisconsin,0,0,US
2020-02-09,Manitowoc,Wisconsin,0,0,US
2020-02-10,Manitowoc,Wisconsin,0,0,US
2020-02-11,Manitowoc,Wisconsin,0,0,US
2020-02-12,Manitowoc,Wisconsin,0,0,US
2020-02-13,Manitowoc,Wisconsin,0,0,US
2020-02-14,Manitowoc,Wisconsin,0,0,US
2020-02-15,Manitowoc,Wisconsin,0,0,US
2020-02-16,Manitowoc,Wisconsin,0,0,US
2020-02-17,Manitowoc,Wisconsin,0,0,US
2020-02-18,Manitowoc,Wisconsin,0,0,US
2020-02-19,Manitowoc,Wisconsin,0,0,US
2020-02-20,Manitowoc,Wisconsin,0,0,US
2020-02-21,Manitowoc,Wisconsin,0,0,US
2020-02-22,Manitowoc,Wisconsin,0,0,US
2020-02-23,Manitowoc,Wisconsin,0,0,US
2020-02-24,Manitowoc,Wisconsin,0,0,US
2020-02-25,Manitowoc,Wisconsin,0,0,US
2020-02-26,Manitowoc,Wisconsin,0,0,US
2020-02-27,Manitowoc,Wisconsin,0,0,US
2020-02-28,Manitowoc,Wisconsin,0,0,US
2020-02-29,Manitowoc,Wisconsin,0,0,US
2020-03-01,Manitowoc,Wisconsin,0,0,US
2020-03-02,Manitowoc,Wisconsin,0,0,US
2020-03-03,Manitowoc,Wisconsin,0,0,US
2020-03-04,Manitowoc,Wisconsin,0,0,US
2020-03-05,Manitowoc,Wisconsin,0,0,US
2020-03-06,Manitowoc,Wisconsin,0,0,US
2020-03-07,Manitowoc,Wisconsin,0,0,US
2020-03-08,Manitowoc,Wisconsin,0,0,US
2020-03-09,Manitowoc,Wisconsin,0,0,US
2020-03-10,Manitowoc,Wisconsin,0,0,US
2020-03-11,Manitowoc,Wisconsin,0,0,US
2020-03-12,Manitowoc,Wisconsin,0,0,US
2020-03-13,Manitowoc,Wisconsin,0,0,US
2020-03-14,Manitowoc,Wisconsin,0,0,US
2020-03-15,Manitowoc,Wisconsin,0,0,US
2020-03-16,Manitowoc,Wisconsin,0,0,US
2020-03-17,Manitowoc,Wisconsin,0,0,US
2020-03-18,Manitowoc,Wisconsin,0,0,US
2020-03-19,Manitowoc,Wisconsin,0,0,US
2020-03-20,Manitowoc,Wisconsin,0,0,US
2020-03-21,Manitowoc,Wisconsin,0,0,US
2020-03-22,Manitowoc,Wisconsin,0,0,US
2020-03-23,Manitowoc,Wisconsin,0,0,US
2020-03-24,Manitowoc,Wisconsin,0,0,US
2020-03-25,Manitowoc,Wisconsin,0,0,US
2020-03-26,Manitowoc,Wisconsin,0,0,US
2020-03-27,Manitowoc,Wisconsin,0,0,US
2020-03-28,Manitowoc,Wisconsin,0,0,US
2020-03-29,Manitowoc,Wisconsin,0,0,US
2020-03-30,Manitowoc,Wisconsin,0,0,US
2020-03-31,Manitowoc,Wisconsin,0,0,US
2020-04-01,Manitowoc,Wisconsin,0,0,US
2020-04-02,Manitowoc,Wisconsin,0,0,US
2020-04-03,Manitowoc,Wisconsin,0,0,US
2020-04-04,Manitowoc,Wisconsin,1,0,US
2020-04-05,Manitowoc,Wisconsin,3,0,US
2020-04-06,Manitowoc,Wisconsin,3,0,US
2020-04-07,Manitowoc,Wisconsin,3,0,US
2020-04-08,Manitowoc,Wisconsin,3,0,US
2020-04-09,Manitowoc,Wisconsin,4,0,US
2020-04-10,Manitowoc,Wisconsin,3,0,US
2020-04-11,Manitowoc,Wisconsin,3,0,US
2020-04-12,Manitowoc,Wisconsin,3,0,US
2020-04-13,Manitowoc,Wisconsin,3,0,US
2020-04-14,Manitowoc,Wisconsin,4,0,US
2020-04-15,Manitowoc,Wisconsin,4,0,US
2020-04-16,Manitowoc,Wisconsin,5,0,US
2020-04-17,Manitowoc,Wisconsin,5,0,US
2020-04-18,Manitowoc,Wisconsin,6,0,US
2020-04-19,Manitowoc,Wisconsin,6,0,US
2020-04-20,Manitowoc,Wisconsin,7,0,US
2020-04-21,Manitowoc,Wisconsin,7,0,US
2020-04-22,Manitowoc,Wisconsin,7,0,US
2020-04-23,Manitowoc,Wisconsin,7,0,US
2020-04-24,Manitowoc,Wisconsin,9,0,US
