Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Marathon,Wisconsin,0,0,US
2020-01-23,Marathon,Wisconsin,0,0,US
2020-01-24,Marathon,Wisconsin,0,0,US
2020-01-25,Marathon,Wisconsin,0,0,US
2020-01-26,Marathon,Wisconsin,0,0,US
2020-01-27,Marathon,Wisconsin,0,0,US
2020-01-28,Marathon,Wisconsin,0,0,US
2020-01-29,Marathon,Wisconsin,0,0,US
2020-01-30,Marathon,Wisconsin,0,0,US
2020-01-31,Marathon,Wisconsin,0,0,US
2020-02-01,Marathon,Wisconsin,0,0,US
2020-02-02,Marathon,Wisconsin,0,0,US
2020-02-03,Marathon,Wisconsin,0,0,US
2020-02-04,Marathon,Wisconsin,0,0,US
2020-02-05,Marathon,Wisconsin,0,0,US
2020-02-06,Marathon,Wisconsin,0,0,US
2020-02-07,Marathon,Wisconsin,0,0,US
2020-02-08,Marathon,Wisconsin,0,0,US
2020-02-09,Marathon,Wisconsin,0,0,US
2020-02-10,Marathon,Wisconsin,0,0,US
2020-02-11,Marathon,Wisconsin,0,0,US
2020-02-12,Marathon,Wisconsin,0,0,US
2020-02-13,Marathon,Wisconsin,0,0,US
2020-02-14,Marathon,Wisconsin,0,0,US
2020-02-15,Marathon,Wisconsin,0,0,US
2020-02-16,Marathon,Wisconsin,0,0,US
2020-02-17,Marathon,Wisconsin,0,0,US
2020-02-18,Marathon,Wisconsin,0,0,US
2020-02-19,Marathon,Wisconsin,0,0,US
2020-02-20,Marathon,Wisconsin,0,0,US
2020-02-21,Marathon,Wisconsin,0,0,US
2020-02-22,Marathon,Wisconsin,0,0,US
2020-02-23,Marathon,Wisconsin,0,0,US
2020-02-24,Marathon,Wisconsin,0,0,US
2020-02-25,Marathon,Wisconsin,0,0,US
2020-02-26,Marathon,Wisconsin,0,0,US
2020-02-27,Marathon,Wisconsin,0,0,US
2020-02-28,Marathon,Wisconsin,0,0,US
2020-02-29,Marathon,Wisconsin,0,0,US
2020-03-01,Marathon,Wisconsin,0,0,US
2020-03-02,Marathon,Wisconsin,0,0,US
2020-03-03,Marathon,Wisconsin,0,0,US
2020-03-04,Marathon,Wisconsin,0,0,US
2020-03-05,Marathon,Wisconsin,0,0,US
2020-03-06,Marathon,Wisconsin,0,0,US
2020-03-07,Marathon,Wisconsin,0,0,US
2020-03-08,Marathon,Wisconsin,0,0,US
2020-03-09,Marathon,Wisconsin,0,0,US
2020-03-10,Marathon,Wisconsin,0,0,US
2020-03-11,Marathon,Wisconsin,0,0,US
2020-03-12,Marathon,Wisconsin,0,0,US
2020-03-13,Marathon,Wisconsin,0,0,US
2020-03-14,Marathon,Wisconsin,0,0,US
2020-03-15,Marathon,Wisconsin,0,0,US
2020-03-16,Marathon,Wisconsin,0,0,US
2020-03-17,Marathon,Wisconsin,0,0,US
2020-03-18,Marathon,Wisconsin,0,0,US
2020-03-19,Marathon,Wisconsin,0,0,US
2020-03-20,Marathon,Wisconsin,1,0,US
2020-03-21,Marathon,Wisconsin,1,0,US
2020-03-22,Marathon,Wisconsin,1,0,US
2020-03-23,Marathon,Wisconsin,1,0,US
2020-03-24,Marathon,Wisconsin,1,0,US
2020-03-25,Marathon,Wisconsin,1,0,US
2020-03-26,Marathon,Wisconsin,1,0,US
2020-03-27,Marathon,Wisconsin,1,0,US
2020-03-28,Marathon,Wisconsin,1,0,US
2020-03-29,Marathon,Wisconsin,1,0,US
2020-03-30,Marathon,Wisconsin,2,0,US
2020-03-31,Marathon,Wisconsin,3,0,US
2020-04-01,Marathon,Wisconsin,5,0,US
2020-04-02,Marathon,Wisconsin,8,0,US
2020-04-03,Marathon,Wisconsin,9,0,US
2020-04-04,Marathon,Wisconsin,9,0,US
2020-04-05,Marathon,Wisconsin,12,0,US
2020-04-06,Marathon,Wisconsin,12,0,US
2020-04-07,Marathon,Wisconsin,12,0,US
2020-04-08,Marathon,Wisconsin,12,0,US
2020-04-09,Marathon,Wisconsin,12,0,US
2020-04-10,Marathon,Wisconsin,12,1,US
2020-04-11,Marathon,Wisconsin,13,1,US
2020-04-12,Marathon,Wisconsin,13,1,US
2020-04-13,Marathon,Wisconsin,14,1,US
2020-04-14,Marathon,Wisconsin,14,1,US
2020-04-15,Marathon,Wisconsin,14,1,US
2020-04-16,Marathon,Wisconsin,14,1,US
2020-04-17,Marathon,Wisconsin,16,1,US
2020-04-18,Marathon,Wisconsin,17,1,US
2020-04-19,Marathon,Wisconsin,17,1,US
2020-04-20,Marathon,Wisconsin,17,1,US
2020-04-21,Marathon,Wisconsin,17,1,US
2020-04-22,Marathon,Wisconsin,17,1,US
2020-04-23,Marathon,Wisconsin,17,1,US
2020-04-24,Marathon,Wisconsin,17,1,US
2020-04-25,Marathon,Wisconsin,18,1,US
2020-04-26,Marathon,Wisconsin,18,1,US
2020-04-27,Marathon,Wisconsin,17,1,US
2020-04-28,Marathon,Wisconsin,17,1,US
2020-04-29,Marathon,Wisconsin,17,1,US
