Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Marengo,Alabama,0,0,US
2020-01-23,Marengo,Alabama,0,0,US
2020-01-24,Marengo,Alabama,0,0,US
2020-01-25,Marengo,Alabama,0,0,US
2020-01-26,Marengo,Alabama,0,0,US
2020-01-27,Marengo,Alabama,0,0,US
2020-01-28,Marengo,Alabama,0,0,US
2020-01-29,Marengo,Alabama,0,0,US
2020-01-30,Marengo,Alabama,0,0,US
2020-01-31,Marengo,Alabama,0,0,US
2020-02-01,Marengo,Alabama,0,0,US
2020-02-02,Marengo,Alabama,0,0,US
2020-02-03,Marengo,Alabama,0,0,US
2020-02-04,Marengo,Alabama,0,0,US
2020-02-05,Marengo,Alabama,0,0,US
2020-02-06,Marengo,Alabama,0,0,US
2020-02-07,Marengo,Alabama,0,0,US
2020-02-08,Marengo,Alabama,0,0,US
2020-02-09,Marengo,Alabama,0,0,US
2020-02-10,Marengo,Alabama,0,0,US
2020-02-11,Marengo,Alabama,0,0,US
2020-02-12,Marengo,Alabama,0,0,US
2020-02-13,Marengo,Alabama,0,0,US
2020-02-14,Marengo,Alabama,0,0,US
2020-02-15,Marengo,Alabama,0,0,US
2020-02-16,Marengo,Alabama,0,0,US
2020-02-17,Marengo,Alabama,0,0,US
2020-02-18,Marengo,Alabama,0,0,US
2020-02-19,Marengo,Alabama,0,0,US
2020-02-20,Marengo,Alabama,0,0,US
2020-02-21,Marengo,Alabama,0,0,US
2020-02-22,Marengo,Alabama,0,0,US
2020-02-23,Marengo,Alabama,0,0,US
2020-02-24,Marengo,Alabama,0,0,US
2020-02-25,Marengo,Alabama,0,0,US
2020-02-26,Marengo,Alabama,0,0,US
2020-02-27,Marengo,Alabama,0,0,US
2020-02-28,Marengo,Alabama,0,0,US
2020-02-29,Marengo,Alabama,0,0,US
2020-03-01,Marengo,Alabama,0,0,US
2020-03-02,Marengo,Alabama,0,0,US
2020-03-03,Marengo,Alabama,0,0,US
2020-03-04,Marengo,Alabama,0,0,US
2020-03-05,Marengo,Alabama,0,0,US
2020-03-06,Marengo,Alabama,0,0,US
2020-03-07,Marengo,Alabama,0,0,US
2020-03-08,Marengo,Alabama,0,0,US
2020-03-09,Marengo,Alabama,0,0,US
2020-03-10,Marengo,Alabama,0,0,US
2020-03-11,Marengo,Alabama,0,0,US
2020-03-12,Marengo,Alabama,0,0,US
2020-03-13,Marengo,Alabama,0,0,US
2020-03-14,Marengo,Alabama,0,0,US
2020-03-15,Marengo,Alabama,0,0,US
2020-03-16,Marengo,Alabama,0,0,US
2020-03-17,Marengo,Alabama,0,0,US
2020-03-18,Marengo,Alabama,0,0,US
2020-03-19,Marengo,Alabama,0,0,US
2020-03-20,Marengo,Alabama,0,0,US
2020-03-21,Marengo,Alabama,0,0,US
2020-03-22,Marengo,Alabama,0,0,US
2020-03-23,Marengo,Alabama,0,0,US
2020-03-24,Marengo,Alabama,0,0,US
2020-03-25,Marengo,Alabama,1,0,US
2020-03-26,Marengo,Alabama,1,0,US
2020-03-27,Marengo,Alabama,2,0,US
2020-03-28,Marengo,Alabama,3,0,US
2020-03-29,Marengo,Alabama,3,0,US
2020-03-30,Marengo,Alabama,3,0,US
2020-03-31,Marengo,Alabama,3,0,US
2020-04-01,Marengo,Alabama,4,0,US
2020-04-02,Marengo,Alabama,6,0,US
2020-04-03,Marengo,Alabama,7,0,US
2020-04-04,Marengo,Alabama,7,0,US
2020-04-05,Marengo,Alabama,12,0,US
2020-04-06,Marengo,Alabama,12,0,US
2020-04-07,Marengo,Alabama,12,1,US
2020-04-08,Marengo,Alabama,12,1,US
2020-04-09,Marengo,Alabama,12,1,US
2020-04-10,Marengo,Alabama,13,1,US
2020-04-11,Marengo,Alabama,16,1,US
2020-04-12,Marengo,Alabama,18,1,US
2020-04-13,Marengo,Alabama,20,1,US
2020-04-14,Marengo,Alabama,21,1,US
2020-04-15,Marengo,Alabama,22,1,US
2020-04-16,Marengo,Alabama,22,1,US
2020-04-17,Marengo,Alabama,23,1,US
2020-04-18,Marengo,Alabama,23,1,US
2020-04-19,Marengo,Alabama,24,1,US
2020-04-20,Marengo,Alabama,27,2,US
2020-04-21,Marengo,Alabama,30,2,US
2020-04-22,Marengo,Alabama,35,3,US
2020-04-23,Marengo,Alabama,36,3,US
2020-04-24,Marengo,Alabama,36,3,US
2020-04-25,Marengo,Alabama,37,3,US
2020-04-26,Marengo,Alabama,38,3,US
2020-04-27,Marengo,Alabama,41,3,US
2020-04-28,Marengo,Alabama,41,3,US
2020-04-29,Marengo,Alabama,43,3,US
2020-04-30,Marengo,Alabama,45,3,US
2020-05-01,Marengo,Alabama,47,3,US
2020-05-02,Marengo,Alabama,51,3,US
2020-05-03,Marengo,Alabama,53,3,US
2020-05-04,Marengo,Alabama,60,3,US
2020-05-05,Marengo,Alabama,62,3,US
2020-05-06,Marengo,Alabama,62,3,US
2020-05-07,Marengo,Alabama,68,3,US
2020-05-08,Marengo,Alabama,71,4,US
2020-05-09,Marengo,Alabama,72,4,US
2020-05-10,Marengo,Alabama,76,4,US
2020-05-11,Marengo,Alabama,80,4,US
2020-05-12,Marengo,Alabama,86,5,US
2020-05-13,Marengo,Alabama,87,5,US
2020-05-14,Marengo,Alabama,93,5,US
2020-05-15,Marengo,Alabama,98,6,US
2020-05-16,Marengo,Alabama,99,6,US
2020-05-17,Marengo,Alabama,102,6,US
2020-05-18,Marengo,Alabama,113,6,US
2020-05-19,Marengo,Alabama,114,6,US
2020-05-20,Marengo,Alabama,117,6,US
2020-05-21,Marengo,Alabama,119,6,US
2020-05-22,Marengo,Alabama,124,6,US
2020-05-23,Marengo,Alabama,129,6,US
2020-05-24,Marengo,Alabama,131,6,US
2020-05-25,Marengo,Alabama,140,6,US
2020-05-26,Marengo,Alabama,143,6,US
2020-05-27,Marengo,Alabama,148,6,US
2020-05-28,Marengo,Alabama,154,6,US
2020-05-29,Marengo,Alabama,158,6,US
2020-05-30,Marengo,Alabama,162,6,US
2020-05-31,Marengo,Alabama,165,6,US
2020-06-01,Marengo,Alabama,167,6,US
2020-06-02,Marengo,Alabama,168,6,US
2020-06-03,Marengo,Alabama,169,6,US
2020-06-04,Marengo,Alabama,173,6,US
2020-06-05,Marengo,Alabama,176,6,US
2020-06-06,Marengo,Alabama,178,6,US
2020-06-07,Marengo,Alabama,181,6,US
2020-06-08,Marengo,Alabama,182,6,US
