Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Martin,Kentucky,0,0,US
2020-01-23,Martin,Kentucky,0,0,US
2020-01-24,Martin,Kentucky,0,0,US
2020-01-25,Martin,Kentucky,0,0,US
2020-01-26,Martin,Kentucky,0,0,US
2020-01-27,Martin,Kentucky,0,0,US
2020-01-28,Martin,Kentucky,0,0,US
2020-01-29,Martin,Kentucky,0,0,US
2020-01-30,Martin,Kentucky,0,0,US
2020-01-31,Martin,Kentucky,0,0,US
2020-02-01,Martin,Kentucky,0,0,US
2020-02-02,Martin,Kentucky,0,0,US
2020-02-03,Martin,Kentucky,0,0,US
2020-02-04,Martin,Kentucky,0,0,US
2020-02-05,Martin,Kentucky,0,0,US
2020-02-06,Martin,Kentucky,0,0,US
2020-02-07,Martin,Kentucky,0,0,US
2020-02-08,Martin,Kentucky,0,0,US
2020-02-09,Martin,Kentucky,0,0,US
2020-02-10,Martin,Kentucky,0,0,US
2020-02-11,Martin,Kentucky,0,0,US
2020-02-12,Martin,Kentucky,0,0,US
2020-02-13,Martin,Kentucky,0,0,US
2020-02-14,Martin,Kentucky,0,0,US
2020-02-15,Martin,Kentucky,0,0,US
2020-02-16,Martin,Kentucky,0,0,US
2020-02-17,Martin,Kentucky,0,0,US
2020-02-18,Martin,Kentucky,0,0,US
2020-02-19,Martin,Kentucky,0,0,US
2020-02-20,Martin,Kentucky,0,0,US
2020-02-21,Martin,Kentucky,0,0,US
2020-02-22,Martin,Kentucky,0,0,US
2020-02-23,Martin,Kentucky,0,0,US
2020-02-24,Martin,Kentucky,0,0,US
2020-02-25,Martin,Kentucky,0,0,US
2020-02-26,Martin,Kentucky,0,0,US
2020-02-27,Martin,Kentucky,0,0,US
2020-02-28,Martin,Kentucky,0,0,US
2020-02-29,Martin,Kentucky,0,0,US
2020-03-01,Martin,Kentucky,0,0,US
2020-03-02,Martin,Kentucky,0,0,US
2020-03-03,Martin,Kentucky,0,0,US
2020-03-04,Martin,Kentucky,0,0,US
2020-03-05,Martin,Kentucky,0,0,US
2020-03-06,Martin,Kentucky,0,0,US
2020-03-07,Martin,Kentucky,0,0,US
2020-03-08,Martin,Kentucky,0,0,US
2020-03-09,Martin,Kentucky,0,0,US
2020-03-10,Martin,Kentucky,0,0,US
2020-03-11,Martin,Kentucky,0,0,US
2020-03-12,Martin,Kentucky,0,0,US
2020-03-13,Martin,Kentucky,0,0,US
2020-03-14,Martin,Kentucky,0,0,US
2020-03-15,Martin,Kentucky,0,0,US
2020-03-16,Martin,Kentucky,0,0,US
2020-03-17,Martin,Kentucky,0,0,US
2020-03-18,Martin,Kentucky,0,0,US
2020-03-19,Martin,Kentucky,0,0,US
2020-03-20,Martin,Kentucky,0,0,US
2020-03-21,Martin,Kentucky,0,0,US
2020-03-22,Martin,Kentucky,0,0,US
2020-03-23,Martin,Kentucky,1,0,US
2020-03-24,Martin,Kentucky,1,0,US
2020-03-25,Martin,Kentucky,1,0,US
2020-03-26,Martin,Kentucky,1,0,US
2020-03-27,Martin,Kentucky,1,0,US
2020-03-28,Martin,Kentucky,1,0,US
2020-03-29,Martin,Kentucky,2,0,US
2020-03-30,Martin,Kentucky,2,0,US
2020-03-31,Martin,Kentucky,1,0,US
2020-04-01,Martin,Kentucky,1,0,US
2020-04-02,Martin,Kentucky,1,0,US
2020-04-03,Martin,Kentucky,1,0,US
2020-04-04,Martin,Kentucky,1,0,US
2020-04-05,Martin,Kentucky,1,0,US
2020-04-06,Martin,Kentucky,1,0,US
2020-04-07,Martin,Kentucky,1,0,US
2020-04-08,Martin,Kentucky,1,0,US
2020-04-09,Martin,Kentucky,1,0,US
2020-04-10,Martin,Kentucky,1,0,US
2020-04-11,Martin,Kentucky,1,0,US
2020-04-12,Martin,Kentucky,4,0,US
2020-04-13,Martin,Kentucky,4,0,US
2020-04-14,Martin,Kentucky,1,0,US
2020-04-15,Martin,Kentucky,1,0,US
2020-04-16,Martin,Kentucky,2,0,US
2020-04-17,Martin,Kentucky,2,0,US
2020-04-18,Martin,Kentucky,2,0,US
2020-04-19,Martin,Kentucky,2,0,US
2020-04-20,Martin,Kentucky,2,0,US
2020-04-21,Martin,Kentucky,3,0,US
2020-04-22,Martin,Kentucky,3,0,US
2020-04-23,Martin,Kentucky,3,0,US
2020-04-24,Martin,Kentucky,3,0,US
2020-04-25,Martin,Kentucky,3,0,US
2020-04-26,Martin,Kentucky,3,0,US
2020-04-27,Martin,Kentucky,3,0,US
2020-04-28,Martin,Kentucky,3,0,US
2020-04-29,Martin,Kentucky,3,0,US
2020-04-30,Martin,Kentucky,3,0,US
2020-05-01,Martin,Kentucky,3,0,US
2020-05-02,Martin,Kentucky,3,0,US
2020-05-03,Martin,Kentucky,3,0,US
2020-05-04,Martin,Kentucky,3,0,US
2020-05-05,Martin,Kentucky,3,0,US
2020-05-06,Martin,Kentucky,3,0,US
2020-05-07,Martin,Kentucky,3,0,US
2020-05-08,Martin,Kentucky,3,0,US
2020-05-09,Martin,Kentucky,3,0,US
2020-05-10,Martin,Kentucky,3,0,US
2020-05-11,Martin,Kentucky,3,0,US
2020-05-12,Martin,Kentucky,3,0,US
2020-05-13,Martin,Kentucky,3,0,US
2020-05-14,Martin,Kentucky,3,0,US
2020-05-15,Martin,Kentucky,3,0,US
2020-05-16,Martin,Kentucky,3,0,US
2020-05-17,Martin,Kentucky,3,0,US
2020-05-18,Martin,Kentucky,3,0,US
2020-05-19,Martin,Kentucky,3,0,US
2020-05-20,Martin,Kentucky,3,0,US
2020-05-21,Martin,Kentucky,3,0,US
2020-05-22,Martin,Kentucky,3,0,US
2020-05-23,Martin,Kentucky,3,0,US
2020-05-24,Martin,Kentucky,3,0,US
2020-05-25,Martin,Kentucky,3,0,US
2020-05-26,Martin,Kentucky,3,0,US
2020-05-27,Martin,Kentucky,3,0,US
2020-05-28,Martin,Kentucky,3,0,US
2020-05-29,Martin,Kentucky,3,0,US
2020-05-30,Martin,Kentucky,3,0,US
2020-05-31,Martin,Kentucky,3,0,US
2020-06-01,Martin,Kentucky,3,0,US
2020-06-02,Martin,Kentucky,3,0,US
2020-06-03,Martin,Kentucky,3,0,US
2020-06-04,Martin,Kentucky,3,0,US
2020-06-05,Martin,Kentucky,3,0,US
2020-06-06,Martin,Kentucky,3,0,US
2020-06-07,Martin,Kentucky,3,0,US
2020-06-08,Martin,Kentucky,3,0,US
2020-06-09,Martin,Kentucky,3,0,US
2020-06-10,Martin,Kentucky,3,0,US
2020-06-11,Martin,Kentucky,3,0,US
2020-06-12,Martin,Kentucky,3,0,US
2020-06-13,Martin,Kentucky,3,0,US
2020-06-14,Martin,Kentucky,3,0,US
