Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,McCook,South Dakota,0,0,US
2020-01-23,McCook,South Dakota,0,0,US
2020-01-24,McCook,South Dakota,0,0,US
2020-01-25,McCook,South Dakota,0,0,US
2020-01-26,McCook,South Dakota,0,0,US
2020-01-27,McCook,South Dakota,0,0,US
2020-01-28,McCook,South Dakota,0,0,US
2020-01-29,McCook,South Dakota,0,0,US
2020-01-30,McCook,South Dakota,0,0,US
2020-01-31,McCook,South Dakota,0,0,US
2020-02-01,McCook,South Dakota,0,0,US
2020-02-02,McCook,South Dakota,0,0,US
2020-02-03,McCook,South Dakota,0,0,US
2020-02-04,McCook,South Dakota,0,0,US
2020-02-05,McCook,South Dakota,0,0,US
2020-02-06,McCook,South Dakota,0,0,US
2020-02-07,McCook,South Dakota,0,0,US
2020-02-08,McCook,South Dakota,0,0,US
2020-02-09,McCook,South Dakota,0,0,US
2020-02-10,McCook,South Dakota,0,0,US
2020-02-11,McCook,South Dakota,0,0,US
2020-02-12,McCook,South Dakota,0,0,US
2020-02-13,McCook,South Dakota,0,0,US
2020-02-14,McCook,South Dakota,0,0,US
2020-02-15,McCook,South Dakota,0,0,US
2020-02-16,McCook,South Dakota,0,0,US
2020-02-17,McCook,South Dakota,0,0,US
2020-02-18,McCook,South Dakota,0,0,US
2020-02-19,McCook,South Dakota,0,0,US
2020-02-20,McCook,South Dakota,0,0,US
2020-02-21,McCook,South Dakota,0,0,US
2020-02-22,McCook,South Dakota,0,0,US
2020-02-23,McCook,South Dakota,0,0,US
2020-02-24,McCook,South Dakota,0,0,US
2020-02-25,McCook,South Dakota,0,0,US
2020-02-26,McCook,South Dakota,0,0,US
2020-02-27,McCook,South Dakota,0,0,US
2020-02-28,McCook,South Dakota,0,0,US
2020-02-29,McCook,South Dakota,0,0,US
2020-03-01,McCook,South Dakota,0,0,US
2020-03-02,McCook,South Dakota,0,0,US
2020-03-03,McCook,South Dakota,0,0,US
2020-03-04,McCook,South Dakota,0,0,US
2020-03-05,McCook,South Dakota,0,0,US
