Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,McCreary,Kentucky,0,0,US
2020-01-23,McCreary,Kentucky,0,0,US
2020-01-24,McCreary,Kentucky,0,0,US
2020-01-25,McCreary,Kentucky,0,0,US
2020-01-26,McCreary,Kentucky,0,0,US
2020-01-27,McCreary,Kentucky,0,0,US
2020-01-28,McCreary,Kentucky,0,0,US
2020-01-29,McCreary,Kentucky,0,0,US
2020-01-30,McCreary,Kentucky,0,0,US
2020-01-31,McCreary,Kentucky,0,0,US
2020-02-01,McCreary,Kentucky,0,0,US
2020-02-02,McCreary,Kentucky,0,0,US
2020-02-03,McCreary,Kentucky,0,0,US
2020-02-04,McCreary,Kentucky,0,0,US
2020-02-05,McCreary,Kentucky,0,0,US
2020-02-06,McCreary,Kentucky,0,0,US
2020-02-07,McCreary,Kentucky,0,0,US
2020-02-08,McCreary,Kentucky,0,0,US
2020-02-09,McCreary,Kentucky,0,0,US
2020-02-10,McCreary,Kentucky,0,0,US
2020-02-11,McCreary,Kentucky,0,0,US
2020-02-12,McCreary,Kentucky,0,0,US
2020-02-13,McCreary,Kentucky,0,0,US
2020-02-14,McCreary,Kentucky,0,0,US
2020-02-15,McCreary,Kentucky,0,0,US
2020-02-16,McCreary,Kentucky,0,0,US
2020-02-17,McCreary,Kentucky,0,0,US
2020-02-18,McCreary,Kentucky,0,0,US
2020-02-19,McCreary,Kentucky,0,0,US
2020-02-20,McCreary,Kentucky,0,0,US
2020-02-21,McCreary,Kentucky,0,0,US
2020-02-22,McCreary,Kentucky,0,0,US
2020-02-23,McCreary,Kentucky,0,0,US
2020-02-24,McCreary,Kentucky,0,0,US
2020-02-25,McCreary,Kentucky,0,0,US
2020-02-26,McCreary,Kentucky,0,0,US
2020-02-27,McCreary,Kentucky,0,0,US
2020-02-28,McCreary,Kentucky,0,0,US
2020-02-29,McCreary,Kentucky,0,0,US
2020-03-01,McCreary,Kentucky,0,0,US
2020-03-02,McCreary,Kentucky,0,0,US
2020-03-03,McCreary,Kentucky,0,0,US
2020-03-04,McCreary,Kentucky,0,0,US
