Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,McDowell,West Virginia,0,0,US
2020-01-23,McDowell,West Virginia,0,0,US
2020-01-24,McDowell,West Virginia,0,0,US
2020-01-25,McDowell,West Virginia,0,0,US
2020-01-26,McDowell,West Virginia,0,0,US
2020-01-27,McDowell,West Virginia,0,0,US
2020-01-28,McDowell,West Virginia,0,0,US
2020-01-29,McDowell,West Virginia,0,0,US
2020-01-30,McDowell,West Virginia,0,0,US
2020-01-31,McDowell,West Virginia,0,0,US
2020-02-01,McDowell,West Virginia,0,0,US
2020-02-02,McDowell,West Virginia,0,0,US
2020-02-03,McDowell,West Virginia,0,0,US
2020-02-04,McDowell,West Virginia,0,0,US
2020-02-05,McDowell,West Virginia,0,0,US
2020-02-06,McDowell,West Virginia,0,0,US
2020-02-07,McDowell,West Virginia,0,0,US
2020-02-08,McDowell,West Virginia,0,0,US
2020-02-09,McDowell,West Virginia,0,0,US
2020-02-10,McDowell,West Virginia,0,0,US
2020-02-11,McDowell,West Virginia,0,0,US
2020-02-12,McDowell,West Virginia,0,0,US
2020-02-13,McDowell,West Virginia,0,0,US
2020-02-14,McDowell,West Virginia,0,0,US
2020-02-15,McDowell,West Virginia,0,0,US
2020-02-16,McDowell,West Virginia,0,0,US
2020-02-17,McDowell,West Virginia,0,0,US
2020-02-18,McDowell,West Virginia,0,0,US
2020-02-19,McDowell,West Virginia,0,0,US
2020-02-20,McDowell,West Virginia,0,0,US
2020-02-21,McDowell,West Virginia,0,0,US
2020-02-22,McDowell,West Virginia,0,0,US
2020-02-23,McDowell,West Virginia,0,0,US
2020-02-24,McDowell,West Virginia,0,0,US
2020-02-25,McDowell,West Virginia,0,0,US
2020-02-26,McDowell,West Virginia,0,0,US
2020-02-27,McDowell,West Virginia,0,0,US
2020-02-28,McDowell,West Virginia,0,0,US
2020-02-29,McDowell,West Virginia,0,0,US
2020-03-01,McDowell,West Virginia,0,0,US
2020-03-02,McDowell,West Virginia,0,0,US
2020-03-03,McDowell,West Virginia,0,0,US
2020-03-04,McDowell,West Virginia,0,0,US
2020-03-05,McDowell,West Virginia,0,0,US
2020-03-06,McDowell,West Virginia,0,0,US
2020-03-07,McDowell,West Virginia,0,0,US
2020-03-08,McDowell,West Virginia,0,0,US
2020-03-09,McDowell,West Virginia,0,0,US
2020-03-10,McDowell,West Virginia,0,0,US
2020-03-11,McDowell,West Virginia,0,0,US
2020-03-12,McDowell,West Virginia,0,0,US
2020-03-13,McDowell,West Virginia,0,0,US
2020-03-14,McDowell,West Virginia,0,0,US
2020-03-15,McDowell,West Virginia,0,0,US
