Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,McLean,North Dakota,0,0,US
2020-01-23,McLean,North Dakota,0,0,US
2020-01-24,McLean,North Dakota,0,0,US
2020-01-25,McLean,North Dakota,0,0,US
2020-01-26,McLean,North Dakota,0,0,US
2020-01-27,McLean,North Dakota,0,0,US
2020-01-28,McLean,North Dakota,0,0,US
2020-01-29,McLean,North Dakota,0,0,US
2020-01-30,McLean,North Dakota,0,0,US
2020-01-31,McLean,North Dakota,0,0,US
2020-02-01,McLean,North Dakota,0,0,US
2020-02-02,McLean,North Dakota,0,0,US
2020-02-03,McLean,North Dakota,0,0,US
2020-02-04,McLean,North Dakota,0,0,US
2020-02-05,McLean,North Dakota,0,0,US
2020-02-06,McLean,North Dakota,0,0,US
2020-02-07,McLean,North Dakota,0,0,US
2020-02-08,McLean,North Dakota,0,0,US
2020-02-09,McLean,North Dakota,0,0,US
2020-02-10,McLean,North Dakota,0,0,US
2020-02-11,McLean,North Dakota,0,0,US
2020-02-12,McLean,North Dakota,0,0,US
2020-02-13,McLean,North Dakota,0,0,US
2020-02-14,McLean,North Dakota,0,0,US
2020-02-15,McLean,North Dakota,0,0,US
2020-02-16,McLean,North Dakota,0,0,US
2020-02-17,McLean,North Dakota,0,0,US
2020-02-18,McLean,North Dakota,0,0,US
2020-02-19,McLean,North Dakota,0,0,US
2020-02-20,McLean,North Dakota,0,0,US
2020-02-21,McLean,North Dakota,0,0,US
2020-02-22,McLean,North Dakota,0,0,US
2020-02-23,McLean,North Dakota,0,0,US
2020-02-24,McLean,North Dakota,0,0,US
2020-02-25,McLean,North Dakota,0,0,US
2020-02-26,McLean,North Dakota,0,0,US
2020-02-27,McLean,North Dakota,0,0,US
2020-02-28,McLean,North Dakota,0,0,US
2020-02-29,McLean,North Dakota,0,0,US
2020-03-01,McLean,North Dakota,0,0,US
2020-03-02,McLean,North Dakota,0,0,US
2020-03-03,McLean,North Dakota,0,0,US
2020-03-04,McLean,North Dakota,0,0,US
2020-03-05,McLean,North Dakota,0,0,US
2020-03-06,McLean,North Dakota,0,0,US
2020-03-07,McLean,North Dakota,0,0,US
2020-03-08,McLean,North Dakota,0,0,US
2020-03-09,McLean,North Dakota,0,0,US
2020-03-10,McLean,North Dakota,0,0,US
2020-03-11,McLean,North Dakota,0,0,US
2020-03-12,McLean,North Dakota,0,0,US
2020-03-13,McLean,North Dakota,0,0,US
2020-03-14,McLean,North Dakota,0,0,US
2020-03-15,McLean,North Dakota,0,0,US
2020-03-16,McLean,North Dakota,0,0,US
2020-03-17,McLean,North Dakota,0,0,US
2020-03-18,McLean,North Dakota,0,0,US
2020-03-19,McLean,North Dakota,0,0,US
2020-03-20,McLean,North Dakota,0,0,US
2020-03-21,McLean,North Dakota,0,0,US
2020-03-22,McLean,North Dakota,0,0,US
2020-03-23,McLean,North Dakota,0,0,US
2020-03-24,McLean,North Dakota,0,0,US
2020-03-25,McLean,North Dakota,0,0,US
2020-03-26,McLean,North Dakota,0,0,US
2020-03-27,McLean,North Dakota,0,0,US
2020-03-28,McLean,North Dakota,2,0,US
2020-03-29,McLean,North Dakota,2,0,US
2020-03-30,McLean,North Dakota,2,0,US
2020-03-31,McLean,North Dakota,2,0,US
2020-04-01,McLean,North Dakota,2,0,US
2020-04-02,McLean,North Dakota,2,0,US
2020-04-03,McLean,North Dakota,2,0,US
2020-04-04,McLean,North Dakota,2,0,US
2020-04-05,McLean,North Dakota,2,0,US
2020-04-06,McLean,North Dakota,2,0,US
2020-04-07,McLean,North Dakota,2,0,US
2020-04-08,McLean,North Dakota,2,0,US
2020-04-09,McLean,North Dakota,2,0,US
2020-04-10,McLean,North Dakota,2,0,US
2020-04-11,McLean,North Dakota,2,0,US
2020-04-12,McLean,North Dakota,3,0,US
2020-04-13,McLean,North Dakota,3,0,US
2020-04-14,McLean,North Dakota,4,0,US
2020-04-15,McLean,North Dakota,4,0,US
2020-04-16,McLean,North Dakota,4,0,US
2020-04-17,McLean,North Dakota,4,0,US
2020-04-18,McLean,North Dakota,4,0,US
2020-04-19,McLean,North Dakota,4,0,US
2020-04-20,McLean,North Dakota,4,0,US
2020-04-21,McLean,North Dakota,4,0,US
2020-04-22,McLean,North Dakota,4,0,US
2020-04-23,McLean,North Dakota,4,0,US
2020-04-24,McLean,North Dakota,4,0,US
2020-04-25,McLean,North Dakota,4,0,US
2020-04-26,McLean,North Dakota,4,0,US
2020-04-27,McLean,North Dakota,4,0,US
2020-04-28,McLean,North Dakota,4,0,US
2020-04-29,McLean,North Dakota,4,0,US
2020-04-30,McLean,North Dakota,4,0,US
2020-05-01,McLean,North Dakota,6,0,US
2020-05-02,McLean,North Dakota,6,0,US
2020-05-03,McLean,North Dakota,6,0,US
2020-05-04,McLean,North Dakota,6,0,US
2020-05-05,McLean,North Dakota,6,0,US
2020-05-06,McLean,North Dakota,6,0,US
2020-05-07,McLean,North Dakota,6,0,US
2020-05-08,McLean,North Dakota,6,0,US
2020-05-09,McLean,North Dakota,6,0,US
2020-05-10,McLean,North Dakota,6,0,US
2020-05-11,McLean,North Dakota,6,0,US
2020-05-12,McLean,North Dakota,6,0,US
2020-05-13,McLean,North Dakota,6,0,US
2020-05-14,McLean,North Dakota,6,0,US
2020-05-15,McLean,North Dakota,6,0,US
2020-05-16,McLean,North Dakota,7,0,US
2020-05-17,McLean,North Dakota,7,0,US
2020-05-18,McLean,North Dakota,7,0,US
2020-05-19,McLean,North Dakota,7,0,US
2020-05-20,McLean,North Dakota,7,0,US
2020-05-21,McLean,North Dakota,7,0,US
2020-05-22,McLean,North Dakota,7,0,US
2020-05-23,McLean,North Dakota,7,0,US
2020-05-24,McLean,North Dakota,7,0,US
2020-05-25,McLean,North Dakota,7,0,US
2020-05-26,McLean,North Dakota,7,0,US
2020-05-27,McLean,North Dakota,7,0,US
2020-05-28,McLean,North Dakota,7,0,US
2020-05-29,McLean,North Dakota,7,0,US
2020-05-30,McLean,North Dakota,7,0,US
2020-05-31,McLean,North Dakota,7,0,US
2020-06-01,McLean,North Dakota,7,0,US
2020-06-02,McLean,North Dakota,7,0,US
2020-06-03,McLean,North Dakota,7,0,US
2020-06-04,McLean,North Dakota,7,0,US
2020-06-05,McLean,North Dakota,7,0,US
2020-06-06,McLean,North Dakota,7,0,US
2020-06-07,McLean,North Dakota,7,0,US
2020-06-08,McLean,North Dakota,8,0,US
2020-06-09,McLean,North Dakota,8,0,US
2020-06-10,McLean,North Dakota,8,0,US
2020-06-11,McLean,North Dakota,9,0,US
2020-06-12,McLean,North Dakota,9,0,US
2020-06-13,McLean,North Dakota,10,0,US
2020-06-14,McLean,North Dakota,10,0,US
2020-06-15,McLean,North Dakota,11,0,US
2020-06-16,McLean,North Dakota,11,0,US
2020-06-17,McLean,North Dakota,11,0,US
2020-06-18,McLean,North Dakota,11,0,US
2020-06-19,McLean,North Dakota,11,0,US
2020-06-20,McLean,North Dakota,11,0,US
2020-06-21,McLean,North Dakota,11,0,US
2020-06-22,McLean,North Dakota,11,0,US
2020-06-23,McLean,North Dakota,11,0,US
2020-06-24,McLean,North Dakota,11,0,US
2020-06-25,McLean,North Dakota,11,0,US
2020-06-26,McLean,North Dakota,11,0,US
2020-06-27,McLean,North Dakota,11,0,US
2020-06-28,McLean,North Dakota,11,0,US
2020-06-29,McLean,North Dakota,11,0,US
2020-06-30,McLean,North Dakota,11,0,US
2020-07-01,McLean,North Dakota,11,0,US
2020-07-02,McLean,North Dakota,11,0,US
2020-07-03,McLean,North Dakota,11,0,US
2020-07-04,McLean,North Dakota,11,0,US
2020-07-05,McLean,North Dakota,11,0,US
2020-07-06,McLean,North Dakota,11,0,US
2020-07-07,McLean,North Dakota,11,0,US
2020-07-08,McLean,North Dakota,11,0,US
2020-07-09,McLean,North Dakota,11,0,US
2020-07-10,McLean,North Dakota,11,0,US
2020-07-11,McLean,North Dakota,11,0,US
2020-07-12,McLean,North Dakota,11,0,US
2020-07-13,McLean,North Dakota,12,0,US
2020-07-14,McLean,North Dakota,12,0,US
2020-07-15,McLean,North Dakota,12,0,US
2020-07-16,McLean,North Dakota,12,0,US
2020-07-17,McLean,North Dakota,13,0,US
2020-07-18,McLean,North Dakota,14,0,US
2020-07-19,McLean,North Dakota,14,0,US
2020-07-20,McLean,North Dakota,14,0,US
2020-07-21,McLean,North Dakota,16,0,US
2020-07-22,McLean,North Dakota,17,0,US
2020-07-23,McLean,North Dakota,20,0,US
2020-07-24,McLean,North Dakota,21,0,US
2020-07-25,McLean,North Dakota,25,0,US
2020-07-26,McLean,North Dakota,25,0,US
2020-07-27,McLean,North Dakota,29,0,US
2020-07-28,McLean,North Dakota,30,0,US
2020-07-29,McLean,North Dakota,31,0,US
2020-07-30,McLean,North Dakota,36,0,US
2020-07-31,McLean,North Dakota,37,0,US
2020-08-01,McLean,North Dakota,38,0,US
2020-08-02,McLean,North Dakota,41,0,US
2020-08-03,McLean,North Dakota,41,0,US
2020-08-04,McLean,North Dakota,44,0,US
2020-08-05,McLean,North Dakota,48,0,US
2020-08-06,McLean,North Dakota,53,0,US
2020-08-07,McLean,North Dakota,61,0,US
2020-08-08,McLean,North Dakota,63,0,US
2020-08-09,McLean,North Dakota,74,0,US
2020-08-10,McLean,North Dakota,79,0,US
2020-08-11,McLean,North Dakota,81,0,US
2020-08-12,McLean,North Dakota,85,0,US
2020-08-13,McLean,North Dakota,92,0,US
2020-08-14,McLean,North Dakota,100,0,US
2020-08-15,McLean,North Dakota,104,0,US
2020-08-16,McLean,North Dakota,104,0,US
2020-08-17,McLean,North Dakota,107,0,US
2020-08-18,McLean,North Dakota,110,0,US
2020-08-19,McLean,North Dakota,115,1,US
2020-08-20,McLean,North Dakota,118,1,US
2020-08-21,McLean,North Dakota,123,1,US
2020-08-22,McLean,North Dakota,128,1,US
2020-08-23,McLean,North Dakota,129,1,US
2020-08-24,McLean,North Dakota,131,1,US
2020-08-25,McLean,North Dakota,139,1,US
2020-08-26,McLean,North Dakota,147,1,US
2020-08-27,McLean,North Dakota,148,1,US
2020-08-28,McLean,North Dakota,159,1,US
2020-08-29,McLean,North Dakota,164,1,US
2020-08-30,McLean,North Dakota,165,1,US
2020-08-31,McLean,North Dakota,168,1,US
2020-09-01,McLean,North Dakota,170,1,US
2020-09-02,McLean,North Dakota,171,1,US
2020-09-03,McLean,North Dakota,173,1,US
2020-09-04,McLean,North Dakota,173,1,US
2020-09-05,McLean,North Dakota,182,2,US
2020-09-06,McLean,North Dakota,182,2,US
2020-09-07,McLean,North Dakota,183,2,US
2020-09-08,McLean,North Dakota,184,2,US
2020-09-09,McLean,North Dakota,186,2,US
2020-09-10,McLean,North Dakota,186,2,US
2020-09-11,McLean,North Dakota,194,2,US
2020-09-12,McLean,North Dakota,201,2,US
2020-09-13,McLean,North Dakota,201,2,US
2020-09-14,McLean,North Dakota,204,2,US
2020-09-15,McLean,North Dakota,205,2,US
2020-09-16,McLean,North Dakota,209,2,US
2020-09-17,McLean,North Dakota,217,2,US
2020-09-18,McLean,North Dakota,235,2,US
2020-09-19,McLean,North Dakota,238,2,US
2020-09-20,McLean,North Dakota,243,2,US
2020-09-21,McLean,North Dakota,246,2,US
2020-09-22,McLean,North Dakota,257,2,US
2020-09-23,McLean,North Dakota,258,2,US
2020-09-24,McLean,North Dakota,266,2,US
2020-09-25,McLean,North Dakota,270,2,US
2020-09-26,McLean,North Dakota,273,3,US
2020-09-27,McLean,North Dakota,274,3,US
2020-09-28,McLean,North Dakota,281,3,US
2020-09-29,McLean,North Dakota,292,3,US
2020-09-30,McLean,North Dakota,298,4,US
2020-10-01,McLean,North Dakota,306,4,US
2020-10-02,McLean,North Dakota,311,4,US
2020-10-03,McLean,North Dakota,321,4,US
2020-10-04,McLean,North Dakota,324,4,US
2020-10-05,McLean,North Dakota,333,4,US
2020-10-06,McLean,North Dakota,337,4,US
2020-10-07,McLean,North Dakota,340,4,US
2020-10-08,McLean,North Dakota,350,4,US
2020-10-09,McLean,North Dakota,361,4,US
2020-10-10,McLean,North Dakota,369,4,US
2020-10-11,McLean,North Dakota,369,4,US
2020-10-12,McLean,North Dakota,375,4,US
2020-10-13,McLean,North Dakota,381,4,US
