Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mecklenburg,Virginia,0,0,US
2020-01-23,Mecklenburg,Virginia,0,0,US
2020-01-24,Mecklenburg,Virginia,0,0,US
2020-01-25,Mecklenburg,Virginia,0,0,US
2020-01-26,Mecklenburg,Virginia,0,0,US
2020-01-27,Mecklenburg,Virginia,0,0,US
2020-01-28,Mecklenburg,Virginia,0,0,US
2020-01-29,Mecklenburg,Virginia,0,0,US
2020-01-30,Mecklenburg,Virginia,0,0,US
2020-01-31,Mecklenburg,Virginia,0,0,US
2020-02-01,Mecklenburg,Virginia,0,0,US
2020-02-02,Mecklenburg,Virginia,0,0,US
2020-02-03,Mecklenburg,Virginia,0,0,US
2020-02-04,Mecklenburg,Virginia,0,0,US
2020-02-05,Mecklenburg,Virginia,0,0,US
2020-02-06,Mecklenburg,Virginia,0,0,US
2020-02-07,Mecklenburg,Virginia,0,0,US
2020-02-08,Mecklenburg,Virginia,0,0,US
2020-02-09,Mecklenburg,Virginia,0,0,US
2020-02-10,Mecklenburg,Virginia,0,0,US
2020-02-11,Mecklenburg,Virginia,0,0,US
2020-02-12,Mecklenburg,Virginia,0,0,US
2020-02-13,Mecklenburg,Virginia,0,0,US
2020-02-14,Mecklenburg,Virginia,0,0,US
2020-02-15,Mecklenburg,Virginia,0,0,US
2020-02-16,Mecklenburg,Virginia,0,0,US
2020-02-17,Mecklenburg,Virginia,0,0,US
2020-02-18,Mecklenburg,Virginia,0,0,US
2020-02-19,Mecklenburg,Virginia,0,0,US
2020-02-20,Mecklenburg,Virginia,0,0,US
2020-02-21,Mecklenburg,Virginia,0,0,US
2020-02-22,Mecklenburg,Virginia,0,0,US
2020-02-23,Mecklenburg,Virginia,0,0,US
2020-02-24,Mecklenburg,Virginia,0,0,US
2020-02-25,Mecklenburg,Virginia,0,0,US
2020-02-26,Mecklenburg,Virginia,0,0,US
2020-02-27,Mecklenburg,Virginia,0,0,US
2020-02-28,Mecklenburg,Virginia,0,0,US
2020-02-29,Mecklenburg,Virginia,0,0,US
2020-03-01,Mecklenburg,Virginia,0,0,US
2020-03-02,Mecklenburg,Virginia,0,0,US
2020-03-03,Mecklenburg,Virginia,0,0,US
2020-03-04,Mecklenburg,Virginia,0,0,US
2020-03-05,Mecklenburg,Virginia,0,0,US
2020-03-06,Mecklenburg,Virginia,0,0,US
2020-03-07,Mecklenburg,Virginia,0,0,US
2020-03-08,Mecklenburg,Virginia,0,0,US
2020-03-09,Mecklenburg,Virginia,0,0,US
2020-03-10,Mecklenburg,Virginia,0,0,US
2020-03-11,Mecklenburg,Virginia,0,0,US
