Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mesa,Colorado,0,0,US
2020-01-23,Mesa,Colorado,0,0,US
2020-01-24,Mesa,Colorado,0,0,US
2020-01-25,Mesa,Colorado,0,0,US
2020-01-26,Mesa,Colorado,0,0,US
2020-01-27,Mesa,Colorado,0,0,US
2020-01-28,Mesa,Colorado,0,0,US
2020-01-29,Mesa,Colorado,0,0,US
2020-01-30,Mesa,Colorado,0,0,US
2020-01-31,Mesa,Colorado,0,0,US
2020-02-01,Mesa,Colorado,0,0,US
2020-02-02,Mesa,Colorado,0,0,US
2020-02-03,Mesa,Colorado,0,0,US
2020-02-04,Mesa,Colorado,0,0,US
2020-02-05,Mesa,Colorado,0,0,US
2020-02-06,Mesa,Colorado,0,0,US
2020-02-07,Mesa,Colorado,0,0,US
2020-02-08,Mesa,Colorado,0,0,US
2020-02-09,Mesa,Colorado,0,0,US
2020-02-10,Mesa,Colorado,0,0,US
2020-02-11,Mesa,Colorado,0,0,US
2020-02-12,Mesa,Colorado,0,0,US
2020-02-13,Mesa,Colorado,0,0,US
2020-02-14,Mesa,Colorado,0,0,US
2020-02-15,Mesa,Colorado,0,0,US
2020-02-16,Mesa,Colorado,0,0,US
2020-02-17,Mesa,Colorado,0,0,US
2020-02-18,Mesa,Colorado,0,0,US
2020-02-19,Mesa,Colorado,0,0,US
2020-02-20,Mesa,Colorado,0,0,US
2020-02-21,Mesa,Colorado,0,0,US
2020-02-22,Mesa,Colorado,0,0,US
2020-02-23,Mesa,Colorado,0,0,US
2020-02-24,Mesa,Colorado,0,0,US
2020-02-25,Mesa,Colorado,0,0,US
2020-02-26,Mesa,Colorado,0,0,US
2020-02-27,Mesa,Colorado,0,0,US
2020-02-28,Mesa,Colorado,0,0,US
2020-02-29,Mesa,Colorado,0,0,US
2020-03-01,Mesa,Colorado,0,0,US
2020-03-02,Mesa,Colorado,0,0,US
2020-03-03,Mesa,Colorado,0,0,US
2020-03-04,Mesa,Colorado,0,0,US
2020-03-05,Mesa,Colorado,0,0,US
2020-03-06,Mesa,Colorado,0,0,US
2020-03-07,Mesa,Colorado,0,0,US
2020-03-08,Mesa,Colorado,0,0,US
2020-03-09,Mesa,Colorado,0,0,US
2020-03-10,Mesa,Colorado,0,0,US
2020-03-11,Mesa,Colorado,0,0,US
2020-03-12,Mesa,Colorado,0,0,US
2020-03-13,Mesa,Colorado,0,0,US
2020-03-14,Mesa,Colorado,1,0,US
2020-03-15,Mesa,Colorado,1,0,US
2020-03-16,Mesa,Colorado,1,0,US
2020-03-17,Mesa,Colorado,1,0,US
2020-03-18,Mesa,Colorado,1,0,US
2020-03-19,Mesa,Colorado,1,0,US
2020-03-20,Mesa,Colorado,1,0,US
2020-03-21,Mesa,Colorado,1,0,US
2020-03-22,Mesa,Colorado,4,0,US
2020-03-23,Mesa,Colorado,5,0,US
2020-03-24,Mesa,Colorado,5,0,US
2020-03-25,Mesa,Colorado,6,0,US
2020-03-26,Mesa,Colorado,6,0,US
2020-03-27,Mesa,Colorado,7,0,US
2020-03-28,Mesa,Colorado,9,0,US
2020-03-29,Mesa,Colorado,12,0,US
2020-03-30,Mesa,Colorado,12,0,US
2020-03-31,Mesa,Colorado,14,0,US
2020-04-01,Mesa,Colorado,14,0,US
2020-04-02,Mesa,Colorado,17,0,US
2020-04-03,Mesa,Colorado,20,0,US
2020-04-04,Mesa,Colorado,20,0,US
2020-04-05,Mesa,Colorado,20,0,US
2020-04-06,Mesa,Colorado,25,0,US
2020-04-07,Mesa,Colorado,27,0,US
2020-04-08,Mesa,Colorado,32,0,US
2020-04-09,Mesa,Colorado,32,0,US
2020-04-10,Mesa,Colorado,34,0,US
2020-04-11,Mesa,Colorado,34,0,US
2020-04-12,Mesa,Colorado,35,0,US
2020-04-13,Mesa,Colorado,35,0,US
2020-04-14,Mesa,Colorado,35,0,US
2020-04-15,Mesa,Colorado,34,0,US
2020-04-16,Mesa,Colorado,34,0,US
2020-04-17,Mesa,Colorado,34,0,US
2020-04-18,Mesa,Colorado,34,0,US
2020-04-19,Mesa,Colorado,35,0,US
2020-04-20,Mesa,Colorado,35,0,US
2020-04-21,Mesa,Colorado,35,0,US
2020-04-22,Mesa,Colorado,37,0,US
2020-04-23,Mesa,Colorado,37,0,US
2020-04-24,Mesa,Colorado,37,0,US
2020-04-25,Mesa,Colorado,38,0,US
2020-04-26,Mesa,Colorado,38,0,US
