Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Midland,Michigan,0,0,US
2020-01-23,Midland,Michigan,0,0,US
2020-01-24,Midland,Michigan,0,0,US
2020-01-25,Midland,Michigan,0,0,US
2020-01-26,Midland,Michigan,0,0,US
2020-01-27,Midland,Michigan,0,0,US
2020-01-28,Midland,Michigan,0,0,US
2020-01-29,Midland,Michigan,0,0,US
2020-01-30,Midland,Michigan,0,0,US
2020-01-31,Midland,Michigan,0,0,US
2020-02-01,Midland,Michigan,0,0,US
2020-02-02,Midland,Michigan,0,0,US
2020-02-03,Midland,Michigan,0,0,US
2020-02-04,Midland,Michigan,0,0,US
2020-02-05,Midland,Michigan,0,0,US
2020-02-06,Midland,Michigan,0,0,US
2020-02-07,Midland,Michigan,0,0,US
2020-02-08,Midland,Michigan,0,0,US
2020-02-09,Midland,Michigan,0,0,US
2020-02-10,Midland,Michigan,0,0,US
2020-02-11,Midland,Michigan,0,0,US
2020-02-12,Midland,Michigan,0,0,US
2020-02-13,Midland,Michigan,0,0,US
2020-02-14,Midland,Michigan,0,0,US
2020-02-15,Midland,Michigan,0,0,US
2020-02-16,Midland,Michigan,0,0,US
2020-02-17,Midland,Michigan,0,0,US
2020-02-18,Midland,Michigan,0,0,US
2020-02-19,Midland,Michigan,0,0,US
2020-02-20,Midland,Michigan,0,0,US
2020-02-21,Midland,Michigan,0,0,US
2020-02-22,Midland,Michigan,0,0,US
2020-02-23,Midland,Michigan,0,0,US
2020-02-24,Midland,Michigan,0,0,US
2020-02-25,Midland,Michigan,0,0,US
2020-02-26,Midland,Michigan,0,0,US
2020-02-27,Midland,Michigan,0,0,US
2020-02-28,Midland,Michigan,0,0,US
2020-02-29,Midland,Michigan,0,0,US
2020-03-01,Midland,Michigan,0,0,US
2020-03-02,Midland,Michigan,0,0,US
2020-03-03,Midland,Michigan,0,0,US
2020-03-04,Midland,Michigan,0,0,US
2020-03-05,Midland,Michigan,0,0,US
2020-03-06,Midland,Michigan,0,0,US
2020-03-07,Midland,Michigan,0,0,US
2020-03-08,Midland,Michigan,0,0,US
2020-03-09,Midland,Michigan,0,0,US
2020-03-10,Midland,Michigan,0,0,US
2020-03-11,Midland,Michigan,0,0,US
2020-03-12,Midland,Michigan,0,0,US
2020-03-13,Midland,Michigan,1,0,US
2020-03-14,Midland,Michigan,2,0,US
2020-03-15,Midland,Michigan,2,0,US
2020-03-16,Midland,Michigan,2,0,US
2020-03-17,Midland,Michigan,2,0,US
2020-03-18,Midland,Michigan,2,0,US
2020-03-19,Midland,Michigan,3,0,US
2020-03-20,Midland,Michigan,6,0,US
2020-03-21,Midland,Michigan,6,0,US
2020-03-22,Midland,Michigan,8,0,US
2020-03-23,Midland,Michigan,9,0,US
2020-03-24,Midland,Michigan,9,0,US
2020-03-25,Midland,Michigan,11,0,US
2020-03-26,Midland,Michigan,11,0,US
2020-03-27,Midland,Michigan,13,0,US
2020-03-28,Midland,Michigan,13,0,US
2020-03-29,Midland,Michigan,13,0,US
2020-03-30,Midland,Michigan,14,0,US
2020-03-31,Midland,Michigan,15,0,US
2020-04-01,Midland,Michigan,17,0,US
2020-04-02,Midland,Michigan,20,0,US
2020-04-03,Midland,Michigan,21,0,US
2020-04-04,Midland,Michigan,22,0,US
2020-04-05,Midland,Michigan,24,0,US
2020-04-06,Midland,Michigan,30,0,US
2020-04-07,Midland,Michigan,33,0,US
2020-04-08,Midland,Michigan,35,1,US
2020-04-09,Midland,Michigan,39,1,US
2020-04-10,Midland,Michigan,39,1,US
2020-04-11,Midland,Michigan,42,1,US
2020-04-12,Midland,Michigan,44,1,US
2020-04-13,Midland,Michigan,47,1,US
2020-04-14,Midland,Michigan,48,1,US
2020-04-15,Midland,Michigan,52,1,US
2020-04-16,Midland,Michigan,57,1,US
2020-04-17,Midland,Michigan,59,1,US
2020-04-18,Midland,Michigan,62,2,US
2020-04-19,Midland,Michigan,65,2,US
2020-04-20,Midland,Michigan,68,3,US
2020-04-21,Midland,Michigan,69,3,US
2020-04-22,Midland,Michigan,68,3,US
2020-04-23,Midland,Michigan,74,3,US
2020-04-24,Midland,Michigan,74,3,US
2020-04-25,Midland,Michigan,77,3,US
2020-04-26,Midland,Michigan,79,3,US
2020-04-27,Midland,Michigan,83,3,US
2020-04-28,Midland,Michigan,84,4,US
2020-04-29,Midland,Michigan,87,5,US
2020-04-30,Midland,Michigan,90,5,US
2020-05-01,Midland,Michigan,89,6,US
2020-05-02,Midland,Michigan,91,6,US
2020-05-03,Midland,Michigan,91,6,US
2020-05-04,Midland,Michigan,91,7,US
2020-05-05,Midland,Michigan,91,7,US
2020-05-06,Midland,Michigan,92,7,US
2020-05-07,Midland,Michigan,93,8,US
2020-05-08,Midland,Michigan,96,8,US
2020-05-09,Midland,Michigan,97,8,US
2020-05-10,Midland,Michigan,98,8,US
2020-05-11,Midland,Michigan,99,8,US
2020-05-12,Midland,Michigan,100,8,US
2020-05-13,Midland,Michigan,100,8,US
2020-05-14,Midland,Michigan,100,8,US
2020-05-15,Midland,Michigan,102,8,US
2020-05-16,Midland,Michigan,103,8,US
2020-05-17,Midland,Michigan,103,8,US
2020-05-18,Midland,Michigan,104,8,US
2020-05-19,Midland,Michigan,110,8,US
2020-05-20,Midland,Michigan,111,8,US
2020-05-21,Midland,Michigan,113,8,US
2020-05-22,Midland,Michigan,116,8,US
2020-05-23,Midland,Michigan,116,8,US
2020-05-24,Midland,Michigan,116,8,US
2020-05-25,Midland,Michigan,116,8,US
2020-05-26,Midland,Michigan,116,8,US
2020-05-27,Midland,Michigan,117,8,US
2020-05-28,Midland,Michigan,118,8,US
2020-05-29,Midland,Michigan,118,8,US
2020-05-30,Midland,Michigan,120,8,US
2020-05-31,Midland,Michigan,121,8,US
2020-06-01,Midland,Michigan,121,8,US
2020-06-02,Midland,Michigan,121,8,US
