Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Miller,Missouri,0,0,US
2020-01-23,Miller,Missouri,0,0,US
2020-01-24,Miller,Missouri,0,0,US
2020-01-25,Miller,Missouri,0,0,US
2020-01-26,Miller,Missouri,0,0,US
2020-01-27,Miller,Missouri,0,0,US
2020-01-28,Miller,Missouri,0,0,US
2020-01-29,Miller,Missouri,0,0,US
2020-01-30,Miller,Missouri,0,0,US
2020-01-31,Miller,Missouri,0,0,US
2020-02-01,Miller,Missouri,0,0,US
2020-02-02,Miller,Missouri,0,0,US
2020-02-03,Miller,Missouri,0,0,US
2020-02-04,Miller,Missouri,0,0,US
2020-02-05,Miller,Missouri,0,0,US
2020-02-06,Miller,Missouri,0,0,US
2020-02-07,Miller,Missouri,0,0,US
2020-02-08,Miller,Missouri,0,0,US
2020-02-09,Miller,Missouri,0,0,US
2020-02-10,Miller,Missouri,0,0,US
2020-02-11,Miller,Missouri,0,0,US
2020-02-12,Miller,Missouri,0,0,US
2020-02-13,Miller,Missouri,0,0,US
2020-02-14,Miller,Missouri,0,0,US
2020-02-15,Miller,Missouri,0,0,US
2020-02-16,Miller,Missouri,0,0,US
2020-02-17,Miller,Missouri,0,0,US
2020-02-18,Miller,Missouri,0,0,US
2020-02-19,Miller,Missouri,0,0,US
2020-02-20,Miller,Missouri,0,0,US
2020-02-21,Miller,Missouri,0,0,US
2020-02-22,Miller,Missouri,0,0,US
2020-02-23,Miller,Missouri,0,0,US
2020-02-24,Miller,Missouri,0,0,US
2020-02-25,Miller,Missouri,0,0,US
2020-02-26,Miller,Missouri,0,0,US
2020-02-27,Miller,Missouri,0,0,US
2020-02-28,Miller,Missouri,0,0,US
2020-02-29,Miller,Missouri,0,0,US
2020-03-01,Miller,Missouri,0,0,US
2020-03-02,Miller,Missouri,0,0,US
2020-03-03,Miller,Missouri,0,0,US
2020-03-04,Miller,Missouri,0,0,US
2020-03-05,Miller,Missouri,0,0,US
2020-03-06,Miller,Missouri,0,0,US
2020-03-07,Miller,Missouri,0,0,US
2020-03-08,Miller,Missouri,0,0,US
2020-03-09,Miller,Missouri,0,0,US
2020-03-10,Miller,Missouri,0,0,US
2020-03-11,Miller,Missouri,0,0,US
2020-03-12,Miller,Missouri,0,0,US
2020-03-13,Miller,Missouri,0,0,US
2020-03-14,Miller,Missouri,0,0,US
2020-03-15,Miller,Missouri,0,0,US
2020-03-16,Miller,Missouri,0,0,US
2020-03-17,Miller,Missouri,0,0,US
2020-03-18,Miller,Missouri,0,0,US
2020-03-19,Miller,Missouri,0,0,US
2020-03-20,Miller,Missouri,0,0,US
2020-03-21,Miller,Missouri,0,0,US
2020-03-22,Miller,Missouri,0,0,US
2020-03-23,Miller,Missouri,0,0,US
2020-03-24,Miller,Missouri,0,0,US
2020-03-25,Miller,Missouri,0,0,US
2020-03-26,Miller,Missouri,0,0,US
2020-03-27,Miller,Missouri,0,0,US
2020-03-28,Miller,Missouri,0,0,US
2020-03-29,Miller,Missouri,0,0,US
2020-03-30,Miller,Missouri,0,0,US
2020-03-31,Miller,Missouri,0,0,US
2020-04-01,Miller,Missouri,0,0,US
2020-04-02,Miller,Missouri,0,0,US
2020-04-03,Miller,Missouri,0,0,US
2020-04-04,Miller,Missouri,0,0,US
2020-04-05,Miller,Missouri,0,0,US
2020-04-06,Miller,Missouri,0,0,US
2020-04-07,Miller,Missouri,0,0,US
2020-04-08,Miller,Missouri,0,0,US
2020-04-09,Miller,Missouri,0,0,US
2020-04-10,Miller,Missouri,0,0,US
2020-04-11,Miller,Missouri,0,0,US
2020-04-12,Miller,Missouri,0,0,US
2020-04-13,Miller,Missouri,0,0,US
2020-04-14,Miller,Missouri,0,0,US
2020-04-15,Miller,Missouri,0,0,US
2020-04-16,Miller,Missouri,0,0,US
2020-04-17,Miller,Missouri,1,0,US
2020-04-18,Miller,Missouri,1,0,US
2020-04-19,Miller,Missouri,1,0,US
2020-04-20,Miller,Missouri,1,0,US
2020-04-21,Miller,Missouri,1,0,US
2020-04-22,Miller,Missouri,1,0,US
2020-04-23,Miller,Missouri,1,0,US
2020-04-24,Miller,Missouri,1,0,US
2020-04-25,Miller,Missouri,1,0,US
2020-04-26,Miller,Missouri,1,0,US
2020-04-27,Miller,Missouri,1,0,US
2020-04-28,Miller,Missouri,1,0,US
2020-04-29,Miller,Missouri,1,0,US
2020-04-30,Miller,Missouri,1,0,US
2020-05-01,Miller,Missouri,1,0,US
2020-05-02,Miller,Missouri,2,0,US
2020-05-03,Miller,Missouri,2,0,US
2020-05-04,Miller,Missouri,2,0,US
2020-05-05,Miller,Missouri,2,0,US
2020-05-06,Miller,Missouri,2,0,US
2020-05-07,Miller,Missouri,3,0,US
2020-05-08,Miller,Missouri,3,0,US
2020-05-09,Miller,Missouri,3,0,US
2020-05-10,Miller,Missouri,3,0,US
2020-05-11,Miller,Missouri,3,0,US
2020-05-12,Miller,Missouri,4,0,US
2020-05-13,Miller,Missouri,4,0,US
2020-05-14,Miller,Missouri,4,0,US
2020-05-15,Miller,Missouri,4,0,US
2020-05-16,Miller,Missouri,4,0,US
2020-05-17,Miller,Missouri,4,0,US
2020-05-18,Miller,Missouri,4,0,US
2020-05-19,Miller,Missouri,4,0,US
2020-05-20,Miller,Missouri,4,0,US
2020-05-21,Miller,Missouri,4,0,US
2020-05-22,Miller,Missouri,4,0,US
2020-05-23,Miller,Missouri,4,0,US
2020-05-24,Miller,Missouri,4,0,US
2020-05-25,Miller,Missouri,4,0,US
2020-05-26,Miller,Missouri,4,0,US
2020-05-27,Miller,Missouri,4,0,US
2020-05-28,Miller,Missouri,4,0,US
2020-05-29,Miller,Missouri,4,0,US
2020-05-30,Miller,Missouri,4,0,US
2020-05-31,Miller,Missouri,4,0,US
2020-06-01,Miller,Missouri,4,0,US
2020-06-02,Miller,Missouri,4,0,US
2020-06-03,Miller,Missouri,4,0,US
2020-06-04,Miller,Missouri,4,0,US
2020-06-05,Miller,Missouri,4,0,US
2020-06-06,Miller,Missouri,4,0,US
2020-06-07,Miller,Missouri,4,0,US
2020-06-08,Miller,Missouri,4,0,US
2020-06-09,Miller,Missouri,4,0,US
2020-06-10,Miller,Missouri,5,0,US
2020-06-11,Miller,Missouri,5,0,US
2020-06-12,Miller,Missouri,4,0,US
2020-06-13,Miller,Missouri,4,0,US
2020-06-14,Miller,Missouri,4,0,US
2020-06-15,Miller,Missouri,6,0,US
2020-06-16,Miller,Missouri,7,0,US
2020-06-17,Miller,Missouri,7,0,US
2020-06-18,Miller,Missouri,8,0,US
2020-06-19,Miller,Missouri,8,0,US
2020-06-20,Miller,Missouri,10,0,US
2020-06-21,Miller,Missouri,10,0,US
2020-06-22,Miller,Missouri,11,0,US
2020-06-23,Miller,Missouri,11,0,US
2020-06-24,Miller,Missouri,11,0,US
2020-06-25,Miller,Missouri,11,0,US
2020-06-26,Miller,Missouri,12,0,US
2020-06-27,Miller,Missouri,12,0,US
2020-06-28,Miller,Missouri,12,0,US
2020-06-29,Miller,Missouri,14,0,US
2020-06-30,Miller,Missouri,15,0,US
2020-07-01,Miller,Missouri,15,0,US
2020-07-02,Miller,Missouri,17,0,US
2020-07-03,Miller,Missouri,19,0,US
2020-07-04,Miller,Missouri,19,0,US
2020-07-05,Miller,Missouri,19,0,US
2020-07-06,Miller,Missouri,19,0,US
2020-07-07,Miller,Missouri,20,0,US
2020-07-08,Miller,Missouri,22,0,US
2020-07-09,Miller,Missouri,22,0,US
2020-07-10,Miller,Missouri,23,0,US
2020-07-11,Miller,Missouri,24,0,US
2020-07-12,Miller,Missouri,24,0,US
2020-07-13,Miller,Missouri,25,0,US
2020-07-14,Miller,Missouri,28,0,US
2020-07-15,Miller,Missouri,29,0,US
2020-07-16,Miller,Missouri,31,0,US
2020-07-17,Miller,Missouri,35,0,US
2020-07-18,Miller,Missouri,41,0,US
