Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mingo,West Virginia,0,0,US
2020-01-23,Mingo,West Virginia,0,0,US
2020-01-24,Mingo,West Virginia,0,0,US
2020-01-25,Mingo,West Virginia,0,0,US
2020-01-26,Mingo,West Virginia,0,0,US
2020-01-27,Mingo,West Virginia,0,0,US
2020-01-28,Mingo,West Virginia,0,0,US
2020-01-29,Mingo,West Virginia,0,0,US
2020-01-30,Mingo,West Virginia,0,0,US
2020-01-31,Mingo,West Virginia,0,0,US
2020-02-01,Mingo,West Virginia,0,0,US
2020-02-02,Mingo,West Virginia,0,0,US
2020-02-03,Mingo,West Virginia,0,0,US
2020-02-04,Mingo,West Virginia,0,0,US
2020-02-05,Mingo,West Virginia,0,0,US
2020-02-06,Mingo,West Virginia,0,0,US
2020-02-07,Mingo,West Virginia,0,0,US
2020-02-08,Mingo,West Virginia,0,0,US
2020-02-09,Mingo,West Virginia,0,0,US
2020-02-10,Mingo,West Virginia,0,0,US
2020-02-11,Mingo,West Virginia,0,0,US
2020-02-12,Mingo,West Virginia,0,0,US
2020-02-13,Mingo,West Virginia,0,0,US
2020-02-14,Mingo,West Virginia,0,0,US
2020-02-15,Mingo,West Virginia,0,0,US
2020-02-16,Mingo,West Virginia,0,0,US
2020-02-17,Mingo,West Virginia,0,0,US
2020-02-18,Mingo,West Virginia,0,0,US
2020-02-19,Mingo,West Virginia,0,0,US
2020-02-20,Mingo,West Virginia,0,0,US
2020-02-21,Mingo,West Virginia,0,0,US
2020-02-22,Mingo,West Virginia,0,0,US
2020-02-23,Mingo,West Virginia,0,0,US
2020-02-24,Mingo,West Virginia,0,0,US
2020-02-25,Mingo,West Virginia,0,0,US
2020-02-26,Mingo,West Virginia,0,0,US
2020-02-27,Mingo,West Virginia,0,0,US
2020-02-28,Mingo,West Virginia,0,0,US
2020-02-29,Mingo,West Virginia,0,0,US
2020-03-01,Mingo,West Virginia,0,0,US
2020-03-02,Mingo,West Virginia,0,0,US
2020-03-03,Mingo,West Virginia,0,0,US
2020-03-04,Mingo,West Virginia,0,0,US
2020-03-05,Mingo,West Virginia,0,0,US
2020-03-06,Mingo,West Virginia,0,0,US
2020-03-07,Mingo,West Virginia,0,0,US
2020-03-08,Mingo,West Virginia,0,0,US
2020-03-09,Mingo,West Virginia,0,0,US
2020-03-10,Mingo,West Virginia,0,0,US
2020-03-11,Mingo,West Virginia,0,0,US
2020-03-12,Mingo,West Virginia,0,0,US
2020-03-13,Mingo,West Virginia,0,0,US
2020-03-14,Mingo,West Virginia,0,0,US
2020-03-15,Mingo,West Virginia,0,0,US
2020-03-16,Mingo,West Virginia,0,0,US
2020-03-17,Mingo,West Virginia,0,0,US
2020-03-18,Mingo,West Virginia,0,0,US
2020-03-19,Mingo,West Virginia,0,0,US
2020-03-20,Mingo,West Virginia,0,0,US
2020-03-21,Mingo,West Virginia,0,0,US
2020-03-22,Mingo,West Virginia,0,0,US
2020-03-23,Mingo,West Virginia,0,0,US
2020-03-24,Mingo,West Virginia,0,0,US
2020-03-25,Mingo,West Virginia,0,0,US
2020-03-26,Mingo,West Virginia,0,0,US
2020-03-27,Mingo,West Virginia,0,0,US
2020-03-28,Mingo,West Virginia,0,0,US
2020-03-29,Mingo,West Virginia,0,0,US
2020-03-30,Mingo,West Virginia,0,0,US
2020-03-31,Mingo,West Virginia,0,0,US
2020-04-01,Mingo,West Virginia,0,0,US
2020-04-02,Mingo,West Virginia,0,0,US
2020-04-03,Mingo,West Virginia,0,0,US
2020-04-04,Mingo,West Virginia,0,0,US
2020-04-05,Mingo,West Virginia,0,0,US
2020-04-06,Mingo,West Virginia,0,0,US
2020-04-07,Mingo,West Virginia,0,0,US
2020-04-08,Mingo,West Virginia,0,0,US
2020-04-09,Mingo,West Virginia,0,0,US
2020-04-10,Mingo,West Virginia,0,0,US
2020-04-11,Mingo,West Virginia,0,0,US
2020-04-12,Mingo,West Virginia,0,0,US
2020-04-13,Mingo,West Virginia,1,0,US
2020-04-14,Mingo,West Virginia,1,0,US
2020-04-15,Mingo,West Virginia,1,0,US
2020-04-16,Mingo,West Virginia,1,0,US
2020-04-17,Mingo,West Virginia,2,0,US
