Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Minidoka,Idaho,0,0,US
2020-01-23,Minidoka,Idaho,0,0,US
2020-01-24,Minidoka,Idaho,0,0,US
2020-01-25,Minidoka,Idaho,0,0,US
2020-01-26,Minidoka,Idaho,0,0,US
2020-01-27,Minidoka,Idaho,0,0,US
2020-01-28,Minidoka,Idaho,0,0,US
2020-01-29,Minidoka,Idaho,0,0,US
2020-01-30,Minidoka,Idaho,0,0,US
2020-01-31,Minidoka,Idaho,0,0,US
2020-02-01,Minidoka,Idaho,0,0,US
2020-02-02,Minidoka,Idaho,0,0,US
2020-02-03,Minidoka,Idaho,0,0,US
2020-02-04,Minidoka,Idaho,0,0,US
2020-02-05,Minidoka,Idaho,0,0,US
2020-02-06,Minidoka,Idaho,0,0,US
2020-02-07,Minidoka,Idaho,0,0,US
2020-02-08,Minidoka,Idaho,0,0,US
2020-02-09,Minidoka,Idaho,0,0,US
2020-02-10,Minidoka,Idaho,0,0,US
2020-02-11,Minidoka,Idaho,0,0,US
2020-02-12,Minidoka,Idaho,0,0,US
2020-02-13,Minidoka,Idaho,0,0,US
2020-02-14,Minidoka,Idaho,0,0,US
2020-02-15,Minidoka,Idaho,0,0,US
2020-02-16,Minidoka,Idaho,0,0,US
2020-02-17,Minidoka,Idaho,0,0,US
2020-02-18,Minidoka,Idaho,0,0,US
2020-02-19,Minidoka,Idaho,0,0,US
2020-02-20,Minidoka,Idaho,0,0,US
2020-02-21,Minidoka,Idaho,0,0,US
2020-02-22,Minidoka,Idaho,0,0,US
2020-02-23,Minidoka,Idaho,0,0,US
2020-02-24,Minidoka,Idaho,0,0,US
2020-02-25,Minidoka,Idaho,0,0,US
2020-02-26,Minidoka,Idaho,0,0,US
2020-02-27,Minidoka,Idaho,0,0,US
2020-02-28,Minidoka,Idaho,0,0,US
2020-02-29,Minidoka,Idaho,0,0,US
2020-03-01,Minidoka,Idaho,0,0,US
2020-03-02,Minidoka,Idaho,0,0,US
2020-03-03,Minidoka,Idaho,0,0,US
2020-03-04,Minidoka,Idaho,0,0,US
2020-03-05,Minidoka,Idaho,0,0,US
2020-03-06,Minidoka,Idaho,0,0,US
2020-03-07,Minidoka,Idaho,0,0,US
2020-03-08,Minidoka,Idaho,0,0,US
2020-03-09,Minidoka,Idaho,0,0,US
2020-03-10,Minidoka,Idaho,0,0,US
2020-03-11,Minidoka,Idaho,0,0,US
2020-03-12,Minidoka,Idaho,0,0,US
2020-03-13,Minidoka,Idaho,0,0,US
2020-03-14,Minidoka,Idaho,0,0,US
2020-03-15,Minidoka,Idaho,0,0,US
2020-03-16,Minidoka,Idaho,0,0,US
2020-03-17,Minidoka,Idaho,0,0,US
2020-03-18,Minidoka,Idaho,0,0,US
2020-03-19,Minidoka,Idaho,0,0,US
2020-03-20,Minidoka,Idaho,0,0,US
2020-03-21,Minidoka,Idaho,0,0,US
2020-03-22,Minidoka,Idaho,0,0,US
2020-03-23,Minidoka,Idaho,0,0,US
2020-03-24,Minidoka,Idaho,0,0,US
2020-03-25,Minidoka,Idaho,0,0,US
2020-03-26,Minidoka,Idaho,0,0,US
2020-03-27,Minidoka,Idaho,0,0,US
2020-03-28,Minidoka,Idaho,0,0,US
2020-03-29,Minidoka,Idaho,0,0,US
2020-03-30,Minidoka,Idaho,0,0,US
2020-03-31,Minidoka,Idaho,1,0,US
2020-04-01,Minidoka,Idaho,1,0,US
2020-04-02,Minidoka,Idaho,1,0,US
2020-04-03,Minidoka,Idaho,1,0,US
2020-04-04,Minidoka,Idaho,1,0,US
2020-04-05,Minidoka,Idaho,1,0,US
2020-04-06,Minidoka,Idaho,3,0,US
2020-04-07,Minidoka,Idaho,3,0,US
2020-04-08,Minidoka,Idaho,3,0,US
2020-04-09,Minidoka,Idaho,3,0,US
2020-04-10,Minidoka,Idaho,4,0,US
2020-04-11,Minidoka,Idaho,4,0,US
2020-04-12,Minidoka,Idaho,4,0,US
2020-04-13,Minidoka,Idaho,5,0,US
2020-04-14,Minidoka,Idaho,6,0,US
2020-04-15,Minidoka,Idaho,6,0,US
2020-04-16,Minidoka,Idaho,9,0,US
2020-04-17,Minidoka,Idaho,9,0,US
2020-04-18,Minidoka,Idaho,10,0,US
2020-04-19,Minidoka,Idaho,10,0,US
2020-04-20,Minidoka,Idaho,10,0,US
2020-04-21,Minidoka,Idaho,10,0,US
2020-04-22,Minidoka,Idaho,10,0,US
2020-04-23,Minidoka,Idaho,10,0,US
2020-04-24,Minidoka,Idaho,10,0,US
2020-04-25,Minidoka,Idaho,10,0,US
2020-04-26,Minidoka,Idaho,10,0,US
2020-04-27,Minidoka,Idaho,10,0,US
2020-04-28,Minidoka,Idaho,11,0,US
2020-04-29,Minidoka,Idaho,11,0,US
2020-04-30,Minidoka,Idaho,11,0,US
2020-05-01,Minidoka,Idaho,11,0,US
2020-05-02,Minidoka,Idaho,11,0,US
2020-05-03,Minidoka,Idaho,11,0,US
2020-05-04,Minidoka,Idaho,11,0,US
2020-05-05,Minidoka,Idaho,11,0,US
2020-05-06,Minidoka,Idaho,11,0,US
2020-05-07,Minidoka,Idaho,11,0,US
2020-05-08,Minidoka,Idaho,11,0,US
2020-05-09,Minidoka,Idaho,11,0,US
2020-05-10,Minidoka,Idaho,11,0,US
2020-05-11,Minidoka,Idaho,11,0,US
2020-05-12,Minidoka,Idaho,12,0,US
2020-05-13,Minidoka,Idaho,12,0,US
2020-05-14,Minidoka,Idaho,15,0,US
2020-05-15,Minidoka,Idaho,15,0,US
2020-05-16,Minidoka,Idaho,15,0,US
2020-05-17,Minidoka,Idaho,15,0,US
2020-05-18,Minidoka,Idaho,15,0,US
2020-05-19,Minidoka,Idaho,15,0,US
2020-05-20,Minidoka,Idaho,20,0,US
2020-05-21,Minidoka,Idaho,20,0,US
2020-05-22,Minidoka,Idaho,26,0,US
2020-05-23,Minidoka,Idaho,26,0,US
2020-05-24,Minidoka,Idaho,29,0,US
2020-05-25,Minidoka,Idaho,29,0,US
2020-05-26,Minidoka,Idaho,29,0,US
2020-05-27,Minidoka,Idaho,40,0,US
2020-05-28,Minidoka,Idaho,45,0,US
2020-05-29,Minidoka,Idaho,45,0,US
2020-05-30,Minidoka,Idaho,46,0,US
2020-05-31,Minidoka,Idaho,50,0,US
2020-06-01,Minidoka,Idaho,50,0,US
2020-06-02,Minidoka,Idaho,58,0,US
2020-06-03,Minidoka,Idaho,58,0,US
2020-06-04,Minidoka,Idaho,61,0,US
2020-06-05,Minidoka,Idaho,71,0,US
2020-06-06,Minidoka,Idaho,72,0,US
2020-06-07,Minidoka,Idaho,72,0,US
2020-06-08,Minidoka,Idaho,78,0,US
2020-06-09,Minidoka,Idaho,80,0,US
2020-06-10,Minidoka,Idaho,85,0,US
2020-06-11,Minidoka,Idaho,85,0,US
2020-06-12,Minidoka,Idaho,98,0,US
2020-06-13,Minidoka,Idaho,98,0,US
2020-06-14,Minidoka,Idaho,101,0,US
2020-06-15,Minidoka,Idaho,101,0,US
2020-06-16,Minidoka,Idaho,103,0,US
2020-06-17,Minidoka,Idaho,109,0,US
2020-06-18,Minidoka,Idaho,113,0,US
2020-06-19,Minidoka,Idaho,115,0,US
2020-06-20,Minidoka,Idaho,115,0,US
2020-06-21,Minidoka,Idaho,115,0,US
2020-06-22,Minidoka,Idaho,124,0,US
2020-06-23,Minidoka,Idaho,124,0,US
2020-06-24,Minidoka,Idaho,130,0,US
2020-06-25,Minidoka,Idaho,138,0,US
2020-06-26,Minidoka,Idaho,138,0,US
2020-06-27,Minidoka,Idaho,153,0,US
2020-06-28,Minidoka,Idaho,153,0,US
2020-06-29,Minidoka,Idaho,175,0,US
2020-06-30,Minidoka,Idaho,185,0,US
2020-07-01,Minidoka,Idaho,188,0,US
2020-07-02,Minidoka,Idaho,201,0,US
2020-07-03,Minidoka,Idaho,201,0,US
2020-07-04,Minidoka,Idaho,202,0,US
2020-07-05,Minidoka,Idaho,208,0,US
2020-07-06,Minidoka,Idaho,222,0,US
2020-07-07,Minidoka,Idaho,227,0,US
2020-07-08,Minidoka,Idaho,238,0,US
2020-07-09,Minidoka,Idaho,250,0,US
2020-07-10,Minidoka,Idaho,253,0,US
2020-07-11,Minidoka,Idaho,264,0,US
2020-07-12,Minidoka,Idaho,264,0,US
2020-07-13,Minidoka,Idaho,277,0,US
2020-07-14,Minidoka,Idaho,281,0,US
2020-07-15,Minidoka,Idaho,286,0,US
2020-07-16,Minidoka,Idaho,288,0,US
2020-07-17,Minidoka,Idaho,293,0,US
2020-07-18,Minidoka,Idaho,300,0,US
2020-07-19,Minidoka,Idaho,308,0,US
2020-07-20,Minidoka,Idaho,317,1,US
2020-07-21,Minidoka,Idaho,325,1,US
2020-07-22,Minidoka,Idaho,328,1,US
2020-07-23,Minidoka,Idaho,334,1,US
2020-07-24,Minidoka,Idaho,355,1,US
