Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Missoula,Montana,0,0,US
2020-01-23,Missoula,Montana,0,0,US
2020-01-24,Missoula,Montana,0,0,US
2020-01-25,Missoula,Montana,0,0,US
2020-01-26,Missoula,Montana,0,0,US
2020-01-27,Missoula,Montana,0,0,US
2020-01-28,Missoula,Montana,0,0,US
2020-01-29,Missoula,Montana,0,0,US
2020-01-30,Missoula,Montana,0,0,US
2020-01-31,Missoula,Montana,0,0,US
2020-02-01,Missoula,Montana,0,0,US
2020-02-02,Missoula,Montana,0,0,US
2020-02-03,Missoula,Montana,0,0,US
2020-02-04,Missoula,Montana,0,0,US
2020-02-05,Missoula,Montana,0,0,US
2020-02-06,Missoula,Montana,0,0,US
2020-02-07,Missoula,Montana,0,0,US
2020-02-08,Missoula,Montana,0,0,US
2020-02-09,Missoula,Montana,0,0,US
2020-02-10,Missoula,Montana,0,0,US
2020-02-11,Missoula,Montana,0,0,US
2020-02-12,Missoula,Montana,0,0,US
2020-02-13,Missoula,Montana,0,0,US
2020-02-14,Missoula,Montana,0,0,US
2020-02-15,Missoula,Montana,0,0,US
2020-02-16,Missoula,Montana,0,0,US
2020-02-17,Missoula,Montana,0,0,US
2020-02-18,Missoula,Montana,0,0,US
2020-02-19,Missoula,Montana,0,0,US
2020-02-20,Missoula,Montana,0,0,US
2020-02-21,Missoula,Montana,0,0,US
2020-02-22,Missoula,Montana,0,0,US
2020-02-23,Missoula,Montana,0,0,US
2020-02-24,Missoula,Montana,0,0,US
2020-02-25,Missoula,Montana,0,0,US
2020-02-26,Missoula,Montana,0,0,US
2020-02-27,Missoula,Montana,0,0,US
2020-02-28,Missoula,Montana,0,0,US
2020-02-29,Missoula,Montana,0,0,US
2020-03-01,Missoula,Montana,0,0,US
2020-03-02,Missoula,Montana,0,0,US
2020-03-03,Missoula,Montana,0,0,US
2020-03-04,Missoula,Montana,0,0,US
2020-03-05,Missoula,Montana,0,0,US
2020-03-06,Missoula,Montana,0,0,US
2020-03-07,Missoula,Montana,0,0,US
2020-03-08,Missoula,Montana,0,0,US
2020-03-09,Missoula,Montana,0,0,US
2020-03-10,Missoula,Montana,0,0,US
2020-03-11,Missoula,Montana,0,0,US
2020-03-12,Missoula,Montana,0,0,US
2020-03-13,Missoula,Montana,0,0,US
2020-03-14,Missoula,Montana,0,0,US
2020-03-15,Missoula,Montana,2,0,US
2020-03-16,Missoula,Montana,2,0,US
2020-03-17,Missoula,Montana,3,0,US
2020-03-18,Missoula,Montana,3,0,US
2020-03-19,Missoula,Montana,3,0,US
2020-03-20,Missoula,Montana,3,0,US
2020-03-21,Missoula,Montana,3,0,US
2020-03-22,Missoula,Montana,3,0,US
2020-03-23,Missoula,Montana,3,0,US
2020-03-24,Missoula,Montana,6,0,US
2020-03-25,Missoula,Montana,6,0,US
2020-03-26,Missoula,Montana,7,0,US
2020-03-27,Missoula,Montana,8,0,US
2020-03-28,Missoula,Montana,9,0,US
2020-03-29,Missoula,Montana,11,0,US
2020-03-30,Missoula,Montana,12,0,US
2020-03-31,Missoula,Montana,14,0,US
2020-04-01,Missoula,Montana,14,0,US
2020-04-02,Missoula,Montana,17,0,US
2020-04-03,Missoula,Montana,17,0,US
2020-04-04,Missoula,Montana,18,1,US
2020-04-05,Missoula,Montana,19,1,US
2020-04-06,Missoula,Montana,21,1,US
2020-04-07,Missoula,Montana,24,1,US
2020-04-08,Missoula,Montana,25,1,US
2020-04-09,Missoula,Montana,26,1,US
2020-04-10,Missoula,Montana,26,1,US
2020-04-11,Missoula,Montana,29,1,US
2020-04-12,Missoula,Montana,30,1,US
2020-04-13,Missoula,Montana,30,1,US
2020-04-14,Missoula,Montana,30,1,US
2020-04-15,Missoula,Montana,30,1,US
2020-04-16,Missoula,Montana,33,1,US
2020-04-17,Missoula,Montana,34,1,US
2020-04-18,Missoula,Montana,35,1,US
2020-04-19,Missoula,Montana,38,1,US
2020-04-20,Missoula,Montana,38,1,US
2020-04-21,Missoula,Montana,38,1,US
2020-04-22,Missoula,Montana,39,1,US
2020-04-23,Missoula,Montana,39,1,US
2020-04-24,Missoula,Montana,39,1,US
2020-04-25,Missoula,Montana,39,1,US
2020-04-26,Missoula,Montana,39,1,US
2020-04-27,Missoula,Montana,39,1,US
2020-04-28,Missoula,Montana,39,1,US
2020-04-29,Missoula,Montana,39,1,US
2020-04-30,Missoula,Montana,39,1,US
2020-05-01,Missoula,Montana,39,1,US
2020-05-02,Missoula,Montana,39,1,US
2020-05-03,Missoula,Montana,39,1,US
2020-05-04,Missoula,Montana,39,1,US
2020-05-05,Missoula,Montana,39,1,US
2020-05-06,Missoula,Montana,39,1,US
2020-05-07,Missoula,Montana,39,1,US
2020-05-08,Missoula,Montana,39,1,US
2020-05-09,Missoula,Montana,39,1,US
2020-05-10,Missoula,Montana,39,1,US
2020-05-11,Missoula,Montana,39,1,US
2020-05-12,Missoula,Montana,39,1,US
2020-05-13,Missoula,Montana,39,1,US
2020-05-14,Missoula,Montana,39,1,US
2020-05-15,Missoula,Montana,39,1,US
2020-05-16,Missoula,Montana,39,1,US
2020-05-17,Missoula,Montana,39,1,US
2020-05-18,Missoula,Montana,39,1,US
2020-05-19,Missoula,Montana,39,1,US
2020-05-20,Missoula,Montana,39,1,US
2020-05-21,Missoula,Montana,39,1,US
2020-05-22,Missoula,Montana,39,1,US
2020-05-23,Missoula,Montana,39,1,US
2020-05-24,Missoula,Montana,39,1,US
2020-05-25,Missoula,Montana,39,1,US
2020-05-26,Missoula,Montana,39,1,US
2020-05-27,Missoula,Montana,39,1,US
2020-05-28,Missoula,Montana,39,1,US
2020-05-29,Missoula,Montana,40,1,US
2020-05-30,Missoula,Montana,40,1,US
2020-05-31,Missoula,Montana,40,1,US
2020-06-01,Missoula,Montana,40,1,US
2020-06-02,Missoula,Montana,40,1,US
2020-06-03,Missoula,Montana,40,1,US
2020-06-04,Missoula,Montana,40,1,US
2020-06-05,Missoula,Montana,40,1,US
2020-06-06,Missoula,Montana,40,1,US
2020-06-07,Missoula,Montana,40,1,US
2020-06-08,Missoula,Montana,40,1,US
2020-06-09,Missoula,Montana,40,1,US
2020-06-10,Missoula,Montana,39,1,US
2020-06-11,Missoula,Montana,39,1,US
2020-06-12,Missoula,Montana,39,1,US
2020-06-13,Missoula,Montana,40,1,US
2020-06-14,Missoula,Montana,40,1,US
2020-06-15,Missoula,Montana,40,1,US
2020-06-16,Missoula,Montana,42,1,US
2020-06-17,Missoula,Montana,44,1,US
2020-06-18,Missoula,Montana,46,1,US
2020-06-19,Missoula,Montana,46,1,US
2020-06-20,Missoula,Montana,48,1,US
2020-06-21,Missoula,Montana,49,1,US
2020-06-22,Missoula,Montana,49,1,US
2020-06-23,Missoula,Montana,49,1,US
2020-06-24,Missoula,Montana,54,1,US
2020-06-25,Missoula,Montana,58,1,US
2020-06-26,Missoula,Montana,63,1,US
2020-06-27,Missoula,Montana,66,1,US
2020-06-28,Missoula,Montana,66,1,US
