Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mitchell,Kansas,0,0,US
2020-01-23,Mitchell,Kansas,0,0,US
2020-01-24,Mitchell,Kansas,0,0,US
2020-01-25,Mitchell,Kansas,0,0,US
2020-01-26,Mitchell,Kansas,0,0,US
2020-01-27,Mitchell,Kansas,0,0,US
2020-01-28,Mitchell,Kansas,0,0,US
2020-01-29,Mitchell,Kansas,0,0,US
2020-01-30,Mitchell,Kansas,0,0,US
2020-01-31,Mitchell,Kansas,0,0,US
2020-02-01,Mitchell,Kansas,0,0,US
2020-02-02,Mitchell,Kansas,0,0,US
2020-02-03,Mitchell,Kansas,0,0,US
2020-02-04,Mitchell,Kansas,0,0,US
2020-02-05,Mitchell,Kansas,0,0,US
2020-02-06,Mitchell,Kansas,0,0,US
2020-02-07,Mitchell,Kansas,0,0,US
2020-02-08,Mitchell,Kansas,0,0,US
2020-02-09,Mitchell,Kansas,0,0,US
2020-02-10,Mitchell,Kansas,0,0,US
2020-02-11,Mitchell,Kansas,0,0,US
2020-02-12,Mitchell,Kansas,0,0,US
2020-02-13,Mitchell,Kansas,0,0,US
2020-02-14,Mitchell,Kansas,0,0,US
2020-02-15,Mitchell,Kansas,0,0,US
2020-02-16,Mitchell,Kansas,0,0,US
2020-02-17,Mitchell,Kansas,0,0,US
2020-02-18,Mitchell,Kansas,0,0,US
2020-02-19,Mitchell,Kansas,0,0,US
2020-02-20,Mitchell,Kansas,0,0,US
2020-02-21,Mitchell,Kansas,0,0,US
2020-02-22,Mitchell,Kansas,0,0,US
2020-02-23,Mitchell,Kansas,0,0,US
2020-02-24,Mitchell,Kansas,0,0,US
2020-02-25,Mitchell,Kansas,0,0,US
2020-02-26,Mitchell,Kansas,0,0,US
2020-02-27,Mitchell,Kansas,0,0,US
2020-02-28,Mitchell,Kansas,0,0,US
2020-02-29,Mitchell,Kansas,0,0,US
2020-03-01,Mitchell,Kansas,0,0,US
2020-03-02,Mitchell,Kansas,0,0,US
2020-03-03,Mitchell,Kansas,0,0,US
2020-03-04,Mitchell,Kansas,0,0,US
2020-03-05,Mitchell,Kansas,0,0,US
2020-03-06,Mitchell,Kansas,0,0,US
2020-03-07,Mitchell,Kansas,0,0,US
2020-03-08,Mitchell,Kansas,0,0,US
2020-03-09,Mitchell,Kansas,0,0,US
2020-03-10,Mitchell,Kansas,0,0,US
2020-03-11,Mitchell,Kansas,0,0,US
2020-03-12,Mitchell,Kansas,0,0,US
2020-03-13,Mitchell,Kansas,0,0,US
2020-03-14,Mitchell,Kansas,0,0,US
2020-03-15,Mitchell,Kansas,0,0,US
2020-03-16,Mitchell,Kansas,0,0,US
2020-03-17,Mitchell,Kansas,0,0,US
2020-03-18,Mitchell,Kansas,0,0,US
2020-03-19,Mitchell,Kansas,0,0,US
2020-03-20,Mitchell,Kansas,0,0,US
2020-03-21,Mitchell,Kansas,1,0,US
2020-03-22,Mitchell,Kansas,1,0,US
2020-03-23,Mitchell,Kansas,2,0,US
2020-03-24,Mitchell,Kansas,1,0,US
2020-03-25,Mitchell,Kansas,2,0,US
2020-03-26,Mitchell,Kansas,2,0,US
2020-03-27,Mitchell,Kansas,2,0,US
2020-03-28,Mitchell,Kansas,2,0,US
2020-03-29,Mitchell,Kansas,2,0,US
2020-03-30,Mitchell,Kansas,2,0,US
2020-03-31,Mitchell,Kansas,2,0,US
2020-04-01,Mitchell,Kansas,2,0,US
2020-04-02,Mitchell,Kansas,2,0,US
2020-04-03,Mitchell,Kansas,2,0,US
2020-04-04,Mitchell,Kansas,2,0,US
2020-04-05,Mitchell,Kansas,2,0,US
2020-04-06,Mitchell,Kansas,2,0,US
2020-04-07,Mitchell,Kansas,2,0,US
2020-04-08,Mitchell,Kansas,2,0,US
2020-04-09,Mitchell,Kansas,2,0,US
2020-04-10,Mitchell,Kansas,2,0,US
2020-04-11,Mitchell,Kansas,2,0,US
2020-04-12,Mitchell,Kansas,2,0,US
2020-04-13,Mitchell,Kansas,2,0,US
2020-04-14,Mitchell,Kansas,2,0,US
2020-04-15,Mitchell,Kansas,2,0,US
2020-04-16,Mitchell,Kansas,2,0,US
2020-04-17,Mitchell,Kansas,2,0,US
2020-04-18,Mitchell,Kansas,2,0,US
2020-04-19,Mitchell,Kansas,2,0,US
2020-04-20,Mitchell,Kansas,2,0,US
2020-04-21,Mitchell,Kansas,2,0,US
2020-04-22,Mitchell,Kansas,2,0,US
2020-04-23,Mitchell,Kansas,2,0,US
2020-04-24,Mitchell,Kansas,2,0,US
2020-04-25,Mitchell,Kansas,2,0,US
2020-04-26,Mitchell,Kansas,2,0,US
2020-04-27,Mitchell,Kansas,2,0,US
2020-04-28,Mitchell,Kansas,2,0,US
2020-04-29,Mitchell,Kansas,3,0,US
2020-04-30,Mitchell,Kansas,3,0,US
2020-05-01,Mitchell,Kansas,3,0,US
2020-05-02,Mitchell,Kansas,3,0,US
2020-05-03,Mitchell,Kansas,3,0,US
2020-05-04,Mitchell,Kansas,3,0,US
2020-05-05,Mitchell,Kansas,3,0,US
2020-05-06,Mitchell,Kansas,3,0,US
2020-05-07,Mitchell,Kansas,3,0,US
2020-05-08,Mitchell,Kansas,3,0,US
2020-05-09,Mitchell,Kansas,3,0,US
2020-05-10,Mitchell,Kansas,3,0,US
2020-05-11,Mitchell,Kansas,3,0,US
2020-05-12,Mitchell,Kansas,3,0,US
2020-05-13,Mitchell,Kansas,3,0,US
2020-05-14,Mitchell,Kansas,3,0,US
2020-05-15,Mitchell,Kansas,3,0,US
2020-05-16,Mitchell,Kansas,3,0,US
2020-05-17,Mitchell,Kansas,3,0,US
2020-05-18,Mitchell,Kansas,3,0,US
2020-05-19,Mitchell,Kansas,3,0,US
2020-05-20,Mitchell,Kansas,3,0,US
2020-05-21,Mitchell,Kansas,3,0,US
2020-05-22,Mitchell,Kansas,3,0,US
2020-05-23,Mitchell,Kansas,3,0,US
2020-05-24,Mitchell,Kansas,3,0,US
2020-05-25,Mitchell,Kansas,3,0,US
2020-05-26,Mitchell,Kansas,3,0,US
2020-05-27,Mitchell,Kansas,3,0,US
2020-05-28,Mitchell,Kansas,3,0,US
2020-05-29,Mitchell,Kansas,4,0,US
2020-05-30,Mitchell,Kansas,4,0,US
2020-05-31,Mitchell,Kansas,4,0,US
2020-06-01,Mitchell,Kansas,4,0,US
2020-06-02,Mitchell,Kansas,4,0,US
2020-06-03,Mitchell,Kansas,4,0,US
2020-06-04,Mitchell,Kansas,4,0,US
2020-06-05,Mitchell,Kansas,4,0,US
2020-06-06,Mitchell,Kansas,4,0,US
2020-06-07,Mitchell,Kansas,4,0,US
2020-06-08,Mitchell,Kansas,4,0,US
2020-06-09,Mitchell,Kansas,4,0,US
2020-06-10,Mitchell,Kansas,4,0,US
2020-06-11,Mitchell,Kansas,4,0,US
2020-06-12,Mitchell,Kansas,4,0,US
2020-06-13,Mitchell,Kansas,4,0,US
2020-06-14,Mitchell,Kansas,4,0,US
2020-06-15,Mitchell,Kansas,4,0,US
2020-06-16,Mitchell,Kansas,4,0,US
2020-06-17,Mitchell,Kansas,4,0,US
2020-06-18,Mitchell,Kansas,4,0,US
2020-06-19,Mitchell,Kansas,4,0,US
2020-06-20,Mitchell,Kansas,4,0,US
2020-06-21,Mitchell,Kansas,4,0,US
2020-06-22,Mitchell,Kansas,4,0,US
2020-06-23,Mitchell,Kansas,4,0,US
2020-06-24,Mitchell,Kansas,4,0,US
2020-06-25,Mitchell,Kansas,4,0,US
2020-06-26,Mitchell,Kansas,4,0,US
2020-06-27,Mitchell,Kansas,4,0,US
2020-06-28,Mitchell,Kansas,4,0,US
2020-06-29,Mitchell,Kansas,4,0,US
2020-06-30,Mitchell,Kansas,4,0,US
2020-07-01,Mitchell,Kansas,4,0,US
2020-07-02,Mitchell,Kansas,4,0,US
2020-07-03,Mitchell,Kansas,4,0,US
2020-07-04,Mitchell,Kansas,4,0,US
2020-07-05,Mitchell,Kansas,4,0,US
2020-07-06,Mitchell,Kansas,4,0,US
2020-07-07,Mitchell,Kansas,4,0,US
2020-07-08,Mitchell,Kansas,5,0,US
2020-07-09,Mitchell,Kansas,5,0,US
2020-07-10,Mitchell,Kansas,11,0,US
2020-07-11,Mitchell,Kansas,11,0,US
2020-07-12,Mitchell,Kansas,11,0,US
2020-07-13,Mitchell,Kansas,13,0,US
2020-07-14,Mitchell,Kansas,16,0,US
2020-07-15,Mitchell,Kansas,16,0,US
2020-07-16,Mitchell,Kansas,16,0,US
2020-07-17,Mitchell,Kansas,19,0,US
2020-07-18,Mitchell,Kansas,19,0,US
2020-07-19,Mitchell,Kansas,19,0,US
2020-07-20,Mitchell,Kansas,21,0,US
2020-07-21,Mitchell,Kansas,21,0,US
2020-07-22,Mitchell,Kansas,25,0,US
2020-07-23,Mitchell,Kansas,25,0,US
2020-07-24,Mitchell,Kansas,25,0,US
2020-07-25,Mitchell,Kansas,25,0,US
2020-07-26,Mitchell,Kansas,25,0,US
2020-07-27,Mitchell,Kansas,26,0,US
2020-07-28,Mitchell,Kansas,26,0,US
2020-07-29,Mitchell,Kansas,27,0,US
2020-07-30,Mitchell,Kansas,27,0,US
2020-07-31,Mitchell,Kansas,27,0,US
2020-08-01,Mitchell,Kansas,27,0,US
2020-08-02,Mitchell,Kansas,27,0,US
2020-08-03,Mitchell,Kansas,27,0,US
2020-08-04,Mitchell,Kansas,27,0,US
2020-08-05,Mitchell,Kansas,27,0,US
2020-08-06,Mitchell,Kansas,27,0,US
2020-08-07,Mitchell,Kansas,27,0,US
2020-08-08,Mitchell,Kansas,27,0,US
2020-08-09,Mitchell,Kansas,27,0,US
2020-08-10,Mitchell,Kansas,27,0,US
2020-08-11,Mitchell,Kansas,28,0,US
2020-08-12,Mitchell,Kansas,28,0,US
2020-08-13,Mitchell,Kansas,28,0,US
2020-08-14,Mitchell,Kansas,28,0,US
2020-08-15,Mitchell,Kansas,28,0,US
2020-08-16,Mitchell,Kansas,28,0,US
2020-08-17,Mitchell,Kansas,28,0,US
2020-08-18,Mitchell,Kansas,28,0,US
2020-08-19,Mitchell,Kansas,28,0,US
2020-08-20,Mitchell,Kansas,28,0,US
2020-08-21,Mitchell,Kansas,28,0,US
2020-08-22,Mitchell,Kansas,28,0,US
2020-08-23,Mitchell,Kansas,28,0,US
2020-08-24,Mitchell,Kansas,28,0,US
2020-08-25,Mitchell,Kansas,28,0,US
2020-08-26,Mitchell,Kansas,30,0,US
2020-08-27,Mitchell,Kansas,30,0,US
2020-08-28,Mitchell,Kansas,30,0,US
2020-08-29,Mitchell,Kansas,30,0,US
2020-08-30,Mitchell,Kansas,30,0,US
2020-08-31,Mitchell,Kansas,32,0,US
2020-09-01,Mitchell,Kansas,32,0,US
2020-09-02,Mitchell,Kansas,33,0,US
2020-09-03,Mitchell,Kansas,33,0,US
2020-09-04,Mitchell,Kansas,40,0,US
2020-09-05,Mitchell,Kansas,40,0,US
2020-09-06,Mitchell,Kansas,40,0,US
2020-09-07,Mitchell,Kansas,40,0,US
2020-09-08,Mitchell,Kansas,40,0,US
2020-09-09,Mitchell,Kansas,40,0,US
2020-09-10,Mitchell,Kansas,40,0,US
2020-09-11,Mitchell,Kansas,40,0,US
2020-09-12,Mitchell,Kansas,40,0,US
2020-09-13,Mitchell,Kansas,40,0,US
2020-09-14,Mitchell,Kansas,44,0,US
2020-09-15,Mitchell,Kansas,44,0,US
2020-09-16,Mitchell,Kansas,44,0,US
2020-09-17,Mitchell,Kansas,44,0,US
2020-09-18,Mitchell,Kansas,44,0,US
2020-09-19,Mitchell,Kansas,44,0,US
2020-09-20,Mitchell,Kansas,44,0,US
2020-09-21,Mitchell,Kansas,45,0,US
2020-09-22,Mitchell,Kansas,45,0,US
2020-09-23,Mitchell,Kansas,45,0,US
2020-09-24,Mitchell,Kansas,45,0,US
2020-09-25,Mitchell,Kansas,45,0,US
2020-09-26,Mitchell,Kansas,45,0,US
2020-09-27,Mitchell,Kansas,45,0,US
2020-09-28,Mitchell,Kansas,47,0,US
2020-09-29,Mitchell,Kansas,47,0,US
2020-09-30,Mitchell,Kansas,47,0,US
2020-10-01,Mitchell,Kansas,47,0,US
2020-10-02,Mitchell,Kansas,47,0,US
2020-10-03,Mitchell,Kansas,47,0,US
2020-10-04,Mitchell,Kansas,48,0,US
2020-10-05,Mitchell,Kansas,48,0,US
2020-10-06,Mitchell,Kansas,48,0,US
2020-10-07,Mitchell,Kansas,48,0,US
2020-10-08,Mitchell,Kansas,53,0,US
2020-10-09,Mitchell,Kansas,56,0,US
2020-10-10,Mitchell,Kansas,56,0,US
2020-10-11,Mitchell,Kansas,56,0,US
2020-10-12,Mitchell,Kansas,57,0,US
2020-10-13,Mitchell,Kansas,57,0,US
2020-10-14,Mitchell,Kansas,57,0,US
2020-10-15,Mitchell,Kansas,57,0,US
2020-10-16,Mitchell,Kansas,57,0,US
2020-10-17,Mitchell,Kansas,57,0,US
2020-10-18,Mitchell,Kansas,57,0,US
2020-10-19,Mitchell,Kansas,59,0,US
2020-10-20,Mitchell,Kansas,59,0,US
2020-10-21,Mitchell,Kansas,59,0,US
2020-10-22,Mitchell,Kansas,59,0,US
2020-10-23,Mitchell,Kansas,62,0,US
2020-10-24,Mitchell,Kansas,62,0,US
2020-10-25,Mitchell,Kansas,62,0,US
2020-10-26,Mitchell,Kansas,62,0,US
2020-10-27,Mitchell,Kansas,62,0,US
2020-10-28,Mitchell,Kansas,63,0,US
2020-10-29,Mitchell,Kansas,63,0,US
2020-10-30,Mitchell,Kansas,63,0,US
2020-10-31,Mitchell,Kansas,63,0,US
2020-11-01,Mitchell,Kansas,63,0,US
2020-11-02,Mitchell,Kansas,69,0,US
2020-11-03,Mitchell,Kansas,69,0,US
2020-11-04,Mitchell,Kansas,69,0,US
2020-11-05,Mitchell,Kansas,71,0,US
2020-11-06,Mitchell,Kansas,71,0,US
2020-11-07,Mitchell,Kansas,71,0,US
2020-11-08,Mitchell,Kansas,79,0,US
2020-11-09,Mitchell,Kansas,79,0,US
2020-11-10,Mitchell,Kansas,79,0,US
2020-11-11,Mitchell,Kansas,84,0,US
2020-11-12,Mitchell,Kansas,84,0,US
2020-11-13,Mitchell,Kansas,113,0,US
2020-11-14,Mitchell,Kansas,113,0,US
2020-11-15,Mitchell,Kansas,113,0,US
2020-11-16,Mitchell,Kansas,136,0,US
2020-11-17,Mitchell,Kansas,136,0,US
2020-11-18,Mitchell,Kansas,157,0,US
2020-11-19,Mitchell,Kansas,157,0,US
2020-11-20,Mitchell,Kansas,179,0,US
2020-11-21,Mitchell,Kansas,179,0,US
2020-11-22,Mitchell,Kansas,179,0,US
2020-11-23,Mitchell,Kansas,198,0,US
2020-11-24,Mitchell,Kansas,198,0,US
2020-11-25,Mitchell,Kansas,204,0,US
2020-11-26,Mitchell,Kansas,204,0,US
2020-11-27,Mitchell,Kansas,204,0,US
2020-11-28,Mitchell,Kansas,204,0,US
2020-11-29,Mitchell,Kansas,204,0,US
2020-11-30,Mitchell,Kansas,228,0,US
2020-12-01,Mitchell,Kansas,228,0,US
2020-12-02,Mitchell,Kansas,252,0,US
2020-12-03,Mitchell,Kansas,252,0,US
2020-12-04,Mitchell,Kansas,277,0,US
2020-12-05,Mitchell,Kansas,277,0,US
2020-12-06,Mitchell,Kansas,277,0,US
2020-12-07,Mitchell,Kansas,283,0,US
2020-12-08,Mitchell,Kansas,283,0,US
2020-12-09,Mitchell,Kansas,294,0,US
2020-12-10,Mitchell,Kansas,294,0,US
2020-12-11,Mitchell,Kansas,316,0,US
2020-12-12,Mitchell,Kansas,316,0,US
2020-12-13,Mitchell,Kansas,316,0,US
2020-12-14,Mitchell,Kansas,331,0,US
2020-12-15,Mitchell,Kansas,331,0,US
2020-12-16,Mitchell,Kansas,341,2,US
2020-12-17,Mitchell,Kansas,341,2,US
2020-12-18,Mitchell,Kansas,353,2,US
2020-12-19,Mitchell,Kansas,353,2,US
2020-12-20,Mitchell,Kansas,353,2,US
2020-12-21,Mitchell,Kansas,371,2,US
2020-12-22,Mitchell,Kansas,371,2,US
2020-12-23,Mitchell,Kansas,383,2,US
2020-12-24,Mitchell,Kansas,383,2,US
2020-12-25,Mitchell,Kansas,383,2,US
2020-12-26,Mitchell,Kansas,383,2,US
2020-12-27,Mitchell,Kansas,383,2,US
2020-12-28,Mitchell,Kansas,389,2,US
2020-12-29,Mitchell,Kansas,389,2,US
2020-12-30,Mitchell,Kansas,401,3,US
2020-12-31,Mitchell,Kansas,401,3,US
2021-01-01,Mitchell,Kansas,401,3,US
2021-01-02,Mitchell,Kansas,401,3,US
2021-01-03,Mitchell,Kansas,401,3,US
2021-01-04,Mitchell,Kansas,466,4,US
2021-01-05,Mitchell,Kansas,466,4,US
2021-01-06,Mitchell,Kansas,466,4,US
2021-01-07,Mitchell,Kansas,466,4,US
2021-01-08,Mitchell,Kansas,466,4,US
2021-01-09,Mitchell,Kansas,466,4,US
2021-01-10,Mitchell,Kansas,466,4,US
2021-01-11,Mitchell,Kansas,491,4,US
2021-01-12,Mitchell,Kansas,491,4,US
2021-01-13,Mitchell,Kansas,502,7,US
2021-01-14,Mitchell,Kansas,502,7,US
2021-01-15,Mitchell,Kansas,515,7,US
2021-01-16,Mitchell,Kansas,515,7,US
2021-01-17,Mitchell,Kansas,515,7,US
2021-01-18,Mitchell,Kansas,522,7,US
2021-01-19,Mitchell,Kansas,522,7,US
2021-01-20,Mitchell,Kansas,531,7,US
2021-01-21,Mitchell,Kansas,531,7,US
2021-01-22,Mitchell,Kansas,533,7,US
2021-01-23,Mitchell,Kansas,533,7,US
2021-01-24,Mitchell,Kansas,533,7,US
2021-01-25,Mitchell,Kansas,536,7,US
2021-01-26,Mitchell,Kansas,536,7,US
2021-01-27,Mitchell,Kansas,540,11,US
2021-01-28,Mitchell,Kansas,540,11,US
2021-01-29,Mitchell,Kansas,542,11,US
2021-01-30,Mitchell,Kansas,542,11,US
2021-01-31,Mitchell,Kansas,542,11,US
2021-02-01,Mitchell,Kansas,543,11,US
2021-02-02,Mitchell,Kansas,543,11,US
2021-02-03,Mitchell,Kansas,545,11,US
2021-02-04,Mitchell,Kansas,545,11,US
2021-02-05,Mitchell,Kansas,552,13,US
2021-02-06,Mitchell,Kansas,552,13,US
2021-02-07,Mitchell,Kansas,552,13,US
2021-02-08,Mitchell,Kansas,553,15,US
2021-02-09,Mitchell,Kansas,553,15,US
2021-02-10,Mitchell,Kansas,554,16,US
2021-02-11,Mitchell,Kansas,554,16,US
2021-02-12,Mitchell,Kansas,554,16,US
2021-02-13,Mitchell,Kansas,554,16,US
2021-02-14,Mitchell,Kansas,554,16,US
2021-02-15,Mitchell,Kansas,555,17,US
2021-02-16,Mitchell,Kansas,555,17,US
2021-02-17,Mitchell,Kansas,555,17,US
2021-02-18,Mitchell,Kansas,555,17,US
2021-02-19,Mitchell,Kansas,557,18,US
2021-02-20,Mitchell,Kansas,557,18,US
2021-02-21,Mitchell,Kansas,557,18,US
2021-02-22,Mitchell,Kansas,558,18,US
2021-02-23,Mitchell,Kansas,558,18,US
2021-02-24,Mitchell,Kansas,558,18,US
2021-02-25,Mitchell,Kansas,558,18,US
2021-02-26,Mitchell,Kansas,558,18,US
2021-02-27,Mitchell,Kansas,558,18,US
2021-02-28,Mitchell,Kansas,558,18,US
2021-03-01,Mitchell,Kansas,558,18,US
2021-03-02,Mitchell,Kansas,558,18,US
2021-03-03,Mitchell,Kansas,559,19,US
2021-03-04,Mitchell,Kansas,559,19,US
2021-03-05,Mitchell,Kansas,559,19,US
2021-03-06,Mitchell,Kansas,559,19,US
2021-03-07,Mitchell,Kansas,559,19,US
2021-03-08,Mitchell,Kansas,559,19,US
2021-03-09,Mitchell,Kansas,559,19,US
2021-03-10,Mitchell,Kansas,559,19,US
2021-03-11,Mitchell,Kansas,559,19,US
2021-03-12,Mitchell,Kansas,560,19,US
2021-03-13,Mitchell,Kansas,560,19,US
2021-03-14,Mitchell,Kansas,560,19,US
