Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mohave,Arizona,0,0,US
2020-01-23,Mohave,Arizona,0,0,US
2020-01-24,Mohave,Arizona,0,0,US
2020-01-25,Mohave,Arizona,0,0,US
2020-01-26,Mohave,Arizona,0,0,US
2020-01-27,Mohave,Arizona,0,0,US
2020-01-28,Mohave,Arizona,0,0,US
2020-01-29,Mohave,Arizona,0,0,US
2020-01-30,Mohave,Arizona,0,0,US
2020-01-31,Mohave,Arizona,0,0,US
2020-02-01,Mohave,Arizona,0,0,US
2020-02-02,Mohave,Arizona,0,0,US
2020-02-03,Mohave,Arizona,0,0,US
2020-02-04,Mohave,Arizona,0,0,US
2020-02-05,Mohave,Arizona,0,0,US
2020-02-06,Mohave,Arizona,0,0,US
2020-02-07,Mohave,Arizona,0,0,US
2020-02-08,Mohave,Arizona,0,0,US
2020-02-09,Mohave,Arizona,0,0,US
2020-02-10,Mohave,Arizona,0,0,US
2020-02-11,Mohave,Arizona,0,0,US
2020-02-12,Mohave,Arizona,0,0,US
2020-02-13,Mohave,Arizona,0,0,US
2020-02-14,Mohave,Arizona,0,0,US
2020-02-15,Mohave,Arizona,0,0,US
2020-02-16,Mohave,Arizona,0,0,US
2020-02-17,Mohave,Arizona,0,0,US
2020-02-18,Mohave,Arizona,0,0,US
2020-02-19,Mohave,Arizona,0,0,US
2020-02-20,Mohave,Arizona,0,0,US
2020-02-21,Mohave,Arizona,0,0,US
2020-02-22,Mohave,Arizona,0,0,US
2020-02-23,Mohave,Arizona,0,0,US
2020-02-24,Mohave,Arizona,0,0,US
2020-02-25,Mohave,Arizona,0,0,US
2020-02-26,Mohave,Arizona,0,0,US
2020-02-27,Mohave,Arizona,0,0,US
2020-02-28,Mohave,Arizona,0,0,US
2020-02-29,Mohave,Arizona,0,0,US
2020-03-01,Mohave,Arizona,0,0,US
2020-03-02,Mohave,Arizona,0,0,US
2020-03-03,Mohave,Arizona,0,0,US
2020-03-04,Mohave,Arizona,0,0,US
2020-03-05,Mohave,Arizona,0,0,US
2020-03-06,Mohave,Arizona,0,0,US
2020-03-07,Mohave,Arizona,0,0,US
2020-03-08,Mohave,Arizona,0,0,US
2020-03-09,Mohave,Arizona,0,0,US
2020-03-10,Mohave,Arizona,0,0,US
2020-03-11,Mohave,Arizona,0,0,US
2020-03-12,Mohave,Arizona,0,0,US
2020-03-13,Mohave,Arizona,0,0,US
2020-03-14,Mohave,Arizona,0,0,US
2020-03-15,Mohave,Arizona,0,0,US
2020-03-16,Mohave,Arizona,0,0,US
2020-03-17,Mohave,Arizona,0,0,US
2020-03-18,Mohave,Arizona,0,0,US
2020-03-19,Mohave,Arizona,0,0,US
2020-03-20,Mohave,Arizona,0,0,US
2020-03-21,Mohave,Arizona,0,0,US
2020-03-22,Mohave,Arizona,0,0,US
2020-03-23,Mohave,Arizona,0,0,US
2020-03-24,Mohave,Arizona,0,0,US
2020-03-25,Mohave,Arizona,0,0,US
2020-03-26,Mohave,Arizona,2,0,US
2020-03-27,Mohave,Arizona,4,0,US
2020-03-28,Mohave,Arizona,5,0,US
2020-03-29,Mohave,Arizona,6,0,US
2020-03-30,Mohave,Arizona,7,0,US
2020-03-31,Mohave,Arizona,7,0,US
