Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Montgomery,Indiana,0,0,US
2020-01-23,Montgomery,Indiana,0,0,US
2020-01-24,Montgomery,Indiana,0,0,US
2020-01-25,Montgomery,Indiana,0,0,US
2020-01-26,Montgomery,Indiana,0,0,US
2020-01-27,Montgomery,Indiana,0,0,US
2020-01-28,Montgomery,Indiana,0,0,US
2020-01-29,Montgomery,Indiana,0,0,US
2020-01-30,Montgomery,Indiana,0,0,US
2020-01-31,Montgomery,Indiana,0,0,US
2020-02-01,Montgomery,Indiana,0,0,US
2020-02-02,Montgomery,Indiana,0,0,US
2020-02-03,Montgomery,Indiana,0,0,US
2020-02-04,Montgomery,Indiana,0,0,US
2020-02-05,Montgomery,Indiana,0,0,US
2020-02-06,Montgomery,Indiana,0,0,US
2020-02-07,Montgomery,Indiana,0,0,US
2020-02-08,Montgomery,Indiana,0,0,US
2020-02-09,Montgomery,Indiana,0,0,US
2020-02-10,Montgomery,Indiana,0,0,US
2020-02-11,Montgomery,Indiana,0,0,US
2020-02-12,Montgomery,Indiana,0,0,US
2020-02-13,Montgomery,Indiana,0,0,US
2020-02-14,Montgomery,Indiana,0,0,US
2020-02-15,Montgomery,Indiana,0,0,US
2020-02-16,Montgomery,Indiana,0,0,US
2020-02-17,Montgomery,Indiana,0,0,US
2020-02-18,Montgomery,Indiana,0,0,US
2020-02-19,Montgomery,Indiana,0,0,US
2020-02-20,Montgomery,Indiana,0,0,US
2020-02-21,Montgomery,Indiana,0,0,US
2020-02-22,Montgomery,Indiana,0,0,US
2020-02-23,Montgomery,Indiana,0,0,US
2020-02-24,Montgomery,Indiana,0,0,US
2020-02-25,Montgomery,Indiana,0,0,US
2020-02-26,Montgomery,Indiana,0,0,US
2020-02-27,Montgomery,Indiana,0,0,US
2020-02-28,Montgomery,Indiana,0,0,US
2020-02-29,Montgomery,Indiana,0,0,US
2020-03-01,Montgomery,Indiana,0,0,US
2020-03-02,Montgomery,Indiana,0,0,US
2020-03-03,Montgomery,Indiana,0,0,US
2020-03-04,Montgomery,Indiana,0,0,US
2020-03-05,Montgomery,Indiana,0,0,US
2020-03-06,Montgomery,Indiana,0,0,US
2020-03-07,Montgomery,Indiana,0,0,US
2020-03-08,Montgomery,Indiana,0,0,US
2020-03-09,Montgomery,Indiana,0,0,US
2020-03-10,Montgomery,Indiana,0,0,US
2020-03-11,Montgomery,Indiana,0,0,US
2020-03-12,Montgomery,Indiana,0,0,US
2020-03-13,Montgomery,Indiana,0,0,US
2020-03-14,Montgomery,Indiana,0,0,US
2020-03-15,Montgomery,Indiana,0,0,US
2020-03-16,Montgomery,Indiana,0,0,US
2020-03-17,Montgomery,Indiana,0,0,US
2020-03-18,Montgomery,Indiana,0,0,US
2020-03-19,Montgomery,Indiana,0,0,US
2020-03-20,Montgomery,Indiana,0,0,US
2020-03-21,Montgomery,Indiana,0,0,US
2020-03-22,Montgomery,Indiana,0,0,US
2020-03-23,Montgomery,Indiana,0,0,US
2020-03-24,Montgomery,Indiana,1,0,US
2020-03-25,Montgomery,Indiana,1,0,US
2020-03-26,Montgomery,Indiana,2,0,US
2020-03-27,Montgomery,Indiana,3,0,US
2020-03-28,Montgomery,Indiana,4,0,US
2020-03-29,Montgomery,Indiana,5,0,US
2020-03-30,Montgomery,Indiana,6,0,US
2020-03-31,Montgomery,Indiana,6,0,US
2020-04-01,Montgomery,Indiana,6,0,US
2020-04-02,Montgomery,Indiana,10,0,US
2020-04-03,Montgomery,Indiana,12,0,US
2020-04-04,Montgomery,Indiana,14,0,US
2020-04-05,Montgomery,Indiana,14,0,US
2020-04-06,Montgomery,Indiana,15,0,US
2020-04-07,Montgomery,Indiana,16,0,US
2020-04-08,Montgomery,Indiana,17,0,US
2020-04-09,Montgomery,Indiana,19,0,US
2020-04-10,Montgomery,Indiana,20,0,US
2020-04-11,Montgomery,Indiana,21,0,US
2020-04-12,Montgomery,Indiana,22,0,US
2020-04-13,Montgomery,Indiana,22,0,US
2020-04-14,Montgomery,Indiana,23,0,US
2020-04-15,Montgomery,Indiana,25,0,US
2020-04-16,Montgomery,Indiana,25,0,US
2020-04-17,Montgomery,Indiana,25,0,US
2020-04-18,Montgomery,Indiana,25,0,US
2020-04-19,Montgomery,Indiana,25,0,US
2020-04-20,Montgomery,Indiana,26,0,US
2020-04-21,Montgomery,Indiana,26,0,US
2020-04-22,Montgomery,Indiana,27,0,US
2020-04-23,Montgomery,Indiana,29,0,US
2020-04-24,Montgomery,Indiana,29,0,US
2020-04-25,Montgomery,Indiana,30,0,US
2020-04-26,Montgomery,Indiana,33,0,US
2020-04-27,Montgomery,Indiana,35,0,US
2020-04-28,Montgomery,Indiana,37,0,US
2020-04-29,Montgomery,Indiana,40,0,US
2020-04-30,Montgomery,Indiana,67,0,US
2020-05-01,Montgomery,Indiana,88,0,US
2020-05-02,Montgomery,Indiana,96,0,US
2020-05-03,Montgomery,Indiana,100,0,US
2020-05-04,Montgomery,Indiana,102,0,US
2020-05-05,Montgomery,Indiana,106,2,US
2020-05-06,Montgomery,Indiana,110,2,US
2020-05-07,Montgomery,Indiana,111,2,US
2020-05-08,Montgomery,Indiana,114,2,US
2020-05-09,Montgomery,Indiana,125,3,US
2020-05-10,Montgomery,Indiana,127,5,US
2020-05-11,Montgomery,Indiana,140,5,US
2020-05-12,Montgomery,Indiana,144,6,US
2020-05-13,Montgomery,Indiana,147,9,US
2020-05-14,Montgomery,Indiana,154,9,US
2020-05-15,Montgomery,Indiana,160,9,US
2020-05-16,Montgomery,Indiana,167,10,US
2020-05-17,Montgomery,Indiana,173,11,US
2020-05-18,Montgomery,Indiana,173,13,US
2020-05-19,Montgomery,Indiana,187,13,US
2020-05-20,Montgomery,Indiana,191,14,US
2020-05-21,Montgomery,Indiana,199,14,US
2020-05-22,Montgomery,Indiana,202,14,US
2020-05-23,Montgomery,Indiana,211,14,US
2020-05-24,Montgomery,Indiana,221,16,US
2020-05-25,Montgomery,Indiana,227,17,US
2020-05-26,Montgomery,Indiana,231,17,US
2020-05-27,Montgomery,Indiana,233,17,US
2020-05-28,Montgomery,Indiana,234,17,US
2020-05-29,Montgomery,Indiana,235,17,US
2020-05-30,Montgomery,Indiana,238,17,US
2020-05-31,Montgomery,Indiana,241,17,US
2020-06-01,Montgomery,Indiana,245,17,US
2020-06-02,Montgomery,Indiana,244,16,US
2020-06-03,Montgomery,Indiana,244,17,US
2020-06-04,Montgomery,Indiana,248,18,US
2020-06-05,Montgomery,Indiana,249,17,US
2020-06-06,Montgomery,Indiana,252,18,US
2020-06-07,Montgomery,Indiana,252,18,US
2020-06-08,Montgomery,Indiana,254,18,US
2020-06-09,Montgomery,Indiana,259,19,US
2020-06-10,Montgomery,Indiana,259,19,US
2020-06-11,Montgomery,Indiana,260,19,US
2020-06-12,Montgomery,Indiana,262,19,US
2020-06-13,Montgomery,Indiana,263,19,US
2020-06-14,Montgomery,Indiana,264,19,US
2020-06-15,Montgomery,Indiana,266,19,US
2020-06-16,Montgomery,Indiana,267,20,US
2020-06-17,Montgomery,Indiana,268,20,US
2020-06-18,Montgomery,Indiana,268,20,US
2020-06-19,Montgomery,Indiana,270,20,US
2020-06-20,Montgomery,Indiana,272,20,US
2020-06-21,Montgomery,Indiana,272,20,US
2020-06-22,Montgomery,Indiana,273,20,US
2020-06-23,Montgomery,Indiana,274,20,US
