Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Montgomery,North Carolina,0,0,US
2020-01-23,Montgomery,North Carolina,0,0,US
2020-01-24,Montgomery,North Carolina,0,0,US
2020-01-25,Montgomery,North Carolina,0,0,US
2020-01-26,Montgomery,North Carolina,0,0,US
2020-01-27,Montgomery,North Carolina,0,0,US
2020-01-28,Montgomery,North Carolina,0,0,US
2020-01-29,Montgomery,North Carolina,0,0,US
2020-01-30,Montgomery,North Carolina,0,0,US
2020-01-31,Montgomery,North Carolina,0,0,US
2020-02-01,Montgomery,North Carolina,0,0,US
2020-02-02,Montgomery,North Carolina,0,0,US
2020-02-03,Montgomery,North Carolina,0,0,US
2020-02-04,Montgomery,North Carolina,0,0,US
2020-02-05,Montgomery,North Carolina,0,0,US
2020-02-06,Montgomery,North Carolina,0,0,US
2020-02-07,Montgomery,North Carolina,0,0,US
2020-02-08,Montgomery,North Carolina,0,0,US
2020-02-09,Montgomery,North Carolina,0,0,US
2020-02-10,Montgomery,North Carolina,0,0,US
2020-02-11,Montgomery,North Carolina,0,0,US
2020-02-12,Montgomery,North Carolina,0,0,US
2020-02-13,Montgomery,North Carolina,0,0,US
2020-02-14,Montgomery,North Carolina,0,0,US
2020-02-15,Montgomery,North Carolina,0,0,US
2020-02-16,Montgomery,North Carolina,0,0,US
2020-02-17,Montgomery,North Carolina,0,0,US
2020-02-18,Montgomery,North Carolina,0,0,US
2020-02-19,Montgomery,North Carolina,0,0,US
2020-02-20,Montgomery,North Carolina,0,0,US
2020-02-21,Montgomery,North Carolina,0,0,US
2020-02-22,Montgomery,North Carolina,0,0,US
2020-02-23,Montgomery,North Carolina,0,0,US
2020-02-24,Montgomery,North Carolina,0,0,US
2020-02-25,Montgomery,North Carolina,0,0,US
2020-02-26,Montgomery,North Carolina,0,0,US
2020-02-27,Montgomery,North Carolina,0,0,US
2020-02-28,Montgomery,North Carolina,0,0,US
2020-02-29,Montgomery,North Carolina,0,0,US
2020-03-01,Montgomery,North Carolina,0,0,US
2020-03-02,Montgomery,North Carolina,0,0,US
2020-03-03,Montgomery,North Carolina,0,0,US
2020-03-04,Montgomery,North Carolina,0,0,US
2020-03-05,Montgomery,North Carolina,0,0,US
2020-03-06,Montgomery,North Carolina,0,0,US
2020-03-07,Montgomery,North Carolina,0,0,US
2020-03-08,Montgomery,North Carolina,0,0,US
2020-03-09,Montgomery,North Carolina,0,0,US
2020-03-10,Montgomery,North Carolina,0,0,US
2020-03-11,Montgomery,North Carolina,0,0,US
2020-03-12,Montgomery,North Carolina,0,0,US
2020-03-13,Montgomery,North Carolina,0,0,US
2020-03-14,Montgomery,North Carolina,0,0,US
2020-03-15,Montgomery,North Carolina,0,0,US
