Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Montour,Pennsylvania,0,0,US
2020-01-23,Montour,Pennsylvania,0,0,US
2020-01-24,Montour,Pennsylvania,0,0,US
2020-01-25,Montour,Pennsylvania,0,0,US
2020-01-26,Montour,Pennsylvania,0,0,US
2020-01-27,Montour,Pennsylvania,0,0,US
2020-01-28,Montour,Pennsylvania,0,0,US
2020-01-29,Montour,Pennsylvania,0,0,US
2020-01-30,Montour,Pennsylvania,0,0,US
2020-01-31,Montour,Pennsylvania,0,0,US
2020-02-01,Montour,Pennsylvania,0,0,US
2020-02-02,Montour,Pennsylvania,0,0,US
2020-02-03,Montour,Pennsylvania,0,0,US
2020-02-04,Montour,Pennsylvania,0,0,US
2020-02-05,Montour,Pennsylvania,0,0,US
2020-02-06,Montour,Pennsylvania,0,0,US
2020-02-07,Montour,Pennsylvania,0,0,US
2020-02-08,Montour,Pennsylvania,0,0,US
2020-02-09,Montour,Pennsylvania,0,0,US
2020-02-10,Montour,Pennsylvania,0,0,US
2020-02-11,Montour,Pennsylvania,0,0,US
2020-02-12,Montour,Pennsylvania,0,0,US
2020-02-13,Montour,Pennsylvania,0,0,US
2020-02-14,Montour,Pennsylvania,0,0,US
2020-02-15,Montour,Pennsylvania,0,0,US
2020-02-16,Montour,Pennsylvania,0,0,US
2020-02-17,Montour,Pennsylvania,0,0,US
2020-02-18,Montour,Pennsylvania,0,0,US
2020-02-19,Montour,Pennsylvania,0,0,US
2020-02-20,Montour,Pennsylvania,0,0,US
2020-02-21,Montour,Pennsylvania,0,0,US
2020-02-22,Montour,Pennsylvania,0,0,US
2020-02-23,Montour,Pennsylvania,0,0,US
2020-02-24,Montour,Pennsylvania,0,0,US
2020-02-25,Montour,Pennsylvania,0,0,US
2020-02-26,Montour,Pennsylvania,0,0,US
2020-02-27,Montour,Pennsylvania,0,0,US
2020-02-28,Montour,Pennsylvania,0,0,US
2020-02-29,Montour,Pennsylvania,0,0,US
2020-03-01,Montour,Pennsylvania,0,0,US
2020-03-02,Montour,Pennsylvania,0,0,US
2020-03-03,Montour,Pennsylvania,0,0,US
2020-03-04,Montour,Pennsylvania,0,0,US
2020-03-05,Montour,Pennsylvania,0,0,US
2020-03-06,Montour,Pennsylvania,0,0,US
2020-03-07,Montour,Pennsylvania,0,0,US
2020-03-08,Montour,Pennsylvania,0,0,US
2020-03-09,Montour,Pennsylvania,0,0,US
2020-03-10,Montour,Pennsylvania,0,0,US
2020-03-11,Montour,Pennsylvania,0,0,US
2020-03-12,Montour,Pennsylvania,0,0,US
2020-03-13,Montour,Pennsylvania,0,0,US
2020-03-14,Montour,Pennsylvania,0,0,US
2020-03-15,Montour,Pennsylvania,0,0,US
2020-03-16,Montour,Pennsylvania,0,0,US
2020-03-17,Montour,Pennsylvania,0,0,US
2020-03-18,Montour,Pennsylvania,0,0,US
2020-03-19,Montour,Pennsylvania,0,0,US
2020-03-20,Montour,Pennsylvania,0,0,US
2020-03-21,Montour,Pennsylvania,1,0,US
2020-03-22,Montour,Pennsylvania,1,0,US
2020-03-23,Montour,Pennsylvania,1,0,US
2020-03-24,Montour,Pennsylvania,3,0,US
2020-03-25,Montour,Pennsylvania,4,0,US
2020-03-26,Montour,Pennsylvania,4,0,US
2020-03-27,Montour,Pennsylvania,4,0,US
2020-03-28,Montour,Pennsylvania,5,0,US
2020-03-29,Montour,Pennsylvania,4,0,US
2020-03-30,Montour,Pennsylvania,10,0,US
2020-03-31,Montour,Pennsylvania,9,0,US
2020-04-01,Montour,Pennsylvania,12,0,US
2020-04-02,Montour,Pennsylvania,14,0,US
2020-04-03,Montour,Pennsylvania,14,0,US
2020-04-04,Montour,Pennsylvania,16,0,US
2020-04-05,Montour,Pennsylvania,25,0,US
2020-04-06,Montour,Pennsylvania,25,0,US
2020-04-07,Montour,Pennsylvania,25,0,US
2020-04-08,Montour,Pennsylvania,25,0,US
2020-04-09,Montour,Pennsylvania,25,0,US
2020-04-10,Montour,Pennsylvania,29,0,US
2020-04-11,Montour,Pennsylvania,29,0,US
2020-04-12,Montour,Pennsylvania,29,0,US
2020-04-13,Montour,Pennsylvania,36,0,US
2020-04-14,Montour,Pennsylvania,42,0,US
2020-04-15,Montour,Pennsylvania,43,0,US
2020-04-16,Montour,Pennsylvania,47,0,US
2020-04-17,Montour,Pennsylvania,47,0,US
2020-04-18,Montour,Pennsylvania,47,0,US
2020-04-19,Montour,Pennsylvania,47,0,US
2020-04-20,Montour,Pennsylvania,47,0,US
2020-04-21,Montour,Pennsylvania,47,0,US
2020-04-22,Montour,Pennsylvania,47,0,US
2020-04-23,Montour,Pennsylvania,47,0,US
2020-04-24,Montour,Pennsylvania,47,0,US
