Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Montrose,Colorado,0,0,US
2020-01-23,Montrose,Colorado,0,0,US
2020-01-24,Montrose,Colorado,0,0,US
2020-01-25,Montrose,Colorado,0,0,US
2020-01-26,Montrose,Colorado,0,0,US
2020-01-27,Montrose,Colorado,0,0,US
2020-01-28,Montrose,Colorado,0,0,US
2020-01-29,Montrose,Colorado,0,0,US
2020-01-30,Montrose,Colorado,0,0,US
2020-01-31,Montrose,Colorado,0,0,US
2020-02-01,Montrose,Colorado,0,0,US
2020-02-02,Montrose,Colorado,0,0,US
2020-02-03,Montrose,Colorado,0,0,US
2020-02-04,Montrose,Colorado,0,0,US
2020-02-05,Montrose,Colorado,0,0,US
2020-02-06,Montrose,Colorado,0,0,US
2020-02-07,Montrose,Colorado,0,0,US
2020-02-08,Montrose,Colorado,0,0,US
2020-02-09,Montrose,Colorado,0,0,US
2020-02-10,Montrose,Colorado,0,0,US
2020-02-11,Montrose,Colorado,0,0,US
2020-02-12,Montrose,Colorado,0,0,US
2020-02-13,Montrose,Colorado,0,0,US
2020-02-14,Montrose,Colorado,0,0,US
2020-02-15,Montrose,Colorado,0,0,US
2020-02-16,Montrose,Colorado,0,0,US
2020-02-17,Montrose,Colorado,0,0,US
2020-02-18,Montrose,Colorado,0,0,US
2020-02-19,Montrose,Colorado,0,0,US
2020-02-20,Montrose,Colorado,0,0,US
2020-02-21,Montrose,Colorado,0,0,US
2020-02-22,Montrose,Colorado,0,0,US
2020-02-23,Montrose,Colorado,0,0,US
2020-02-24,Montrose,Colorado,0,0,US
2020-02-25,Montrose,Colorado,0,0,US
2020-02-26,Montrose,Colorado,0,0,US
2020-02-27,Montrose,Colorado,0,0,US
2020-02-28,Montrose,Colorado,0,0,US
2020-02-29,Montrose,Colorado,0,0,US
2020-03-01,Montrose,Colorado,0,0,US
2020-03-02,Montrose,Colorado,0,0,US
2020-03-03,Montrose,Colorado,0,0,US
2020-03-04,Montrose,Colorado,0,0,US
2020-03-05,Montrose,Colorado,0,0,US
2020-03-06,Montrose,Colorado,0,0,US
2020-03-07,Montrose,Colorado,0,0,US
2020-03-08,Montrose,Colorado,0,0,US
2020-03-09,Montrose,Colorado,0,0,US
2020-03-10,Montrose,Colorado,0,0,US
2020-03-11,Montrose,Colorado,0,0,US
2020-03-12,Montrose,Colorado,0,0,US
2020-03-13,Montrose,Colorado,0,0,US
2020-03-14,Montrose,Colorado,0,0,US
2020-03-15,Montrose,Colorado,0,0,US
2020-03-16,Montrose,Colorado,0,0,US
2020-03-17,Montrose,Colorado,0,0,US
2020-03-18,Montrose,Colorado,0,0,US
2020-03-19,Montrose,Colorado,0,0,US
2020-03-20,Montrose,Colorado,0,0,US
2020-03-21,Montrose,Colorado,1,0,US
2020-03-22,Montrose,Colorado,1,0,US
2020-03-23,Montrose,Colorado,1,0,US
2020-03-24,Montrose,Colorado,3,0,US
2020-03-25,Montrose,Colorado,4,0,US
2020-03-26,Montrose,Colorado,4,0,US
2020-03-27,Montrose,Colorado,6,0,US
2020-03-28,Montrose,Colorado,8,0,US
2020-03-29,Montrose,Colorado,8,0,US
2020-03-30,Montrose,Colorado,10,0,US
2020-03-31,Montrose,Colorado,13,0,US
2020-04-01,Montrose,Colorado,13,0,US
2020-04-02,Montrose,Colorado,14,0,US
2020-04-03,Montrose,Colorado,26,1,US
2020-04-04,Montrose,Colorado,31,1,US
2020-04-05,Montrose,Colorado,32,1,US
2020-04-06,Montrose,Colorado,34,2,US
2020-04-07,Montrose,Colorado,35,2,US
2020-04-08,Montrose,Colorado,35,3,US
2020-04-09,Montrose,Colorado,38,3,US
2020-04-10,Montrose,Colorado,38,3,US
2020-04-11,Montrose,Colorado,50,4,US
2020-04-12,Montrose,Colorado,57,4,US
2020-04-13,Montrose,Colorado,59,4,US
2020-04-14,Montrose,Colorado,63,5,US
2020-04-15,Montrose,Colorado,65,6,US
2020-04-16,Montrose,Colorado,69,7,US
2020-04-17,Montrose,Colorado,70,7,US
2020-04-18,Montrose,Colorado,72,7,US
2020-04-19,Montrose,Colorado,77,7,US
2020-04-20,Montrose,Colorado,80,9,US
2020-04-21,Montrose,Colorado,80,9,US
2020-04-22,Montrose,Colorado,82,9,US
2020-04-23,Montrose,Colorado,82,9,US
2020-04-24,Montrose,Colorado,83,9,US
2020-04-25,Montrose,Colorado,87,9,US
2020-04-26,Montrose,Colorado,90,9,US
2020-04-27,Montrose,Colorado,92,10,US
2020-04-28,Montrose,Colorado,94,11,US
2020-04-29,Montrose,Colorado,96,11,US
2020-04-30,Montrose,Colorado,96,11,US
2020-05-01,Montrose,Colorado,98,11,US
2020-05-02,Montrose,Colorado,102,11,US
2020-05-03,Montrose,Colorado,105,11,US
2020-05-04,Montrose,Colorado,106,11,US
2020-05-05,Montrose,Colorado,107,11,US
2020-05-06,Montrose,Colorado,110,11,US
2020-05-07,Montrose,Colorado,114,11,US
2020-05-08,Montrose,Colorado,121,11,US
2020-05-09,Montrose,Colorado,122,11,US
2020-05-10,Montrose,Colorado,124,11,US
2020-05-11,Montrose,Colorado,127,11,US
2020-05-12,Montrose,Colorado,127,11,US
2020-05-13,Montrose,Colorado,128,11,US
2020-05-14,Montrose,Colorado,129,11,US
2020-05-15,Montrose,Colorado,131,11,US
2020-05-16,Montrose,Colorado,135,11,US
2020-05-17,Montrose,Colorado,136,11,US
2020-05-18,Montrose,Colorado,136,11,US
2020-05-19,Montrose,Colorado,136,11,US
2020-05-20,Montrose,Colorado,136,11,US
2020-05-21,Montrose,Colorado,147,12,US
2020-05-22,Montrose,Colorado,152,12,US
2020-05-23,Montrose,Colorado,159,12,US
2020-05-24,Montrose,Colorado,159,12,US
2020-05-25,Montrose,Colorado,159,12,US
2020-05-26,Montrose,Colorado,163,12,US
2020-05-27,Montrose,Colorado,163,12,US
2020-05-28,Montrose,Colorado,163,12,US
2020-05-29,Montrose,Colorado,168,12,US
2020-05-30,Montrose,Colorado,169,12,US
2020-05-31,Montrose,Colorado,172,12,US
2020-06-01,Montrose,Colorado,177,12,US
2020-06-02,Montrose,Colorado,181,12,US
2020-06-03,Montrose,Colorado,181,12,US
2020-06-04,Montrose,Colorado,182,12,US
2020-06-05,Montrose,Colorado,183,12,US
2020-06-06,Montrose,Colorado,185,12,US
2020-06-07,Montrose,Colorado,188,12,US
2020-06-08,Montrose,Colorado,190,12,US
2020-06-09,Montrose,Colorado,190,12,US
2020-06-10,Montrose,Colorado,190,12,US
2020-06-11,Montrose,Colorado,191,12,US
2020-06-12,Montrose,Colorado,191,12,US
2020-06-13,Montrose,Colorado,194,12,US
2020-06-14,Montrose,Colorado,195,12,US
2020-06-15,Montrose,Colorado,195,12,US
2020-06-16,Montrose,Colorado,197,12,US
2020-06-17,Montrose,Colorado,198,12,US
2020-06-18,Montrose,Colorado,198,12,US
2020-06-19,Montrose,Colorado,198,12,US
2020-06-20,Montrose,Colorado,199,12,US
2020-06-21,Montrose,Colorado,200,12,US
2020-06-22,Montrose,Colorado,201,12,US
2020-06-23,Montrose,Colorado,201,12,US
2020-06-24,Montrose,Colorado,201,12,US
2020-06-25,Montrose,Colorado,202,12,US
2020-06-26,Montrose,Colorado,203,12,US
2020-06-27,Montrose,Colorado,203,12,US
2020-06-28,Montrose,Colorado,204,12,US
2020-06-29,Montrose,Colorado,205,12,US
2020-06-30,Montrose,Colorado,207,12,US
2020-07-01,Montrose,Colorado,207,12,US
2020-07-02,Montrose,Colorado,208,12,US
2020-07-03,Montrose,Colorado,209,12,US
2020-07-04,Montrose,Colorado,208,12,US
2020-07-05,Montrose,Colorado,208,12,US
2020-07-06,Montrose,Colorado,210,12,US
2020-07-07,Montrose,Colorado,211,12,US
2020-07-08,Montrose,Colorado,213,12,US
2020-07-09,Montrose,Colorado,214,12,US
2020-07-10,Montrose,Colorado,216,12,US
2020-07-11,Montrose,Colorado,218,12,US
2020-07-12,Montrose,Colorado,218,12,US
2020-07-13,Montrose,Colorado,218,12,US
2020-07-14,Montrose,Colorado,223,12,US
2020-07-15,Montrose,Colorado,222,12,US
2020-07-16,Montrose,Colorado,225,12,US
2020-07-17,Montrose,Colorado,229,12,US
2020-07-18,Montrose,Colorado,232,12,US
2020-07-19,Montrose,Colorado,234,12,US
2020-07-20,Montrose,Colorado,235,12,US
2020-07-21,Montrose,Colorado,236,12,US
2020-07-22,Montrose,Colorado,245,13,US
2020-07-23,Montrose,Colorado,248,13,US
2020-07-24,Montrose,Colorado,251,13,US
2020-07-25,Montrose,Colorado,255,13,US
2020-07-26,Montrose,Colorado,262,13,US
2020-07-27,Montrose,Colorado,260,13,US
2020-07-28,Montrose,Colorado,263,13,US
2020-07-29,Montrose,Colorado,265,13,US
2020-07-30,Montrose,Colorado,265,13,US
2020-07-31,Montrose,Colorado,274,13,US
2020-08-01,Montrose,Colorado,278,13,US
2020-08-02,Montrose,Colorado,279,13,US
2020-08-03,Montrose,Colorado,283,13,US
2020-08-04,Montrose,Colorado,287,13,US
2020-08-05,Montrose,Colorado,287,13,US
2020-08-06,Montrose,Colorado,292,13,US
2020-08-07,Montrose,Colorado,293,13,US
2020-08-08,Montrose,Colorado,297,13,US
2020-08-09,Montrose,Colorado,305,13,US
2020-08-10,Montrose,Colorado,310,13,US
2020-08-11,Montrose,Colorado,312,13,US
2020-08-12,Montrose,Colorado,313,13,US
2020-08-13,Montrose,Colorado,316,13,US
2020-08-14,Montrose,Colorado,317,13,US
2020-08-15,Montrose,Colorado,317,13,US
2020-08-16,Montrose,Colorado,321,13,US
2020-08-17,Montrose,Colorado,323,13,US
2020-08-18,Montrose,Colorado,327,13,US
2020-08-19,Montrose,Colorado,328,13,US
2020-08-20,Montrose,Colorado,329,13,US
2020-08-21,Montrose,Colorado,329,13,US
2020-08-22,Montrose,Colorado,332,13,US
2020-08-23,Montrose,Colorado,335,13,US
2020-08-24,Montrose,Colorado,336,13,US
2020-08-25,Montrose,Colorado,339,13,US
2020-08-26,Montrose,Colorado,338,13,US
2020-08-27,Montrose,Colorado,339,13,US
2020-08-28,Montrose,Colorado,341,13,US
2020-08-29,Montrose,Colorado,341,13,US
2020-08-30,Montrose,Colorado,342,13,US
2020-08-31,Montrose,Colorado,343,13,US
2020-09-01,Montrose,Colorado,344,13,US
2020-09-02,Montrose,Colorado,345,13,US
2020-09-03,Montrose,Colorado,348,13,US
2020-09-04,Montrose,Colorado,348,13,US
2020-09-05,Montrose,Colorado,350,13,US
2020-09-06,Montrose,Colorado,350,13,US
2020-09-07,Montrose,Colorado,351,13,US
2020-09-08,Montrose,Colorado,351,13,US
2020-09-09,Montrose,Colorado,352,13,US
2020-09-10,Montrose,Colorado,352,13,US
2020-09-11,Montrose,Colorado,353,13,US
2020-09-12,Montrose,Colorado,353,13,US
2020-09-13,Montrose,Colorado,353,13,US
2020-09-14,Montrose,Colorado,355,13,US
2020-09-15,Montrose,Colorado,358,13,US
2020-09-16,Montrose,Colorado,359,13,US
2020-09-17,Montrose,Colorado,361,13,US
2020-09-18,Montrose,Colorado,365,13,US
2020-09-19,Montrose,Colorado,368,13,US
2020-09-20,Montrose,Colorado,370,13,US
2020-09-21,Montrose,Colorado,370,13,US
2020-09-22,Montrose,Colorado,371,13,US
2020-09-23,Montrose,Colorado,373,13,US
2020-09-24,Montrose,Colorado,373,13,US
2020-09-25,Montrose,Colorado,380,13,US
2020-09-26,Montrose,Colorado,380,13,US
2020-09-27,Montrose,Colorado,383,13,US
2020-09-28,Montrose,Colorado,383,13,US
2020-09-29,Montrose,Colorado,384,13,US
2020-09-30,Montrose,Colorado,385,13,US
2020-10-01,Montrose,Colorado,385,13,US
2020-10-02,Montrose,Colorado,386,13,US
2020-10-03,Montrose,Colorado,386,13,US
2020-10-04,Montrose,Colorado,387,13,US
2020-10-05,Montrose,Colorado,388,13,US
2020-10-06,Montrose,Colorado,388,13,US
2020-10-07,Montrose,Colorado,390,13,US
2020-10-08,Montrose,Colorado,391,13,US
2020-10-09,Montrose,Colorado,393,13,US
2020-10-10,Montrose,Colorado,397,13,US
2020-10-11,Montrose,Colorado,400,13,US
2020-10-12,Montrose,Colorado,400,13,US
