Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Mora,New Mexico,0,0,US
2020-01-23,Mora,New Mexico,0,0,US
2020-01-24,Mora,New Mexico,0,0,US
2020-01-25,Mora,New Mexico,0,0,US
2020-01-26,Mora,New Mexico,0,0,US
2020-01-27,Mora,New Mexico,0,0,US
2020-01-28,Mora,New Mexico,0,0,US
2020-01-29,Mora,New Mexico,0,0,US
2020-01-30,Mora,New Mexico,0,0,US
2020-01-31,Mora,New Mexico,0,0,US
2020-02-01,Mora,New Mexico,0,0,US
2020-02-02,Mora,New Mexico,0,0,US
2020-02-03,Mora,New Mexico,0,0,US
2020-02-04,Mora,New Mexico,0,0,US
2020-02-05,Mora,New Mexico,0,0,US
2020-02-06,Mora,New Mexico,0,0,US
2020-02-07,Mora,New Mexico,0,0,US
2020-02-08,Mora,New Mexico,0,0,US
2020-02-09,Mora,New Mexico,0,0,US
2020-02-10,Mora,New Mexico,0,0,US
2020-02-11,Mora,New Mexico,0,0,US
2020-02-12,Mora,New Mexico,0,0,US
2020-02-13,Mora,New Mexico,0,0,US
2020-02-14,Mora,New Mexico,0,0,US
2020-02-15,Mora,New Mexico,0,0,US
2020-02-16,Mora,New Mexico,0,0,US
2020-02-17,Mora,New Mexico,0,0,US
2020-02-18,Mora,New Mexico,0,0,US
2020-02-19,Mora,New Mexico,0,0,US
2020-02-20,Mora,New Mexico,0,0,US
2020-02-21,Mora,New Mexico,0,0,US
2020-02-22,Mora,New Mexico,0,0,US
2020-02-23,Mora,New Mexico,0,0,US
2020-02-24,Mora,New Mexico,0,0,US
2020-02-25,Mora,New Mexico,0,0,US
2020-02-26,Mora,New Mexico,0,0,US
2020-02-27,Mora,New Mexico,0,0,US
2020-02-28,Mora,New Mexico,0,0,US
2020-02-29,Mora,New Mexico,0,0,US
2020-03-01,Mora,New Mexico,0,0,US
2020-03-02,Mora,New Mexico,0,0,US
2020-03-03,Mora,New Mexico,0,0,US
2020-03-04,Mora,New Mexico,0,0,US
2020-03-05,Mora,New Mexico,0,0,US
2020-03-06,Mora,New Mexico,0,0,US
2020-03-07,Mora,New Mexico,0,0,US
2020-03-08,Mora,New Mexico,0,0,US
2020-03-09,Mora,New Mexico,0,0,US
2020-03-10,Mora,New Mexico,0,0,US
2020-03-11,Mora,New Mexico,0,0,US
2020-03-12,Mora,New Mexico,0,0,US
2020-03-13,Mora,New Mexico,0,0,US
2020-03-14,Mora,New Mexico,0,0,US
2020-03-15,Mora,New Mexico,0,0,US
2020-03-16,Mora,New Mexico,0,0,US
2020-03-17,Mora,New Mexico,0,0,US
2020-03-18,Mora,New Mexico,0,0,US
2020-03-19,Mora,New Mexico,0,0,US
2020-03-20,Mora,New Mexico,0,0,US
2020-03-21,Mora,New Mexico,0,0,US
2020-03-22,Mora,New Mexico,0,0,US
2020-03-23,Mora,New Mexico,0,0,US
2020-03-24,Mora,New Mexico,0,0,US
2020-03-25,Mora,New Mexico,0,0,US
2020-03-26,Mora,New Mexico,0,0,US
2020-03-27,Mora,New Mexico,0,0,US
2020-03-28,Mora,New Mexico,0,0,US
2020-03-29,Mora,New Mexico,0,0,US
2020-03-30,Mora,New Mexico,0,0,US
2020-03-31,Mora,New Mexico,0,0,US
2020-04-01,Mora,New Mexico,0,0,US
2020-04-02,Mora,New Mexico,0,0,US
2020-04-03,Mora,New Mexico,0,0,US
2020-04-04,Mora,New Mexico,0,0,US
2020-04-05,Mora,New Mexico,0,0,US
2020-04-06,Mora,New Mexico,0,0,US
2020-04-07,Mora,New Mexico,0,0,US
2020-04-08,Mora,New Mexico,0,0,US
2020-04-09,Mora,New Mexico,0,0,US
2020-04-10,Mora,New Mexico,0,0,US
2020-04-11,Mora,New Mexico,0,0,US
2020-04-12,Mora,New Mexico,0,0,US
2020-04-13,Mora,New Mexico,0,0,US
2020-04-14,Mora,New Mexico,0,0,US
2020-04-15,Mora,New Mexico,0,0,US
2020-04-16,Mora,New Mexico,0,0,US
2020-04-17,Mora,New Mexico,0,0,US
2020-04-18,Mora,New Mexico,0,0,US
2020-04-19,Mora,New Mexico,0,0,US
2020-04-20,Mora,New Mexico,0,0,US
2020-04-21,Mora,New Mexico,0,0,US
2020-04-22,Mora,New Mexico,0,0,US
2020-04-23,Mora,New Mexico,0,0,US
2020-04-24,Mora,New Mexico,0,0,US
2020-04-25,Mora,New Mexico,0,0,US
2020-04-26,Mora,New Mexico,0,0,US
2020-04-27,Mora,New Mexico,0,0,US
2020-04-28,Mora,New Mexico,0,0,US
2020-04-29,Mora,New Mexico,0,0,US
2020-04-30,Mora,New Mexico,0,0,US
2020-05-01,Mora,New Mexico,0,0,US
2020-05-02,Mora,New Mexico,0,0,US
2020-05-03,Mora,New Mexico,0,0,US
2020-05-04,Mora,New Mexico,0,0,US
2020-05-05,Mora,New Mexico,0,0,US
2020-05-06,Mora,New Mexico,0,0,US
2020-05-07,Mora,New Mexico,0,0,US
2020-05-08,Mora,New Mexico,0,0,US
2020-05-09,Mora,New Mexico,0,0,US
2020-05-10,Mora,New Mexico,0,0,US
2020-05-11,Mora,New Mexico,0,0,US
2020-05-12,Mora,New Mexico,0,0,US
2020-05-13,Mora,New Mexico,0,0,US
2020-05-14,Mora,New Mexico,0,0,US
2020-05-15,Mora,New Mexico,0,0,US
2020-05-16,Mora,New Mexico,0,0,US
2020-05-17,Mora,New Mexico,0,0,US
2020-05-18,Mora,New Mexico,0,0,US
2020-05-19,Mora,New Mexico,0,0,US
2020-05-20,Mora,New Mexico,0,0,US
2020-05-21,Mora,New Mexico,0,0,US
2020-05-22,Mora,New Mexico,0,0,US
2020-05-23,Mora,New Mexico,0,0,US
2020-05-24,Mora,New Mexico,0,0,US
2020-05-25,Mora,New Mexico,0,0,US
2020-05-26,Mora,New Mexico,0,0,US
2020-05-27,Mora,New Mexico,0,0,US
2020-05-28,Mora,New Mexico,0,0,US
2020-05-29,Mora,New Mexico,0,0,US
2020-05-30,Mora,New Mexico,0,0,US
2020-05-31,Mora,New Mexico,0,0,US
2020-06-01,Mora,New Mexico,0,0,US
2020-06-02,Mora,New Mexico,0,0,US
2020-06-03,Mora,New Mexico,0,0,US
2020-06-04,Mora,New Mexico,0,0,US
2020-06-05,Mora,New Mexico,0,0,US
2020-06-06,Mora,New Mexico,0,0,US
2020-06-07,Mora,New Mexico,0,0,US
2020-06-08,Mora,New Mexico,0,0,US
2020-06-09,Mora,New Mexico,0,0,US
2020-06-10,Mora,New Mexico,0,0,US
2020-06-11,Mora,New Mexico,0,0,US
2020-06-12,Mora,New Mexico,0,0,US
2020-06-13,Mora,New Mexico,0,0,US
2020-06-14,Mora,New Mexico,0,0,US
2020-06-15,Mora,New Mexico,0,0,US
2020-06-16,Mora,New Mexico,0,0,US
2020-06-17,Mora,New Mexico,0,0,US
2020-06-18,Mora,New Mexico,0,0,US
2020-06-19,Mora,New Mexico,0,0,US
2020-06-20,Mora,New Mexico,0,0,US
2020-06-21,Mora,New Mexico,0,0,US
2020-06-22,Mora,New Mexico,0,0,US
2020-06-23,Mora,New Mexico,0,0,US
2020-06-24,Mora,New Mexico,0,0,US
2020-06-25,Mora,New Mexico,0,0,US
2020-06-26,Mora,New Mexico,0,0,US
2020-06-27,Mora,New Mexico,0,0,US
2020-06-28,Mora,New Mexico,0,0,US
2020-06-29,Mora,New Mexico,0,0,US
2020-06-30,Mora,New Mexico,0,0,US
2020-07-01,Mora,New Mexico,0,0,US
2020-07-02,Mora,New Mexico,0,0,US
2020-07-03,Mora,New Mexico,0,0,US
2020-07-04,Mora,New Mexico,0,0,US
2020-07-05,Mora,New Mexico,0,0,US
2020-07-06,Mora,New Mexico,0,0,US
2020-07-07,Mora,New Mexico,0,0,US
2020-07-08,Mora,New Mexico,0,0,US
2020-07-09,Mora,New Mexico,0,0,US
2020-07-10,Mora,New Mexico,1,0,US
2020-07-11,Mora,New Mexico,2,0,US
2020-07-12,Mora,New Mexico,3,0,US
2020-07-13,Mora,New Mexico,3,0,US
2020-07-14,Mora,New Mexico,2,0,US
2020-07-15,Mora,New Mexico,2,0,US
2020-07-16,Mora,New Mexico,2,0,US
2020-07-17,Mora,New Mexico,3,0,US
2020-07-18,Mora,New Mexico,3,0,US
2020-07-19,Mora,New Mexico,3,0,US
2020-07-20,Mora,New Mexico,3,0,US
2020-07-21,Mora,New Mexico,3,0,US
2020-07-22,Mora,New Mexico,6,0,US
2020-07-23,Mora,New Mexico,6,0,US
2020-07-24,Mora,New Mexico,6,0,US
2020-07-25,Mora,New Mexico,6,0,US
2020-07-26,Mora,New Mexico,6,0,US
2020-07-27,Mora,New Mexico,6,0,US
2020-07-28,Mora,New Mexico,6,0,US
2020-07-29,Mora,New Mexico,6,0,US
2020-07-30,Mora,New Mexico,6,0,US
2020-07-31,Mora,New Mexico,6,0,US
2020-08-01,Mora,New Mexico,6,0,US
2020-08-02,Mora,New Mexico,6,0,US
2020-08-03,Mora,New Mexico,6,0,US
2020-08-04,Mora,New Mexico,6,0,US
2020-08-05,Mora,New Mexico,6,0,US
2020-08-06,Mora,New Mexico,6,0,US
2020-08-07,Mora,New Mexico,6,0,US
2020-08-08,Mora,New Mexico,6,0,US
2020-08-09,Mora,New Mexico,6,0,US
2020-08-10,Mora,New Mexico,6,0,US
2020-08-11,Mora,New Mexico,6,0,US
2020-08-12,Mora,New Mexico,6,0,US
2020-08-13,Mora,New Mexico,6,0,US
2020-08-14,Mora,New Mexico,6,0,US
2020-08-15,Mora,New Mexico,6,0,US
2020-08-16,Mora,New Mexico,6,0,US
2020-08-17,Mora,New Mexico,6,0,US
2020-08-18,Mora,New Mexico,6,0,US
2020-08-19,Mora,New Mexico,6,0,US
2020-08-20,Mora,New Mexico,6,0,US
2020-08-21,Mora,New Mexico,6,0,US
2020-08-22,Mora,New Mexico,6,0,US
2020-08-23,Mora,New Mexico,6,0,US
2020-08-24,Mora,New Mexico,6,0,US
2020-08-25,Mora,New Mexico,6,0,US
2020-08-26,Mora,New Mexico,6,0,US
2020-08-27,Mora,New Mexico,6,0,US
2020-08-28,Mora,New Mexico,6,0,US
2020-08-29,Mora,New Mexico,6,0,US
2020-08-30,Mora,New Mexico,6,0,US
2020-08-31,Mora,New Mexico,6,0,US
2020-09-01,Mora,New Mexico,6,0,US
2020-09-02,Mora,New Mexico,6,0,US
2020-09-03,Mora,New Mexico,6,0,US
2020-09-04,Mora,New Mexico,6,0,US
2020-09-05,Mora,New Mexico,6,0,US
2020-09-06,Mora,New Mexico,6,0,US
2020-09-07,Mora,New Mexico,6,0,US
2020-09-08,Mora,New Mexico,6,0,US
2020-09-09,Mora,New Mexico,6,0,US
2020-09-10,Mora,New Mexico,6,0,US
2020-09-11,Mora,New Mexico,6,0,US
2020-09-12,Mora,New Mexico,7,0,US
2020-09-13,Mora,New Mexico,7,0,US
2020-09-14,Mora,New Mexico,7,0,US
2020-09-15,Mora,New Mexico,7,0,US
2020-09-16,Mora,New Mexico,7,0,US
2020-09-17,Mora,New Mexico,7,0,US
2020-09-18,Mora,New Mexico,7,0,US
2020-09-19,Mora,New Mexico,7,0,US
2020-09-20,Mora,New Mexico,7,0,US
2020-09-21,Mora,New Mexico,7,0,US
2020-09-22,Mora,New Mexico,7,0,US
2020-09-23,Mora,New Mexico,7,0,US
2020-09-24,Mora,New Mexico,7,0,US
2020-09-25,Mora,New Mexico,7,0,US
2020-09-26,Mora,New Mexico,7,0,US
2020-09-27,Mora,New Mexico,7,0,US
2020-09-28,Mora,New Mexico,7,0,US
2020-09-29,Mora,New Mexico,7,0,US
2020-09-30,Mora,New Mexico,7,0,US
2020-10-01,Mora,New Mexico,7,0,US
2020-10-02,Mora,New Mexico,7,0,US
2020-10-03,Mora,New Mexico,7,0,US
2020-10-04,Mora,New Mexico,7,0,US
2020-10-05,Mora,New Mexico,7,0,US
2020-10-06,Mora,New Mexico,7,0,US
2020-10-07,Mora,New Mexico,7,0,US
