Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Morrow,Oregon,0,0,US
2020-01-23,Morrow,Oregon,0,0,US
2020-01-24,Morrow,Oregon,0,0,US
2020-01-25,Morrow,Oregon,0,0,US
2020-01-26,Morrow,Oregon,0,0,US
2020-01-27,Morrow,Oregon,0,0,US
2020-01-28,Morrow,Oregon,0,0,US
2020-01-29,Morrow,Oregon,0,0,US
2020-01-30,Morrow,Oregon,0,0,US
2020-01-31,Morrow,Oregon,0,0,US
2020-02-01,Morrow,Oregon,0,0,US
2020-02-02,Morrow,Oregon,0,0,US
2020-02-03,Morrow,Oregon,0,0,US
2020-02-04,Morrow,Oregon,0,0,US
2020-02-05,Morrow,Oregon,0,0,US
2020-02-06,Morrow,Oregon,0,0,US
2020-02-07,Morrow,Oregon,0,0,US
2020-02-08,Morrow,Oregon,0,0,US
2020-02-09,Morrow,Oregon,0,0,US
2020-02-10,Morrow,Oregon,0,0,US
2020-02-11,Morrow,Oregon,0,0,US
2020-02-12,Morrow,Oregon,0,0,US
2020-02-13,Morrow,Oregon,0,0,US
2020-02-14,Morrow,Oregon,0,0,US
2020-02-15,Morrow,Oregon,0,0,US
2020-02-16,Morrow,Oregon,0,0,US
2020-02-17,Morrow,Oregon,0,0,US
2020-02-18,Morrow,Oregon,0,0,US
2020-02-19,Morrow,Oregon,0,0,US
2020-02-20,Morrow,Oregon,0,0,US
2020-02-21,Morrow,Oregon,0,0,US
2020-02-22,Morrow,Oregon,0,0,US
2020-02-23,Morrow,Oregon,0,0,US
2020-02-24,Morrow,Oregon,0,0,US
2020-02-25,Morrow,Oregon,0,0,US
2020-02-26,Morrow,Oregon,0,0,US
2020-02-27,Morrow,Oregon,0,0,US
2020-02-28,Morrow,Oregon,0,0,US
2020-02-29,Morrow,Oregon,0,0,US
2020-03-01,Morrow,Oregon,0,0,US
2020-03-02,Morrow,Oregon,0,0,US
2020-03-03,Morrow,Oregon,0,0,US
2020-03-04,Morrow,Oregon,0,0,US
2020-03-05,Morrow,Oregon,0,0,US
2020-03-06,Morrow,Oregon,0,0,US
2020-03-07,Morrow,Oregon,0,0,US
2020-03-08,Morrow,Oregon,0,0,US
2020-03-09,Morrow,Oregon,0,0,US
2020-03-10,Morrow,Oregon,0,0,US
2020-03-11,Morrow,Oregon,0,0,US
2020-03-12,Morrow,Oregon,0,0,US
2020-03-13,Morrow,Oregon,0,0,US
2020-03-14,Morrow,Oregon,0,0,US
2020-03-15,Morrow,Oregon,0,0,US
2020-03-16,Morrow,Oregon,0,0,US
2020-03-17,Morrow,Oregon,0,0,US
2020-03-18,Morrow,Oregon,0,0,US
2020-03-19,Morrow,Oregon,0,0,US
2020-03-20,Morrow,Oregon,0,0,US
2020-03-21,Morrow,Oregon,0,0,US
2020-03-22,Morrow,Oregon,0,0,US
2020-03-23,Morrow,Oregon,0,0,US
2020-03-24,Morrow,Oregon,0,0,US
2020-03-25,Morrow,Oregon,0,0,US
2020-03-26,Morrow,Oregon,0,0,US
2020-03-27,Morrow,Oregon,1,0,US
2020-03-28,Morrow,Oregon,1,0,US
2020-03-29,Morrow,Oregon,1,0,US
2020-03-30,Morrow,Oregon,1,0,US
2020-03-31,Morrow,Oregon,1,0,US
2020-04-01,Morrow,Oregon,1,0,US
2020-04-02,Morrow,Oregon,1,0,US
2020-04-03,Morrow,Oregon,2,0,US
2020-04-04,Morrow,Oregon,2,0,US
2020-04-05,Morrow,Oregon,2,0,US
2020-04-06,Morrow,Oregon,2,0,US
2020-04-07,Morrow,Oregon,2,0,US
2020-04-08,Morrow,Oregon,2,0,US
2020-04-09,Morrow,Oregon,5,0,US
2020-04-10,Morrow,Oregon,5,0,US
2020-04-11,Morrow,Oregon,5,0,US
2020-04-12,Morrow,Oregon,5,0,US
2020-04-13,Morrow,Oregon,5,0,US
2020-04-14,Morrow,Oregon,5,0,US
