Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Murray,Minnesota,0,0,US
2020-01-23,Murray,Minnesota,0,0,US
2020-01-24,Murray,Minnesota,0,0,US
2020-01-25,Murray,Minnesota,0,0,US
2020-01-26,Murray,Minnesota,0,0,US
2020-01-27,Murray,Minnesota,0,0,US
2020-01-28,Murray,Minnesota,0,0,US
2020-01-29,Murray,Minnesota,0,0,US
2020-01-30,Murray,Minnesota,0,0,US
2020-01-31,Murray,Minnesota,0,0,US
2020-02-01,Murray,Minnesota,0,0,US
2020-02-02,Murray,Minnesota,0,0,US
2020-02-03,Murray,Minnesota,0,0,US
2020-02-04,Murray,Minnesota,0,0,US
2020-02-05,Murray,Minnesota,0,0,US
2020-02-06,Murray,Minnesota,0,0,US
2020-02-07,Murray,Minnesota,0,0,US
2020-02-08,Murray,Minnesota,0,0,US
2020-02-09,Murray,Minnesota,0,0,US
2020-02-10,Murray,Minnesota,0,0,US
2020-02-11,Murray,Minnesota,0,0,US
2020-02-12,Murray,Minnesota,0,0,US
2020-02-13,Murray,Minnesota,0,0,US
2020-02-14,Murray,Minnesota,0,0,US
2020-02-15,Murray,Minnesota,0,0,US
2020-02-16,Murray,Minnesota,0,0,US
2020-02-17,Murray,Minnesota,0,0,US
2020-02-18,Murray,Minnesota,0,0,US
2020-02-19,Murray,Minnesota,0,0,US
2020-02-20,Murray,Minnesota,0,0,US
2020-02-21,Murray,Minnesota,0,0,US
2020-02-22,Murray,Minnesota,0,0,US
2020-02-23,Murray,Minnesota,0,0,US
2020-02-24,Murray,Minnesota,0,0,US
2020-02-25,Murray,Minnesota,0,0,US
2020-02-26,Murray,Minnesota,0,0,US
2020-02-27,Murray,Minnesota,0,0,US
2020-02-28,Murray,Minnesota,0,0,US
2020-02-29,Murray,Minnesota,0,0,US
2020-03-01,Murray,Minnesota,0,0,US
2020-03-02,Murray,Minnesota,0,0,US
2020-03-03,Murray,Minnesota,0,0,US
2020-03-04,Murray,Minnesota,0,0,US
