Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Murray,Oklahoma,0,0,US
2020-01-23,Murray,Oklahoma,0,0,US
2020-01-24,Murray,Oklahoma,0,0,US
2020-01-25,Murray,Oklahoma,0,0,US
2020-01-26,Murray,Oklahoma,0,0,US
2020-01-27,Murray,Oklahoma,0,0,US
2020-01-28,Murray,Oklahoma,0,0,US
2020-01-29,Murray,Oklahoma,0,0,US
2020-01-30,Murray,Oklahoma,0,0,US
2020-01-31,Murray,Oklahoma,0,0,US
2020-02-01,Murray,Oklahoma,0,0,US
2020-02-02,Murray,Oklahoma,0,0,US
2020-02-03,Murray,Oklahoma,0,0,US
2020-02-04,Murray,Oklahoma,0,0,US
2020-02-05,Murray,Oklahoma,0,0,US
2020-02-06,Murray,Oklahoma,0,0,US
2020-02-07,Murray,Oklahoma,0,0,US
2020-02-08,Murray,Oklahoma,0,0,US
2020-02-09,Murray,Oklahoma,0,0,US
2020-02-10,Murray,Oklahoma,0,0,US
2020-02-11,Murray,Oklahoma,0,0,US
2020-02-12,Murray,Oklahoma,0,0,US
2020-02-13,Murray,Oklahoma,0,0,US
2020-02-14,Murray,Oklahoma,0,0,US
2020-02-15,Murray,Oklahoma,0,0,US
2020-02-16,Murray,Oklahoma,0,0,US
2020-02-17,Murray,Oklahoma,0,0,US
2020-02-18,Murray,Oklahoma,0,0,US
2020-02-19,Murray,Oklahoma,0,0,US
2020-02-20,Murray,Oklahoma,0,0,US
2020-02-21,Murray,Oklahoma,0,0,US
2020-02-22,Murray,Oklahoma,0,0,US
2020-02-23,Murray,Oklahoma,0,0,US
2020-02-24,Murray,Oklahoma,0,0,US
2020-02-25,Murray,Oklahoma,0,0,US
2020-02-26,Murray,Oklahoma,0,0,US
2020-02-27,Murray,Oklahoma,0,0,US
2020-02-28,Murray,Oklahoma,0,0,US
2020-02-29,Murray,Oklahoma,0,0,US
2020-03-01,Murray,Oklahoma,0,0,US
2020-03-02,Murray,Oklahoma,0,0,US
2020-03-03,Murray,Oklahoma,0,0,US
2020-03-04,Murray,Oklahoma,0,0,US
2020-03-05,Murray,Oklahoma,0,0,US
2020-03-06,Murray,Oklahoma,0,0,US
2020-03-07,Murray,Oklahoma,0,0,US
2020-03-08,Murray,Oklahoma,0,0,US
2020-03-09,Murray,Oklahoma,0,0,US
2020-03-10,Murray,Oklahoma,0,0,US
2020-03-11,Murray,Oklahoma,0,0,US
2020-03-12,Murray,Oklahoma,0,0,US
2020-03-13,Murray,Oklahoma,0,0,US
2020-03-14,Murray,Oklahoma,0,0,US
2020-03-15,Murray,Oklahoma,0,0,US
2020-03-16,Murray,Oklahoma,0,0,US
2020-03-17,Murray,Oklahoma,0,0,US
2020-03-18,Murray,Oklahoma,0,0,US
2020-03-19,Murray,Oklahoma,0,0,US
2020-03-20,Murray,Oklahoma,0,0,US
2020-03-21,Murray,Oklahoma,0,0,US
2020-03-22,Murray,Oklahoma,0,0,US
2020-03-23,Murray,Oklahoma,0,0,US
2020-03-24,Murray,Oklahoma,0,0,US
2020-03-25,Murray,Oklahoma,0,0,US
2020-03-26,Murray,Oklahoma,0,0,US
2020-03-27,Murray,Oklahoma,0,0,US
2020-03-28,Murray,Oklahoma,0,0,US
2020-03-29,Murray,Oklahoma,0,0,US
2020-03-30,Murray,Oklahoma,0,0,US
2020-03-31,Murray,Oklahoma,0,0,US
2020-04-01,Murray,Oklahoma,0,0,US
2020-04-02,Murray,Oklahoma,0,0,US
2020-04-03,Murray,Oklahoma,0,0,US
2020-04-04,Murray,Oklahoma,0,0,US
2020-04-05,Murray,Oklahoma,0,0,US
2020-04-06,Murray,Oklahoma,0,0,US
2020-04-07,Murray,Oklahoma,0,0,US
2020-04-08,Murray,Oklahoma,0,0,US
2020-04-09,Murray,Oklahoma,0,0,US
2020-04-10,Murray,Oklahoma,0,0,US
2020-04-11,Murray,Oklahoma,0,0,US
2020-04-12,Murray,Oklahoma,0,0,US
2020-04-13,Murray,Oklahoma,0,0,US
2020-04-14,Murray,Oklahoma,0,0,US
2020-04-15,Murray,Oklahoma,0,0,US
2020-04-16,Murray,Oklahoma,0,0,US
2020-04-17,Murray,Oklahoma,0,0,US
2020-04-18,Murray,Oklahoma,0,0,US
2020-04-19,Murray,Oklahoma,1,0,US
2020-04-20,Murray,Oklahoma,1,0,US
2020-04-21,Murray,Oklahoma,1,0,US
2020-04-22,Murray,Oklahoma,1,0,US
2020-04-23,Murray,Oklahoma,1,0,US
2020-04-24,Murray,Oklahoma,1,0,US
2020-04-25,Murray,Oklahoma,1,0,US
2020-04-26,Murray,Oklahoma,1,0,US
2020-04-27,Murray,Oklahoma,1,0,US
2020-04-28,Murray,Oklahoma,1,0,US
2020-04-29,Murray,Oklahoma,1,0,US
2020-04-30,Murray,Oklahoma,1,0,US
2020-05-01,Murray,Oklahoma,1,0,US
2020-05-02,Murray,Oklahoma,2,0,US
2020-05-03,Murray,Oklahoma,2,0,US
2020-05-04,Murray,Oklahoma,2,0,US
2020-05-05,Murray,Oklahoma,2,0,US
2020-05-06,Murray,Oklahoma,2,0,US
2020-05-07,Murray,Oklahoma,2,0,US
2020-05-08,Murray,Oklahoma,2,0,US
2020-05-09,Murray,Oklahoma,2,0,US
2020-05-10,Murray,Oklahoma,2,0,US
2020-05-11,Murray,Oklahoma,2,0,US
2020-05-12,Murray,Oklahoma,2,0,US
2020-05-13,Murray,Oklahoma,2,0,US
2020-05-14,Murray,Oklahoma,2,0,US
2020-05-15,Murray,Oklahoma,2,0,US
2020-05-16,Murray,Oklahoma,2,0,US
2020-05-17,Murray,Oklahoma,2,0,US
2020-05-18,Murray,Oklahoma,2,0,US
2020-05-19,Murray,Oklahoma,2,0,US
2020-05-20,Murray,Oklahoma,2,0,US
2020-05-21,Murray,Oklahoma,2,0,US
2020-05-22,Murray,Oklahoma,2,0,US
2020-05-23,Murray,Oklahoma,2,0,US
2020-05-24,Murray,Oklahoma,2,0,US
2020-05-25,Murray,Oklahoma,2,0,US
2020-05-26,Murray,Oklahoma,2,0,US
2020-05-27,Murray,Oklahoma,3,0,US
2020-05-28,Murray,Oklahoma,4,0,US
2020-05-29,Murray,Oklahoma,4,0,US
2020-05-30,Murray,Oklahoma,4,0,US
2020-05-31,Murray,Oklahoma,4,0,US
2020-06-01,Murray,Oklahoma,4,0,US
2020-06-02,Murray,Oklahoma,4,0,US
2020-06-03,Murray,Oklahoma,5,0,US
2020-06-04,Murray,Oklahoma,5,0,US
2020-06-05,Murray,Oklahoma,5,0,US
2020-06-06,Murray,Oklahoma,5,0,US
2020-06-07,Murray,Oklahoma,6,0,US
2020-06-08,Murray,Oklahoma,6,0,US
2020-06-09,Murray,Oklahoma,6,0,US
2020-06-10,Murray,Oklahoma,6,0,US
2020-06-11,Murray,Oklahoma,6,0,US
2020-06-12,Murray,Oklahoma,6,0,US
2020-06-13,Murray,Oklahoma,6,0,US
2020-06-14,Murray,Oklahoma,11,0,US
2020-06-15,Murray,Oklahoma,11,0,US
2020-06-16,Murray,Oklahoma,11,0,US
2020-06-17,Murray,Oklahoma,13,0,US
2020-06-18,Murray,Oklahoma,12,0,US
2020-06-19,Murray,Oklahoma,13,0,US
2020-06-20,Murray,Oklahoma,13,0,US
2020-06-21,Murray,Oklahoma,13,0,US
2020-06-22,Murray,Oklahoma,14,0,US
2020-06-23,Murray,Oklahoma,14,0,US
2020-06-24,Murray,Oklahoma,14,0,US
2020-06-25,Murray,Oklahoma,15,0,US
2020-06-26,Murray,Oklahoma,16,0,US
2020-06-27,Murray,Oklahoma,18,0,US
2020-06-28,Murray,Oklahoma,18,0,US
2020-06-29,Murray,Oklahoma,19,0,US
2020-06-30,Murray,Oklahoma,18,0,US
2020-07-01,Murray,Oklahoma,18,0,US
2020-07-02,Murray,Oklahoma,18,0,US
2020-07-03,Murray,Oklahoma,18,0,US
2020-07-04,Murray,Oklahoma,21,0,US
2020-07-05,Murray,Oklahoma,22,0,US
2020-07-06,Murray,Oklahoma,22,0,US
2020-07-07,Murray,Oklahoma,23,0,US
2020-07-08,Murray,Oklahoma,23,0,US
2020-07-09,Murray,Oklahoma,24,0,US
2020-07-10,Murray,Oklahoma,25,0,US
2020-07-11,Murray,Oklahoma,25,0,US
2020-07-12,Murray,Oklahoma,25,0,US
2020-07-13,Murray,Oklahoma,25,0,US
2020-07-14,Murray,Oklahoma,25,0,US
2020-07-15,Murray,Oklahoma,28,0,US
2020-07-16,Murray,Oklahoma,28,0,US
2020-07-17,Murray,Oklahoma,28,0,US
2020-07-18,Murray,Oklahoma,29,0,US
2020-07-19,Murray,Oklahoma,29,0,US
2020-07-20,Murray,Oklahoma,29,0,US
2020-07-21,Murray,Oklahoma,31,0,US
2020-07-22,Murray,Oklahoma,39,0,US
2020-07-23,Murray,Oklahoma,40,0,US
2020-07-24,Murray,Oklahoma,47,0,US
2020-07-25,Murray,Oklahoma,49,0,US
2020-07-26,Murray,Oklahoma,51,0,US
2020-07-27,Murray,Oklahoma,49,0,US
2020-07-28,Murray,Oklahoma,53,0,US
2020-07-29,Murray,Oklahoma,58,0,US
2020-07-30,Murray,Oklahoma,59,0,US
2020-07-31,Murray,Oklahoma,59,0,US
2020-08-01,Murray,Oklahoma,59,0,US
2020-08-02,Murray,Oklahoma,59,0,US
2020-08-03,Murray,Oklahoma,60,0,US
2020-08-04,Murray,Oklahoma,63,0,US
2020-08-05,Murray,Oklahoma,68,0,US
2020-08-06,Murray,Oklahoma,69,0,US
2020-08-07,Murray,Oklahoma,69,0,US
2020-08-08,Murray,Oklahoma,71,0,US
2020-08-09,Murray,Oklahoma,73,0,US
2020-08-10,Murray,Oklahoma,73,0,US
2020-08-11,Murray,Oklahoma,76,0,US
2020-08-12,Murray,Oklahoma,76,0,US
2020-08-13,Murray,Oklahoma,78,0,US
2020-08-14,Murray,Oklahoma,79,0,US
2020-08-15,Murray,Oklahoma,79,0,US
2020-08-16,Murray,Oklahoma,81,0,US
2020-08-17,Murray,Oklahoma,82,0,US
2020-08-18,Murray,Oklahoma,81,0,US
2020-08-19,Murray,Oklahoma,81,0,US
2020-08-20,Murray,Oklahoma,84,0,US
2020-08-21,Murray,Oklahoma,84,0,US
2020-08-22,Murray,Oklahoma,85,0,US
2020-08-23,Murray,Oklahoma,86,0,US
2020-08-24,Murray,Oklahoma,86,0,US
2020-08-25,Murray,Oklahoma,87,0,US
2020-08-26,Murray,Oklahoma,87,1,US
2020-08-27,Murray,Oklahoma,87,1,US
2020-08-28,Murray,Oklahoma,87,1,US
2020-08-29,Murray,Oklahoma,88,1,US
2020-08-30,Murray,Oklahoma,89,1,US
2020-08-31,Murray,Oklahoma,89,1,US
2020-09-01,Murray,Oklahoma,90,1,US
2020-09-02,Murray,Oklahoma,89,1,US
2020-09-03,Murray,Oklahoma,90,1,US
2020-09-04,Murray,Oklahoma,91,1,US
2020-09-05,Murray,Oklahoma,93,1,US
2020-09-06,Murray,Oklahoma,93,1,US
2020-09-07,Murray,Oklahoma,95,1,US
2020-09-08,Murray,Oklahoma,97,1,US
2020-09-09,Murray,Oklahoma,102,1,US
2020-09-10,Murray,Oklahoma,104,1,US
2020-09-11,Murray,Oklahoma,107,1,US
2020-09-12,Murray,Oklahoma,106,1,US
2020-09-13,Murray,Oklahoma,107,1,US
2020-09-14,Murray,Oklahoma,107,1,US
2020-09-15,Murray,Oklahoma,109,1,US
2020-09-16,Murray,Oklahoma,111,1,US
2020-09-17,Murray,Oklahoma,110,1,US
2020-09-18,Murray,Oklahoma,113,1,US
2020-09-19,Murray,Oklahoma,113,1,US
2020-09-20,Murray,Oklahoma,114,1,US
2020-09-21,Murray,Oklahoma,116,1,US
2020-09-22,Murray,Oklahoma,119,1,US
