Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Musselshell,Montana,0,0,US
2020-01-23,Musselshell,Montana,0,0,US
2020-01-24,Musselshell,Montana,0,0,US
2020-01-25,Musselshell,Montana,0,0,US
2020-01-26,Musselshell,Montana,0,0,US
2020-01-27,Musselshell,Montana,0,0,US
2020-01-28,Musselshell,Montana,0,0,US
2020-01-29,Musselshell,Montana,0,0,US
2020-01-30,Musselshell,Montana,0,0,US
2020-01-31,Musselshell,Montana,0,0,US
2020-02-01,Musselshell,Montana,0,0,US
2020-02-02,Musselshell,Montana,0,0,US
2020-02-03,Musselshell,Montana,0,0,US
2020-02-04,Musselshell,Montana,0,0,US
2020-02-05,Musselshell,Montana,0,0,US
2020-02-06,Musselshell,Montana,0,0,US
2020-02-07,Musselshell,Montana,0,0,US
2020-02-08,Musselshell,Montana,0,0,US
2020-02-09,Musselshell,Montana,0,0,US
2020-02-10,Musselshell,Montana,0,0,US
2020-02-11,Musselshell,Montana,0,0,US
2020-02-12,Musselshell,Montana,0,0,US
2020-02-13,Musselshell,Montana,0,0,US
2020-02-14,Musselshell,Montana,0,0,US
2020-02-15,Musselshell,Montana,0,0,US
2020-02-16,Musselshell,Montana,0,0,US
2020-02-17,Musselshell,Montana,0,0,US
2020-02-18,Musselshell,Montana,0,0,US
2020-02-19,Musselshell,Montana,0,0,US
2020-02-20,Musselshell,Montana,0,0,US
2020-02-21,Musselshell,Montana,0,0,US
2020-02-22,Musselshell,Montana,0,0,US
2020-02-23,Musselshell,Montana,0,0,US
2020-02-24,Musselshell,Montana,0,0,US
2020-02-25,Musselshell,Montana,0,0,US
2020-02-26,Musselshell,Montana,0,0,US
2020-02-27,Musselshell,Montana,0,0,US
2020-02-28,Musselshell,Montana,0,0,US
2020-02-29,Musselshell,Montana,0,0,US
2020-03-01,Musselshell,Montana,0,0,US
2020-03-02,Musselshell,Montana,0,0,US
2020-03-03,Musselshell,Montana,0,0,US
2020-03-04,Musselshell,Montana,0,0,US
2020-03-05,Musselshell,Montana,0,0,US
2020-03-06,Musselshell,Montana,0,0,US
2020-03-07,Musselshell,Montana,0,0,US
2020-03-08,Musselshell,Montana,0,0,US
2020-03-09,Musselshell,Montana,0,0,US
2020-03-10,Musselshell,Montana,0,0,US
2020-03-11,Musselshell,Montana,0,0,US
2020-03-12,Musselshell,Montana,0,0,US
2020-03-13,Musselshell,Montana,0,0,US
2020-03-14,Musselshell,Montana,0,0,US
2020-03-15,Musselshell,Montana,0,0,US
2020-03-16,Musselshell,Montana,0,0,US
2020-03-17,Musselshell,Montana,0,0,US
2020-03-18,Musselshell,Montana,0,0,US
2020-03-19,Musselshell,Montana,0,0,US
2020-03-20,Musselshell,Montana,0,0,US
2020-03-21,Musselshell,Montana,0,0,US
2020-03-22,Musselshell,Montana,0,0,US
2020-03-23,Musselshell,Montana,0,0,US
2020-03-24,Musselshell,Montana,0,0,US
2020-03-25,Musselshell,Montana,0,0,US
2020-03-26,Musselshell,Montana,0,0,US
2020-03-27,Musselshell,Montana,0,0,US
2020-03-28,Musselshell,Montana,0,0,US
