Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Napa,California,0,0,US
2020-01-23,Napa,California,0,0,US
2020-01-24,Napa,California,0,0,US
2020-01-25,Napa,California,0,0,US
2020-01-26,Napa,California,0,0,US
2020-01-27,Napa,California,0,0,US
2020-01-28,Napa,California,0,0,US
2020-01-29,Napa,California,0,0,US
2020-01-30,Napa,California,0,0,US
2020-01-31,Napa,California,0,0,US
2020-02-01,Napa,California,0,0,US
2020-02-02,Napa,California,0,0,US
2020-02-03,Napa,California,0,0,US
2020-02-04,Napa,California,0,0,US
2020-02-05,Napa,California,0,0,US
2020-02-06,Napa,California,0,0,US
2020-02-07,Napa,California,0,0,US
2020-02-08,Napa,California,0,0,US
2020-02-09,Napa,California,0,0,US
2020-02-10,Napa,California,0,0,US
2020-02-11,Napa,California,0,0,US
2020-02-12,Napa,California,0,0,US
2020-02-13,Napa,California,0,0,US
2020-02-14,Napa,California,0,0,US
2020-02-15,Napa,California,0,0,US
2020-02-16,Napa,California,0,0,US
2020-02-17,Napa,California,0,0,US
2020-02-18,Napa,California,0,0,US
2020-02-19,Napa,California,0,0,US
2020-02-20,Napa,California,0,0,US
2020-02-21,Napa,California,0,0,US
2020-02-22,Napa,California,0,0,US
2020-02-23,Napa,California,0,0,US
2020-02-24,Napa,California,0,0,US
2020-02-25,Napa,California,0,0,US
2020-02-26,Napa,California,0,0,US
2020-02-27,Napa,California,0,0,US
2020-02-28,Napa,California,0,0,US
2020-02-29,Napa,California,0,0,US
2020-03-01,Napa,California,0,0,US
2020-03-02,Napa,California,0,0,US
2020-03-03,Napa,California,0,0,US
2020-03-04,Napa,California,0,0,US
2020-03-05,Napa,California,0,0,US
2020-03-06,Napa,California,0,0,US
2020-03-07,Napa,California,0,0,US
2020-03-08,Napa,California,0,0,US
2020-03-09,Napa,California,0,0,US
2020-03-10,Napa,California,0,0,US
2020-03-11,Napa,California,0,0,US
2020-03-12,Napa,California,0,0,US
2020-03-13,Napa,California,0,0,US
2020-03-14,Napa,California,0,0,US
2020-03-15,Napa,California,0,0,US
2020-03-16,Napa,California,0,0,US
2020-03-17,Napa,California,0,0,US
2020-03-18,Napa,California,0,0,US
2020-03-19,Napa,California,0,0,US
2020-03-20,Napa,California,0,0,US
2020-03-21,Napa,California,0,0,US
2020-03-22,Napa,California,1,0,US
2020-03-23,Napa,California,1,0,US
2020-03-24,Napa,California,2,0,US
2020-03-25,Napa,California,5,0,US
2020-03-26,Napa,California,5,0,US
2020-03-27,Napa,California,5,0,US
2020-03-28,Napa,California,10,0,US
2020-03-29,Napa,California,5,0,US
2020-03-30,Napa,California,9,0,US
2020-03-31,Napa,California,9,0,US
2020-04-01,Napa,California,11,0,US
2020-04-02,Napa,California,13,0,US
2020-04-03,Napa,California,13,1,US
2020-04-04,Napa,California,15,2,US
2020-04-05,Napa,California,15,2,US
2020-04-06,Napa,California,18,2,US
2020-04-07,Napa,California,18,2,US
2020-04-08,Napa,California,21,2,US
2020-04-09,Napa,California,27,2,US
2020-04-10,Napa,California,28,2,US
2020-04-11,Napa,California,29,2,US
2020-04-12,Napa,California,29,2,US
2020-04-13,Napa,California,30,2,US
2020-04-14,Napa,California,33,2,US
2020-04-15,Napa,California,34,2,US
2020-04-16,Napa,California,44,2,US
2020-04-17,Napa,California,46,2,US
2020-04-18,Napa,California,49,2,US
2020-04-19,Napa,California,49,2,US
2020-04-20,Napa,California,55,2,US
2020-04-21,Napa,California,58,2,US
2020-04-22,Napa,California,58,2,US
2020-04-23,Napa,California,59,2,US
2020-04-24,Napa,California,59,2,US
2020-04-25,Napa,California,60,2,US
2020-04-26,Napa,California,62,2,US
2020-04-27,Napa,California,64,2,US
2020-04-28,Napa,California,67,2,US
2020-04-29,Napa,California,68,2,US
2020-04-30,Napa,California,69,2,US
2020-05-01,Napa,California,69,2,US
2020-05-02,Napa,California,71,2,US
2020-05-03,Napa,California,72,2,US
2020-05-04,Napa,California,72,2,US
2020-05-05,Napa,California,74,2,US
2020-05-06,Napa,California,78,2,US
2020-05-07,Napa,California,78,2,US
2020-05-08,Napa,California,78,2,US
2020-05-09,Napa,California,78,2,US
2020-05-10,Napa,California,79,2,US
2020-05-11,Napa,California,79,2,US
2020-05-12,Napa,California,80,3,US
2020-05-13,Napa,California,81,3,US
2020-05-14,Napa,California,83,3,US
2020-05-15,Napa,California,83,3,US
2020-05-16,Napa,California,86,3,US
2020-05-17,Napa,California,89,3,US
2020-05-18,Napa,California,92,3,US
2020-05-19,Napa,California,93,3,US
2020-05-20,Napa,California,93,3,US
2020-05-21,Napa,California,96,3,US
2020-05-22,Napa,California,97,3,US
2020-05-23,Napa,California,101,3,US
2020-05-24,Napa,California,104,3,US
2020-05-25,Napa,California,107,3,US
2020-05-26,Napa,California,109,3,US
2020-05-27,Napa,California,112,3,US
2020-05-28,Napa,California,113,3,US
2020-05-29,Napa,California,113,3,US
2020-05-30,Napa,California,113,3,US
2020-05-31,Napa,California,114,3,US
2020-06-01,Napa,California,114,3,US
2020-06-02,Napa,California,116,3,US
2020-06-03,Napa,California,116,3,US
2020-06-04,Napa,California,117,3,US
2020-06-05,Napa,California,123,3,US
2020-06-06,Napa,California,136,3,US
2020-06-07,Napa,California,142,3,US
2020-06-08,Napa,California,151,3,US
2020-06-09,Napa,California,156,3,US
2020-06-10,Napa,California,159,3,US
2020-06-11,Napa,California,162,3,US
2020-06-12,Napa,California,162,3,US
2020-06-13,Napa,California,171,3,US
2020-06-14,Napa,California,181,3,US
2020-06-15,Napa,California,187,3,US
2020-06-16,Napa,California,196,3,US
2020-06-17,Napa,California,202,3,US
2020-06-18,Napa,California,205,3,US
2020-06-19,Napa,California,209,3,US
2020-06-20,Napa,California,212,3,US
2020-06-21,Napa,California,218,3,US
2020-06-22,Napa,California,222,3,US
2020-06-23,Napa,California,230,3,US
2020-06-24,Napa,California,258,3,US
2020-06-25,Napa,California,260,3,US
2020-06-26,Napa,California,277,3,US
2020-06-27,Napa,California,282,3,US
2020-06-28,Napa,California,307,4,US
2020-06-29,Napa,California,317,4,US
2020-06-30,Napa,California,342,4,US
2020-07-01,Napa,California,347,4,US
2020-07-02,Napa,California,352,4,US
2020-07-03,Napa,California,388,4,US
2020-07-04,Napa,California,426,4,US
2020-07-05,Napa,California,450,4,US
2020-07-06,Napa,California,454,4,US
2020-07-07,Napa,California,459,4,US
2020-07-08,Napa,California,468,4,US
2020-07-09,Napa,California,468,4,US
2020-07-10,Napa,California,496,4,US
2020-07-11,Napa,California,509,4,US
2020-07-12,Napa,California,519,4,US
2020-07-13,Napa,California,534,4,US
2020-07-14,Napa,California,557,4,US
2020-07-15,Napa,California,573,5,US
2020-07-16,Napa,California,581,5,US
2020-07-17,Napa,California,598,5,US
2020-07-18,Napa,California,609,5,US
2020-07-19,Napa,California,612,5,US
2020-07-20,Napa,California,632,5,US
2020-07-21,Napa,California,660,5,US
2020-07-22,Napa,California,687,5,US
