Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Navajo,Arizona,0,0,US
2020-01-23,Navajo,Arizona,0,0,US
2020-01-24,Navajo,Arizona,0,0,US
2020-01-25,Navajo,Arizona,0,0,US
2020-01-26,Navajo,Arizona,0,0,US
2020-01-27,Navajo,Arizona,0,0,US
2020-01-28,Navajo,Arizona,0,0,US
2020-01-29,Navajo,Arizona,0,0,US
2020-01-30,Navajo,Arizona,0,0,US
2020-01-31,Navajo,Arizona,0,0,US
2020-02-01,Navajo,Arizona,0,0,US
2020-02-02,Navajo,Arizona,0,0,US
2020-02-03,Navajo,Arizona,0,0,US
2020-02-04,Navajo,Arizona,0,0,US
2020-02-05,Navajo,Arizona,0,0,US
2020-02-06,Navajo,Arizona,0,0,US
2020-02-07,Navajo,Arizona,0,0,US
2020-02-08,Navajo,Arizona,0,0,US
2020-02-09,Navajo,Arizona,0,0,US
2020-02-10,Navajo,Arizona,0,0,US
2020-02-11,Navajo,Arizona,0,0,US
2020-02-12,Navajo,Arizona,0,0,US
2020-02-13,Navajo,Arizona,0,0,US
2020-02-14,Navajo,Arizona,0,0,US
2020-02-15,Navajo,Arizona,0,0,US
2020-02-16,Navajo,Arizona,0,0,US
2020-02-17,Navajo,Arizona,0,0,US
2020-02-18,Navajo,Arizona,0,0,US
2020-02-19,Navajo,Arizona,0,0,US
2020-02-20,Navajo,Arizona,0,0,US
2020-02-21,Navajo,Arizona,0,0,US
2020-02-22,Navajo,Arizona,0,0,US
2020-02-23,Navajo,Arizona,0,0,US
2020-02-24,Navajo,Arizona,0,0,US
2020-02-25,Navajo,Arizona,0,0,US
2020-02-26,Navajo,Arizona,0,0,US
2020-02-27,Navajo,Arizona,0,0,US
2020-02-28,Navajo,Arizona,0,0,US
2020-02-29,Navajo,Arizona,0,0,US
2020-03-01,Navajo,Arizona,0,0,US
2020-03-02,Navajo,Arizona,0,0,US
2020-03-03,Navajo,Arizona,0,0,US
2020-03-04,Navajo,Arizona,0,0,US
2020-03-05,Navajo,Arizona,0,0,US
2020-03-06,Navajo,Arizona,0,0,US
2020-03-07,Navajo,Arizona,0,0,US
2020-03-08,Navajo,Arizona,0,0,US
2020-03-09,Navajo,Arizona,0,0,US
2020-03-10,Navajo,Arizona,0,0,US
2020-03-11,Navajo,Arizona,0,0,US
2020-03-12,Navajo,Arizona,0,0,US
2020-03-13,Navajo,Arizona,0,0,US
2020-03-14,Navajo,Arizona,0,0,US
2020-03-15,Navajo,Arizona,0,0,US
2020-03-16,Navajo,Arizona,0,0,US
2020-03-17,Navajo,Arizona,1,0,US
2020-03-18,Navajo,Arizona,2,0,US
2020-03-19,Navajo,Arizona,3,0,US
2020-03-20,Navajo,Arizona,3,0,US
2020-03-21,Navajo,Arizona,10,0,US
2020-03-22,Navajo,Arizona,13,0,US
2020-03-23,Navajo,Arizona,25,0,US
2020-03-24,Navajo,Arizona,32,0,US
2020-03-25,Navajo,Arizona,37,0,US
2020-03-26,Navajo,Arizona,43,0,US
2020-03-27,Navajo,Arizona,49,0,US
2020-03-28,Navajo,Arizona,57,0,US
2020-03-29,Navajo,Arizona,62,0,US
2020-03-30,Navajo,Arizona,88,0,US
2020-03-31,Navajo,Arizona,91,0,US
2020-04-01,Navajo,Arizona,102,0,US
2020-04-02,Navajo,Arizona,129,1,US
2020-04-03,Navajo,Arizona,148,1,US
2020-04-04,Navajo,Arizona,177,1,US
2020-04-05,Navajo,Arizona,195,1,US
2020-04-06,Navajo,Arizona,210,1,US
2020-04-07,Navajo,Arizona,222,1,US
2020-04-08,Navajo,Arizona,240,7,US
2020-04-09,Navajo,Arizona,286,7,US
2020-04-10,Navajo,Arizona,287,7,US
2020-04-11,Navajo,Arizona,321,7,US
2020-04-12,Navajo,Arizona,335,8,US
2020-04-13,Navajo,Arizona,345,8,US
2020-04-14,Navajo,Arizona,355,9,US
2020-04-15,Navajo,Arizona,390,10,US
2020-04-16,Navajo,Arizona,410,11,US
2020-04-17,Navajo,Arizona,435,11,US
2020-04-18,Navajo,Arizona,452,11,US
2020-04-19,Navajo,Arizona,459,11,US
2020-04-20,Navajo,Arizona,473,11,US
2020-04-21,Navajo,Arizona,485,11,US
2020-04-22,Navajo,Arizona,527,12,US
2020-04-23,Navajo,Arizona,564,13,US
2020-04-24,Navajo,Arizona,583,18,US
2020-04-25,Navajo,Arizona,612,18,US
2020-04-26,Navajo,Arizona,625,18,US
2020-04-27,Navajo,Arizona,628,18,US
2020-04-28,Navajo,Arizona,665,18,US
2020-04-29,Navajo,Arizona,682,18,US
2020-04-30,Navajo,Arizona,712,21,US
2020-05-01,Navajo,Arizona,741,21,US
2020-05-02,Navajo,Arizona,766,21,US
2020-05-03,Navajo,Arizona,777,21,US
2020-05-04,Navajo,Arizona,800,21,US
2020-05-05,Navajo,Arizona,869,26,US
2020-05-06,Navajo,Arizona,892,31,US
2020-05-07,Navajo,Arizona,912,32,US
2020-05-08,Navajo,Arizona,945,35,US
2020-05-09,Navajo,Arizona,981,36,US
2020-05-10,Navajo,Arizona,983,36,US
2020-05-11,Navajo,Arizona,1006,37,US
2020-05-12,Navajo,Arizona,1017,41,US
2020-05-13,Navajo,Arizona,1099,42,US
2020-05-14,Navajo,Arizona,1150,43,US
2020-05-15,Navajo,Arizona,1177,48,US
2020-05-16,Navajo,Arizona,1238,48,US
2020-05-17,Navajo,Arizona,1273,48,US
2020-05-18,Navajo,Arizona,1285,48,US
2020-05-19,Navajo,Arizona,1320,48,US
2020-05-20,Navajo,Arizona,1361,52,US
2020-05-21,Navajo,Arizona,1421,52,US
2020-05-22,Navajo,Arizona,1470,53,US
2020-05-23,Navajo,Arizona,1491,56,US
2020-05-24,Navajo,Arizona,1523,56,US
2020-05-25,Navajo,Arizona,1543,56,US
2020-05-26,Navajo,Arizona,1550,56,US
2020-05-27,Navajo,Arizona,1652,57,US
2020-05-28,Navajo,Arizona,1678,58,US
2020-05-29,Navajo,Arizona,1752,58,US
2020-05-30,Navajo,Arizona,1833,59,US
2020-05-31,Navajo,Arizona,1866,60,US
