Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Navarro,Texas,0,0,US
2020-01-23,Navarro,Texas,0,0,US
2020-01-24,Navarro,Texas,0,0,US
2020-01-25,Navarro,Texas,0,0,US
2020-01-26,Navarro,Texas,0,0,US
2020-01-27,Navarro,Texas,0,0,US
2020-01-28,Navarro,Texas,0,0,US
2020-01-29,Navarro,Texas,0,0,US
2020-01-30,Navarro,Texas,0,0,US
2020-01-31,Navarro,Texas,0,0,US
2020-02-01,Navarro,Texas,0,0,US
2020-02-02,Navarro,Texas,0,0,US
2020-02-03,Navarro,Texas,0,0,US
2020-02-04,Navarro,Texas,0,0,US
2020-02-05,Navarro,Texas,0,0,US
2020-02-06,Navarro,Texas,0,0,US
2020-02-07,Navarro,Texas,0,0,US
2020-02-08,Navarro,Texas,0,0,US
2020-02-09,Navarro,Texas,0,0,US
2020-02-10,Navarro,Texas,0,0,US
2020-02-11,Navarro,Texas,0,0,US
2020-02-12,Navarro,Texas,0,0,US
2020-02-13,Navarro,Texas,0,0,US
2020-02-14,Navarro,Texas,0,0,US
2020-02-15,Navarro,Texas,0,0,US
2020-02-16,Navarro,Texas,0,0,US
2020-02-17,Navarro,Texas,0,0,US
2020-02-18,Navarro,Texas,0,0,US
2020-02-19,Navarro,Texas,0,0,US
2020-02-20,Navarro,Texas,0,0,US
2020-02-21,Navarro,Texas,0,0,US
2020-02-22,Navarro,Texas,0,0,US
2020-02-23,Navarro,Texas,0,0,US
2020-02-24,Navarro,Texas,0,0,US
2020-02-25,Navarro,Texas,0,0,US
2020-02-26,Navarro,Texas,0,0,US
2020-02-27,Navarro,Texas,0,0,US
2020-02-28,Navarro,Texas,0,0,US
2020-02-29,Navarro,Texas,0,0,US
2020-03-01,Navarro,Texas,0,0,US
2020-03-02,Navarro,Texas,0,0,US
2020-03-03,Navarro,Texas,0,0,US
2020-03-04,Navarro,Texas,0,0,US
2020-03-05,Navarro,Texas,0,0,US
2020-03-06,Navarro,Texas,0,0,US
2020-03-07,Navarro,Texas,0,0,US
2020-03-08,Navarro,Texas,0,0,US
2020-03-09,Navarro,Texas,0,0,US
2020-03-10,Navarro,Texas,0,0,US
2020-03-11,Navarro,Texas,0,0,US
2020-03-12,Navarro,Texas,0,0,US
2020-03-13,Navarro,Texas,0,0,US
2020-03-14,Navarro,Texas,0,0,US
2020-03-15,Navarro,Texas,0,0,US
2020-03-16,Navarro,Texas,0,0,US
2020-03-17,Navarro,Texas,0,0,US
2020-03-18,Navarro,Texas,0,0,US
2020-03-19,Navarro,Texas,0,0,US
2020-03-20,Navarro,Texas,0,0,US
2020-03-21,Navarro,Texas,0,0,US
2020-03-22,Navarro,Texas,0,0,US
2020-03-23,Navarro,Texas,0,0,US
2020-03-24,Navarro,Texas,0,0,US
2020-03-25,Navarro,Texas,0,0,US
2020-03-26,Navarro,Texas,0,0,US
2020-03-27,Navarro,Texas,1,0,US
2020-03-28,Navarro,Texas,1,0,US
2020-03-29,Navarro,Texas,1,0,US
2020-03-30,Navarro,Texas,3,0,US
2020-03-31,Navarro,Texas,3,0,US
2020-04-01,Navarro,Texas,4,0,US
2020-04-02,Navarro,Texas,5,0,US
2020-04-03,Navarro,Texas,5,1,US
2020-04-04,Navarro,Texas,7,1,US
2020-04-05,Navarro,Texas,7,1,US
2020-04-06,Navarro,Texas,9,1,US
2020-04-07,Navarro,Texas,9,1,US
2020-04-08,Navarro,Texas,11,1,US
2020-04-09,Navarro,Texas,12,2,US
2020-04-10,Navarro,Texas,13,2,US
2020-04-11,Navarro,Texas,13,2,US
2020-04-12,Navarro,Texas,15,2,US
2020-04-13,Navarro,Texas,17,2,US
2020-04-14,Navarro,Texas,17,2,US
2020-04-15,Navarro,Texas,19,2,US
2020-04-16,Navarro,Texas,20,2,US
