Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Oglethorpe,Georgia,0,0,US
2020-01-23,Oglethorpe,Georgia,0,0,US
2020-01-24,Oglethorpe,Georgia,0,0,US
2020-01-25,Oglethorpe,Georgia,0,0,US
2020-01-26,Oglethorpe,Georgia,0,0,US
2020-01-27,Oglethorpe,Georgia,0,0,US
2020-01-28,Oglethorpe,Georgia,0,0,US
2020-01-29,Oglethorpe,Georgia,0,0,US
2020-01-30,Oglethorpe,Georgia,0,0,US
2020-01-31,Oglethorpe,Georgia,0,0,US
2020-02-01,Oglethorpe,Georgia,0,0,US
2020-02-02,Oglethorpe,Georgia,0,0,US
2020-02-03,Oglethorpe,Georgia,0,0,US
2020-02-04,Oglethorpe,Georgia,0,0,US
2020-02-05,Oglethorpe,Georgia,0,0,US
2020-02-06,Oglethorpe,Georgia,0,0,US
2020-02-07,Oglethorpe,Georgia,0,0,US
2020-02-08,Oglethorpe,Georgia,0,0,US
2020-02-09,Oglethorpe,Georgia,0,0,US
2020-02-10,Oglethorpe,Georgia,0,0,US
2020-02-11,Oglethorpe,Georgia,0,0,US
2020-02-12,Oglethorpe,Georgia,0,0,US
2020-02-13,Oglethorpe,Georgia,0,0,US
2020-02-14,Oglethorpe,Georgia,0,0,US
2020-02-15,Oglethorpe,Georgia,0,0,US
2020-02-16,Oglethorpe,Georgia,0,0,US
2020-02-17,Oglethorpe,Georgia,0,0,US
2020-02-18,Oglethorpe,Georgia,0,0,US
2020-02-19,Oglethorpe,Georgia,0,0,US
2020-02-20,Oglethorpe,Georgia,0,0,US
2020-02-21,Oglethorpe,Georgia,0,0,US
2020-02-22,Oglethorpe,Georgia,0,0,US
2020-02-23,Oglethorpe,Georgia,0,0,US
2020-02-24,Oglethorpe,Georgia,0,0,US
2020-02-25,Oglethorpe,Georgia,0,0,US
2020-02-26,Oglethorpe,Georgia,0,0,US
2020-02-27,Oglethorpe,Georgia,0,0,US
2020-02-28,Oglethorpe,Georgia,0,0,US
2020-02-29,Oglethorpe,Georgia,0,0,US
2020-03-01,Oglethorpe,Georgia,0,0,US
2020-03-02,Oglethorpe,Georgia,0,0,US
2020-03-03,Oglethorpe,Georgia,0,0,US
2020-03-04,Oglethorpe,Georgia,0,0,US
2020-03-05,Oglethorpe,Georgia,0,0,US
2020-03-06,Oglethorpe,Georgia,0,0,US
2020-03-07,Oglethorpe,Georgia,0,0,US
2020-03-08,Oglethorpe,Georgia,0,0,US
2020-03-09,Oglethorpe,Georgia,0,0,US
2020-03-10,Oglethorpe,Georgia,0,0,US
2020-03-11,Oglethorpe,Georgia,0,0,US
2020-03-12,Oglethorpe,Georgia,0,0,US
2020-03-13,Oglethorpe,Georgia,0,0,US
2020-03-14,Oglethorpe,Georgia,0,0,US
2020-03-15,Oglethorpe,Georgia,0,0,US
2020-03-16,Oglethorpe,Georgia,0,0,US
2020-03-17,Oglethorpe,Georgia,0,0,US
2020-03-18,Oglethorpe,Georgia,0,0,US
2020-03-19,Oglethorpe,Georgia,0,0,US
2020-03-20,Oglethorpe,Georgia,0,0,US
2020-03-21,Oglethorpe,Georgia,0,0,US
2020-03-22,Oglethorpe,Georgia,0,0,US
2020-03-23,Oglethorpe,Georgia,0,0,US
2020-03-24,Oglethorpe,Georgia,0,0,US
2020-03-25,Oglethorpe,Georgia,0,0,US
2020-03-26,Oglethorpe,Georgia,0,0,US
2020-03-27,Oglethorpe,Georgia,0,0,US
2020-03-28,Oglethorpe,Georgia,0,0,US
2020-03-29,Oglethorpe,Georgia,0,0,US
2020-03-30,Oglethorpe,Georgia,0,0,US
2020-03-31,Oglethorpe,Georgia,1,0,US
2020-04-01,Oglethorpe,Georgia,1,0,US
2020-04-02,Oglethorpe,Georgia,1,1,US
2020-04-03,Oglethorpe,Georgia,1,1,US
2020-04-04,Oglethorpe,Georgia,1,1,US
2020-04-05,Oglethorpe,Georgia,1,1,US
2020-04-06,Oglethorpe,Georgia,1,1,US
2020-04-07,Oglethorpe,Georgia,2,1,US
2020-04-08,Oglethorpe,Georgia,2,1,US
2020-04-09,Oglethorpe,Georgia,2,1,US
2020-04-10,Oglethorpe,Georgia,11,1,US
2020-04-11,Oglethorpe,Georgia,12,1,US
2020-04-12,Oglethorpe,Georgia,12,1,US
2020-04-13,Oglethorpe,Georgia,13,1,US
2020-04-14,Oglethorpe,Georgia,19,1,US
2020-04-15,Oglethorpe,Georgia,19,1,US
2020-04-16,Oglethorpe,Georgia,31,1,US
2020-04-17,Oglethorpe,Georgia,32,1,US
2020-04-18,Oglethorpe,Georgia,32,2,US
2020-04-19,Oglethorpe,Georgia,32,2,US
2020-04-20,Oglethorpe,Georgia,34,2,US
2020-04-21,Oglethorpe,Georgia,34,3,US
2020-04-22,Oglethorpe,Georgia,37,3,US
2020-04-23,Oglethorpe,Georgia,36,3,US
2020-04-24,Oglethorpe,Georgia,48,3,US
2020-04-25,Oglethorpe,Georgia,48,3,US
2020-04-26,Oglethorpe,Georgia,47,3,US
2020-04-27,Oglethorpe,Georgia,48,3,US
2020-04-28,Oglethorpe,Georgia,48,3,US
2020-04-29,Oglethorpe,Georgia,49,3,US
2020-04-30,Oglethorpe,Georgia,48,3,US
2020-05-01,Oglethorpe,Georgia,49,3,US
2020-05-02,Oglethorpe,Georgia,50,3,US
2020-05-03,Oglethorpe,Georgia,50,3,US
2020-05-04,Oglethorpe,Georgia,50,3,US
2020-05-05,Oglethorpe,Georgia,52,3,US
2020-05-06,Oglethorpe,Georgia,51,3,US
2020-05-07,Oglethorpe,Georgia,53,3,US
2020-05-08,Oglethorpe,Georgia,56,4,US
2020-05-09,Oglethorpe,Georgia,56,4,US
2020-05-10,Oglethorpe,Georgia,56,4,US
2020-05-11,Oglethorpe,Georgia,56,4,US
2020-05-12,Oglethorpe,Georgia,56,4,US
2020-05-13,Oglethorpe,Georgia,56,4,US
2020-05-14,Oglethorpe,Georgia,55,4,US
2020-05-15,Oglethorpe,Georgia,55,4,US
2020-05-16,Oglethorpe,Georgia,55,4,US
2020-05-17,Oglethorpe,Georgia,55,4,US
2020-05-18,Oglethorpe,Georgia,55,4,US
2020-05-19,Oglethorpe,Georgia,56,4,US
2020-05-20,Oglethorpe,Georgia,56,4,US
2020-05-21,Oglethorpe,Georgia,56,5,US
2020-05-22,Oglethorpe,Georgia,58,5,US
2020-05-23,Oglethorpe,Georgia,58,5,US
2020-05-24,Oglethorpe,Georgia,58,5,US
2020-05-25,Oglethorpe,Georgia,58,5,US
2020-05-26,Oglethorpe,Georgia,58,5,US
2020-05-27,Oglethorpe,Georgia,58,6,US
2020-05-28,Oglethorpe,Georgia,58,6,US
2020-05-29,Oglethorpe,Georgia,60,6,US
2020-05-30,Oglethorpe,Georgia,61,6,US
2020-05-31,Oglethorpe,Georgia,61,7,US
2020-06-01,Oglethorpe,Georgia,62,7,US
2020-06-02,Oglethorpe,Georgia,62,7,US
2020-06-03,Oglethorpe,Georgia,63,7,US
2020-06-04,Oglethorpe,Georgia,63,7,US
2020-06-05,Oglethorpe,Georgia,66,7,US
2020-06-06,Oglethorpe,Georgia,66,7,US
2020-06-07,Oglethorpe,Georgia,66,7,US
2020-06-08,Oglethorpe,Georgia,67,7,US
2020-06-09,Oglethorpe,Georgia,70,7,US
2020-06-10,Oglethorpe,Georgia,71,7,US
2020-06-11,Oglethorpe,Georgia,71,7,US
2020-06-12,Oglethorpe,Georgia,71,7,US
2020-06-13,Oglethorpe,Georgia,72,7,US
2020-06-14,Oglethorpe,Georgia,72,7,US
2020-06-15,Oglethorpe,Georgia,75,7,US
2020-06-16,Oglethorpe,Georgia,77,7,US
2020-06-17,Oglethorpe,Georgia,77,7,US
2020-06-18,Oglethorpe,Georgia,77,7,US
2020-06-19,Oglethorpe,Georgia,80,7,US
2020-06-20,Oglethorpe,Georgia,81,7,US
2020-06-21,Oglethorpe,Georgia,81,7,US
2020-06-22,Oglethorpe,Georgia,81,7,US
2020-06-23,Oglethorpe,Georgia,85,7,US
2020-06-24,Oglethorpe,Georgia,86,7,US
2020-06-25,Oglethorpe,Georgia,87,7,US
2020-06-26,Oglethorpe,Georgia,88,7,US
2020-06-27,Oglethorpe,Georgia,88,7,US
2020-06-28,Oglethorpe,Georgia,88,7,US
2020-06-29,Oglethorpe,Georgia,88,7,US
2020-06-30,Oglethorpe,Georgia,89,7,US
2020-07-01,Oglethorpe,Georgia,91,7,US
2020-07-02,Oglethorpe,Georgia,91,7,US
2020-07-03,Oglethorpe,Georgia,95,7,US
2020-07-04,Oglethorpe,Georgia,97,7,US
2020-07-05,Oglethorpe,Georgia,98,7,US
2020-07-06,Oglethorpe,Georgia,98,7,US
2020-07-07,Oglethorpe,Georgia,101,7,US
2020-07-08,Oglethorpe,Georgia,100,7,US
2020-07-09,Oglethorpe,Georgia,101,7,US
2020-07-10,Oglethorpe,Georgia,104,7,US
2020-07-11,Oglethorpe,Georgia,105,7,US
2020-07-12,Oglethorpe,Georgia,106,7,US
2020-07-13,Oglethorpe,Georgia,108,7,US
2020-07-14,Oglethorpe,Georgia,111,7,US
2020-07-15,Oglethorpe,Georgia,122,7,US
2020-07-16,Oglethorpe,Georgia,125,7,US
2020-07-17,Oglethorpe,Georgia,131,7,US
2020-07-18,Oglethorpe,Georgia,137,7,US
2020-07-19,Oglethorpe,Georgia,137,7,US
2020-07-20,Oglethorpe,Georgia,140,8,US
2020-07-21,Oglethorpe,Georgia,145,8,US
2020-07-22,Oglethorpe,Georgia,150,7,US
2020-07-23,Oglethorpe,Georgia,158,7,US
2020-07-24,Oglethorpe,Georgia,160,7,US
2020-07-25,Oglethorpe,Georgia,160,7,US
2020-07-26,Oglethorpe,Georgia,162,7,US
2020-07-27,Oglethorpe,Georgia,164,7,US
2020-07-28,Oglethorpe,Georgia,170,7,US
2020-07-29,Oglethorpe,Georgia,175,7,US
2020-07-30,Oglethorpe,Georgia,177,7,US
2020-07-31,Oglethorpe,Georgia,181,7,US
2020-08-01,Oglethorpe,Georgia,184,7,US
2020-08-02,Oglethorpe,Georgia,187,7,US
2020-08-03,Oglethorpe,Georgia,189,7,US
2020-08-04,Oglethorpe,Georgia,190,7,US
2020-08-05,Oglethorpe,Georgia,198,7,US
2020-08-06,Oglethorpe,Georgia,201,7,US
2020-08-07,Oglethorpe,Georgia,211,7,US
2020-08-08,Oglethorpe,Georgia,214,7,US
2020-08-09,Oglethorpe,Georgia,214,7,US
2020-08-10,Oglethorpe,Georgia,218,7,US
2020-08-11,Oglethorpe,Georgia,226,7,US
2020-08-12,Oglethorpe,Georgia,236,7,US
2020-08-13,Oglethorpe,Georgia,238,7,US
2020-08-14,Oglethorpe,Georgia,243,7,US
2020-08-15,Oglethorpe,Georgia,250,7,US
2020-08-16,Oglethorpe,Georgia,252,7,US
2020-08-17,Oglethorpe,Georgia,252,8,US
2020-08-18,Oglethorpe,Georgia,253,8,US
2020-08-19,Oglethorpe,Georgia,255,8,US
2020-08-20,Oglethorpe,Georgia,256,8,US
2020-08-21,Oglethorpe,Georgia,258,8,US
2020-08-22,Oglethorpe,Georgia,262,8,US
2020-08-23,Oglethorpe,Georgia,264,8,US
2020-08-24,Oglethorpe,Georgia,265,8,US
2020-08-25,Oglethorpe,Georgia,270,9,US
2020-08-26,Oglethorpe,Georgia,271,9,US
2020-08-27,Oglethorpe,Georgia,272,9,US
2020-08-28,Oglethorpe,Georgia,276,9,US
2020-08-29,Oglethorpe,Georgia,279,9,US
2020-08-30,Oglethorpe,Georgia,280,9,US
2020-08-31,Oglethorpe,Georgia,281,9,US
2020-09-01,Oglethorpe,Georgia,281,11,US
2020-09-02,Oglethorpe,Georgia,283,11,US
2020-09-03,Oglethorpe,Georgia,285,11,US
2020-09-04,Oglethorpe,Georgia,286,11,US
2020-09-05,Oglethorpe,Georgia,290,11,US
2020-09-06,Oglethorpe,Georgia,290,11,US
2020-09-07,Oglethorpe,Georgia,290,11,US
2020-09-08,Oglethorpe,Georgia,291,11,US
2020-09-09,Oglethorpe,Georgia,294,11,US
2020-09-10,Oglethorpe,Georgia,295,11,US
2020-09-11,Oglethorpe,Georgia,295,11,US
2020-09-12,Oglethorpe,Georgia,297,11,US
2020-09-13,Oglethorpe,Georgia,297,11,US
2020-09-14,Oglethorpe,Georgia,298,11,US
2020-09-15,Oglethorpe,Georgia,300,11,US
2020-09-16,Oglethorpe,Georgia,301,11,US
2020-09-17,Oglethorpe,Georgia,303,11,US
2020-09-18,Oglethorpe,Georgia,310,11,US
2020-09-19,Oglethorpe,Georgia,314,11,US
2020-09-20,Oglethorpe,Georgia,317,11,US
2020-09-21,Oglethorpe,Georgia,319,11,US
2020-09-22,Oglethorpe,Georgia,322,11,US
2020-09-23,Oglethorpe,Georgia,324,11,US
2020-09-24,Oglethorpe,Georgia,326,11,US
2020-09-25,Oglethorpe,Georgia,329,11,US
2020-09-26,Oglethorpe,Georgia,330,11,US
2020-09-27,Oglethorpe,Georgia,330,11,US
2020-09-28,Oglethorpe,Georgia,330,11,US
2020-09-29,Oglethorpe,Georgia,330,11,US
2020-09-30,Oglethorpe,Georgia,335,11,US
2020-10-01,Oglethorpe,Georgia,339,11,US
2020-10-02,Oglethorpe,Georgia,342,11,US
2020-10-03,Oglethorpe,Georgia,343,11,US
2020-10-04,Oglethorpe,Georgia,346,11,US
2020-10-05,Oglethorpe,Georgia,348,11,US
2020-10-06,Oglethorpe,Georgia,351,11,US
2020-10-07,Oglethorpe,Georgia,358,11,US
2020-10-08,Oglethorpe,Georgia,365,11,US
2020-10-09,Oglethorpe,Georgia,371,11,US
2020-10-10,Oglethorpe,Georgia,372,11,US
2020-10-11,Oglethorpe,Georgia,375,11,US
2020-10-12,Oglethorpe,Georgia,377,11,US
2020-10-13,Oglethorpe,Georgia,378,11,US
2020-10-14,Oglethorpe,Georgia,382,11,US
2020-10-15,Oglethorpe,Georgia,385,11,US
2020-10-16,Oglethorpe,Georgia,387,11,US
2020-10-17,Oglethorpe,Georgia,389,11,US
2020-10-18,Oglethorpe,Georgia,391,11,US
2020-10-19,Oglethorpe,Georgia,391,11,US
2020-10-20,Oglethorpe,Georgia,394,11,US
2020-10-21,Oglethorpe,Georgia,394,11,US
2020-10-22,Oglethorpe,Georgia,398,11,US
2020-10-23,Oglethorpe,Georgia,404,11,US
2020-10-24,Oglethorpe,Georgia,407,12,US
2020-10-25,Oglethorpe,Georgia,413,12,US
2020-10-26,Oglethorpe,Georgia,416,13,US
2020-10-27,Oglethorpe,Georgia,417,13,US
2020-10-28,Oglethorpe,Georgia,420,13,US
2020-10-29,Oglethorpe,Georgia,425,13,US
2020-10-30,Oglethorpe,Georgia,427,13,US
2020-10-31,Oglethorpe,Georgia,430,13,US
2020-11-01,Oglethorpe,Georgia,432,13,US
2020-11-02,Oglethorpe,Georgia,432,13,US
2020-11-03,Oglethorpe,Georgia,475,14,US
2020-11-04,Oglethorpe,Georgia,479,14,US
2020-11-05,Oglethorpe,Georgia,485,14,US
2020-11-06,Oglethorpe,Georgia,490,14,US
2020-11-07,Oglethorpe,Georgia,490,14,US
2020-11-08,Oglethorpe,Georgia,492,14,US
2020-11-09,Oglethorpe,Georgia,494,14,US
2020-11-10,Oglethorpe,Georgia,496,14,US
