Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Oktibbeha,Mississippi,0,0,US
2020-01-23,Oktibbeha,Mississippi,0,0,US
2020-01-24,Oktibbeha,Mississippi,0,0,US
2020-01-25,Oktibbeha,Mississippi,0,0,US
2020-01-26,Oktibbeha,Mississippi,0,0,US
2020-01-27,Oktibbeha,Mississippi,0,0,US
2020-01-28,Oktibbeha,Mississippi,0,0,US
2020-01-29,Oktibbeha,Mississippi,0,0,US
2020-01-30,Oktibbeha,Mississippi,0,0,US
2020-01-31,Oktibbeha,Mississippi,0,0,US
2020-02-01,Oktibbeha,Mississippi,0,0,US
2020-02-02,Oktibbeha,Mississippi,0,0,US
2020-02-03,Oktibbeha,Mississippi,0,0,US
2020-02-04,Oktibbeha,Mississippi,0,0,US
2020-02-05,Oktibbeha,Mississippi,0,0,US
2020-02-06,Oktibbeha,Mississippi,0,0,US
2020-02-07,Oktibbeha,Mississippi,0,0,US
2020-02-08,Oktibbeha,Mississippi,0,0,US
2020-02-09,Oktibbeha,Mississippi,0,0,US
2020-02-10,Oktibbeha,Mississippi,0,0,US
2020-02-11,Oktibbeha,Mississippi,0,0,US
2020-02-12,Oktibbeha,Mississippi,0,0,US
2020-02-13,Oktibbeha,Mississippi,0,0,US
2020-02-14,Oktibbeha,Mississippi,0,0,US
2020-02-15,Oktibbeha,Mississippi,0,0,US
2020-02-16,Oktibbeha,Mississippi,0,0,US
2020-02-17,Oktibbeha,Mississippi,0,0,US
2020-02-18,Oktibbeha,Mississippi,0,0,US
2020-02-19,Oktibbeha,Mississippi,0,0,US
2020-02-20,Oktibbeha,Mississippi,0,0,US
2020-02-21,Oktibbeha,Mississippi,0,0,US
2020-02-22,Oktibbeha,Mississippi,0,0,US
2020-02-23,Oktibbeha,Mississippi,0,0,US
2020-02-24,Oktibbeha,Mississippi,0,0,US
2020-02-25,Oktibbeha,Mississippi,0,0,US
2020-02-26,Oktibbeha,Mississippi,0,0,US
2020-02-27,Oktibbeha,Mississippi,0,0,US
2020-02-28,Oktibbeha,Mississippi,0,0,US
2020-02-29,Oktibbeha,Mississippi,0,0,US
2020-03-01,Oktibbeha,Mississippi,0,0,US
2020-03-02,Oktibbeha,Mississippi,0,0,US
2020-03-03,Oktibbeha,Mississippi,0,0,US
2020-03-04,Oktibbeha,Mississippi,0,0,US
2020-03-05,Oktibbeha,Mississippi,0,0,US
2020-03-06,Oktibbeha,Mississippi,0,0,US
2020-03-07,Oktibbeha,Mississippi,0,0,US
2020-03-08,Oktibbeha,Mississippi,0,0,US
2020-03-09,Oktibbeha,Mississippi,0,0,US
2020-03-10,Oktibbeha,Mississippi,0,0,US
2020-03-11,Oktibbeha,Mississippi,0,0,US
2020-03-12,Oktibbeha,Mississippi,0,0,US
2020-03-13,Oktibbeha,Mississippi,0,0,US
2020-03-14,Oktibbeha,Mississippi,0,0,US
2020-03-15,Oktibbeha,Mississippi,0,0,US
2020-03-16,Oktibbeha,Mississippi,0,0,US
2020-03-17,Oktibbeha,Mississippi,0,0,US
2020-03-18,Oktibbeha,Mississippi,0,0,US
2020-03-19,Oktibbeha,Mississippi,0,0,US
2020-03-20,Oktibbeha,Mississippi,0,0,US
2020-03-21,Oktibbeha,Mississippi,0,0,US
2020-03-22,Oktibbeha,Mississippi,2,0,US
2020-03-23,Oktibbeha,Mississippi,5,0,US
2020-03-24,Oktibbeha,Mississippi,5,0,US
2020-03-25,Oktibbeha,Mississippi,7,0,US
2020-03-26,Oktibbeha,Mississippi,10,0,US
2020-03-27,Oktibbeha,Mississippi,12,0,US
2020-03-28,Oktibbeha,Mississippi,14,0,US
2020-03-29,Oktibbeha,Mississippi,15,0,US
2020-03-30,Oktibbeha,Mississippi,15,0,US
2020-03-31,Oktibbeha,Mississippi,17,0,US
2020-04-01,Oktibbeha,Mississippi,18,0,US
2020-04-02,Oktibbeha,Mississippi,20,0,US
2020-04-03,Oktibbeha,Mississippi,23,0,US
2020-04-04,Oktibbeha,Mississippi,24,0,US
2020-04-05,Oktibbeha,Mississippi,27,0,US
2020-04-06,Oktibbeha,Mississippi,27,0,US
2020-04-07,Oktibbeha,Mississippi,29,1,US
2020-04-08,Oktibbeha,Mississippi,30,1,US
2020-04-09,Oktibbeha,Mississippi,35,1,US
2020-04-10,Oktibbeha,Mississippi,36,1,US
2020-04-11,Oktibbeha,Mississippi,36,1,US
2020-04-12,Oktibbeha,Mississippi,37,1,US
2020-04-13,Oktibbeha,Mississippi,37,1,US
2020-04-14,Oktibbeha,Mississippi,37,1,US
2020-04-15,Oktibbeha,Mississippi,41,1,US
2020-04-16,Oktibbeha,Mississippi,42,1,US
2020-04-17,Oktibbeha,Mississippi,42,2,US
2020-04-18,Oktibbeha,Mississippi,43,2,US
2020-04-19,Oktibbeha,Mississippi,43,2,US
2020-04-20,Oktibbeha,Mississippi,43,2,US
2020-04-21,Oktibbeha,Mississippi,44,3,US
2020-04-22,Oktibbeha,Mississippi,44,3,US
2020-04-23,Oktibbeha,Mississippi,45,3,US
2020-04-24,Oktibbeha,Mississippi,46,3,US
2020-04-25,Oktibbeha,Mississippi,46,3,US
2020-04-26,Oktibbeha,Mississippi,46,3,US
2020-04-27,Oktibbeha,Mississippi,46,3,US
2020-04-28,Oktibbeha,Mississippi,48,3,US
