Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Oldham,Kentucky,0,0,US
2020-01-23,Oldham,Kentucky,0,0,US
2020-01-24,Oldham,Kentucky,0,0,US
2020-01-25,Oldham,Kentucky,0,0,US
2020-01-26,Oldham,Kentucky,0,0,US
2020-01-27,Oldham,Kentucky,0,0,US
2020-01-28,Oldham,Kentucky,0,0,US
2020-01-29,Oldham,Kentucky,0,0,US
2020-01-30,Oldham,Kentucky,0,0,US
2020-01-31,Oldham,Kentucky,0,0,US
2020-02-01,Oldham,Kentucky,0,0,US
2020-02-02,Oldham,Kentucky,0,0,US
2020-02-03,Oldham,Kentucky,0,0,US
2020-02-04,Oldham,Kentucky,0,0,US
2020-02-05,Oldham,Kentucky,0,0,US
2020-02-06,Oldham,Kentucky,0,0,US
2020-02-07,Oldham,Kentucky,0,0,US
2020-02-08,Oldham,Kentucky,0,0,US
2020-02-09,Oldham,Kentucky,0,0,US
2020-02-10,Oldham,Kentucky,0,0,US
2020-02-11,Oldham,Kentucky,0,0,US
2020-02-12,Oldham,Kentucky,0,0,US
2020-02-13,Oldham,Kentucky,0,0,US
2020-02-14,Oldham,Kentucky,0,0,US
2020-02-15,Oldham,Kentucky,0,0,US
2020-02-16,Oldham,Kentucky,0,0,US
2020-02-17,Oldham,Kentucky,0,0,US
2020-02-18,Oldham,Kentucky,0,0,US
2020-02-19,Oldham,Kentucky,0,0,US
2020-02-20,Oldham,Kentucky,0,0,US
2020-02-21,Oldham,Kentucky,0,0,US
2020-02-22,Oldham,Kentucky,0,0,US
2020-02-23,Oldham,Kentucky,0,0,US
2020-02-24,Oldham,Kentucky,0,0,US
2020-02-25,Oldham,Kentucky,0,0,US
2020-02-26,Oldham,Kentucky,0,0,US
2020-02-27,Oldham,Kentucky,0,0,US
2020-02-28,Oldham,Kentucky,0,0,US
2020-02-29,Oldham,Kentucky,0,0,US
2020-03-01,Oldham,Kentucky,0,0,US
2020-03-02,Oldham,Kentucky,0,0,US
2020-03-03,Oldham,Kentucky,0,0,US
2020-03-04,Oldham,Kentucky,0,0,US
2020-03-05,Oldham,Kentucky,0,0,US
2020-03-06,Oldham,Kentucky,0,0,US
2020-03-07,Oldham,Kentucky,0,0,US
2020-03-08,Oldham,Kentucky,0,0,US
