Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Osage,Oklahoma,0,0,US
2020-01-23,Osage,Oklahoma,0,0,US
2020-01-24,Osage,Oklahoma,0,0,US
2020-01-25,Osage,Oklahoma,0,0,US
2020-01-26,Osage,Oklahoma,0,0,US
2020-01-27,Osage,Oklahoma,0,0,US
2020-01-28,Osage,Oklahoma,0,0,US
2020-01-29,Osage,Oklahoma,0,0,US
2020-01-30,Osage,Oklahoma,0,0,US
2020-01-31,Osage,Oklahoma,0,0,US
2020-02-01,Osage,Oklahoma,0,0,US
2020-02-02,Osage,Oklahoma,0,0,US
2020-02-03,Osage,Oklahoma,0,0,US
2020-02-04,Osage,Oklahoma,0,0,US
2020-02-05,Osage,Oklahoma,0,0,US
2020-02-06,Osage,Oklahoma,0,0,US
2020-02-07,Osage,Oklahoma,0,0,US
2020-02-08,Osage,Oklahoma,0,0,US
2020-02-09,Osage,Oklahoma,0,0,US
2020-02-10,Osage,Oklahoma,0,0,US
2020-02-11,Osage,Oklahoma,0,0,US
2020-02-12,Osage,Oklahoma,0,0,US
2020-02-13,Osage,Oklahoma,0,0,US
2020-02-14,Osage,Oklahoma,0,0,US
2020-02-15,Osage,Oklahoma,0,0,US
2020-02-16,Osage,Oklahoma,0,0,US
2020-02-17,Osage,Oklahoma,0,0,US
2020-02-18,Osage,Oklahoma,0,0,US
2020-02-19,Osage,Oklahoma,0,0,US
2020-02-20,Osage,Oklahoma,0,0,US
2020-02-21,Osage,Oklahoma,0,0,US
2020-02-22,Osage,Oklahoma,0,0,US
2020-02-23,Osage,Oklahoma,0,0,US
2020-02-24,Osage,Oklahoma,0,0,US
2020-02-25,Osage,Oklahoma,0,0,US
2020-02-26,Osage,Oklahoma,0,0,US
2020-02-27,Osage,Oklahoma,0,0,US
2020-02-28,Osage,Oklahoma,0,0,US
2020-02-29,Osage,Oklahoma,0,0,US
2020-03-01,Osage,Oklahoma,0,0,US
2020-03-02,Osage,Oklahoma,0,0,US
2020-03-03,Osage,Oklahoma,0,0,US
2020-03-04,Osage,Oklahoma,0,0,US
2020-03-05,Osage,Oklahoma,0,0,US
2020-03-06,Osage,Oklahoma,0,0,US
2020-03-07,Osage,Oklahoma,0,0,US
2020-03-08,Osage,Oklahoma,0,0,US
2020-03-09,Osage,Oklahoma,0,0,US
2020-03-10,Osage,Oklahoma,0,0,US
2020-03-11,Osage,Oklahoma,0,0,US
2020-03-12,Osage,Oklahoma,0,0,US
2020-03-13,Osage,Oklahoma,0,0,US
2020-03-14,Osage,Oklahoma,0,0,US
