Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Ouachita,Louisiana,0,0,US
2020-01-23,Ouachita,Louisiana,0,0,US
2020-01-24,Ouachita,Louisiana,0,0,US
2020-01-25,Ouachita,Louisiana,0,0,US
2020-01-26,Ouachita,Louisiana,0,0,US
2020-01-27,Ouachita,Louisiana,0,0,US
2020-01-28,Ouachita,Louisiana,0,0,US
2020-01-29,Ouachita,Louisiana,0,0,US
2020-01-30,Ouachita,Louisiana,0,0,US
2020-01-31,Ouachita,Louisiana,0,0,US
2020-02-01,Ouachita,Louisiana,0,0,US
2020-02-02,Ouachita,Louisiana,0,0,US
2020-02-03,Ouachita,Louisiana,0,0,US
2020-02-04,Ouachita,Louisiana,0,0,US
2020-02-05,Ouachita,Louisiana,0,0,US
2020-02-06,Ouachita,Louisiana,0,0,US
2020-02-07,Ouachita,Louisiana,0,0,US
2020-02-08,Ouachita,Louisiana,0,0,US
2020-02-09,Ouachita,Louisiana,0,0,US
2020-02-10,Ouachita,Louisiana,0,0,US
2020-02-11,Ouachita,Louisiana,0,0,US
2020-02-12,Ouachita,Louisiana,0,0,US
2020-02-13,Ouachita,Louisiana,0,0,US
2020-02-14,Ouachita,Louisiana,0,0,US
2020-02-15,Ouachita,Louisiana,0,0,US
2020-02-16,Ouachita,Louisiana,0,0,US
2020-02-17,Ouachita,Louisiana,0,0,US
2020-02-18,Ouachita,Louisiana,0,0,US
2020-02-19,Ouachita,Louisiana,0,0,US
2020-02-20,Ouachita,Louisiana,0,0,US
2020-02-21,Ouachita,Louisiana,0,0,US
2020-02-22,Ouachita,Louisiana,0,0,US
2020-02-23,Ouachita,Louisiana,0,0,US
2020-02-24,Ouachita,Louisiana,0,0,US
2020-02-25,Ouachita,Louisiana,0,0,US
2020-02-26,Ouachita,Louisiana,0,0,US
2020-02-27,Ouachita,Louisiana,0,0,US
2020-02-28,Ouachita,Louisiana,0,0,US
2020-02-29,Ouachita,Louisiana,0,0,US
