Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Panola,Texas,0,0,US
2020-01-23,Panola,Texas,0,0,US
2020-01-24,Panola,Texas,0,0,US
2020-01-25,Panola,Texas,0,0,US
2020-01-26,Panola,Texas,0,0,US
2020-01-27,Panola,Texas,0,0,US
2020-01-28,Panola,Texas,0,0,US
2020-01-29,Panola,Texas,0,0,US
2020-01-30,Panola,Texas,0,0,US
2020-01-31,Panola,Texas,0,0,US
2020-02-01,Panola,Texas,0,0,US
2020-02-02,Panola,Texas,0,0,US
2020-02-03,Panola,Texas,0,0,US
2020-02-04,Panola,Texas,0,0,US
2020-02-05,Panola,Texas,0,0,US
2020-02-06,Panola,Texas,0,0,US
2020-02-07,Panola,Texas,0,0,US
2020-02-08,Panola,Texas,0,0,US
2020-02-09,Panola,Texas,0,0,US
2020-02-10,Panola,Texas,0,0,US
2020-02-11,Panola,Texas,0,0,US
2020-02-12,Panola,Texas,0,0,US
2020-02-13,Panola,Texas,0,0,US
2020-02-14,Panola,Texas,0,0,US
2020-02-15,Panola,Texas,0,0,US
2020-02-16,Panola,Texas,0,0,US
2020-02-17,Panola,Texas,0,0,US
2020-02-18,Panola,Texas,0,0,US
2020-02-19,Panola,Texas,0,0,US
2020-02-20,Panola,Texas,0,0,US
2020-02-21,Panola,Texas,0,0,US
2020-02-22,Panola,Texas,0,0,US
2020-02-23,Panola,Texas,0,0,US
2020-02-24,Panola,Texas,0,0,US
2020-02-25,Panola,Texas,0,0,US
2020-02-26,Panola,Texas,0,0,US
2020-02-27,Panola,Texas,0,0,US
2020-02-28,Panola,Texas,0,0,US
2020-02-29,Panola,Texas,0,0,US
2020-03-01,Panola,Texas,0,0,US
2020-03-02,Panola,Texas,0,0,US
2020-03-03,Panola,Texas,0,0,US
2020-03-04,Panola,Texas,0,0,US
2020-03-05,Panola,Texas,0,0,US
2020-03-06,Panola,Texas,0,0,US
2020-03-07,Panola,Texas,0,0,US
2020-03-08,Panola,Texas,0,0,US
2020-03-09,Panola,Texas,0,0,US
2020-03-10,Panola,Texas,0,0,US
2020-03-11,Panola,Texas,0,0,US
2020-03-12,Panola,Texas,0,0,US
2020-03-13,Panola,Texas,0,0,US
2020-03-14,Panola,Texas,0,0,US
2020-03-15,Panola,Texas,0,0,US
2020-03-16,Panola,Texas,0,0,US
2020-03-17,Panola,Texas,0,0,US
2020-03-18,Panola,Texas,0,0,US
2020-03-19,Panola,Texas,0,0,US
2020-03-20,Panola,Texas,0,0,US
2020-03-21,Panola,Texas,0,0,US
2020-03-22,Panola,Texas,0,0,US
2020-03-23,Panola,Texas,0,0,US
2020-03-24,Panola,Texas,0,0,US
2020-03-25,Panola,Texas,0,0,US
2020-03-26,Panola,Texas,0,0,US
2020-03-27,Panola,Texas,0,0,US
2020-03-28,Panola,Texas,0,0,US
2020-03-29,Panola,Texas,0,0,US
2020-03-30,Panola,Texas,0,0,US
2020-03-31,Panola,Texas,1,0,US
2020-04-01,Panola,Texas,4,0,US
2020-04-02,Panola,Texas,5,0,US
2020-04-03,Panola,Texas,5,1,US
2020-04-04,Panola,Texas,5,1,US
2020-04-05,Panola,Texas,5,1,US
2020-04-06,Panola,Texas,5,1,US
2020-04-07,Panola,Texas,5,1,US
2020-04-08,Panola,Texas,5,1,US
2020-04-09,Panola,Texas,6,1,US
2020-04-10,Panola,Texas,8,1,US
2020-04-11,Panola,Texas,8,1,US
2020-04-12,Panola,Texas,8,1,US
2020-04-13,Panola,Texas,10,1,US
2020-04-14,Panola,Texas,11,1,US
2020-04-15,Panola,Texas,11,3,US
2020-04-16,Panola,Texas,12,3,US
2020-04-17,Panola,Texas,12,3,US
2020-04-18,Panola,Texas,12,3,US
2020-04-19,Panola,Texas,12,3,US
2020-04-20,Panola,Texas,14,3,US
2020-04-21,Panola,Texas,16,4,US
2020-04-22,Panola,Texas,20,4,US
2020-04-23,Panola,Texas,21,5,US
2020-04-24,Panola,Texas,24,5,US
2020-04-25,Panola,Texas,24,5,US
2020-04-26,Panola,Texas,24,5,US
2020-04-27,Panola,Texas,25,5,US
2020-04-28,Panola,Texas,32,7,US
2020-04-29,Panola,Texas,53,7,US
2020-04-30,Panola,Texas,54,7,US
2020-05-01,Panola,Texas,55,7,US
2020-05-02,Panola,Texas,55,7,US
2020-05-03,Panola,Texas,55,7,US
2020-05-04,Panola,Texas,60,7,US
2020-05-05,Panola,Texas,60,3,US
2020-05-06,Panola,Texas,60,3,US
2020-05-07,Panola,Texas,60,3,US
2020-05-08,Panola,Texas,60,3,US
2020-05-09,Panola,Texas,60,3,US
2020-05-10,Panola,Texas,60,8,US
2020-05-11,Panola,Texas,60,8,US
2020-05-12,Panola,Texas,60,8,US
2020-05-13,Panola,Texas,60,8,US
2020-05-14,Panola,Texas,60,8,US
2020-05-15,Panola,Texas,60,15,US
2020-05-16,Panola,Texas,60,15,US
2020-05-17,Panola,Texas,60,15,US
2020-05-18,Panola,Texas,60,15,US
2020-05-19,Panola,Texas,61,16,US
2020-05-20,Panola,Texas,61,19,US
2020-05-21,Panola,Texas,61,19,US
2020-05-22,Panola,Texas,62,21,US
2020-05-23,Panola,Texas,62,21,US
2020-05-24,Panola,Texas,62,21,US
2020-05-25,Panola,Texas,62,21,US
2020-05-26,Panola,Texas,62,22,US
2020-05-27,Panola,Texas,62,22,US
2020-05-28,Panola,Texas,63,22,US
2020-05-29,Panola,Texas,63,22,US
2020-05-30,Panola,Texas,63,23,US
2020-05-31,Panola,Texas,63,23,US
2020-06-01,Panola,Texas,65,23,US
2020-06-02,Panola,Texas,67,23,US
2020-06-03,Panola,Texas,67,23,US
2020-06-04,Panola,Texas,73,23,US
2020-06-05,Panola,Texas,77,23,US
2020-06-06,Panola,Texas,78,23,US
2020-06-07,Panola,Texas,78,23,US
2020-06-08,Panola,Texas,79,23,US
2020-06-09,Panola,Texas,80,23,US
2020-06-10,Panola,Texas,82,23,US
2020-06-11,Panola,Texas,83,23,US
2020-06-12,Panola,Texas,85,23,US
2020-06-13,Panola,Texas,85,23,US
2020-06-14,Panola,Texas,85,23,US
2020-06-15,Panola,Texas,89,23,US
2020-06-16,Panola,Texas,89,23,US
2020-06-17,Panola,Texas,91,23,US
2020-06-18,Panola,Texas,93,23,US
2020-06-19,Panola,Texas,93,23,US
2020-06-20,Panola,Texas,93,23,US
2020-06-21,Panola,Texas,93,23,US
2020-06-22,Panola,Texas,94,23,US
2020-06-23,Panola,Texas,94,23,US
2020-06-24,Panola,Texas,95,24,US
2020-06-25,Panola,Texas,95,25,US
2020-06-26,Panola,Texas,103,25,US
2020-06-27,Panola,Texas,103,25,US
2020-06-28,Panola,Texas,103,25,US
2020-06-29,Panola,Texas,103,25,US
2020-06-30,Panola,Texas,109,25,US
2020-07-01,Panola,Texas,111,24,US
2020-07-02,Panola,Texas,112,24,US
2020-07-03,Panola,Texas,112,24,US
2020-07-04,Panola,Texas,112,24,US
2020-07-05,Panola,Texas,113,24,US
2020-07-06,Panola,Texas,116,24,US
2020-07-07,Panola,Texas,122,24,US
2020-07-08,Panola,Texas,125,24,US
2020-07-09,Panola,Texas,126,24,US
2020-07-10,Panola,Texas,129,24,US
2020-07-11,Panola,Texas,129,24,US
2020-07-12,Panola,Texas,129,24,US
2020-07-13,Panola,Texas,133,24,US
2020-07-14,Panola,Texas,136,24,US
2020-07-15,Panola,Texas,141,24,US
2020-07-16,Panola,Texas,142,24,US
2020-07-17,Panola,Texas,143,24,US
2020-07-18,Panola,Texas,143,24,US
2020-07-19,Panola,Texas,145,24,US
2020-07-20,Panola,Texas,147,24,US
2020-07-21,Panola,Texas,147,24,US
2020-07-22,Panola,Texas,148,24,US
2020-07-23,Panola,Texas,154,24,US
2020-07-24,Panola,Texas,156,24,US
2020-07-25,Panola,Texas,159,24,US
2020-07-26,Panola,Texas,160,24,US
2020-07-27,Panola,Texas,165,18,US
2020-07-28,Panola,Texas,167,18,US
2020-07-29,Panola,Texas,167,18,US
2020-07-30,Panola,Texas,169,17,US
2020-07-31,Panola,Texas,170,17,US
2020-08-01,Panola,Texas,172,17,US
2020-08-02,Panola,Texas,172,17,US
2020-08-03,Panola,Texas,175,17,US
2020-08-04,Panola,Texas,181,17,US
2020-08-05,Panola,Texas,182,17,US
2020-08-06,Panola,Texas,185,17,US
2020-08-07,Panola,Texas,188,18,US
2020-08-08,Panola,Texas,199,18,US
2020-08-09,Panola,Texas,212,18,US
2020-08-10,Panola,Texas,258,18,US
2020-08-11,Panola,Texas,265,18,US
2020-08-12,Panola,Texas,268,18,US
2020-08-13,Panola,Texas,275,18,US
2020-08-14,Panola,Texas,278,18,US
2020-08-15,Panola,Texas,278,18,US
2020-08-16,Panola,Texas,278,18,US
2020-08-17,Panola,Texas,279,18,US
2020-08-18,Panola,Texas,281,18,US
2020-08-19,Panola,Texas,282,18,US
2020-08-20,Panola,Texas,283,18,US
2020-08-21,Panola,Texas,287,18,US
2020-08-22,Panola,Texas,289,19,US
2020-08-23,Panola,Texas,291,20,US
2020-08-24,Panola,Texas,292,20,US
2020-08-25,Panola,Texas,292,20,US
2020-08-26,Panola,Texas,295,20,US
2020-08-27,Panola,Texas,297,20,US
2020-08-28,Panola,Texas,300,20,US
2020-08-29,Panola,Texas,306,21,US
2020-08-30,Panola,Texas,306,21,US
2020-08-31,Panola,Texas,310,21,US
2020-09-01,Panola,Texas,315,21,US
2020-09-02,Panola,Texas,318,21,US
2020-09-03,Panola,Texas,320,22,US
2020-09-04,Panola,Texas,321,22,US
2020-09-05,Panola,Texas,326,23,US
2020-09-06,Panola,Texas,326,23,US
2020-09-07,Panola,Texas,332,24,US
2020-09-08,Panola,Texas,333,24,US
2020-09-09,Panola,Texas,334,24,US
2020-09-10,Panola,Texas,339,24,US
2020-09-11,Panola,Texas,339,24,US
2020-09-12,Panola,Texas,344,24,US
2020-09-13,Panola,Texas,347,24,US
2020-09-14,Panola,Texas,348,24,US
2020-09-15,Panola,Texas,351,24,US
2020-09-16,Panola,Texas,355,25,US
2020-09-17,Panola,Texas,358,25,US
2020-09-18,Panola,Texas,363,25,US
2020-09-19,Panola,Texas,369,25,US
2020-09-20,Panola,Texas,372,25,US
2020-09-21,Panola,Texas,383,25,US
2020-09-22,Panola,Texas,388,25,US
2020-09-23,Panola,Texas,400,25,US
2020-09-24,Panola,Texas,404,25,US
2020-09-25,Panola,Texas,405,25,US
2020-09-26,Panola,Texas,407,26,US
2020-09-27,Panola,Texas,408,26,US
2020-09-28,Panola,Texas,424,26,US
2020-09-29,Panola,Texas,424,26,US
2020-09-30,Panola,Texas,429,26,US
2020-10-01,Panola,Texas,433,26,US
2020-10-02,Panola,Texas,439,26,US
2020-10-03,Panola,Texas,442,26,US
2020-10-04,Panola,Texas,442,26,US
2020-10-05,Panola,Texas,448,26,US
2020-10-06,Panola,Texas,460,26,US
2020-10-07,Panola,Texas,460,26,US
2020-10-08,Panola,Texas,474,26,US
2020-10-09,Panola,Texas,477,27,US
2020-10-10,Panola,Texas,478,27,US
2020-10-11,Panola,Texas,482,27,US
2020-10-12,Panola,Texas,487,27,US
2020-10-13,Panola,Texas,492,27,US
2020-10-14,Panola,Texas,508,27,US
2020-10-15,Panola,Texas,516,27,US
2020-10-16,Panola,Texas,520,27,US
2020-10-17,Panola,Texas,520,27,US
2020-10-18,Panola,Texas,520,27,US
2020-10-19,Panola,Texas,525,27,US
2020-10-20,Panola,Texas,534,27,US
2020-10-21,Panola,Texas,541,27,US
2020-10-22,Panola,Texas,542,27,US
2020-10-23,Panola,Texas,545,28,US
2020-10-24,Panola,Texas,545,28,US
2020-10-25,Panola,Texas,545,28,US
2020-10-26,Panola,Texas,553,28,US
2020-10-27,Panola,Texas,556,28,US
2020-10-28,Panola,Texas,566,28,US
2020-10-29,Panola,Texas,569,28,US
2020-10-30,Panola,Texas,569,30,US
2020-10-31,Panola,Texas,569,30,US
2020-11-01,Panola,Texas,569,30,US
2020-11-02,Panola,Texas,575,30,US
2020-11-03,Panola,Texas,582,30,US
2020-11-04,Panola,Texas,584,31,US
2020-11-05,Panola,Texas,594,31,US
2020-11-06,Panola,Texas,595,32,US
2020-11-07,Panola,Texas,596,32,US
