Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pawnee,Kansas,0,0,US
2020-01-23,Pawnee,Kansas,0,0,US
2020-01-24,Pawnee,Kansas,0,0,US
2020-01-25,Pawnee,Kansas,0,0,US
2020-01-26,Pawnee,Kansas,0,0,US
2020-01-27,Pawnee,Kansas,0,0,US
2020-01-28,Pawnee,Kansas,0,0,US
2020-01-29,Pawnee,Kansas,0,0,US
2020-01-30,Pawnee,Kansas,0,0,US
2020-01-31,Pawnee,Kansas,0,0,US
2020-02-01,Pawnee,Kansas,0,0,US
2020-02-02,Pawnee,Kansas,0,0,US
2020-02-03,Pawnee,Kansas,0,0,US
2020-02-04,Pawnee,Kansas,0,0,US
2020-02-05,Pawnee,Kansas,0,0,US
2020-02-06,Pawnee,Kansas,0,0,US
2020-02-07,Pawnee,Kansas,0,0,US
2020-02-08,Pawnee,Kansas,0,0,US
2020-02-09,Pawnee,Kansas,0,0,US
2020-02-10,Pawnee,Kansas,0,0,US
2020-02-11,Pawnee,Kansas,0,0,US
2020-02-12,Pawnee,Kansas,0,0,US
2020-02-13,Pawnee,Kansas,0,0,US
2020-02-14,Pawnee,Kansas,0,0,US
2020-02-15,Pawnee,Kansas,0,0,US
2020-02-16,Pawnee,Kansas,0,0,US
2020-02-17,Pawnee,Kansas,0,0,US
2020-02-18,Pawnee,Kansas,0,0,US
2020-02-19,Pawnee,Kansas,0,0,US
2020-02-20,Pawnee,Kansas,0,0,US
2020-02-21,Pawnee,Kansas,0,0,US
2020-02-22,Pawnee,Kansas,0,0,US
2020-02-23,Pawnee,Kansas,0,0,US
2020-02-24,Pawnee,Kansas,0,0,US
2020-02-25,Pawnee,Kansas,0,0,US
2020-02-26,Pawnee,Kansas,0,0,US
2020-02-27,Pawnee,Kansas,0,0,US
2020-02-28,Pawnee,Kansas,0,0,US
2020-02-29,Pawnee,Kansas,0,0,US
2020-03-01,Pawnee,Kansas,0,0,US
2020-03-02,Pawnee,Kansas,0,0,US
2020-03-03,Pawnee,Kansas,0,0,US
2020-03-04,Pawnee,Kansas,0,0,US
2020-03-05,Pawnee,Kansas,0,0,US
2020-03-06,Pawnee,Kansas,0,0,US
2020-03-07,Pawnee,Kansas,0,0,US
2020-03-08,Pawnee,Kansas,0,0,US
2020-03-09,Pawnee,Kansas,0,0,US
2020-03-10,Pawnee,Kansas,0,0,US
2020-03-11,Pawnee,Kansas,0,0,US
2020-03-12,Pawnee,Kansas,0,0,US
2020-03-13,Pawnee,Kansas,0,0,US
2020-03-14,Pawnee,Kansas,0,0,US
2020-03-15,Pawnee,Kansas,0,0,US
2020-03-16,Pawnee,Kansas,0,0,US
2020-03-17,Pawnee,Kansas,0,0,US
2020-03-18,Pawnee,Kansas,0,0,US
2020-03-19,Pawnee,Kansas,0,0,US
2020-03-20,Pawnee,Kansas,0,0,US
2020-03-21,Pawnee,Kansas,0,0,US
2020-03-22,Pawnee,Kansas,0,0,US
2020-03-23,Pawnee,Kansas,0,0,US
2020-03-24,Pawnee,Kansas,0,0,US
2020-03-25,Pawnee,Kansas,0,0,US
2020-03-26,Pawnee,Kansas,0,0,US
2020-03-27,Pawnee,Kansas,0,0,US
2020-03-28,Pawnee,Kansas,0,0,US
2020-03-29,Pawnee,Kansas,0,0,US
2020-03-30,Pawnee,Kansas,0,0,US
2020-03-31,Pawnee,Kansas,0,0,US
2020-04-01,Pawnee,Kansas,0,0,US
2020-04-02,Pawnee,Kansas,0,0,US
2020-04-03,Pawnee,Kansas,0,0,US
2020-04-04,Pawnee,Kansas,0,0,US
2020-04-05,Pawnee,Kansas,0,0,US
2020-04-06,Pawnee,Kansas,0,0,US
2020-04-07,Pawnee,Kansas,0,0,US
2020-04-08,Pawnee,Kansas,0,0,US
2020-04-09,Pawnee,Kansas,0,0,US
2020-04-10,Pawnee,Kansas,0,0,US
2020-04-11,Pawnee,Kansas,0,0,US
2020-04-12,Pawnee,Kansas,0,0,US
2020-04-13,Pawnee,Kansas,0,0,US
2020-04-14,Pawnee,Kansas,0,0,US
2020-04-15,Pawnee,Kansas,0,0,US
2020-04-16,Pawnee,Kansas,0,0,US
2020-04-17,Pawnee,Kansas,0,0,US
2020-04-18,Pawnee,Kansas,0,0,US
2020-04-19,Pawnee,Kansas,0,0,US
2020-04-20,Pawnee,Kansas,0,0,US
2020-04-21,Pawnee,Kansas,0,0,US
2020-04-22,Pawnee,Kansas,0,0,US
2020-04-23,Pawnee,Kansas,0,0,US
2020-04-24,Pawnee,Kansas,0,0,US
2020-04-25,Pawnee,Kansas,0,0,US
2020-04-26,Pawnee,Kansas,0,0,US
2020-04-27,Pawnee,Kansas,0,0,US
2020-04-28,Pawnee,Kansas,0,0,US
2020-04-29,Pawnee,Kansas,0,0,US
2020-04-30,Pawnee,Kansas,0,0,US
2020-05-01,Pawnee,Kansas,0,0,US
2020-05-02,Pawnee,Kansas,0,0,US
2020-05-03,Pawnee,Kansas,0,0,US
2020-05-04,Pawnee,Kansas,0,0,US
2020-05-05,Pawnee,Kansas,0,0,US
2020-05-06,Pawnee,Kansas,0,0,US
2020-05-07,Pawnee,Kansas,0,0,US
2020-05-08,Pawnee,Kansas,0,0,US
2020-05-09,Pawnee,Kansas,0,0,US
2020-05-10,Pawnee,Kansas,0,0,US
2020-05-11,Pawnee,Kansas,0,0,US
2020-05-12,Pawnee,Kansas,0,0,US
2020-05-13,Pawnee,Kansas,0,0,US
2020-05-14,Pawnee,Kansas,0,0,US
2020-05-15,Pawnee,Kansas,0,0,US
2020-05-16,Pawnee,Kansas,0,0,US
2020-05-17,Pawnee,Kansas,0,0,US
2020-05-18,Pawnee,Kansas,0,0,US
2020-05-19,Pawnee,Kansas,0,0,US
2020-05-20,Pawnee,Kansas,0,0,US
2020-05-21,Pawnee,Kansas,0,0,US
2020-05-22,Pawnee,Kansas,0,0,US
2020-05-23,Pawnee,Kansas,0,0,US
2020-05-24,Pawnee,Kansas,0,0,US
2020-05-25,Pawnee,Kansas,0,0,US
2020-05-26,Pawnee,Kansas,0,0,US
2020-05-27,Pawnee,Kansas,0,0,US
2020-05-28,Pawnee,Kansas,0,0,US
2020-05-29,Pawnee,Kansas,0,0,US
2020-05-30,Pawnee,Kansas,0,0,US
2020-05-31,Pawnee,Kansas,0,0,US
2020-06-01,Pawnee,Kansas,0,0,US
2020-06-02,Pawnee,Kansas,0,0,US
2020-06-03,Pawnee,Kansas,1,0,US
2020-06-04,Pawnee,Kansas,1,0,US
2020-06-05,Pawnee,Kansas,2,0,US
2020-06-06,Pawnee,Kansas,2,0,US
2020-06-07,Pawnee,Kansas,2,0,US
2020-06-08,Pawnee,Kansas,4,0,US
2020-06-09,Pawnee,Kansas,4,0,US
2020-06-10,Pawnee,Kansas,3,0,US
2020-06-11,Pawnee,Kansas,3,0,US
2020-06-12,Pawnee,Kansas,3,0,US
2020-06-13,Pawnee,Kansas,3,0,US
2020-06-14,Pawnee,Kansas,3,0,US
2020-06-15,Pawnee,Kansas,3,0,US
2020-06-16,Pawnee,Kansas,3,0,US
2020-06-17,Pawnee,Kansas,3,0,US
2020-06-18,Pawnee,Kansas,3,0,US
2020-06-19,Pawnee,Kansas,3,0,US
2020-06-20,Pawnee,Kansas,3,0,US
2020-06-21,Pawnee,Kansas,3,0,US
2020-06-22,Pawnee,Kansas,3,0,US
2020-06-23,Pawnee,Kansas,3,0,US
2020-06-24,Pawnee,Kansas,3,0,US
2020-06-25,Pawnee,Kansas,3,0,US
2020-06-26,Pawnee,Kansas,3,0,US
2020-06-27,Pawnee,Kansas,3,0,US
2020-06-28,Pawnee,Kansas,3,0,US
2020-06-29,Pawnee,Kansas,3,0,US
2020-06-30,Pawnee,Kansas,3,0,US
2020-07-01,Pawnee,Kansas,3,0,US
2020-07-02,Pawnee,Kansas,3,0,US
2020-07-03,Pawnee,Kansas,3,0,US
2020-07-04,Pawnee,Kansas,3,0,US
2020-07-05,Pawnee,Kansas,3,0,US
2020-07-06,Pawnee,Kansas,3,0,US
2020-07-07,Pawnee,Kansas,3,0,US
2020-07-08,Pawnee,Kansas,4,0,US
2020-07-09,Pawnee,Kansas,4,0,US
2020-07-10,Pawnee,Kansas,4,0,US
2020-07-11,Pawnee,Kansas,4,0,US
2020-07-12,Pawnee,Kansas,4,0,US
2020-07-13,Pawnee,Kansas,4,0,US
2020-07-14,Pawnee,Kansas,4,0,US
2020-07-15,Pawnee,Kansas,7,0,US
2020-07-16,Pawnee,Kansas,7,0,US
2020-07-17,Pawnee,Kansas,7,0,US
2020-07-18,Pawnee,Kansas,7,0,US
2020-07-19,Pawnee,Kansas,7,0,US
2020-07-20,Pawnee,Kansas,6,0,US
2020-07-21,Pawnee,Kansas,6,0,US
2020-07-22,Pawnee,Kansas,6,0,US
2020-07-23,Pawnee,Kansas,6,0,US
2020-07-24,Pawnee,Kansas,7,0,US
2020-07-25,Pawnee,Kansas,7,0,US
2020-07-26,Pawnee,Kansas,7,0,US
2020-07-27,Pawnee,Kansas,7,0,US
2020-07-28,Pawnee,Kansas,7,0,US
2020-07-29,Pawnee,Kansas,7,0,US
2020-07-30,Pawnee,Kansas,7,0,US
2020-07-31,Pawnee,Kansas,7,0,US
2020-08-01,Pawnee,Kansas,7,0,US
2020-08-02,Pawnee,Kansas,7,0,US
2020-08-03,Pawnee,Kansas,7,0,US
2020-08-04,Pawnee,Kansas,7,0,US
2020-08-05,Pawnee,Kansas,7,0,US
2020-08-06,Pawnee,Kansas,7,0,US
2020-08-07,Pawnee,Kansas,7,0,US
2020-08-08,Pawnee,Kansas,7,0,US
2020-08-09,Pawnee,Kansas,7,0,US
2020-08-10,Pawnee,Kansas,8,0,US
2020-08-11,Pawnee,Kansas,8,0,US
2020-08-12,Pawnee,Kansas,8,0,US
2020-08-13,Pawnee,Kansas,8,0,US
2020-08-14,Pawnee,Kansas,60,0,US
2020-08-15,Pawnee,Kansas,63,0,US
2020-08-16,Pawnee,Kansas,63,0,US
2020-08-17,Pawnee,Kansas,65,0,US
2020-08-18,Pawnee,Kansas,65,0,US
2020-08-19,Pawnee,Kansas,65,0,US
2020-08-20,Pawnee,Kansas,65,0,US
2020-08-21,Pawnee,Kansas,76,0,US
2020-08-22,Pawnee,Kansas,76,0,US
2020-08-23,Pawnee,Kansas,76,0,US
2020-08-24,Pawnee,Kansas,148,0,US
