Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pawnee,Oklahoma,0,0,US
2020-01-23,Pawnee,Oklahoma,0,0,US
2020-01-24,Pawnee,Oklahoma,0,0,US
2020-01-25,Pawnee,Oklahoma,0,0,US
2020-01-26,Pawnee,Oklahoma,0,0,US
2020-01-27,Pawnee,Oklahoma,0,0,US
2020-01-28,Pawnee,Oklahoma,0,0,US
2020-01-29,Pawnee,Oklahoma,0,0,US
2020-01-30,Pawnee,Oklahoma,0,0,US
2020-01-31,Pawnee,Oklahoma,0,0,US
2020-02-01,Pawnee,Oklahoma,0,0,US
2020-02-02,Pawnee,Oklahoma,0,0,US
2020-02-03,Pawnee,Oklahoma,0,0,US
2020-02-04,Pawnee,Oklahoma,0,0,US
2020-02-05,Pawnee,Oklahoma,0,0,US
2020-02-06,Pawnee,Oklahoma,0,0,US
2020-02-07,Pawnee,Oklahoma,0,0,US
2020-02-08,Pawnee,Oklahoma,0,0,US
2020-02-09,Pawnee,Oklahoma,0,0,US
2020-02-10,Pawnee,Oklahoma,0,0,US
2020-02-11,Pawnee,Oklahoma,0,0,US
2020-02-12,Pawnee,Oklahoma,0,0,US
2020-02-13,Pawnee,Oklahoma,0,0,US
2020-02-14,Pawnee,Oklahoma,0,0,US
2020-02-15,Pawnee,Oklahoma,0,0,US
2020-02-16,Pawnee,Oklahoma,0,0,US
2020-02-17,Pawnee,Oklahoma,0,0,US
2020-02-18,Pawnee,Oklahoma,0,0,US
2020-02-19,Pawnee,Oklahoma,0,0,US
2020-02-20,Pawnee,Oklahoma,0,0,US
2020-02-21,Pawnee,Oklahoma,0,0,US
2020-02-22,Pawnee,Oklahoma,0,0,US
2020-02-23,Pawnee,Oklahoma,0,0,US
2020-02-24,Pawnee,Oklahoma,0,0,US
2020-02-25,Pawnee,Oklahoma,0,0,US
2020-02-26,Pawnee,Oklahoma,0,0,US
2020-02-27,Pawnee,Oklahoma,0,0,US
2020-02-28,Pawnee,Oklahoma,0,0,US
2020-02-29,Pawnee,Oklahoma,0,0,US
2020-03-01,Pawnee,Oklahoma,0,0,US
2020-03-02,Pawnee,Oklahoma,0,0,US
2020-03-03,Pawnee,Oklahoma,0,0,US
2020-03-04,Pawnee,Oklahoma,0,0,US
2020-03-05,Pawnee,Oklahoma,0,0,US
2020-03-06,Pawnee,Oklahoma,0,0,US
2020-03-07,Pawnee,Oklahoma,0,0,US
2020-03-08,Pawnee,Oklahoma,0,0,US
2020-03-09,Pawnee,Oklahoma,0,0,US
2020-03-10,Pawnee,Oklahoma,0,0,US
2020-03-11,Pawnee,Oklahoma,0,0,US
2020-03-12,Pawnee,Oklahoma,0,0,US
2020-03-13,Pawnee,Oklahoma,0,0,US
2020-03-14,Pawnee,Oklahoma,0,0,US
2020-03-15,Pawnee,Oklahoma,0,0,US
2020-03-16,Pawnee,Oklahoma,0,0,US
2020-03-17,Pawnee,Oklahoma,1,0,US
2020-03-18,Pawnee,Oklahoma,1,0,US
2020-03-19,Pawnee,Oklahoma,1,0,US
2020-03-20,Pawnee,Oklahoma,1,0,US
2020-03-21,Pawnee,Oklahoma,2,0,US
2020-03-22,Pawnee,Oklahoma,3,1,US
2020-03-23,Pawnee,Oklahoma,3,1,US
2020-03-24,Pawnee,Oklahoma,4,1,US
2020-03-25,Pawnee,Oklahoma,7,1,US
2020-03-26,Pawnee,Oklahoma,10,1,US
2020-03-27,Pawnee,Oklahoma,14,1,US
2020-03-28,Pawnee,Oklahoma,14,1,US
2020-03-29,Pawnee,Oklahoma,15,1,US
2020-03-30,Pawnee,Oklahoma,15,1,US
2020-03-31,Pawnee,Oklahoma,15,1,US
2020-04-01,Pawnee,Oklahoma,15,1,US
2020-04-02,Pawnee,Oklahoma,15,1,US
2020-04-03,Pawnee,Oklahoma,16,1,US
2020-04-04,Pawnee,Oklahoma,16,1,US
2020-04-05,Pawnee,Oklahoma,22,1,US
2020-04-06,Pawnee,Oklahoma,22,1,US
2020-04-07,Pawnee,Oklahoma,23,1,US
2020-04-08,Pawnee,Oklahoma,23,1,US
2020-04-09,Pawnee,Oklahoma,24,1,US
2020-04-10,Pawnee,Oklahoma,26,2,US
2020-04-11,Pawnee,Oklahoma,26,2,US
2020-04-12,Pawnee,Oklahoma,26,2,US
2020-04-13,Pawnee,Oklahoma,27,2,US
2020-04-14,Pawnee,Oklahoma,27,2,US
2020-04-15,Pawnee,Oklahoma,27,2,US
2020-04-16,Pawnee,Oklahoma,28,2,US
2020-04-17,Pawnee,Oklahoma,28,2,US
2020-04-18,Pawnee,Oklahoma,28,2,US
2020-04-19,Pawnee,Oklahoma,28,2,US
2020-04-20,Pawnee,Oklahoma,28,2,US
2020-04-21,Pawnee,Oklahoma,28,2,US
2020-04-22,Pawnee,Oklahoma,28,2,US
2020-04-23,Pawnee,Oklahoma,28,2,US
2020-04-24,Pawnee,Oklahoma,28,2,US
2020-04-25,Pawnee,Oklahoma,28,2,US
2020-04-26,Pawnee,Oklahoma,29,2,US
2020-04-27,Pawnee,Oklahoma,29,2,US
2020-04-28,Pawnee,Oklahoma,29,2,US
2020-04-29,Pawnee,Oklahoma,29,2,US
2020-04-30,Pawnee,Oklahoma,29,2,US
2020-05-01,Pawnee,Oklahoma,29,2,US
2020-05-02,Pawnee,Oklahoma,29,2,US
2020-05-03,Pawnee,Oklahoma,29,2,US
2020-05-04,Pawnee,Oklahoma,29,2,US
2020-05-05,Pawnee,Oklahoma,29,2,US
2020-05-06,Pawnee,Oklahoma,29,2,US
2020-05-07,Pawnee,Oklahoma,29,2,US
2020-05-08,Pawnee,Oklahoma,29,2,US
2020-05-09,Pawnee,Oklahoma,29,2,US
2020-05-10,Pawnee,Oklahoma,29,2,US
2020-05-11,Pawnee,Oklahoma,29,2,US
2020-05-12,Pawnee,Oklahoma,29,2,US
2020-05-13,Pawnee,Oklahoma,29,2,US
2020-05-14,Pawnee,Oklahoma,29,2,US
2020-05-15,Pawnee,Oklahoma,29,2,US
2020-05-16,Pawnee,Oklahoma,29,2,US
2020-05-17,Pawnee,Oklahoma,29,2,US
2020-05-18,Pawnee,Oklahoma,29,2,US
2020-05-19,Pawnee,Oklahoma,29,2,US
2020-05-20,Pawnee,Oklahoma,29,2,US
2020-05-21,Pawnee,Oklahoma,29,2,US
2020-05-22,Pawnee,Oklahoma,29,2,US
2020-05-23,Pawnee,Oklahoma,29,2,US
2020-05-24,Pawnee,Oklahoma,29,2,US
2020-05-25,Pawnee,Oklahoma,29,2,US
2020-05-26,Pawnee,Oklahoma,29,2,US
2020-05-27,Pawnee,Oklahoma,30,2,US
2020-05-28,Pawnee,Oklahoma,30,2,US
2020-05-29,Pawnee,Oklahoma,30,2,US
2020-05-30,Pawnee,Oklahoma,31,2,US
2020-05-31,Pawnee,Oklahoma,31,2,US
2020-06-01,Pawnee,Oklahoma,31,2,US
2020-06-02,Pawnee,Oklahoma,31,2,US
2020-06-03,Pawnee,Oklahoma,31,2,US
2020-06-04,Pawnee,Oklahoma,32,2,US
2020-06-05,Pawnee,Oklahoma,32,2,US
2020-06-06,Pawnee,Oklahoma,33,2,US
2020-06-07,Pawnee,Oklahoma,34,2,US
2020-06-08,Pawnee,Oklahoma,34,2,US
2020-06-09,Pawnee,Oklahoma,34,2,US
2020-06-10,Pawnee,Oklahoma,35,2,US
2020-06-11,Pawnee,Oklahoma,35,2,US
2020-06-12,Pawnee,Oklahoma,36,2,US
2020-06-13,Pawnee,Oklahoma,41,2,US
2020-06-14,Pawnee,Oklahoma,41,2,US
2020-06-15,Pawnee,Oklahoma,41,2,US
2020-06-16,Pawnee,Oklahoma,41,2,US
2020-06-17,Pawnee,Oklahoma,41,2,US
2020-06-18,Pawnee,Oklahoma,41,2,US
2020-06-19,Pawnee,Oklahoma,46,2,US
2020-06-20,Pawnee,Oklahoma,47,2,US
2020-06-21,Pawnee,Oklahoma,48,2,US
2020-06-22,Pawnee,Oklahoma,50,2,US
2020-06-23,Pawnee,Oklahoma,51,2,US
2020-06-24,Pawnee,Oklahoma,51,2,US
2020-06-25,Pawnee,Oklahoma,51,2,US
2020-06-26,Pawnee,Oklahoma,51,2,US
2020-06-27,Pawnee,Oklahoma,51,2,US
2020-06-28,Pawnee,Oklahoma,53,2,US
2020-06-29,Pawnee,Oklahoma,54,2,US
2020-06-30,Pawnee,Oklahoma,56,2,US
2020-07-01,Pawnee,Oklahoma,57,2,US
2020-07-02,Pawnee,Oklahoma,57,2,US
2020-07-03,Pawnee,Oklahoma,57,2,US
2020-07-04,Pawnee,Oklahoma,58,2,US
2020-07-05,Pawnee,Oklahoma,58,2,US
2020-07-06,Pawnee,Oklahoma,58,2,US
2020-07-07,Pawnee,Oklahoma,60,2,US
2020-07-08,Pawnee,Oklahoma,61,2,US
2020-07-09,Pawnee,Oklahoma,65,3,US
2020-07-10,Pawnee,Oklahoma,68,3,US
2020-07-11,Pawnee,Oklahoma,68,3,US
2020-07-12,Pawnee,Oklahoma,70,3,US
2020-07-13,Pawnee,Oklahoma,71,3,US
2020-07-14,Pawnee,Oklahoma,73,3,US
2020-07-15,Pawnee,Oklahoma,75,3,US
2020-07-16,Pawnee,Oklahoma,75,3,US
2020-07-17,Pawnee,Oklahoma,78,3,US
2020-07-18,Pawnee,Oklahoma,84,3,US
2020-07-19,Pawnee,Oklahoma,84,3,US
2020-07-20,Pawnee,Oklahoma,85,3,US
2020-07-21,Pawnee,Oklahoma,84,3,US
2020-07-22,Pawnee,Oklahoma,86,3,US
2020-07-23,Pawnee,Oklahoma,92,3,US
2020-07-24,Pawnee,Oklahoma,94,3,US
2020-07-25,Pawnee,Oklahoma,101,3,US
2020-07-26,Pawnee,Oklahoma,107,3,US
2020-07-27,Pawnee,Oklahoma,107,3,US
2020-07-28,Pawnee,Oklahoma,112,3,US
2020-07-29,Pawnee,Oklahoma,115,3,US
2020-07-30,Pawnee,Oklahoma,113,3,US
2020-07-31,Pawnee,Oklahoma,116,3,US
2020-08-01,Pawnee,Oklahoma,122,3,US
2020-08-02,Pawnee,Oklahoma,120,3,US
2020-08-03,Pawnee,Oklahoma,122,3,US
2020-08-04,Pawnee,Oklahoma,126,3,US
2020-08-05,Pawnee,Oklahoma,127,3,US
2020-08-06,Pawnee,Oklahoma,130,3,US
2020-08-07,Pawnee,Oklahoma,134,3,US
2020-08-08,Pawnee,Oklahoma,136,3,US
2020-08-09,Pawnee,Oklahoma,137,3,US
2020-08-10,Pawnee,Oklahoma,138,3,US
2020-08-11,Pawnee,Oklahoma,149,3,US
2020-08-12,Pawnee,Oklahoma,148,3,US
2020-08-13,Pawnee,Oklahoma,151,3,US
2020-08-14,Pawnee,Oklahoma,153,3,US
2020-08-15,Pawnee,Oklahoma,166,3,US
2020-08-16,Pawnee,Oklahoma,166,3,US
2020-08-17,Pawnee,Oklahoma,168,3,US
2020-08-18,Pawnee,Oklahoma,170,3,US
2020-08-19,Pawnee,Oklahoma,172,3,US
2020-08-20,Pawnee,Oklahoma,178,3,US
2020-08-21,Pawnee,Oklahoma,186,3,US
2020-08-22,Pawnee,Oklahoma,194,3,US
2020-08-23,Pawnee,Oklahoma,195,3,US
2020-08-24,Pawnee,Oklahoma,197,3,US
2020-08-25,Pawnee,Oklahoma,197,3,US
2020-08-26,Pawnee,Oklahoma,201,3,US
2020-08-27,Pawnee,Oklahoma,203,3,US
2020-08-28,Pawnee,Oklahoma,210,3,US
2020-08-29,Pawnee,Oklahoma,218,3,US
2020-08-30,Pawnee,Oklahoma,217,3,US
2020-08-31,Pawnee,Oklahoma,219,3,US
2020-09-01,Pawnee,Oklahoma,219,3,US
2020-09-02,Pawnee,Oklahoma,218,3,US
2020-09-03,Pawnee,Oklahoma,223,3,US
2020-09-04,Pawnee,Oklahoma,223,3,US
2020-09-05,Pawnee,Oklahoma,229,3,US
2020-09-06,Pawnee,Oklahoma,229,3,US
2020-09-07,Pawnee,Oklahoma,229,3,US
2020-09-08,Pawnee,Oklahoma,230,3,US
2020-09-09,Pawnee,Oklahoma,228,3,US
2020-09-10,Pawnee,Oklahoma,229,3,US
