Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Peach,Georgia,0,0,US
2020-01-23,Peach,Georgia,0,0,US
2020-01-24,Peach,Georgia,0,0,US
2020-01-25,Peach,Georgia,0,0,US
2020-01-26,Peach,Georgia,0,0,US
2020-01-27,Peach,Georgia,0,0,US
2020-01-28,Peach,Georgia,0,0,US
2020-01-29,Peach,Georgia,0,0,US
2020-01-30,Peach,Georgia,0,0,US
2020-01-31,Peach,Georgia,0,0,US
2020-02-01,Peach,Georgia,0,0,US
2020-02-02,Peach,Georgia,0,0,US
2020-02-03,Peach,Georgia,0,0,US
2020-02-04,Peach,Georgia,0,0,US
2020-02-05,Peach,Georgia,0,0,US
2020-02-06,Peach,Georgia,0,0,US
2020-02-07,Peach,Georgia,0,0,US
2020-02-08,Peach,Georgia,0,0,US
2020-02-09,Peach,Georgia,0,0,US
2020-02-10,Peach,Georgia,0,0,US
2020-02-11,Peach,Georgia,0,0,US
2020-02-12,Peach,Georgia,0,0,US
2020-02-13,Peach,Georgia,0,0,US
2020-02-14,Peach,Georgia,0,0,US
2020-02-15,Peach,Georgia,0,0,US
2020-02-16,Peach,Georgia,0,0,US
2020-02-17,Peach,Georgia,0,0,US
2020-02-18,Peach,Georgia,0,0,US
2020-02-19,Peach,Georgia,0,0,US
2020-02-20,Peach,Georgia,0,0,US
2020-02-21,Peach,Georgia,0,0,US
2020-02-22,Peach,Georgia,0,0,US
2020-02-23,Peach,Georgia,0,0,US
2020-02-24,Peach,Georgia,0,0,US
2020-02-25,Peach,Georgia,0,0,US
2020-02-26,Peach,Georgia,0,0,US
2020-02-27,Peach,Georgia,0,0,US
2020-02-28,Peach,Georgia,0,0,US
2020-02-29,Peach,Georgia,0,0,US
2020-03-01,Peach,Georgia,0,0,US
2020-03-02,Peach,Georgia,0,0,US
2020-03-03,Peach,Georgia,0,0,US
2020-03-04,Peach,Georgia,0,0,US
2020-03-05,Peach,Georgia,0,0,US
2020-03-06,Peach,Georgia,0,0,US
2020-03-07,Peach,Georgia,0,0,US
2020-03-08,Peach,Georgia,0,0,US
2020-03-09,Peach,Georgia,0,0,US
2020-03-10,Peach,Georgia,0,0,US
2020-03-11,Peach,Georgia,0,0,US
2020-03-12,Peach,Georgia,0,0,US
2020-03-13,Peach,Georgia,0,0,US
2020-03-14,Peach,Georgia,0,0,US
2020-03-15,Peach,Georgia,0,0,US
2020-03-16,Peach,Georgia,0,0,US
2020-03-17,Peach,Georgia,0,0,US
2020-03-18,Peach,Georgia,0,0,US
2020-03-19,Peach,Georgia,1,0,US
2020-03-20,Peach,Georgia,1,0,US
2020-03-21,Peach,Georgia,2,0,US
2020-03-22,Peach,Georgia,3,0,US
2020-03-23,Peach,Georgia,3,0,US
2020-03-24,Peach,Georgia,3,0,US
2020-03-25,Peach,Georgia,4,0,US
2020-03-26,Peach,Georgia,5,0,US
2020-03-27,Peach,Georgia,6,0,US
2020-03-28,Peach,Georgia,6,0,US
2020-03-29,Peach,Georgia,6,0,US
2020-03-30,Peach,Georgia,7,1,US
2020-03-31,Peach,Georgia,7,1,US
2020-04-01,Peach,Georgia,7,1,US
2020-04-02,Peach,Georgia,7,1,US
2020-04-03,Peach,Georgia,9,1,US
2020-04-04,Peach,Georgia,10,1,US
2020-04-05,Peach,Georgia,13,1,US
2020-04-06,Peach,Georgia,15,2,US
2020-04-07,Peach,Georgia,16,2,US
2020-04-08,Peach,Georgia,19,2,US
2020-04-09,Peach,Georgia,20,2,US
2020-04-10,Peach,Georgia,20,2,US
2020-04-11,Peach,Georgia,21,2,US
2020-04-12,Peach,Georgia,22,2,US
2020-04-13,Peach,Georgia,24,2,US
2020-04-14,Peach,Georgia,24,2,US
2020-04-15,Peach,Georgia,24,2,US
2020-04-16,Peach,Georgia,28,2,US
2020-04-17,Peach,Georgia,31,2,US
2020-04-18,Peach,Georgia,32,2,US
2020-04-19,Peach,Georgia,32,2,US
2020-04-20,Peach,Georgia,35,2,US
2020-04-21,Peach,Georgia,35,2,US
2020-04-22,Peach,Georgia,35,2,US
2020-04-23,Peach,Georgia,36,2,US
2020-04-24,Peach,Georgia,37,2,US
2020-04-25,Peach,Georgia,37,2,US
2020-04-26,Peach,Georgia,37,2,US
2020-04-27,Peach,Georgia,39,2,US
2020-04-28,Peach,Georgia,44,2,US
2020-04-29,Peach,Georgia,45,2,US
2020-04-30,Peach,Georgia,46,2,US
2020-05-01,Peach,Georgia,52,2,US
2020-05-02,Peach,Georgia,56,2,US
2020-05-03,Peach,Georgia,55,2,US
2020-05-04,Peach,Georgia,59,2,US
2020-05-05,Peach,Georgia,60,2,US
2020-05-06,Peach,Georgia,61,2,US
2020-05-07,Peach,Georgia,61,2,US
2020-05-08,Peach,Georgia,62,2,US
2020-05-09,Peach,Georgia,62,2,US
2020-05-10,Peach,Georgia,63,2,US
2020-05-11,Peach,Georgia,63,2,US
2020-05-12,Peach,Georgia,68,2,US
