Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pendleton,Kentucky,0,0,US
2020-01-23,Pendleton,Kentucky,0,0,US
2020-01-24,Pendleton,Kentucky,0,0,US
2020-01-25,Pendleton,Kentucky,0,0,US
2020-01-26,Pendleton,Kentucky,0,0,US
2020-01-27,Pendleton,Kentucky,0,0,US
2020-01-28,Pendleton,Kentucky,0,0,US
2020-01-29,Pendleton,Kentucky,0,0,US
2020-01-30,Pendleton,Kentucky,0,0,US
2020-01-31,Pendleton,Kentucky,0,0,US
2020-02-01,Pendleton,Kentucky,0,0,US
2020-02-02,Pendleton,Kentucky,0,0,US
2020-02-03,Pendleton,Kentucky,0,0,US
2020-02-04,Pendleton,Kentucky,0,0,US
2020-02-05,Pendleton,Kentucky,0,0,US
2020-02-06,Pendleton,Kentucky,0,0,US
2020-02-07,Pendleton,Kentucky,0,0,US
2020-02-08,Pendleton,Kentucky,0,0,US
2020-02-09,Pendleton,Kentucky,0,0,US
2020-02-10,Pendleton,Kentucky,0,0,US
2020-02-11,Pendleton,Kentucky,0,0,US
2020-02-12,Pendleton,Kentucky,0,0,US
2020-02-13,Pendleton,Kentucky,0,0,US
2020-02-14,Pendleton,Kentucky,0,0,US
2020-02-15,Pendleton,Kentucky,0,0,US
2020-02-16,Pendleton,Kentucky,0,0,US
2020-02-17,Pendleton,Kentucky,0,0,US
2020-02-18,Pendleton,Kentucky,0,0,US
2020-02-19,Pendleton,Kentucky,0,0,US
2020-02-20,Pendleton,Kentucky,0,0,US
2020-02-21,Pendleton,Kentucky,0,0,US
2020-02-22,Pendleton,Kentucky,0,0,US
2020-02-23,Pendleton,Kentucky,0,0,US
2020-02-24,Pendleton,Kentucky,0,0,US
2020-02-25,Pendleton,Kentucky,0,0,US
2020-02-26,Pendleton,Kentucky,0,0,US
2020-02-27,Pendleton,Kentucky,0,0,US
2020-02-28,Pendleton,Kentucky,0,0,US
2020-02-29,Pendleton,Kentucky,0,0,US
2020-03-01,Pendleton,Kentucky,0,0,US
2020-03-02,Pendleton,Kentucky,0,0,US
2020-03-03,Pendleton,Kentucky,0,0,US
2020-03-04,Pendleton,Kentucky,0,0,US
2020-03-05,Pendleton,Kentucky,0,0,US
2020-03-06,Pendleton,Kentucky,0,0,US
2020-03-07,Pendleton,Kentucky,0,0,US
2020-03-08,Pendleton,Kentucky,0,0,US
2020-03-09,Pendleton,Kentucky,0,0,US
2020-03-10,Pendleton,Kentucky,0,0,US
2020-03-11,Pendleton,Kentucky,0,0,US
2020-03-12,Pendleton,Kentucky,0,0,US
2020-03-13,Pendleton,Kentucky,0,0,US
