Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pershing,Nevada,0,0,US
2020-01-23,Pershing,Nevada,0,0,US
2020-01-24,Pershing,Nevada,0,0,US
2020-01-25,Pershing,Nevada,0,0,US
2020-01-26,Pershing,Nevada,0,0,US
2020-01-27,Pershing,Nevada,0,0,US
2020-01-28,Pershing,Nevada,0,0,US
2020-01-29,Pershing,Nevada,0,0,US
2020-01-30,Pershing,Nevada,0,0,US
2020-01-31,Pershing,Nevada,0,0,US
2020-02-01,Pershing,Nevada,0,0,US
2020-02-02,Pershing,Nevada,0,0,US
2020-02-03,Pershing,Nevada,0,0,US
2020-02-04,Pershing,Nevada,0,0,US
2020-02-05,Pershing,Nevada,0,0,US
2020-02-06,Pershing,Nevada,0,0,US
2020-02-07,Pershing,Nevada,0,0,US
2020-02-08,Pershing,Nevada,0,0,US
2020-02-09,Pershing,Nevada,0,0,US
2020-02-10,Pershing,Nevada,0,0,US
2020-02-11,Pershing,Nevada,0,0,US
2020-02-12,Pershing,Nevada,0,0,US
2020-02-13,Pershing,Nevada,0,0,US
2020-02-14,Pershing,Nevada,0,0,US
2020-02-15,Pershing,Nevada,0,0,US
2020-02-16,Pershing,Nevada,0,0,US
2020-02-17,Pershing,Nevada,0,0,US
2020-02-18,Pershing,Nevada,0,0,US
2020-02-19,Pershing,Nevada,0,0,US
2020-02-20,Pershing,Nevada,0,0,US
2020-02-21,Pershing,Nevada,0,0,US
2020-02-22,Pershing,Nevada,0,0,US
2020-02-23,Pershing,Nevada,0,0,US
2020-02-24,Pershing,Nevada,0,0,US
2020-02-25,Pershing,Nevada,0,0,US
2020-02-26,Pershing,Nevada,0,0,US
2020-02-27,Pershing,Nevada,0,0,US
2020-02-28,Pershing,Nevada,0,0,US
2020-02-29,Pershing,Nevada,0,0,US
2020-03-01,Pershing,Nevada,0,0,US
2020-03-02,Pershing,Nevada,0,0,US
2020-03-03,Pershing,Nevada,0,0,US
2020-03-04,Pershing,Nevada,0,0,US
2020-03-05,Pershing,Nevada,0,0,US
2020-03-06,Pershing,Nevada,0,0,US
2020-03-07,Pershing,Nevada,0,0,US
2020-03-08,Pershing,Nevada,0,0,US
2020-03-09,Pershing,Nevada,0,0,US
2020-03-10,Pershing,Nevada,0,0,US
2020-03-11,Pershing,Nevada,0,0,US
2020-03-12,Pershing,Nevada,0,0,US
2020-03-13,Pershing,Nevada,0,0,US
2020-03-14,Pershing,Nevada,0,0,US
2020-03-15,Pershing,Nevada,0,0,US
2020-03-16,Pershing,Nevada,0,0,US
2020-03-17,Pershing,Nevada,0,0,US
2020-03-18,Pershing,Nevada,0,0,US
2020-03-19,Pershing,Nevada,0,0,US
2020-03-20,Pershing,Nevada,0,0,US
2020-03-21,Pershing,Nevada,0,0,US
2020-03-22,Pershing,Nevada,0,0,US
2020-03-23,Pershing,Nevada,0,0,US
2020-03-24,Pershing,Nevada,0,0,US
2020-03-25,Pershing,Nevada,0,0,US
2020-03-26,Pershing,Nevada,0,0,US
2020-03-27,Pershing,Nevada,0,0,US
2020-03-28,Pershing,Nevada,0,0,US
2020-03-29,Pershing,Nevada,0,0,US
2020-03-30,Pershing,Nevada,0,0,US
2020-03-31,Pershing,Nevada,0,0,US
2020-04-01,Pershing,Nevada,0,0,US
2020-04-02,Pershing,Nevada,0,0,US
2020-04-03,Pershing,Nevada,0,0,US
2020-04-04,Pershing,Nevada,0,0,US
2020-04-05,Pershing,Nevada,0,0,US
2020-04-06,Pershing,Nevada,0,0,US
2020-04-07,Pershing,Nevada,0,0,US
2020-04-08,Pershing,Nevada,0,0,US
2020-04-09,Pershing,Nevada,0,0,US
2020-04-10,Pershing,Nevada,0,0,US
2020-04-11,Pershing,Nevada,0,0,US
2020-04-12,Pershing,Nevada,0,0,US
2020-04-13,Pershing,Nevada,0,0,US
2020-04-14,Pershing,Nevada,0,0,US
2020-04-15,Pershing,Nevada,0,0,US
2020-04-16,Pershing,Nevada,0,0,US
2020-04-17,Pershing,Nevada,0,0,US
2020-04-18,Pershing,Nevada,0,0,US
2020-04-19,Pershing,Nevada,0,0,US
2020-04-20,Pershing,Nevada,0,0,US
2020-04-21,Pershing,Nevada,0,0,US
2020-04-22,Pershing,Nevada,0,0,US
2020-04-23,Pershing,Nevada,0,0,US
2020-04-24,Pershing,Nevada,0,0,US
2020-04-25,Pershing,Nevada,0,0,US
2020-04-26,Pershing,Nevada,0,0,US
2020-04-27,Pershing,Nevada,0,0,US
2020-04-28,Pershing,Nevada,0,0,US
2020-04-29,Pershing,Nevada,0,0,US
2020-04-30,Pershing,Nevada,0,0,US
2020-05-01,Pershing,Nevada,0,0,US
2020-05-02,Pershing,Nevada,0,0,US
2020-05-03,Pershing,Nevada,0,0,US
2020-05-04,Pershing,Nevada,0,0,US
2020-05-05,Pershing,Nevada,0,0,US
2020-05-06,Pershing,Nevada,0,0,US
2020-05-07,Pershing,Nevada,0,0,US
2020-05-08,Pershing,Nevada,0,0,US
2020-05-09,Pershing,Nevada,0,0,US
2020-05-10,Pershing,Nevada,0,0,US
2020-05-11,Pershing,Nevada,0,0,US
2020-05-12,Pershing,Nevada,0,0,US
2020-05-13,Pershing,Nevada,0,0,US
2020-05-14,Pershing,Nevada,0,0,US
2020-05-15,Pershing,Nevada,0,0,US
2020-05-16,Pershing,Nevada,0,0,US
2020-05-17,Pershing,Nevada,0,0,US
2020-05-18,Pershing,Nevada,0,0,US
2020-05-19,Pershing,Nevada,0,0,US
2020-05-20,Pershing,Nevada,0,0,US
2020-05-21,Pershing,Nevada,0,0,US
2020-05-22,Pershing,Nevada,0,0,US
2020-05-23,Pershing,Nevada,0,0,US
2020-05-24,Pershing,Nevada,0,0,US
2020-05-25,Pershing,Nevada,0,0,US
2020-05-26,Pershing,Nevada,0,0,US
2020-05-27,Pershing,Nevada,0,0,US
2020-05-28,Pershing,Nevada,0,0,US
2020-05-29,Pershing,Nevada,0,0,US
2020-05-30,Pershing,Nevada,0,0,US
2020-05-31,Pershing,Nevada,0,0,US
2020-06-01,Pershing,Nevada,0,0,US
2020-06-02,Pershing,Nevada,2,0,US
2020-06-03,Pershing,Nevada,2,0,US
2020-06-04,Pershing,Nevada,2,0,US
2020-06-05,Pershing,Nevada,2,0,US
2020-06-06,Pershing,Nevada,2,0,US
2020-06-07,Pershing,Nevada,2,0,US
2020-06-08,Pershing,Nevada,2,0,US
2020-06-09,Pershing,Nevada,3,0,US
2020-06-10,Pershing,Nevada,4,0,US
2020-06-11,Pershing,Nevada,4,0,US
2020-06-12,Pershing,Nevada,5,0,US
2020-06-13,Pershing,Nevada,5,0,US
2020-06-14,Pershing,Nevada,5,0,US
2020-06-15,Pershing,Nevada,5,0,US
2020-06-16,Pershing,Nevada,5,0,US
2020-06-17,Pershing,Nevada,5,0,US
2020-06-18,Pershing,Nevada,5,0,US
2020-06-19,Pershing,Nevada,5,0,US
2020-06-20,Pershing,Nevada,5,0,US
2020-06-21,Pershing,Nevada,5,0,US
2020-06-22,Pershing,Nevada,5,0,US
2020-06-23,Pershing,Nevada,7,0,US
2020-06-24,Pershing,Nevada,7,0,US
2020-06-25,Pershing,Nevada,6,0,US
2020-06-26,Pershing,Nevada,6,0,US
2020-06-27,Pershing,Nevada,6,0,US
2020-06-28,Pershing,Nevada,6,0,US
2020-06-29,Pershing,Nevada,6,0,US
2020-06-30,Pershing,Nevada,6,0,US
2020-07-01,Pershing,Nevada,6,0,US
2020-07-02,Pershing,Nevada,6,0,US
2020-07-03,Pershing,Nevada,6,0,US
2020-07-04,Pershing,Nevada,9,0,US
2020-07-05,Pershing,Nevada,9,0,US
2020-07-06,Pershing,Nevada,9,0,US
2020-07-07,Pershing,Nevada,9,0,US
2020-07-08,Pershing,Nevada,9,0,US
2020-07-09,Pershing,Nevada,10,0,US
2020-07-10,Pershing,Nevada,10,0,US
2020-07-11,Pershing,Nevada,12,0,US
2020-07-12,Pershing,Nevada,12,0,US
2020-07-13,Pershing,Nevada,12,0,US
2020-07-14,Pershing,Nevada,12,0,US
2020-07-15,Pershing,Nevada,13,0,US
2020-07-16,Pershing,Nevada,13,0,US
2020-07-17,Pershing,Nevada,13,0,US
2020-07-18,Pershing,Nevada,13,0,US
2020-07-19,Pershing,Nevada,13,0,US
2020-07-20,Pershing,Nevada,13,0,US
2020-07-21,Pershing,Nevada,13,0,US
2020-07-22,Pershing,Nevada,13,0,US
2020-07-23,Pershing,Nevada,13,0,US
2020-07-24,Pershing,Nevada,13,0,US
2020-07-25,Pershing,Nevada,13,0,US
2020-07-26,Pershing,Nevada,13,0,US
2020-07-27,Pershing,Nevada,13,0,US
2020-07-28,Pershing,Nevada,13,0,US
2020-07-29,Pershing,Nevada,13,0,US
2020-07-30,Pershing,Nevada,13,0,US
2020-07-31,Pershing,Nevada,13,0,US
2020-08-01,Pershing,Nevada,13,0,US
2020-08-02,Pershing,Nevada,13,0,US
2020-08-03,Pershing,Nevada,13,0,US
2020-08-04,Pershing,Nevada,13,0,US
2020-08-05,Pershing,Nevada,13,0,US
2020-08-06,Pershing,Nevada,13,0,US
2020-08-07,Pershing,Nevada,13,0,US
2020-08-08,Pershing,Nevada,13,0,US
2020-08-09,Pershing,Nevada,14,0,US
2020-08-10,Pershing,Nevada,14,0,US
2020-08-11,Pershing,Nevada,14,0,US
2020-08-12,Pershing,Nevada,14,0,US
2020-08-13,Pershing,Nevada,14,0,US
2020-08-14,Pershing,Nevada,14,0,US
2020-08-15,Pershing,Nevada,14,0,US
2020-08-16,Pershing,Nevada,14,0,US
2020-08-17,Pershing,Nevada,14,0,US
2020-08-18,Pershing,Nevada,15,0,US
2020-08-19,Pershing,Nevada,17,0,US
2020-08-20,Pershing,Nevada,17,0,US
2020-08-21,Pershing,Nevada,17,0,US
2020-08-22,Pershing,Nevada,17,0,US
2020-08-23,Pershing,Nevada,17,0,US
2020-08-24,Pershing,Nevada,17,0,US
2020-08-25,Pershing,Nevada,19,0,US
2020-08-26,Pershing,Nevada,19,0,US
2020-08-27,Pershing,Nevada,18,0,US
2020-08-28,Pershing,Nevada,19,0,US
2020-08-29,Pershing,Nevada,19,0,US
2020-08-30,Pershing,Nevada,21,0,US
2020-08-31,Pershing,Nevada,22,0,US
2020-09-01,Pershing,Nevada,21,0,US
2020-09-02,Pershing,Nevada,21,0,US
2020-09-03,Pershing,Nevada,21,0,US
2020-09-04,Pershing,Nevada,20,0,US
2020-09-05,Pershing,Nevada,20,0,US
2020-09-06,Pershing,Nevada,20,0,US
2020-09-07,Pershing,Nevada,20,0,US
2020-09-08,Pershing,Nevada,21,0,US
2020-09-09,Pershing,Nevada,21,0,US
2020-09-10,Pershing,Nevada,21,0,US
2020-09-11,Pershing,Nevada,21,0,US
2020-09-12,Pershing,Nevada,21,0,US
2020-09-13,Pershing,Nevada,21,0,US
2020-09-14,Pershing,Nevada,21,0,US
2020-09-15,Pershing,Nevada,21,0,US
2020-09-16,Pershing,Nevada,21,0,US
2020-09-17,Pershing,Nevada,21,0,US
