Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pettis,Missouri,0,0,US
2020-01-23,Pettis,Missouri,0,0,US
2020-01-24,Pettis,Missouri,0,0,US
2020-01-25,Pettis,Missouri,0,0,US
2020-01-26,Pettis,Missouri,0,0,US
2020-01-27,Pettis,Missouri,0,0,US
2020-01-28,Pettis,Missouri,0,0,US
2020-01-29,Pettis,Missouri,0,0,US
2020-01-30,Pettis,Missouri,0,0,US
2020-01-31,Pettis,Missouri,0,0,US
2020-02-01,Pettis,Missouri,0,0,US
2020-02-02,Pettis,Missouri,0,0,US
2020-02-03,Pettis,Missouri,0,0,US
2020-02-04,Pettis,Missouri,0,0,US
2020-02-05,Pettis,Missouri,0,0,US
2020-02-06,Pettis,Missouri,0,0,US
2020-02-07,Pettis,Missouri,0,0,US
2020-02-08,Pettis,Missouri,0,0,US
2020-02-09,Pettis,Missouri,0,0,US
2020-02-10,Pettis,Missouri,0,0,US
2020-02-11,Pettis,Missouri,0,0,US
2020-02-12,Pettis,Missouri,0,0,US
2020-02-13,Pettis,Missouri,0,0,US
2020-02-14,Pettis,Missouri,0,0,US
2020-02-15,Pettis,Missouri,0,0,US
2020-02-16,Pettis,Missouri,0,0,US
2020-02-17,Pettis,Missouri,0,0,US
2020-02-18,Pettis,Missouri,0,0,US
2020-02-19,Pettis,Missouri,0,0,US
2020-02-20,Pettis,Missouri,0,0,US
2020-02-21,Pettis,Missouri,0,0,US
2020-02-22,Pettis,Missouri,0,0,US
2020-02-23,Pettis,Missouri,0,0,US
2020-02-24,Pettis,Missouri,0,0,US
2020-02-25,Pettis,Missouri,0,0,US
2020-02-26,Pettis,Missouri,0,0,US
2020-02-27,Pettis,Missouri,0,0,US
2020-02-28,Pettis,Missouri,0,0,US
2020-02-29,Pettis,Missouri,0,0,US
2020-03-01,Pettis,Missouri,0,0,US
2020-03-02,Pettis,Missouri,0,0,US
2020-03-03,Pettis,Missouri,0,0,US
2020-03-04,Pettis,Missouri,0,0,US
2020-03-05,Pettis,Missouri,0,0,US
2020-03-06,Pettis,Missouri,0,0,US
2020-03-07,Pettis,Missouri,0,0,US
2020-03-08,Pettis,Missouri,0,0,US
2020-03-09,Pettis,Missouri,0,0,US
2020-03-10,Pettis,Missouri,0,0,US
2020-03-11,Pettis,Missouri,0,0,US
2020-03-12,Pettis,Missouri,0,0,US
2020-03-13,Pettis,Missouri,0,0,US
2020-03-14,Pettis,Missouri,0,0,US
2020-03-15,Pettis,Missouri,0,0,US
2020-03-16,Pettis,Missouri,0,0,US
2020-03-17,Pettis,Missouri,0,0,US
2020-03-18,Pettis,Missouri,0,0,US
2020-03-19,Pettis,Missouri,0,0,US
2020-03-20,Pettis,Missouri,0,0,US
2020-03-21,Pettis,Missouri,0,0,US
2020-03-22,Pettis,Missouri,0,0,US
2020-03-23,Pettis,Missouri,0,0,US
2020-03-24,Pettis,Missouri,0,0,US
2020-03-25,Pettis,Missouri,0,0,US
2020-03-26,Pettis,Missouri,0,0,US
2020-03-27,Pettis,Missouri,1,0,US
2020-03-28,Pettis,Missouri,1,0,US
2020-03-29,Pettis,Missouri,1,0,US
2020-03-30,Pettis,Missouri,1,0,US
2020-03-31,Pettis,Missouri,1,0,US
2020-04-01,Pettis,Missouri,1,0,US
2020-04-02,Pettis,Missouri,1,0,US
2020-04-03,Pettis,Missouri,1,0,US
2020-04-04,Pettis,Missouri,2,0,US
2020-04-05,Pettis,Missouri,2,0,US
2020-04-06,Pettis,Missouri,2,0,US
