Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pike,Alabama,0,0,US
2020-01-23,Pike,Alabama,0,0,US
2020-01-24,Pike,Alabama,0,0,US
2020-01-25,Pike,Alabama,0,0,US
2020-01-26,Pike,Alabama,0,0,US
2020-01-27,Pike,Alabama,0,0,US
2020-01-28,Pike,Alabama,0,0,US
2020-01-29,Pike,Alabama,0,0,US
2020-01-30,Pike,Alabama,0,0,US
2020-01-31,Pike,Alabama,0,0,US
2020-02-01,Pike,Alabama,0,0,US
2020-02-02,Pike,Alabama,0,0,US
2020-02-03,Pike,Alabama,0,0,US
2020-02-04,Pike,Alabama,0,0,US
2020-02-05,Pike,Alabama,0,0,US
2020-02-06,Pike,Alabama,0,0,US
2020-02-07,Pike,Alabama,0,0,US
2020-02-08,Pike,Alabama,0,0,US
2020-02-09,Pike,Alabama,0,0,US
2020-02-10,Pike,Alabama,0,0,US
2020-02-11,Pike,Alabama,0,0,US
2020-02-12,Pike,Alabama,0,0,US
2020-02-13,Pike,Alabama,0,0,US
2020-02-14,Pike,Alabama,0,0,US
2020-02-15,Pike,Alabama,0,0,US
2020-02-16,Pike,Alabama,0,0,US
2020-02-17,Pike,Alabama,0,0,US
2020-02-18,Pike,Alabama,0,0,US
2020-02-19,Pike,Alabama,0,0,US
2020-02-20,Pike,Alabama,0,0,US
2020-02-21,Pike,Alabama,0,0,US
2020-02-22,Pike,Alabama,0,0,US
2020-02-23,Pike,Alabama,0,0,US
2020-02-24,Pike,Alabama,0,0,US
2020-02-25,Pike,Alabama,0,0,US
2020-02-26,Pike,Alabama,0,0,US
2020-02-27,Pike,Alabama,0,0,US
2020-02-28,Pike,Alabama,0,0,US
2020-02-29,Pike,Alabama,0,0,US
2020-03-01,Pike,Alabama,0,0,US
2020-03-02,Pike,Alabama,0,0,US
2020-03-03,Pike,Alabama,0,0,US
2020-03-04,Pike,Alabama,0,0,US
2020-03-05,Pike,Alabama,0,0,US
2020-03-06,Pike,Alabama,0,0,US
2020-03-07,Pike,Alabama,0,0,US
2020-03-08,Pike,Alabama,0,0,US
2020-03-09,Pike,Alabama,0,0,US
2020-03-10,Pike,Alabama,0,0,US
2020-03-11,Pike,Alabama,0,0,US
2020-03-12,Pike,Alabama,0,0,US
2020-03-13,Pike,Alabama,0,0,US
2020-03-14,Pike,Alabama,0,0,US
2020-03-15,Pike,Alabama,0,0,US
2020-03-16,Pike,Alabama,0,0,US
2020-03-17,Pike,Alabama,0,0,US
2020-03-18,Pike,Alabama,0,0,US
2020-03-19,Pike,Alabama,0,0,US
2020-03-20,Pike,Alabama,0,0,US
2020-03-21,Pike,Alabama,0,0,US
2020-03-22,Pike,Alabama,0,0,US
2020-03-23,Pike,Alabama,0,0,US
2020-03-24,Pike,Alabama,1,0,US
2020-03-25,Pike,Alabama,1,0,US
2020-03-26,Pike,Alabama,2,0,US
2020-03-27,Pike,Alabama,4,0,US
2020-03-28,Pike,Alabama,4,0,US
2020-03-29,Pike,Alabama,4,0,US
2020-03-30,Pike,Alabama,4,0,US
2020-03-31,Pike,Alabama,4,0,US
2020-04-01,Pike,Alabama,6,0,US
2020-04-02,Pike,Alabama,6,0,US
2020-04-03,Pike,Alabama,9,0,US
2020-04-04,Pike,Alabama,9,0,US
2020-04-05,Pike,Alabama,13,0,US
2020-04-06,Pike,Alabama,13,0,US
2020-04-07,Pike,Alabama,13,0,US
2020-04-08,Pike,Alabama,15,0,US
2020-04-09,Pike,Alabama,17,0,US
2020-04-10,Pike,Alabama,17,0,US
2020-04-11,Pike,Alabama,17,0,US
2020-04-12,Pike,Alabama,19,0,US
2020-04-13,Pike,Alabama,20,0,US
2020-04-14,Pike,Alabama,21,0,US
2020-04-15,Pike,Alabama,25,0,US
2020-04-16,Pike,Alabama,26,0,US
2020-04-17,Pike,Alabama,27,0,US
2020-04-18,Pike,Alabama,33,0,US
2020-04-19,Pike,Alabama,36,0,US
2020-04-20,Pike,Alabama,39,0,US
2020-04-21,Pike,Alabama,43,0,US
2020-04-22,Pike,Alabama,50,0,US
2020-04-23,Pike,Alabama,55,0,US
2020-04-24,Pike,Alabama,57,0,US
2020-04-25,Pike,Alabama,57,0,US
2020-04-26,Pike,Alabama,61,0,US
2020-04-27,Pike,Alabama,64,0,US
2020-04-28,Pike,Alabama,64,0,US
2020-04-29,Pike,Alabama,66,0,US
2020-04-30,Pike,Alabama,67,0,US
2020-05-01,Pike,Alabama,70,0,US
2020-05-02,Pike,Alabama,74,0,US
2020-05-03,Pike,Alabama,76,0,US
2020-05-04,Pike,Alabama,80,0,US
2020-05-05,Pike,Alabama,83,0,US
2020-05-06,Pike,Alabama,85,0,US
2020-05-07,Pike,Alabama,86,0,US
2020-05-08,Pike,Alabama,88,0,US
2020-05-09,Pike,Alabama,90,0,US
2020-05-10,Pike,Alabama,95,0,US
2020-05-11,Pike,Alabama,101,0,US
2020-05-12,Pike,Alabama,103,0,US
2020-05-13,Pike,Alabama,103,0,US
2020-05-14,Pike,Alabama,105,0,US
2020-05-15,Pike,Alabama,107,0,US
2020-05-16,Pike,Alabama,108,0,US
2020-05-17,Pike,Alabama,109,0,US
2020-05-18,Pike,Alabama,111,0,US
2020-05-19,Pike,Alabama,119,0,US
2020-05-20,Pike,Alabama,124,0,US
2020-05-21,Pike,Alabama,129,0,US
2020-05-22,Pike,Alabama,131,0,US
2020-05-23,Pike,Alabama,134,0,US
2020-05-24,Pike,Alabama,141,0,US
2020-05-25,Pike,Alabama,151,0,US
2020-05-26,Pike,Alabama,165,0,US
2020-05-27,Pike,Alabama,178,0,US
2020-05-28,Pike,Alabama,184,0,US
2020-05-29,Pike,Alabama,196,0,US
2020-05-30,Pike,Alabama,203,0,US
2020-05-31,Pike,Alabama,210,0,US
2020-06-01,Pike,Alabama,213,0,US
2020-06-02,Pike,Alabama,214,0,US
2020-06-03,Pike,Alabama,217,0,US
2020-06-04,Pike,Alabama,228,0,US
2020-06-05,Pike,Alabama,244,1,US
2020-06-06,Pike,Alabama,248,1,US
2020-06-07,Pike,Alabama,255,1,US
2020-06-08,Pike,Alabama,264,1,US
2020-06-09,Pike,Alabama,271,1,US
2020-06-10,Pike,Alabama,288,1,US
2020-06-11,Pike,Alabama,303,1,US
2020-06-12,Pike,Alabama,312,2,US
2020-06-13,Pike,Alabama,328,2,US
2020-06-14,Pike,Alabama,339,2,US
2020-06-15,Pike,Alabama,345,2,US
2020-06-16,Pike,Alabama,346,2,US
2020-06-17,Pike,Alabama,349,2,US
2020-06-18,Pike,Alabama,356,3,US
2020-06-19,Pike,Alabama,360,3,US
2020-06-20,Pike,Alabama,361,3,US
2020-06-21,Pike,Alabama,362,3,US
2020-06-22,Pike,Alabama,370,3,US
2020-06-23,Pike,Alabama,377,4,US
2020-06-24,Pike,Alabama,383,4,US
2020-06-25,Pike,Alabama,388,4,US
2020-06-26,Pike,Alabama,394,5,US
2020-06-27,Pike,Alabama,394,5,US
2020-06-28,Pike,Alabama,402,5,US
2020-06-29,Pike,Alabama,405,5,US
2020-06-30,Pike,Alabama,407,5,US
2020-07-01,Pike,Alabama,415,5,US
2020-07-02,Pike,Alabama,422,5,US
2020-07-03,Pike,Alabama,425,5,US
2020-07-04,Pike,Alabama,432,5,US
2020-07-05,Pike,Alabama,439,5,US
2020-07-06,Pike,Alabama,454,5,US
2020-07-07,Pike,Alabama,455,5,US
2020-07-08,Pike,Alabama,462,5,US
2020-07-09,Pike,Alabama,472,5,US
2020-07-10,Pike,Alabama,477,5,US
2020-07-11,Pike,Alabama,483,5,US
2020-07-12,Pike,Alabama,485,5,US
2020-07-13,Pike,Alabama,495,5,US
2020-07-14,Pike,Alabama,508,5,US
2020-07-15,Pike,Alabama,526,6,US
2020-07-16,Pike,Alabama,528,6,US
2020-07-17,Pike,Alabama,541,6,US
2020-07-18,Pike,Alabama,546,6,US
2020-07-19,Pike,Alabama,553,6,US
2020-07-20,Pike,Alabama,559,6,US
2020-07-21,Pike,Alabama,567,6,US
2020-07-22,Pike,Alabama,572,6,US
2020-07-23,Pike,Alabama,586,7,US
2020-07-24,Pike,Alabama,590,7,US
2020-07-25,Pike,Alabama,605,7,US
2020-07-26,Pike,Alabama,612,7,US
2020-07-27,Pike,Alabama,621,7,US
2020-07-28,Pike,Alabama,625,7,US
2020-07-29,Pike,Alabama,640,7,US
2020-07-30,Pike,Alabama,650,7,US
2020-07-31,Pike,Alabama,655,7,US
2020-08-01,Pike,Alabama,665,7,US
2020-08-02,Pike,Alabama,672,7,US
2020-08-03,Pike,Alabama,673,7,US
2020-08-04,Pike,Alabama,697,7,US
2020-08-05,Pike,Alabama,713,7,US
2020-08-06,Pike,Alabama,729,7,US
2020-08-07,Pike,Alabama,745,7,US
2020-08-08,Pike,Alabama,749,7,US
2020-08-09,Pike,Alabama,752,7,US
2020-08-10,Pike,Alabama,759,7,US
2020-08-11,Pike,Alabama,765,7,US
2020-08-12,Pike,Alabama,769,7,US
2020-08-13,Pike,Alabama,773,7,US
2020-08-14,Pike,Alabama,782,7,US
2020-08-15,Pike,Alabama,784,7,US
2020-08-16,Pike,Alabama,786,7,US
2020-08-17,Pike,Alabama,805,7,US
2020-08-18,Pike,Alabama,818,7,US
2020-08-19,Pike,Alabama,836,7,US
2020-08-20,Pike,Alabama,848,7,US
2020-08-21,Pike,Alabama,867,7,US
2020-08-22,Pike,Alabama,874,7,US
2020-08-23,Pike,Alabama,878,7,US
2020-08-24,Pike,Alabama,880,7,US
2020-08-25,Pike,Alabama,906,7,US
2020-08-26,Pike,Alabama,915,7,US
2020-08-27,Pike,Alabama,926,7,US
2020-08-28,Pike,Alabama,942,7,US
2020-08-29,Pike,Alabama,952,7,US
2020-08-30,Pike,Alabama,957,7,US
2020-08-31,Pike,Alabama,975,7,US
2020-09-01,Pike,Alabama,992,7,US
2020-09-02,Pike,Alabama,1003,7,US
2020-09-03,Pike,Alabama,1016,7,US
2020-09-04,Pike,Alabama,1036,7,US
2020-09-05,Pike,Alabama,1038,7,US
2020-09-06,Pike,Alabama,1044,7,US
2020-09-07,Pike,Alabama,1046,7,US
2020-09-08,Pike,Alabama,1058,7,US
2020-09-09,Pike,Alabama,1073,7,US
2020-09-10,Pike,Alabama,1087,7,US
2020-09-11,Pike,Alabama,1099,7,US
2020-09-12,Pike,Alabama,1103,7,US
2020-09-13,Pike,Alabama,1107,7,US
2020-09-14,Pike,Alabama,1114,7,US
2020-09-15,Pike,Alabama,1118,8,US
2020-09-16,Pike,Alabama,1121,9,US
2020-09-17,Pike,Alabama,1123,9,US
2020-09-18,Pike,Alabama,1140,9,US
2020-09-19,Pike,Alabama,1144,9,US
2020-09-20,Pike,Alabama,1149,9,US
2020-09-21,Pike,Alabama,1157,9,US
2020-09-22,Pike,Alabama,1169,9,US
2020-09-23,Pike,Alabama,1178,9,US
2020-09-24,Pike,Alabama,1183,9,US
2020-09-25,Pike,Alabama,1187,10,US
2020-09-26,Pike,Alabama,1194,10,US
2020-09-27,Pike,Alabama,1194,10,US
2020-09-28,Pike,Alabama,1206,10,US
2020-09-29,Pike,Alabama,1209,11,US
2020-09-30,Pike,Alabama,1213,11,US
2020-10-01,Pike,Alabama,1216,12,US
2020-10-02,Pike,Alabama,1223,12,US
2020-10-03,Pike,Alabama,1227,12,US
2020-10-04,Pike,Alabama,1231,12,US
2020-10-05,Pike,Alabama,1233,12,US
2020-10-06,Pike,Alabama,1236,12,US
2020-10-07,Pike,Alabama,1243,12,US
2020-10-08,Pike,Alabama,1250,12,US
2020-10-09,Pike,Alabama,1259,12,US
2020-10-10,Pike,Alabama,1260,12,US
2020-10-11,Pike,Alabama,1265,12,US
2020-10-12,Pike,Alabama,1273,12,US
2020-10-13,Pike,Alabama,1281,12,US
2020-10-14,Pike,Alabama,1285,12,US
2020-10-15,Pike,Alabama,1290,12,US
2020-10-16,Pike,Alabama,1296,12,US
2020-10-17,Pike,Alabama,1298,12,US
2020-10-18,Pike,Alabama,1299,12,US
2020-10-19,Pike,Alabama,1302,12,US
2020-10-20,Pike,Alabama,1310,12,US
2020-10-21,Pike,Alabama,1319,13,US
2020-10-22,Pike,Alabama,1324,13,US
2020-10-23,Pike,Alabama,1331,13,US
2020-10-24,Pike,Alabama,1338,13,US
2020-10-25,Pike,Alabama,1341,13,US
2020-10-26,Pike,Alabama,1342,13,US
2020-10-27,Pike,Alabama,1352,14,US
2020-10-28,Pike,Alabama,1363,14,US
2020-10-29,Pike,Alabama,1369,14,US
2020-10-30,Pike,Alabama,1380,14,US
2020-10-31,Pike,Alabama,1387,14,US
2020-11-01,Pike,Alabama,1394,14,US
2020-11-02,Pike,Alabama,1399,14,US
2020-11-03,Pike,Alabama,1406,14,US
2020-11-04,Pike,Alabama,1409,14,US
2020-11-05,Pike,Alabama,1417,14,US
2020-11-06,Pike,Alabama,1422,14,US
2020-11-07,Pike,Alabama,1428,14,US
2020-11-08,Pike,Alabama,1430,14,US
2020-11-09,Pike,Alabama,1437,14,US
2020-11-10,Pike,Alabama,1437,14,US
2020-11-11,Pike,Alabama,1452,14,US
2020-11-12,Pike,Alabama,1461,14,US
2020-11-13,Pike,Alabama,1482,14,US
2020-11-14,Pike,Alabama,1492,14,US
2020-11-15,Pike,Alabama,1494,14,US
2020-11-16,Pike,Alabama,1502,14,US
2020-11-17,Pike,Alabama,1511,14,US
2020-11-18,Pike,Alabama,1515,14,US
2020-11-19,Pike,Alabama,1520,14,US
2020-11-20,Pike,Alabama,1529,14,US
2020-11-21,Pike,Alabama,1531,14,US
2020-11-22,Pike,Alabama,1547,14,US
2020-11-23,Pike,Alabama,1555,14,US
2020-11-24,Pike,Alabama,1560,14,US
2020-11-25,Pike,Alabama,1575,14,US
2020-11-26,Pike,Alabama,1581,14,US
2020-11-27,Pike,Alabama,1583,14,US
2020-11-28,Pike,Alabama,1586,14,US
2020-11-29,Pike,Alabama,1592,14,US
2020-11-30,Pike,Alabama,1599,14,US
2020-12-01,Pike,Alabama,1615,14,US
2020-12-02,Pike,Alabama,1622,14,US
2020-12-03,Pike,Alabama,1638,14,US
2020-12-04,Pike,Alabama,1652,15,US
2020-12-05,Pike,Alabama,1660,15,US
2020-12-06,Pike,Alabama,1663,15,US
2020-12-07,Pike,Alabama,1668,15,US
2020-12-08,Pike,Alabama,1679,15,US
2020-12-09,Pike,Alabama,1697,16,US
2020-12-10,Pike,Alabama,1712,16,US
2020-12-11,Pike,Alabama,1723,16,US
2020-12-12,Pike,Alabama,1731,16,US
2020-12-13,Pike,Alabama,1737,16,US
2020-12-14,Pike,Alabama,1741,16,US
2020-12-15,Pike,Alabama,1754,16,US
2020-12-16,Pike,Alabama,1773,17,US
2020-12-17,Pike,Alabama,1786,21,US
2020-12-18,Pike,Alabama,1803,22,US
2020-12-19,Pike,Alabama,1813,23,US
2020-12-20,Pike,Alabama,1815,23,US
