Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pinellas,Florida,0,0,US
2020-01-23,Pinellas,Florida,0,0,US
2020-01-24,Pinellas,Florida,0,0,US
2020-01-25,Pinellas,Florida,0,0,US
2020-01-26,Pinellas,Florida,0,0,US
2020-01-27,Pinellas,Florida,0,0,US
2020-01-28,Pinellas,Florida,0,0,US
2020-01-29,Pinellas,Florida,0,0,US
2020-01-30,Pinellas,Florida,0,0,US
2020-01-31,Pinellas,Florida,0,0,US
2020-02-01,Pinellas,Florida,0,0,US
2020-02-02,Pinellas,Florida,0,0,US
2020-02-03,Pinellas,Florida,0,0,US
2020-02-04,Pinellas,Florida,0,0,US
2020-02-05,Pinellas,Florida,0,0,US
2020-02-06,Pinellas,Florida,0,0,US
2020-02-07,Pinellas,Florida,0,0,US
2020-02-08,Pinellas,Florida,0,0,US
2020-02-09,Pinellas,Florida,0,0,US
2020-02-10,Pinellas,Florida,0,0,US
2020-02-11,Pinellas,Florida,0,0,US
2020-02-12,Pinellas,Florida,0,0,US
2020-02-13,Pinellas,Florida,0,0,US
2020-02-14,Pinellas,Florida,0,0,US
2020-02-15,Pinellas,Florida,0,0,US
2020-02-16,Pinellas,Florida,0,0,US
2020-02-17,Pinellas,Florida,0,0,US
2020-02-18,Pinellas,Florida,0,0,US
2020-02-19,Pinellas,Florida,0,0,US
2020-02-20,Pinellas,Florida,0,0,US
2020-02-21,Pinellas,Florida,0,0,US
2020-02-22,Pinellas,Florida,0,0,US
2020-02-23,Pinellas,Florida,0,0,US
2020-02-24,Pinellas,Florida,0,0,US
2020-02-25,Pinellas,Florida,0,0,US
2020-02-26,Pinellas,Florida,0,0,US
2020-02-27,Pinellas,Florida,0,0,US
2020-02-28,Pinellas,Florida,0,0,US
2020-02-29,Pinellas,Florida,0,0,US
2020-03-01,Pinellas,Florida,0,0,US
2020-03-02,Pinellas,Florida,0,0,US
2020-03-03,Pinellas,Florida,0,0,US
2020-03-04,Pinellas,Florida,0,0,US
2020-03-05,Pinellas,Florida,0,0,US
2020-03-06,Pinellas,Florida,0,0,US
2020-03-07,Pinellas,Florida,0,0,US
2020-03-08,Pinellas,Florida,0,0,US
2020-03-09,Pinellas,Florida,0,0,US
2020-03-10,Pinellas,Florida,0,0,US
2020-03-11,Pinellas,Florida,2,0,US
2020-03-12,Pinellas,Florida,2,0,US
2020-03-13,Pinellas,Florida,2,0,US
2020-03-14,Pinellas,Florida,2,0,US
2020-03-15,Pinellas,Florida,2,0,US
2020-03-16,Pinellas,Florida,2,0,US
2020-03-17,Pinellas,Florida,4,0,US
2020-03-18,Pinellas,Florida,10,0,US
2020-03-19,Pinellas,Florida,16,0,US
2020-03-20,Pinellas,Florida,22,0,US
2020-03-21,Pinellas,Florida,29,0,US
2020-03-22,Pinellas,Florida,38,0,US
2020-03-23,Pinellas,Florida,41,0,US
2020-03-24,Pinellas,Florida,45,0,US
