Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Placer,California,0,0,US
2020-01-23,Placer,California,0,0,US
2020-01-24,Placer,California,0,0,US
2020-01-25,Placer,California,0,0,US
2020-01-26,Placer,California,0,0,US
2020-01-27,Placer,California,0,0,US
2020-01-28,Placer,California,0,0,US
2020-01-29,Placer,California,0,0,US
2020-01-30,Placer,California,0,0,US
2020-01-31,Placer,California,0,0,US
2020-02-01,Placer,California,0,0,US
2020-02-02,Placer,California,0,0,US
2020-02-03,Placer,California,0,0,US
2020-02-04,Placer,California,0,0,US
2020-02-05,Placer,California,0,0,US
2020-02-06,Placer,California,0,0,US
2020-02-07,Placer,California,0,0,US
2020-02-08,Placer,California,0,0,US
2020-02-09,Placer,California,0,0,US
2020-02-10,Placer,California,0,0,US
2020-02-11,Placer,California,0,0,US
2020-02-12,Placer,California,0,0,US
2020-02-13,Placer,California,0,0,US
2020-02-14,Placer,California,0,0,US
2020-02-15,Placer,California,0,0,US
2020-02-16,Placer,California,0,0,US
2020-02-17,Placer,California,0,0,US
2020-02-18,Placer,California,0,0,US
2020-02-19,Placer,California,0,0,US
2020-02-20,Placer,California,0,0,US
2020-02-21,Placer,California,0,0,US
2020-02-22,Placer,California,0,0,US
2020-02-23,Placer,California,0,0,US
2020-02-24,Placer,California,0,0,US
2020-02-25,Placer,California,0,0,US
2020-02-26,Placer,California,0,0,US
2020-02-27,Placer,California,0,0,US
2020-02-28,Placer,California,0,0,US
2020-02-29,Placer,California,0,0,US
2020-03-01,Placer,California,0,0,US
2020-03-02,Placer,California,1,0,US
2020-03-03,Placer,California,2,0,US
2020-03-04,Placer,California,2,1,US
2020-03-05,Placer,California,2,1,US
2020-03-06,Placer,California,5,1,US
2020-03-07,Placer,California,6,1,US
2020-03-08,Placer,California,7,1,US
2020-03-09,Placer,California,7,1,US
2020-03-10,Placer,California,7,1,US
2020-03-11,Placer,California,6,1,US
2020-03-12,Placer,California,6,1,US
2020-03-13,Placer,California,6,1,US
2020-03-14,Placer,California,6,1,US
2020-03-15,Placer,California,7,1,US
2020-03-16,Placer,California,7,1,US
2020-03-17,Placer,California,7,1,US
2020-03-18,Placer,California,8,1,US
2020-03-19,Placer,California,8,1,US
2020-03-20,Placer,California,9,1,US
2020-03-21,Placer,California,11,1,US
2020-03-22,Placer,California,18,1,US
2020-03-23,Placer,California,19,1,US
2020-03-24,Placer,California,22,1,US
2020-03-25,Placer,California,30,1,US
2020-03-26,Placer,California,34,1,US
2020-03-27,Placer,California,33,1,US
2020-03-28,Placer,California,70,2,US
2020-03-29,Placer,California,35,2,US
2020-03-30,Placer,California,44,2,US
2020-03-31,Placer,California,49,2,US
2020-04-01,Placer,California,52,2,US
2020-04-02,Placer,California,72,2,US
2020-04-03,Placer,California,76,2,US
2020-04-04,Placer,California,87,2,US
2020-04-05,Placer,California,86,3,US
