Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Poinsett,Arkansas,0,0,US
2020-01-23,Poinsett,Arkansas,0,0,US
2020-01-24,Poinsett,Arkansas,0,0,US
2020-01-25,Poinsett,Arkansas,0,0,US
2020-01-26,Poinsett,Arkansas,0,0,US
2020-01-27,Poinsett,Arkansas,0,0,US
2020-01-28,Poinsett,Arkansas,0,0,US
2020-01-29,Poinsett,Arkansas,0,0,US
2020-01-30,Poinsett,Arkansas,0,0,US
2020-01-31,Poinsett,Arkansas,0,0,US
2020-02-01,Poinsett,Arkansas,0,0,US
2020-02-02,Poinsett,Arkansas,0,0,US
2020-02-03,Poinsett,Arkansas,0,0,US
2020-02-04,Poinsett,Arkansas,0,0,US
2020-02-05,Poinsett,Arkansas,0,0,US
2020-02-06,Poinsett,Arkansas,0,0,US
2020-02-07,Poinsett,Arkansas,0,0,US
2020-02-08,Poinsett,Arkansas,0,0,US
2020-02-09,Poinsett,Arkansas,0,0,US
2020-02-10,Poinsett,Arkansas,0,0,US
2020-02-11,Poinsett,Arkansas,0,0,US
2020-02-12,Poinsett,Arkansas,0,0,US
2020-02-13,Poinsett,Arkansas,0,0,US
2020-02-14,Poinsett,Arkansas,0,0,US
2020-02-15,Poinsett,Arkansas,0,0,US
2020-02-16,Poinsett,Arkansas,0,0,US
2020-02-17,Poinsett,Arkansas,0,0,US
2020-02-18,Poinsett,Arkansas,0,0,US
2020-02-19,Poinsett,Arkansas,0,0,US
2020-02-20,Poinsett,Arkansas,0,0,US
2020-02-21,Poinsett,Arkansas,0,0,US
2020-02-22,Poinsett,Arkansas,0,0,US
2020-02-23,Poinsett,Arkansas,0,0,US
2020-02-24,Poinsett,Arkansas,0,0,US
2020-02-25,Poinsett,Arkansas,0,0,US
2020-02-26,Poinsett,Arkansas,0,0,US
2020-02-27,Poinsett,Arkansas,0,0,US
2020-02-28,Poinsett,Arkansas,0,0,US
2020-02-29,Poinsett,Arkansas,0,0,US
2020-03-01,Poinsett,Arkansas,0,0,US
2020-03-02,Poinsett,Arkansas,0,0,US
2020-03-03,Poinsett,Arkansas,0,0,US
2020-03-04,Poinsett,Arkansas,0,0,US
2020-03-05,Poinsett,Arkansas,0,0,US
2020-03-06,Poinsett,Arkansas,0,0,US
2020-03-07,Poinsett,Arkansas,0,0,US
2020-03-08,Poinsett,Arkansas,0,0,US
2020-03-09,Poinsett,Arkansas,0,0,US
2020-03-10,Poinsett,Arkansas,0,0,US
2020-03-11,Poinsett,Arkansas,0,0,US
2020-03-12,Poinsett,Arkansas,0,0,US
2020-03-13,Poinsett,Arkansas,0,0,US
2020-03-14,Poinsett,Arkansas,0,0,US
2020-03-15,Poinsett,Arkansas,0,0,US
2020-03-16,Poinsett,Arkansas,0,0,US
2020-03-17,Poinsett,Arkansas,0,0,US
2020-03-18,Poinsett,Arkansas,0,0,US
2020-03-19,Poinsett,Arkansas,0,0,US
2020-03-20,Poinsett,Arkansas,0,0,US
2020-03-21,Poinsett,Arkansas,0,0,US
2020-03-22,Poinsett,Arkansas,1,0,US
2020-03-23,Poinsett,Arkansas,3,0,US
2020-03-24,Poinsett,Arkansas,3,0,US
2020-03-25,Poinsett,Arkansas,3,0,US
2020-03-26,Poinsett,Arkansas,3,0,US
2020-03-27,Poinsett,Arkansas,3,0,US
2020-03-28,Poinsett,Arkansas,3,0,US
2020-03-29,Poinsett,Arkansas,3,0,US
2020-03-30,Poinsett,Arkansas,3,0,US
2020-03-31,Poinsett,Arkansas,5,0,US
2020-04-01,Poinsett,Arkansas,5,0,US
2020-04-02,Poinsett,Arkansas,5,0,US
2020-04-03,Poinsett,Arkansas,5,0,US
2020-04-04,Poinsett,Arkansas,5,0,US
2020-04-05,Poinsett,Arkansas,5,0,US
2020-04-06,Poinsett,Arkansas,5,0,US
2020-04-07,Poinsett,Arkansas,6,0,US
2020-04-08,Poinsett,Arkansas,6,0,US
2020-04-09,Poinsett,Arkansas,6,0,US
2020-04-10,Poinsett,Arkansas,7,0,US
2020-04-11,Poinsett,Arkansas,7,0,US
2020-04-12,Poinsett,Arkansas,7,0,US
2020-04-13,Poinsett,Arkansas,7,0,US
2020-04-14,Poinsett,Arkansas,7,0,US
2020-04-15,Poinsett,Arkansas,7,0,US
2020-04-16,Poinsett,Arkansas,9,0,US
2020-04-17,Poinsett,Arkansas,10,0,US
2020-04-18,Poinsett,Arkansas,10,0,US
2020-04-19,Poinsett,Arkansas,10,0,US
2020-04-20,Poinsett,Arkansas,10,0,US
2020-04-21,Poinsett,Arkansas,10,0,US
2020-04-22,Poinsett,Arkansas,11,0,US
2020-04-23,Poinsett,Arkansas,13,0,US
2020-04-24,Poinsett,Arkansas,14,0,US
2020-04-25,Poinsett,Arkansas,14,0,US
2020-04-26,Poinsett,Arkansas,16,0,US
2020-04-27,Poinsett,Arkansas,18,0,US
2020-04-28,Poinsett,Arkansas,18,1,US
2020-04-29,Poinsett,Arkansas,19,1,US
2020-04-30,Poinsett,Arkansas,22,1,US
2020-05-01,Poinsett,Arkansas,23,2,US
2020-05-02,Poinsett,Arkansas,23,2,US
2020-05-03,Poinsett,Arkansas,23,2,US
2020-05-04,Poinsett,Arkansas,23,2,US
2020-05-05,Poinsett,Arkansas,25,2,US
2020-05-06,Poinsett,Arkansas,25,2,US
2020-05-07,Poinsett,Arkansas,25,2,US
2020-05-08,Poinsett,Arkansas,25,2,US
2020-05-09,Poinsett,Arkansas,25,2,US
2020-05-10,Poinsett,Arkansas,25,2,US
2020-05-11,Poinsett,Arkansas,25,2,US
2020-05-12,Poinsett,Arkansas,25,2,US
2020-05-13,Poinsett,Arkansas,25,2,US
2020-05-14,Poinsett,Arkansas,25,2,US
2020-05-15,Poinsett,Arkansas,25,2,US
2020-05-16,Poinsett,Arkansas,26,2,US
2020-05-17,Poinsett,Arkansas,26,2,US
2020-05-18,Poinsett,Arkansas,27,2,US
2020-05-19,Poinsett,Arkansas,28,2,US
2020-05-20,Poinsett,Arkansas,28,2,US
2020-05-21,Poinsett,Arkansas,30,2,US
2020-05-22,Poinsett,Arkansas,31,2,US
2020-05-23,Poinsett,Arkansas,31,2,US
2020-05-24,Poinsett,Arkansas,31,2,US
2020-05-25,Poinsett,Arkansas,30,2,US
2020-05-26,Poinsett,Arkansas,30,2,US
2020-05-27,Poinsett,Arkansas,31,2,US
2020-05-28,Poinsett,Arkansas,31,2,US
2020-05-29,Poinsett,Arkansas,31,2,US
2020-05-30,Poinsett,Arkansas,33,2,US
2020-05-31,Poinsett,Arkansas,33,2,US
2020-06-01,Poinsett,Arkansas,33,2,US
2020-06-02,Poinsett,Arkansas,37,2,US
2020-06-03,Poinsett,Arkansas,38,2,US
2020-06-04,Poinsett,Arkansas,40,2,US
2020-06-05,Poinsett,Arkansas,41,2,US
2020-06-06,Poinsett,Arkansas,42,2,US
2020-06-07,Poinsett,Arkansas,44,2,US
2020-06-08,Poinsett,Arkansas,44,2,US
2020-06-09,Poinsett,Arkansas,44,2,US
2020-06-10,Poinsett,Arkansas,44,2,US
2020-06-11,Poinsett,Arkansas,46,3,US
2020-06-12,Poinsett,Arkansas,50,3,US
2020-06-13,Poinsett,Arkansas,50,3,US
2020-06-14,Poinsett,Arkansas,50,3,US
2020-06-15,Poinsett,Arkansas,51,3,US
2020-06-16,Poinsett,Arkansas,51,3,US
2020-06-17,Poinsett,Arkansas,52,3,US
2020-06-18,Poinsett,Arkansas,52,3,US
2020-06-19,Poinsett,Arkansas,52,3,US
2020-06-20,Poinsett,Arkansas,53,3,US
2020-06-21,Poinsett,Arkansas,53,3,US
2020-06-22,Poinsett,Arkansas,53,3,US
2020-06-23,Poinsett,Arkansas,53,3,US
2020-06-24,Poinsett,Arkansas,53,3,US
2020-06-25,Poinsett,Arkansas,55,3,US
2020-06-26,Poinsett,Arkansas,56,3,US
2020-06-27,Poinsett,Arkansas,56,3,US
2020-06-28,Poinsett,Arkansas,57,3,US
2020-06-29,Poinsett,Arkansas,57,3,US
2020-06-30,Poinsett,Arkansas,58,3,US
2020-07-01,Poinsett,Arkansas,59,3,US
2020-07-02,Poinsett,Arkansas,61,3,US
2020-07-03,Poinsett,Arkansas,61,3,US
2020-07-04,Poinsett,Arkansas,61,3,US
