Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Polk,Georgia,0,0,US
2020-01-23,Polk,Georgia,0,0,US
2020-01-24,Polk,Georgia,0,0,US
2020-01-25,Polk,Georgia,0,0,US
2020-01-26,Polk,Georgia,0,0,US
2020-01-27,Polk,Georgia,0,0,US
2020-01-28,Polk,Georgia,0,0,US
2020-01-29,Polk,Georgia,0,0,US
2020-01-30,Polk,Georgia,0,0,US
2020-01-31,Polk,Georgia,0,0,US
2020-02-01,Polk,Georgia,0,0,US
2020-02-02,Polk,Georgia,0,0,US
2020-02-03,Polk,Georgia,0,0,US
2020-02-04,Polk,Georgia,0,0,US
2020-02-05,Polk,Georgia,0,0,US
2020-02-06,Polk,Georgia,0,0,US
2020-02-07,Polk,Georgia,0,0,US
2020-02-08,Polk,Georgia,0,0,US
2020-02-09,Polk,Georgia,0,0,US
2020-02-10,Polk,Georgia,0,0,US
2020-02-11,Polk,Georgia,0,0,US
2020-02-12,Polk,Georgia,0,0,US
2020-02-13,Polk,Georgia,0,0,US
2020-02-14,Polk,Georgia,0,0,US
2020-02-15,Polk,Georgia,0,0,US
2020-02-16,Polk,Georgia,0,0,US
2020-02-17,Polk,Georgia,0,0,US
2020-02-18,Polk,Georgia,0,0,US
2020-02-19,Polk,Georgia,0,0,US
2020-02-20,Polk,Georgia,0,0,US
2020-02-21,Polk,Georgia,0,0,US
2020-02-22,Polk,Georgia,0,0,US
2020-02-23,Polk,Georgia,0,0,US
2020-02-24,Polk,Georgia,0,0,US
2020-02-25,Polk,Georgia,0,0,US
2020-02-26,Polk,Georgia,0,0,US
2020-02-27,Polk,Georgia,0,0,US
2020-02-28,Polk,Georgia,0,0,US
2020-02-29,Polk,Georgia,0,0,US
2020-03-01,Polk,Georgia,0,0,US
2020-03-02,Polk,Georgia,0,0,US
2020-03-03,Polk,Georgia,0,0,US
2020-03-04,Polk,Georgia,0,0,US
2020-03-05,Polk,Georgia,0,0,US
2020-03-06,Polk,Georgia,1,0,US
2020-03-07,Polk,Georgia,1,0,US
2020-03-08,Polk,Georgia,1,0,US
2020-03-09,Polk,Georgia,1,0,US
2020-03-10,Polk,Georgia,1,0,US
2020-03-11,Polk,Georgia,1,0,US
2020-03-12,Polk,Georgia,1,0,US
2020-03-13,Polk,Georgia,1,0,US
2020-03-14,Polk,Georgia,1,0,US
2020-03-15,Polk,Georgia,1,0,US
2020-03-16,Polk,Georgia,1,0,US
2020-03-17,Polk,Georgia,1,0,US
2020-03-18,Polk,Georgia,1,0,US
2020-03-19,Polk,Georgia,1,0,US
2020-03-20,Polk,Georgia,3,0,US
2020-03-21,Polk,Georgia,4,0,US
2020-03-22,Polk,Georgia,4,0,US
2020-03-23,Polk,Georgia,4,0,US
2020-03-24,Polk,Georgia,8,0,US
2020-03-25,Polk,Georgia,8,0,US
2020-03-26,Polk,Georgia,10,0,US
2020-03-27,Polk,Georgia,10,0,US
2020-03-28,Polk,Georgia,10,0,US
2020-03-29,Polk,Georgia,10,0,US
2020-03-30,Polk,Georgia,12,0,US
2020-03-31,Polk,Georgia,15,0,US
2020-04-01,Polk,Georgia,16,0,US
2020-04-02,Polk,Georgia,16,0,US
2020-04-03,Polk,Georgia,16,0,US
2020-04-04,Polk,Georgia,18,0,US
2020-04-05,Polk,Georgia,18,0,US
2020-04-06,Polk,Georgia,20,0,US
2020-04-07,Polk,Georgia,20,0,US
2020-04-08,Polk,Georgia,22,0,US
2020-04-09,Polk,Georgia,22,0,US
2020-04-10,Polk,Georgia,21,0,US
2020-04-11,Polk,Georgia,21,0,US
2020-04-12,Polk,Georgia,22,0,US
2020-04-13,Polk,Georgia,24,0,US
2020-04-14,Polk,Georgia,25,0,US
2020-04-15,Polk,Georgia,27,0,US
2020-04-16,Polk,Georgia,27,0,US
2020-04-17,Polk,Georgia,29,0,US
2020-04-18,Polk,Georgia,29,0,US
2020-04-19,Polk,Georgia,30,0,US
2020-04-20,Polk,Georgia,36,0,US
2020-04-21,Polk,Georgia,36,0,US
2020-04-22,Polk,Georgia,36,0,US
2020-04-23,Polk,Georgia,36,0,US
2020-04-24,Polk,Georgia,42,0,US
2020-04-25,Polk,Georgia,45,0,US
2020-04-26,Polk,Georgia,46,0,US
2020-04-27,Polk,Georgia,49,0,US
2020-04-28,Polk,Georgia,49,0,US
2020-04-29,Polk,Georgia,56,0,US
2020-04-30,Polk,Georgia,57,0,US
2020-05-01,Polk,Georgia,59,0,US
2020-05-02,Polk,Georgia,59,0,US
2020-05-03,Polk,Georgia,59,0,US
2020-05-04,Polk,Georgia,60,0,US
2020-05-05,Polk,Georgia,61,0,US
2020-05-06,Polk,Georgia,64,0,US
2020-05-07,Polk,Georgia,64,0,US
2020-05-08,Polk,Georgia,65,0,US
2020-05-09,Polk,Georgia,65,0,US
2020-05-10,Polk,Georgia,66,0,US
2020-05-11,Polk,Georgia,66,0,US
2020-05-12,Polk,Georgia,69,0,US
2020-05-13,Polk,Georgia,69,0,US
2020-05-14,Polk,Georgia,71,0,US
2020-05-15,Polk,Georgia,78,0,US
2020-05-16,Polk,Georgia,79,0,US
2020-05-17,Polk,Georgia,79,0,US
2020-05-18,Polk,Georgia,80,0,US
2020-05-19,Polk,Georgia,80,0,US
2020-05-20,Polk,Georgia,86,0,US
2020-05-21,Polk,Georgia,87,0,US
2020-05-22,Polk,Georgia,93,0,US
2020-05-23,Polk,Georgia,96,0,US
2020-05-24,Polk,Georgia,95,0,US
2020-05-25,Polk,Georgia,97,0,US
2020-05-26,Polk,Georgia,101,1,US
2020-05-27,Polk,Georgia,107,1,US
