Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Presque Isle,Michigan,0,0,US
2020-01-23,Presque Isle,Michigan,0,0,US
2020-01-24,Presque Isle,Michigan,0,0,US
2020-01-25,Presque Isle,Michigan,0,0,US
2020-01-26,Presque Isle,Michigan,0,0,US
2020-01-27,Presque Isle,Michigan,0,0,US
2020-01-28,Presque Isle,Michigan,0,0,US
2020-01-29,Presque Isle,Michigan,0,0,US
2020-01-30,Presque Isle,Michigan,0,0,US
2020-01-31,Presque Isle,Michigan,0,0,US
2020-02-01,Presque Isle,Michigan,0,0,US
2020-02-02,Presque Isle,Michigan,0,0,US
2020-02-03,Presque Isle,Michigan,0,0,US
2020-02-04,Presque Isle,Michigan,0,0,US
2020-02-05,Presque Isle,Michigan,0,0,US
2020-02-06,Presque Isle,Michigan,0,0,US
2020-02-07,Presque Isle,Michigan,0,0,US
2020-02-08,Presque Isle,Michigan,0,0,US
2020-02-09,Presque Isle,Michigan,0,0,US
2020-02-10,Presque Isle,Michigan,0,0,US
2020-02-11,Presque Isle,Michigan,0,0,US
2020-02-12,Presque Isle,Michigan,0,0,US
2020-02-13,Presque Isle,Michigan,0,0,US
2020-02-14,Presque Isle,Michigan,0,0,US
2020-02-15,Presque Isle,Michigan,0,0,US
2020-02-16,Presque Isle,Michigan,0,0,US
2020-02-17,Presque Isle,Michigan,0,0,US
2020-02-18,Presque Isle,Michigan,0,0,US
2020-02-19,Presque Isle,Michigan,0,0,US
2020-02-20,Presque Isle,Michigan,0,0,US
2020-02-21,Presque Isle,Michigan,0,0,US
2020-02-22,Presque Isle,Michigan,0,0,US
2020-02-23,Presque Isle,Michigan,0,0,US
2020-02-24,Presque Isle,Michigan,0,0,US
2020-02-25,Presque Isle,Michigan,0,0,US
2020-02-26,Presque Isle,Michigan,0,0,US
2020-02-27,Presque Isle,Michigan,0,0,US
2020-02-28,Presque Isle,Michigan,0,0,US
2020-02-29,Presque Isle,Michigan,0,0,US
2020-03-01,Presque Isle,Michigan,0,0,US
2020-03-02,Presque Isle,Michigan,0,0,US
2020-03-03,Presque Isle,Michigan,0,0,US
2020-03-04,Presque Isle,Michigan,0,0,US
2020-03-05,Presque Isle,Michigan,0,0,US
2020-03-06,Presque Isle,Michigan,0,0,US
2020-03-07,Presque Isle,Michigan,0,0,US
2020-03-08,Presque Isle,Michigan,0,0,US
2020-03-09,Presque Isle,Michigan,0,0,US
2020-03-10,Presque Isle,Michigan,0,0,US
2020-03-11,Presque Isle,Michigan,0,0,US
2020-03-12,Presque Isle,Michigan,0,0,US
2020-03-13,Presque Isle,Michigan,0,0,US
2020-03-14,Presque Isle,Michigan,0,0,US
2020-03-15,Presque Isle,Michigan,0,0,US
2020-03-16,Presque Isle,Michigan,0,0,US
2020-03-17,Presque Isle,Michigan,0,0,US
2020-03-18,Presque Isle,Michigan,0,0,US
2020-03-19,Presque Isle,Michigan,0,0,US
2020-03-20,Presque Isle,Michigan,0,0,US
2020-03-21,Presque Isle,Michigan,0,0,US
2020-03-22,Presque Isle,Michigan,0,0,US
2020-03-23,Presque Isle,Michigan,0,0,US
2020-03-24,Presque Isle,Michigan,0,0,US
2020-03-25,Presque Isle,Michigan,0,0,US
2020-03-26,Presque Isle,Michigan,0,0,US
2020-03-27,Presque Isle,Michigan,0,0,US
2020-03-28,Presque Isle,Michigan,0,0,US
2020-03-29,Presque Isle,Michigan,0,0,US
2020-03-30,Presque Isle,Michigan,0,0,US
2020-03-31,Presque Isle,Michigan,0,0,US
2020-04-01,Presque Isle,Michigan,0,0,US
2020-04-02,Presque Isle,Michigan,0,0,US
2020-04-03,Presque Isle,Michigan,1,0,US
2020-04-04,Presque Isle,Michigan,0,0,US
2020-04-05,Presque Isle,Michigan,0,0,US
2020-04-06,Presque Isle,Michigan,1,0,US
2020-04-07,Presque Isle,Michigan,1,0,US
2020-04-08,Presque Isle,Michigan,1,0,US
2020-04-09,Presque Isle,Michigan,1,0,US
2020-04-10,Presque Isle,Michigan,2,0,US
2020-04-11,Presque Isle,Michigan,2,0,US
2020-04-12,Presque Isle,Michigan,2,0,US
2020-04-13,Presque Isle,Michigan,2,0,US
2020-04-14,Presque Isle,Michigan,2,0,US
2020-04-15,Presque Isle,Michigan,2,0,US
2020-04-16,Presque Isle,Michigan,2,0,US
2020-04-17,Presque Isle,Michigan,2,0,US
2020-04-18,Presque Isle,Michigan,2,0,US
2020-04-19,Presque Isle,Michigan,2,0,US
2020-04-20,Presque Isle,Michigan,2,0,US
2020-04-21,Presque Isle,Michigan,6,0,US
2020-04-22,Presque Isle,Michigan,6,0,US
2020-04-23,Presque Isle,Michigan,8,0,US
2020-04-24,Presque Isle,Michigan,9,0,US
2020-04-25,Presque Isle,Michigan,10,0,US
2020-04-26,Presque Isle,Michigan,10,0,US
2020-04-27,Presque Isle,Michigan,11,0,US
2020-04-28,Presque Isle,Michigan,11,0,US
2020-04-29,Presque Isle,Michigan,12,0,US
2020-04-30,Presque Isle,Michigan,11,0,US
2020-05-01,Presque Isle,Michigan,11,0,US
2020-05-02,Presque Isle,Michigan,11,0,US
2020-05-03,Presque Isle,Michigan,11,0,US
2020-05-04,Presque Isle,Michigan,11,0,US
2020-05-05,Presque Isle,Michigan,11,0,US
2020-05-06,Presque Isle,Michigan,11,0,US
2020-05-07,Presque Isle,Michigan,12,0,US
2020-05-08,Presque Isle,Michigan,11,0,US
2020-05-09,Presque Isle,Michigan,11,0,US
2020-05-10,Presque Isle,Michigan,11,0,US
2020-05-11,Presque Isle,Michigan,11,0,US
2020-05-12,Presque Isle,Michigan,11,0,US
2020-05-13,Presque Isle,Michigan,11,0,US
2020-05-14,Presque Isle,Michigan,11,0,US
2020-05-15,Presque Isle,Michigan,11,0,US
2020-05-16,Presque Isle,Michigan,11,0,US
2020-05-17,Presque Isle,Michigan,11,0,US
2020-05-18,Presque Isle,Michigan,11,0,US
2020-05-19,Presque Isle,Michigan,11,0,US
2020-05-20,Presque Isle,Michigan,11,0,US
2020-05-21,Presque Isle,Michigan,11,0,US
2020-05-22,Presque Isle,Michigan,11,0,US
2020-05-23,Presque Isle,Michigan,11,0,US
2020-05-24,Presque Isle,Michigan,11,0,US
2020-05-25,Presque Isle,Michigan,11,0,US
2020-05-26,Presque Isle,Michigan,11,0,US
2020-05-27,Presque Isle,Michigan,11,0,US
2020-05-28,Presque Isle,Michigan,11,0,US
2020-05-29,Presque Isle,Michigan,11,0,US
2020-05-30,Presque Isle,Michigan,11,0,US
2020-05-31,Presque Isle,Michigan,11,0,US
2020-06-01,Presque Isle,Michigan,11,0,US
2020-06-02,Presque Isle,Michigan,11,0,US
2020-06-03,Presque Isle,Michigan,11,0,US
2020-06-04,Presque Isle,Michigan,11,0,US
2020-06-05,Presque Isle,Michigan,11,0,US
2020-06-06,Presque Isle,Michigan,11,0,US
2020-06-07,Presque Isle,Michigan,11,0,US
2020-06-08,Presque Isle,Michigan,11,0,US
2020-06-09,Presque Isle,Michigan,11,0,US
2020-06-10,Presque Isle,Michigan,11,0,US
2020-06-11,Presque Isle,Michigan,12,0,US
2020-06-12,Presque Isle,Michigan,12,0,US
2020-06-13,Presque Isle,Michigan,12,0,US
2020-06-14,Presque Isle,Michigan,12,0,US
2020-06-15,Presque Isle,Michigan,12,0,US
2020-06-16,Presque Isle,Michigan,12,0,US
2020-06-17,Presque Isle,Michigan,12,0,US
2020-06-18,Presque Isle,Michigan,12,0,US
2020-06-19,Presque Isle,Michigan,12,0,US
2020-06-20,Presque Isle,Michigan,12,0,US
2020-06-21,Presque Isle,Michigan,12,0,US
2020-06-22,Presque Isle,Michigan,12,0,US
2020-06-23,Presque Isle,Michigan,12,0,US
2020-06-24,Presque Isle,Michigan,12,0,US
2020-06-25,Presque Isle,Michigan,12,0,US
2020-06-26,Presque Isle,Michigan,12,0,US
2020-06-27,Presque Isle,Michigan,12,0,US
2020-06-28,Presque Isle,Michigan,12,0,US
2020-06-29,Presque Isle,Michigan,12,0,US
2020-06-30,Presque Isle,Michigan,12,0,US
2020-07-01,Presque Isle,Michigan,13,0,US
2020-07-02,Presque Isle,Michigan,13,0,US
2020-07-03,Presque Isle,Michigan,13,0,US
2020-07-04,Presque Isle,Michigan,13,0,US
2020-07-05,Presque Isle,Michigan,13,0,US
2020-07-06,Presque Isle,Michigan,13,0,US
2020-07-07,Presque Isle,Michigan,14,0,US
2020-07-08,Presque Isle,Michigan,13,0,US
2020-07-09,Presque Isle,Michigan,13,0,US
2020-07-10,Presque Isle,Michigan,13,0,US
2020-07-11,Presque Isle,Michigan,13,0,US
2020-07-12,Presque Isle,Michigan,13,0,US
2020-07-13,Presque Isle,Michigan,16,0,US
2020-07-14,Presque Isle,Michigan,15,0,US
2020-07-15,Presque Isle,Michigan,14,0,US
