Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Prince George,Virginia,0,0,US
2020-01-23,Prince George,Virginia,0,0,US
2020-01-24,Prince George,Virginia,0,0,US
2020-01-25,Prince George,Virginia,0,0,US
2020-01-26,Prince George,Virginia,0,0,US
2020-01-27,Prince George,Virginia,0,0,US
2020-01-28,Prince George,Virginia,0,0,US
2020-01-29,Prince George,Virginia,0,0,US
2020-01-30,Prince George,Virginia,0,0,US
2020-01-31,Prince George,Virginia,0,0,US
2020-02-01,Prince George,Virginia,0,0,US
2020-02-02,Prince George,Virginia,0,0,US
2020-02-03,Prince George,Virginia,0,0,US
2020-02-04,Prince George,Virginia,0,0,US
2020-02-05,Prince George,Virginia,0,0,US
2020-02-06,Prince George,Virginia,0,0,US
2020-02-07,Prince George,Virginia,0,0,US
2020-02-08,Prince George,Virginia,0,0,US
2020-02-09,Prince George,Virginia,0,0,US
2020-02-10,Prince George,Virginia,0,0,US
2020-02-11,Prince George,Virginia,0,0,US
2020-02-12,Prince George,Virginia,0,0,US
2020-02-13,Prince George,Virginia,0,0,US
2020-02-14,Prince George,Virginia,0,0,US
2020-02-15,Prince George,Virginia,0,0,US
2020-02-16,Prince George,Virginia,0,0,US
2020-02-17,Prince George,Virginia,0,0,US
2020-02-18,Prince George,Virginia,0,0,US
2020-02-19,Prince George,Virginia,0,0,US
2020-02-20,Prince George,Virginia,0,0,US
2020-02-21,Prince George,Virginia,0,0,US
2020-02-22,Prince George,Virginia,0,0,US
2020-02-23,Prince George,Virginia,0,0,US
2020-02-24,Prince George,Virginia,0,0,US
2020-02-25,Prince George,Virginia,0,0,US
2020-02-26,Prince George,Virginia,0,0,US
2020-02-27,Prince George,Virginia,0,0,US
2020-02-28,Prince George,Virginia,0,0,US
2020-02-29,Prince George,Virginia,0,0,US
2020-03-01,Prince George,Virginia,0,0,US
2020-03-02,Prince George,Virginia,0,0,US
2020-03-03,Prince George,Virginia,0,0,US
