Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Pulaski,Arkansas,0,0,US
2020-01-23,Pulaski,Arkansas,0,0,US
2020-01-24,Pulaski,Arkansas,0,0,US
2020-01-25,Pulaski,Arkansas,0,0,US
2020-01-26,Pulaski,Arkansas,0,0,US
2020-01-27,Pulaski,Arkansas,0,0,US
2020-01-28,Pulaski,Arkansas,0,0,US
2020-01-29,Pulaski,Arkansas,0,0,US
2020-01-30,Pulaski,Arkansas,0,0,US
2020-01-31,Pulaski,Arkansas,0,0,US
2020-02-01,Pulaski,Arkansas,0,0,US
2020-02-02,Pulaski,Arkansas,0,0,US
2020-02-03,Pulaski,Arkansas,0,0,US
2020-02-04,Pulaski,Arkansas,0,0,US
2020-02-05,Pulaski,Arkansas,0,0,US
2020-02-06,Pulaski,Arkansas,0,0,US
2020-02-07,Pulaski,Arkansas,0,0,US
2020-02-08,Pulaski,Arkansas,0,0,US
2020-02-09,Pulaski,Arkansas,0,0,US
2020-02-10,Pulaski,Arkansas,0,0,US
2020-02-11,Pulaski,Arkansas,0,0,US
2020-02-12,Pulaski,Arkansas,0,0,US
2020-02-13,Pulaski,Arkansas,0,0,US
2020-02-14,Pulaski,Arkansas,0,0,US
2020-02-15,Pulaski,Arkansas,0,0,US
2020-02-16,Pulaski,Arkansas,0,0,US
2020-02-17,Pulaski,Arkansas,0,0,US
2020-02-18,Pulaski,Arkansas,0,0,US
2020-02-19,Pulaski,Arkansas,0,0,US
2020-02-20,Pulaski,Arkansas,0,0,US
2020-02-21,Pulaski,Arkansas,0,0,US
2020-02-22,Pulaski,Arkansas,0,0,US
2020-02-23,Pulaski,Arkansas,0,0,US
2020-02-24,Pulaski,Arkansas,0,0,US
2020-02-25,Pulaski,Arkansas,0,0,US
2020-02-26,Pulaski,Arkansas,0,0,US
2020-02-27,Pulaski,Arkansas,0,0,US
2020-02-28,Pulaski,Arkansas,0,0,US
2020-02-29,Pulaski,Arkansas,0,0,US
2020-03-01,Pulaski,Arkansas,0,0,US
2020-03-02,Pulaski,Arkansas,0,0,US
2020-03-03,Pulaski,Arkansas,0,0,US
2020-03-04,Pulaski,Arkansas,0,0,US
2020-03-05,Pulaski,Arkansas,0,0,US
2020-03-06,Pulaski,Arkansas,0,0,US
2020-03-07,Pulaski,Arkansas,0,0,US
2020-03-08,Pulaski,Arkansas,0,0,US
2020-03-09,Pulaski,Arkansas,0,0,US
2020-03-10,Pulaski,Arkansas,0,0,US
2020-03-11,Pulaski,Arkansas,0,0,US
2020-03-12,Pulaski,Arkansas,0,0,US
2020-03-13,Pulaski,Arkansas,0,0,US
2020-03-14,Pulaski,Arkansas,0,0,US
2020-03-15,Pulaski,Arkansas,0,0,US
2020-03-16,Pulaski,Arkansas,0,0,US
2020-03-17,Pulaski,Arkansas,0,0,US
2020-03-18,Pulaski,Arkansas,0,0,US
2020-03-19,Pulaski,Arkansas,0,0,US
2020-03-20,Pulaski,Arkansas,0,0,US
2020-03-21,Pulaski,Arkansas,0,0,US
2020-03-22,Pulaski,Arkansas,4,0,US
2020-03-23,Pulaski,Arkansas,61,0,US
2020-03-24,Pulaski,Arkansas,64,0,US
2020-03-25,Pulaski,Arkansas,78,0,US
2020-03-26,Pulaski,Arkansas,83,0,US
2020-03-27,Pulaski,Arkansas,88,0,US
2020-03-28,Pulaski,Arkansas,92,0,US
2020-03-29,Pulaski,Arkansas,93,0,US
2020-03-30,Pulaski,Arkansas,94,2,US
2020-03-31,Pulaski,Arkansas,102,2,US
2020-04-01,Pulaski,Arkansas,107,2,US
2020-04-02,Pulaski,Arkansas,115,2,US
2020-04-03,Pulaski,Arkansas,130,2,US
2020-04-04,Pulaski,Arkansas,137,2,US
2020-04-05,Pulaski,Arkansas,157,2,US
2020-04-06,Pulaski,Arkansas,161,2,US
2020-04-07,Pulaski,Arkansas,175,2,US
2020-04-08,Pulaski,Arkansas,179,2,US
2020-04-09,Pulaski,Arkansas,210,8,US
2020-04-10,Pulaski,Arkansas,225,8,US
2020-04-11,Pulaski,Arkansas,249,9,US
2020-04-12,Pulaski,Arkansas,256,9,US
2020-04-13,Pulaski,Arkansas,273,10,US
2020-04-14,Pulaski,Arkansas,297,10,US
2020-04-15,Pulaski,Arkansas,343,10,US
2020-04-16,Pulaski,Arkansas,355,11,US
2020-04-17,Pulaski,Arkansas,360,11,US
2020-04-18,Pulaski,Arkansas,368,12,US
2020-04-19,Pulaski,Arkansas,377,12,US
2020-04-20,Pulaski,Arkansas,388,12,US
2020-04-21,Pulaski,Arkansas,390,12,US
2020-04-22,Pulaski,Arkansas,404,12,US
2020-04-23,Pulaski,Arkansas,427,12,US
2020-04-24,Pulaski,Arkansas,440,14,US
2020-04-25,Pulaski,Arkansas,471,14,US
2020-04-26,Pulaski,Arkansas,478,14,US
2020-04-27,Pulaski,Arkansas,484,15,US
2020-04-28,Pulaski,Arkansas,490,16,US
2020-04-29,Pulaski,Arkansas,500,16,US
2020-04-30,Pulaski,Arkansas,518,17,US
2020-05-01,Pulaski,Arkansas,527,18,US
2020-05-02,Pulaski,Arkansas,539,19,US
2020-05-03,Pulaski,Arkansas,550,19,US
2020-05-04,Pulaski,Arkansas,551,20,US
2020-05-05,Pulaski,Arkansas,565,21,US
2020-05-06,Pulaski,Arkansas,576,22,US
2020-05-07,Pulaski,Arkansas,588,22,US
2020-05-08,Pulaski,Arkansas,603,22,US
2020-05-09,Pulaski,Arkansas,603,22,US
2020-05-10,Pulaski,Arkansas,627,23,US
2020-05-11,Pulaski,Arkansas,630,23,US
2020-05-12,Pulaski,Arkansas,640,23,US
2020-05-13,Pulaski,Arkansas,647,23,US
2020-05-14,Pulaski,Arkansas,661,23,US
2020-05-15,Pulaski,Arkansas,669,23,US
2020-05-16,Pulaski,Arkansas,683,23,US
2020-05-17,Pulaski,Arkansas,686,23,US
2020-05-18,Pulaski,Arkansas,693,25,US
2020-05-19,Pulaski,Arkansas,713,25,US
2020-05-20,Pulaski,Arkansas,724,28,US
2020-05-21,Pulaski,Arkansas,740,28,US
2020-05-22,Pulaski,Arkansas,761,29,US
2020-05-23,Pulaski,Arkansas,773,29,US
2020-05-24,Pulaski,Arkansas,785,29,US
2020-05-25,Pulaski,Arkansas,793,29,US
2020-05-26,Pulaski,Arkansas,802,30,US
2020-05-27,Pulaski,Arkansas,808,30,US
2020-05-28,Pulaski,Arkansas,830,31,US
2020-05-29,Pulaski,Arkansas,846,34,US
2020-05-30,Pulaski,Arkansas,876,34,US
2020-05-31,Pulaski,Arkansas,888,34,US
2020-06-01,Pulaski,Arkansas,903,34,US
2020-06-02,Pulaski,Arkansas,969,35,US
2020-06-03,Pulaski,Arkansas,1003,35,US
2020-06-04,Pulaski,Arkansas,1039,37,US
2020-06-05,Pulaski,Arkansas,1065,37,US
2020-06-06,Pulaski,Arkansas,1091,37,US
2020-06-07,Pulaski,Arkansas,1103,37,US
2020-06-08,Pulaski,Arkansas,1118,38,US
2020-06-09,Pulaski,Arkansas,1131,40,US
2020-06-10,Pulaski,Arkansas,1188,41,US
2020-06-11,Pulaski,Arkansas,1225,41,US
2020-06-12,Pulaski,Arkansas,1241,41,US
2020-06-13,Pulaski,Arkansas,1266,41,US
2020-06-14,Pulaski,Arkansas,1289,42,US
2020-06-15,Pulaski,Arkansas,1302,42,US
2020-06-16,Pulaski,Arkansas,1343,43,US
2020-06-17,Pulaski,Arkansas,1365,46,US
2020-06-18,Pulaski,Arkansas,1394,48,US
2020-06-19,Pulaski,Arkansas,1445,48,US
2020-06-20,Pulaski,Arkansas,1499,52,US
2020-06-21,Pulaski,Arkansas,1514,52,US
2020-06-22,Pulaski,Arkansas,1531,52,US
2020-06-23,Pulaski,Arkansas,1556,53,US
2020-06-24,Pulaski,Arkansas,1607,53,US
2020-06-25,Pulaski,Arkansas,1655,53,US
2020-06-26,Pulaski,Arkansas,1740,55,US
2020-06-27,Pulaski,Arkansas,1810,56,US
2020-06-28,Pulaski,Arkansas,1862,56,US
2020-06-29,Pulaski,Arkansas,1916,57,US
2020-06-30,Pulaski,Arkansas,2036,58,US
2020-07-01,Pulaski,Arkansas,2080,59,US
2020-07-02,Pulaski,Arkansas,2183,59,US
2020-07-03,Pulaski,Arkansas,2258,59,US
2020-07-04,Pulaski,Arkansas,2345,60,US
2020-07-05,Pulaski,Arkansas,2425,60,US
2020-07-06,Pulaski,Arkansas,2472,61,US
2020-07-07,Pulaski,Arkansas,2522,62,US
2020-07-08,Pulaski,Arkansas,2611,62,US
2020-07-09,Pulaski,Arkansas,2713,63,US
2020-07-10,Pulaski,Arkansas,2810,63,US
2020-07-11,Pulaski,Arkansas,2886,65,US
2020-07-12,Pulaski,Arkansas,2938,65,US
2020-07-13,Pulaski,Arkansas,3019,65,US
2020-07-14,Pulaski,Arkansas,3148,67,US
2020-07-15,Pulaski,Arkansas,3298,67,US
2020-07-16,Pulaski,Arkansas,3425,67,US
2020-07-17,Pulaski,Arkansas,3497,69,US
2020-07-18,Pulaski,Arkansas,3578,69,US
2020-07-19,Pulaski,Arkansas,3652,69,US
2020-07-20,Pulaski,Arkansas,3717,69,US
2020-07-21,Pulaski,Arkansas,3843,69,US
2020-07-22,Pulaski,Arkansas,3923,69,US
2020-07-23,Pulaski,Arkansas,4044,70,US
2020-07-24,Pulaski,Arkansas,4183,71,US
2020-07-25,Pulaski,Arkansas,4297,71,US
2020-07-26,Pulaski,Arkansas,4346,71,US
2020-07-27,Pulaski,Arkansas,4437,71,US
2020-07-28,Pulaski,Arkansas,4492,74,US
2020-07-29,Pulaski,Arkansas,4575,75,US
2020-07-30,Pulaski,Arkansas,4654,76,US
2020-07-31,Pulaski,Arkansas,4733,77,US
2020-08-01,Pulaski,Arkansas,4803,77,US
2020-08-02,Pulaski,Arkansas,4838,78,US
