Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Putnam,Tennessee,0,0,US
2020-01-23,Putnam,Tennessee,0,0,US
2020-01-24,Putnam,Tennessee,0,0,US
2020-01-25,Putnam,Tennessee,0,0,US
2020-01-26,Putnam,Tennessee,0,0,US
2020-01-27,Putnam,Tennessee,0,0,US
2020-01-28,Putnam,Tennessee,0,0,US
2020-01-29,Putnam,Tennessee,0,0,US
2020-01-30,Putnam,Tennessee,0,0,US
2020-01-31,Putnam,Tennessee,0,0,US
2020-02-01,Putnam,Tennessee,0,0,US
2020-02-02,Putnam,Tennessee,0,0,US
2020-02-03,Putnam,Tennessee,0,0,US
2020-02-04,Putnam,Tennessee,0,0,US
2020-02-05,Putnam,Tennessee,0,0,US
2020-02-06,Putnam,Tennessee,0,0,US
2020-02-07,Putnam,Tennessee,0,0,US
2020-02-08,Putnam,Tennessee,0,0,US
2020-02-09,Putnam,Tennessee,0,0,US
2020-02-10,Putnam,Tennessee,0,0,US
2020-02-11,Putnam,Tennessee,0,0,US
2020-02-12,Putnam,Tennessee,0,0,US
2020-02-13,Putnam,Tennessee,0,0,US
2020-02-14,Putnam,Tennessee,0,0,US
2020-02-15,Putnam,Tennessee,0,0,US
2020-02-16,Putnam,Tennessee,0,0,US
2020-02-17,Putnam,Tennessee,0,0,US
2020-02-18,Putnam,Tennessee,0,0,US
2020-02-19,Putnam,Tennessee,0,0,US
2020-02-20,Putnam,Tennessee,0,0,US
2020-02-21,Putnam,Tennessee,0,0,US
2020-02-22,Putnam,Tennessee,0,0,US
2020-02-23,Putnam,Tennessee,0,0,US
2020-02-24,Putnam,Tennessee,0,0,US
2020-02-25,Putnam,Tennessee,0,0,US
2020-02-26,Putnam,Tennessee,0,0,US
2020-02-27,Putnam,Tennessee,0,0,US
2020-02-28,Putnam,Tennessee,0,0,US
2020-02-29,Putnam,Tennessee,0,0,US
2020-03-01,Putnam,Tennessee,0,0,US
2020-03-02,Putnam,Tennessee,0,0,US
2020-03-03,Putnam,Tennessee,0,0,US
2020-03-04,Putnam,Tennessee,0,0,US
2020-03-05,Putnam,Tennessee,0,0,US
2020-03-06,Putnam,Tennessee,0,0,US
2020-03-07,Putnam,Tennessee,0,0,US
2020-03-08,Putnam,Tennessee,0,0,US
2020-03-09,Putnam,Tennessee,0,0,US
2020-03-10,Putnam,Tennessee,0,0,US
2020-03-11,Putnam,Tennessee,0,0,US
2020-03-12,Putnam,Tennessee,0,0,US
2020-03-13,Putnam,Tennessee,0,0,US
2020-03-14,Putnam,Tennessee,0,0,US
2020-03-15,Putnam,Tennessee,0,0,US
2020-03-16,Putnam,Tennessee,0,0,US
2020-03-17,Putnam,Tennessee,0,0,US
2020-03-18,Putnam,Tennessee,0,0,US
2020-03-19,Putnam,Tennessee,0,0,US
2020-03-20,Putnam,Tennessee,0,0,US
2020-03-21,Putnam,Tennessee,5,0,US
2020-03-22,Putnam,Tennessee,6,0,US
2020-03-23,Putnam,Tennessee,6,0,US
2020-03-24,Putnam,Tennessee,8,0,US
2020-03-25,Putnam,Tennessee,9,0,US
2020-03-26,Putnam,Tennessee,11,0,US
2020-03-27,Putnam,Tennessee,13,0,US
2020-03-28,Putnam,Tennessee,17,0,US
2020-03-29,Putnam,Tennessee,17,0,US
2020-03-30,Putnam,Tennessee,17,0,US
2020-03-31,Putnam,Tennessee,24,0,US
2020-04-01,Putnam,Tennessee,35,0,US
2020-04-02,Putnam,Tennessee,50,0,US
2020-04-03,Putnam,Tennessee,51,0,US
2020-04-04,Putnam,Tennessee,55,0,US
2020-04-05,Putnam,Tennessee,56,0,US
2020-04-06,Putnam,Tennessee,58,0,US
2020-04-07,Putnam,Tennessee,82,0,US
2020-04-08,Putnam,Tennessee,82,0,US
2020-04-09,Putnam,Tennessee,83,0,US
2020-04-10,Putnam,Tennessee,85,0,US
2020-04-11,Putnam,Tennessee,86,0,US
2020-04-12,Putnam,Tennessee,87,0,US
2020-04-13,Putnam,Tennessee,89,0,US
2020-04-14,Putnam,Tennessee,89,0,US
2020-04-15,Putnam,Tennessee,91,0,US
2020-04-16,Putnam,Tennessee,91,2,US
2020-04-17,Putnam,Tennessee,92,2,US
2020-04-18,Putnam,Tennessee,93,2,US
2020-04-19,Putnam,Tennessee,93,2,US
2020-04-20,Putnam,Tennessee,93,3,US
2020-04-21,Putnam,Tennessee,94,3,US
2020-04-22,Putnam,Tennessee,98,4,US
2020-04-23,Putnam,Tennessee,100,4,US
2020-04-24,Putnam,Tennessee,106,4,US
2020-04-25,Putnam,Tennessee,109,5,US
2020-04-26,Putnam,Tennessee,110,5,US
2020-04-27,Putnam,Tennessee,115,5,US
2020-04-28,Putnam,Tennessee,119,5,US
2020-04-29,Putnam,Tennessee,121,5,US
2020-04-30,Putnam,Tennessee,122,5,US
2020-05-01,Putnam,Tennessee,137,5,US
2020-05-02,Putnam,Tennessee,137,5,US
2020-05-03,Putnam,Tennessee,141,5,US
2020-05-04,Putnam,Tennessee,144,5,US
2020-05-05,Putnam,Tennessee,163,5,US
2020-05-06,Putnam,Tennessee,163,5,US
2020-05-07,Putnam,Tennessee,166,5,US
2020-05-08,Putnam,Tennessee,166,5,US
2020-05-09,Putnam,Tennessee,166,5,US
2020-05-10,Putnam,Tennessee,179,5,US
2020-05-11,Putnam,Tennessee,179,5,US
2020-05-12,Putnam,Tennessee,191,5,US
2020-05-13,Putnam,Tennessee,194,5,US
2020-05-14,Putnam,Tennessee,205,5,US
2020-05-15,Putnam,Tennessee,239,5,US
2020-05-16,Putnam,Tennessee,242,5,US
2020-05-17,Putnam,Tennessee,245,5,US
2020-05-18,Putnam,Tennessee,287,5,US
2020-05-19,Putnam,Tennessee,315,5,US
2020-05-20,Putnam,Tennessee,328,5,US
2020-05-21,Putnam,Tennessee,339,5,US
2020-05-22,Putnam,Tennessee,349,5,US
2020-05-23,Putnam,Tennessee,372,5,US
2020-05-24,Putnam,Tennessee,382,5,US
2020-05-25,Putnam,Tennessee,384,5,US
2020-05-26,Putnam,Tennessee,420,5,US
2020-05-27,Putnam,Tennessee,420,5,US
2020-05-28,Putnam,Tennessee,456,5,US
2020-05-29,Putnam,Tennessee,460,6,US
2020-05-30,Putnam,Tennessee,479,5,US
2020-05-31,Putnam,Tennessee,489,5,US
2020-06-01,Putnam,Tennessee,498,5,US
2020-06-02,Putnam,Tennessee,501,5,US
2020-06-03,Putnam,Tennessee,513,6,US
2020-06-04,Putnam,Tennessee,513,6,US
2020-06-05,Putnam,Tennessee,517,6,US
2020-06-06,Putnam,Tennessee,523,6,US
2020-06-07,Putnam,Tennessee,541,6,US
2020-06-08,Putnam,Tennessee,543,6,US
2020-06-09,Putnam,Tennessee,558,6,US
2020-06-10,Putnam,Tennessee,566,6,US
2020-06-11,Putnam,Tennessee,570,6,US
2020-06-12,Putnam,Tennessee,578,6,US
2020-06-13,Putnam,Tennessee,579,6,US
2020-06-14,Putnam,Tennessee,599,6,US
2020-06-15,Putnam,Tennessee,600,6,US
2020-06-16,Putnam,Tennessee,602,6,US
2020-06-17,Putnam,Tennessee,616,6,US
2020-06-18,Putnam,Tennessee,620,6,US
2020-06-19,Putnam,Tennessee,645,7,US
2020-06-20,Putnam,Tennessee,653,7,US
2020-06-21,Putnam,Tennessee,662,7,US
2020-06-22,Putnam,Tennessee,664,7,US
2020-06-23,Putnam,Tennessee,666,7,US
2020-06-24,Putnam,Tennessee,691,7,US
2020-06-25,Putnam,Tennessee,694,7,US
2020-06-26,Putnam,Tennessee,708,7,US
2020-06-27,Putnam,Tennessee,722,7,US
2020-06-28,Putnam,Tennessee,734,7,US
2020-06-29,Putnam,Tennessee,750,7,US
2020-06-30,Putnam,Tennessee,754,7,US
2020-07-01,Putnam,Tennessee,779,7,US
2020-07-02,Putnam,Tennessee,802,7,US
2020-07-03,Putnam,Tennessee,830,7,US
2020-07-04,Putnam,Tennessee,853,7,US
2020-07-05,Putnam,Tennessee,869,7,US
2020-07-06,Putnam,Tennessee,875,7,US
2020-07-07,Putnam,Tennessee,884,7,US
2020-07-08,Putnam,Tennessee,938,7,US
2020-07-09,Putnam,Tennessee,948,7,US
2020-07-10,Putnam,Tennessee,959,7,US
2020-07-11,Putnam,Tennessee,966,7,US
2020-07-12,Putnam,Tennessee,973,7,US
2020-07-13,Putnam,Tennessee,1029,7,US
2020-07-14,Putnam,Tennessee,1036,7,US
2020-07-15,Putnam,Tennessee,1046,7,US
2020-07-16,Putnam,Tennessee,1079,7,US
2020-07-17,Putnam,Tennessee,1139,7,US
2020-07-18,Putnam,Tennessee,1149,7,US
2020-07-19,Putnam,Tennessee,1151,7,US
2020-07-20,Putnam,Tennessee,1176,7,US
2020-07-21,Putnam,Tennessee,1198,8,US
2020-07-22,Putnam,Tennessee,1230,8,US
2020-07-23,Putnam,Tennessee,1254,9,US
2020-07-24,Putnam,Tennessee,1262,9,US
2020-07-25,Putnam,Tennessee,1282,11,US
2020-07-26,Putnam,Tennessee,1334,11,US
2020-07-27,Putnam,Tennessee,1352,11,US
2020-07-28,Putnam,Tennessee,1369,13,US
2020-07-29,Putnam,Tennessee,1374,13,US
2020-07-30,Putnam,Tennessee,1415,13,US
2020-07-31,Putnam,Tennessee,1434,13,US
2020-08-01,Putnam,Tennessee,1445,13,US
2020-08-02,Putnam,Tennessee,1449,13,US
2020-08-03,Putnam,Tennessee,1504,13,US
2020-08-04,Putnam,Tennessee,1546,13,US
2020-08-05,Putnam,Tennessee,1565,13,US
2020-08-06,Putnam,Tennessee,1611,16,US
2020-08-07,Putnam,Tennessee,1624,17,US
2020-08-08,Putnam,Tennessee,1640,18,US
2020-08-09,Putnam,Tennessee,1667,18,US
2020-08-10,Putnam,Tennessee,1687,18,US
2020-08-11,Putnam,Tennessee,1723,18,US
2020-08-12,Putnam,Tennessee,1752,18,US
2020-08-13,Putnam,Tennessee,1816,20,US
2020-08-14,Putnam,Tennessee,1837,20,US
2020-08-15,Putnam,Tennessee,1843,20,US
2020-08-16,Putnam,Tennessee,1868,20,US
2020-08-17,Putnam,Tennessee,1871,20,US
2020-08-18,Putnam,Tennessee,1908,21,US
2020-08-19,Putnam,Tennessee,1951,22,US
2020-08-20,Putnam,Tennessee,1993,22,US
2020-08-21,Putnam,Tennessee,2011,23,US
2020-08-22,Putnam,Tennessee,2048,23,US
2020-08-23,Putnam,Tennessee,2054,23,US
2020-08-24,Putnam,Tennessee,2079,23,US
2020-08-25,Putnam,Tennessee,2130,24,US
2020-08-26,Putnam,Tennessee,2179,26,US
2020-08-27,Putnam,Tennessee,2219,27,US
2020-08-28,Putnam,Tennessee,2236,28,US
2020-08-29,Putnam,Tennessee,2268,30,US
2020-08-30,Putnam,Tennessee,2275,30,US
2020-08-31,Putnam,Tennessee,2284,30,US
2020-09-01,Putnam,Tennessee,2323,30,US
2020-09-02,Putnam,Tennessee,2361,30,US
2020-09-03,Putnam,Tennessee,2384,29,US
2020-09-04,Putnam,Tennessee,2439,29,US
2020-09-05,Putnam,Tennessee,2485,31,US
2020-09-06,Putnam,Tennessee,2499,31,US
2020-09-07,Putnam,Tennessee,2508,31,US
2020-09-08,Putnam,Tennessee,2513,32,US
2020-09-09,Putnam,Tennessee,2561,33,US
2020-09-10,Putnam,Tennessee,2606,34,US
2020-09-11,Putnam,Tennessee,2633,35,US
2020-09-12,Putnam,Tennessee,2677,36,US
2020-09-13,Putnam,Tennessee,2706,36,US
2020-09-14,Putnam,Tennessee,2727,36,US
2020-09-15,Putnam,Tennessee,2812,36,US
2020-09-16,Putnam,Tennessee,2856,36,US
2020-09-17,Putnam,Tennessee,2908,36,US
2020-09-18,Putnam,Tennessee,2965,37,US
2020-09-19,Putnam,Tennessee,3011,37,US
2020-09-20,Putnam,Tennessee,3022,37,US
2020-09-21,Putnam,Tennessee,3038,37,US
2020-09-22,Putnam,Tennessee,3112,38,US
2020-09-23,Putnam,Tennessee,3143,38,US
2020-09-24,Putnam,Tennessee,3187,39,US
2020-09-25,Putnam,Tennessee,3222,40,US
2020-09-26,Putnam,Tennessee,3256,40,US
2020-09-27,Putnam,Tennessee,3284,40,US
2020-09-28,Putnam,Tennessee,3299,41,US
2020-09-29,Putnam,Tennessee,3315,41,US
2020-09-30,Putnam,Tennessee,3326,44,US
2020-10-01,Putnam,Tennessee,3361,47,US
2020-10-02,Putnam,Tennessee,3382,48,US
2020-10-03,Putnam,Tennessee,3409,48,US
2020-10-04,Putnam,Tennessee,3441,48,US
2020-10-05,Putnam,Tennessee,3483,48,US
2020-10-06,Putnam,Tennessee,3538,49,US
2020-10-07,Putnam,Tennessee,3567,49,US
2020-10-08,Putnam,Tennessee,3596,50,US
2020-10-09,Putnam,Tennessee,3626,50,US
2020-10-10,Putnam,Tennessee,3661,50,US
2020-10-11,Putnam,Tennessee,3693,50,US
2020-10-12,Putnam,Tennessee,3729,50,US
2020-10-13,Putnam,Tennessee,3790,51,US
2020-10-14,Putnam,Tennessee,3841,51,US
2020-10-15,Putnam,Tennessee,3847,51,US
2020-10-16,Putnam,Tennessee,3888,51,US
2020-10-17,Putnam,Tennessee,3949,52,US
2020-10-18,Putnam,Tennessee,3984,52,US
2020-10-19,Putnam,Tennessee,4014,53,US
2020-10-20,Putnam,Tennessee,4067,53,US
2020-10-21,Putnam,Tennessee,4143,54,US
2020-10-22,Putnam,Tennessee,4204,54,US
2020-10-23,Putnam,Tennessee,4272,55,US
2020-10-24,Putnam,Tennessee,4328,56,US
2020-10-25,Putnam,Tennessee,4350,56,US
2020-10-26,Putnam,Tennessee,4387,57,US
2020-10-27,Putnam,Tennessee,4429,57,US
2020-10-28,Putnam,Tennessee,4477,57,US
2020-10-29,Putnam,Tennessee,4502,59,US
2020-10-30,Putnam,Tennessee,4540,59,US
2020-10-31,Putnam,Tennessee,4542,59,US
2020-11-01,Putnam,Tennessee,4558,59,US
2020-11-02,Putnam,Tennessee,4582,61,US
2020-11-03,Putnam,Tennessee,4610,64,US
