Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Raleigh,West Virginia,0,0,US
2020-01-23,Raleigh,West Virginia,0,0,US
2020-01-24,Raleigh,West Virginia,0,0,US
2020-01-25,Raleigh,West Virginia,0,0,US
2020-01-26,Raleigh,West Virginia,0,0,US
2020-01-27,Raleigh,West Virginia,0,0,US
2020-01-28,Raleigh,West Virginia,0,0,US
2020-01-29,Raleigh,West Virginia,0,0,US
2020-01-30,Raleigh,West Virginia,0,0,US
2020-01-31,Raleigh,West Virginia,0,0,US
2020-02-01,Raleigh,West Virginia,0,0,US
2020-02-02,Raleigh,West Virginia,0,0,US
2020-02-03,Raleigh,West Virginia,0,0,US
2020-02-04,Raleigh,West Virginia,0,0,US
2020-02-05,Raleigh,West Virginia,0,0,US
2020-02-06,Raleigh,West Virginia,0,0,US
2020-02-07,Raleigh,West Virginia,0,0,US
2020-02-08,Raleigh,West Virginia,0,0,US
2020-02-09,Raleigh,West Virginia,0,0,US
2020-02-10,Raleigh,West Virginia,0,0,US
2020-02-11,Raleigh,West Virginia,0,0,US
2020-02-12,Raleigh,West Virginia,0,0,US
2020-02-13,Raleigh,West Virginia,0,0,US
2020-02-14,Raleigh,West Virginia,0,0,US
2020-02-15,Raleigh,West Virginia,0,0,US
2020-02-16,Raleigh,West Virginia,0,0,US
2020-02-17,Raleigh,West Virginia,0,0,US
2020-02-18,Raleigh,West Virginia,0,0,US
2020-02-19,Raleigh,West Virginia,0,0,US
2020-02-20,Raleigh,West Virginia,0,0,US
2020-02-21,Raleigh,West Virginia,0,0,US
2020-02-22,Raleigh,West Virginia,0,0,US
2020-02-23,Raleigh,West Virginia,0,0,US
2020-02-24,Raleigh,West Virginia,0,0,US
2020-02-25,Raleigh,West Virginia,0,0,US
2020-02-26,Raleigh,West Virginia,0,0,US
2020-02-27,Raleigh,West Virginia,0,0,US
2020-02-28,Raleigh,West Virginia,0,0,US
2020-02-29,Raleigh,West Virginia,0,0,US
2020-03-01,Raleigh,West Virginia,0,0,US
2020-03-02,Raleigh,West Virginia,0,0,US
2020-03-03,Raleigh,West Virginia,0,0,US
2020-03-04,Raleigh,West Virginia,0,0,US
2020-03-05,Raleigh,West Virginia,0,0,US
2020-03-06,Raleigh,West Virginia,0,0,US
2020-03-07,Raleigh,West Virginia,0,0,US
2020-03-08,Raleigh,West Virginia,0,0,US
2020-03-09,Raleigh,West Virginia,0,0,US
2020-03-10,Raleigh,West Virginia,0,0,US
2020-03-11,Raleigh,West Virginia,0,0,US
2020-03-12,Raleigh,West Virginia,0,0,US
2020-03-13,Raleigh,West Virginia,0,0,US
2020-03-14,Raleigh,West Virginia,0,0,US
2020-03-15,Raleigh,West Virginia,0,0,US
2020-03-16,Raleigh,West Virginia,0,0,US
2020-03-17,Raleigh,West Virginia,0,0,US
2020-03-18,Raleigh,West Virginia,0,0,US
2020-03-19,Raleigh,West Virginia,0,0,US
2020-03-20,Raleigh,West Virginia,0,0,US
2020-03-21,Raleigh,West Virginia,0,0,US
2020-03-22,Raleigh,West Virginia,0,0,US
2020-03-23,Raleigh,West Virginia,0,0,US
2020-03-24,Raleigh,West Virginia,0,0,US
2020-03-25,Raleigh,West Virginia,0,0,US
2020-03-26,Raleigh,West Virginia,1,0,US
2020-03-27,Raleigh,West Virginia,2,0,US
2020-03-28,Raleigh,West Virginia,3,0,US
2020-03-29,Raleigh,West Virginia,3,0,US
2020-03-30,Raleigh,West Virginia,3,0,US
2020-03-31,Raleigh,West Virginia,3,0,US
2020-04-01,Raleigh,West Virginia,3,0,US
2020-04-02,Raleigh,West Virginia,3,0,US
2020-04-03,Raleigh,West Virginia,3,0,US
2020-04-04,Raleigh,West Virginia,4,0,US
2020-04-05,Raleigh,West Virginia,4,0,US
2020-04-06,Raleigh,West Virginia,4,0,US
2020-04-07,Raleigh,West Virginia,4,0,US
2020-04-08,Raleigh,West Virginia,4,0,US
2020-04-09,Raleigh,West Virginia,5,0,US
2020-04-10,Raleigh,West Virginia,5,0,US
2020-04-11,Raleigh,West Virginia,5,0,US
2020-04-12,Raleigh,West Virginia,5,0,US
2020-04-13,Raleigh,West Virginia,5,0,US
2020-04-14,Raleigh,West Virginia,6,0,US
2020-04-15,Raleigh,West Virginia,6,0,US
2020-04-16,Raleigh,West Virginia,6,0,US
