Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Red Willow,Nebraska,0,0,US
2020-01-23,Red Willow,Nebraska,0,0,US
2020-01-24,Red Willow,Nebraska,0,0,US
2020-01-25,Red Willow,Nebraska,0,0,US
2020-01-26,Red Willow,Nebraska,0,0,US
2020-01-27,Red Willow,Nebraska,0,0,US
2020-01-28,Red Willow,Nebraska,0,0,US
2020-01-29,Red Willow,Nebraska,0,0,US
2020-01-30,Red Willow,Nebraska,0,0,US
2020-01-31,Red Willow,Nebraska,0,0,US
2020-02-01,Red Willow,Nebraska,0,0,US
2020-02-02,Red Willow,Nebraska,0,0,US
2020-02-03,Red Willow,Nebraska,0,0,US
2020-02-04,Red Willow,Nebraska,0,0,US
2020-02-05,Red Willow,Nebraska,0,0,US
2020-02-06,Red Willow,Nebraska,0,0,US
2020-02-07,Red Willow,Nebraska,0,0,US
2020-02-08,Red Willow,Nebraska,0,0,US
2020-02-09,Red Willow,Nebraska,0,0,US
2020-02-10,Red Willow,Nebraska,0,0,US
2020-02-11,Red Willow,Nebraska,0,0,US
2020-02-12,Red Willow,Nebraska,0,0,US
2020-02-13,Red Willow,Nebraska,0,0,US
2020-02-14,Red Willow,Nebraska,0,0,US
2020-02-15,Red Willow,Nebraska,0,0,US
2020-02-16,Red Willow,Nebraska,0,0,US
2020-02-17,Red Willow,Nebraska,0,0,US
2020-02-18,Red Willow,Nebraska,0,0,US
2020-02-19,Red Willow,Nebraska,0,0,US
2020-02-20,Red Willow,Nebraska,0,0,US
2020-02-21,Red Willow,Nebraska,0,0,US
2020-02-22,Red Willow,Nebraska,0,0,US
2020-02-23,Red Willow,Nebraska,0,0,US
2020-02-24,Red Willow,Nebraska,0,0,US
2020-02-25,Red Willow,Nebraska,0,0,US
2020-02-26,Red Willow,Nebraska,0,0,US
2020-02-27,Red Willow,Nebraska,0,0,US
2020-02-28,Red Willow,Nebraska,0,0,US
2020-02-29,Red Willow,Nebraska,0,0,US
2020-03-01,Red Willow,Nebraska,0,0,US
2020-03-02,Red Willow,Nebraska,0,0,US
2020-03-03,Red Willow,Nebraska,0,0,US
2020-03-04,Red Willow,Nebraska,0,0,US
2020-03-05,Red Willow,Nebraska,0,0,US
2020-03-06,Red Willow,Nebraska,0,0,US
2020-03-07,Red Willow,Nebraska,0,0,US
2020-03-08,Red Willow,Nebraska,0,0,US
2020-03-09,Red Willow,Nebraska,0,0,US
2020-03-10,Red Willow,Nebraska,0,0,US
2020-03-11,Red Willow,Nebraska,0,0,US
2020-03-12,Red Willow,Nebraska,0,0,US
2020-03-13,Red Willow,Nebraska,0,0,US
2020-03-14,Red Willow,Nebraska,0,0,US
2020-03-15,Red Willow,Nebraska,0,0,US
2020-03-16,Red Willow,Nebraska,0,0,US
2020-03-17,Red Willow,Nebraska,0,0,US
2020-03-18,Red Willow,Nebraska,0,0,US
2020-03-19,Red Willow,Nebraska,0,0,US
2020-03-20,Red Willow,Nebraska,0,0,US
2020-03-21,Red Willow,Nebraska,0,0,US
2020-03-22,Red Willow,Nebraska,0,0,US
2020-03-23,Red Willow,Nebraska,0,0,US
2020-03-24,Red Willow,Nebraska,0,0,US
2020-03-25,Red Willow,Nebraska,0,0,US
2020-03-26,Red Willow,Nebraska,0,0,US
2020-03-27,Red Willow,Nebraska,0,0,US
2020-03-28,Red Willow,Nebraska,0,0,US
2020-03-29,Red Willow,Nebraska,0,0,US
2020-03-30,Red Willow,Nebraska,0,0,US
2020-03-31,Red Willow,Nebraska,0,0,US
2020-04-01,Red Willow,Nebraska,0,0,US
2020-04-02,Red Willow,Nebraska,0,0,US
2020-04-03,Red Willow,Nebraska,0,0,US
2020-04-04,Red Willow,Nebraska,0,0,US
2020-04-05,Red Willow,Nebraska,0,0,US
2020-04-06,Red Willow,Nebraska,0,0,US
2020-04-07,Red Willow,Nebraska,0,0,US
2020-04-08,Red Willow,Nebraska,0,0,US
2020-04-09,Red Willow,Nebraska,0,0,US
2020-04-10,Red Willow,Nebraska,0,0,US
2020-04-11,Red Willow,Nebraska,0,0,US
2020-04-12,Red Willow,Nebraska,0,0,US
2020-04-13,Red Willow,Nebraska,0,0,US
2020-04-14,Red Willow,Nebraska,0,0,US
2020-04-15,Red Willow,Nebraska,0,0,US
2020-04-16,Red Willow,Nebraska,0,0,US
2020-04-17,Red Willow,Nebraska,0,0,US
2020-04-18,Red Willow,Nebraska,1,0,US
2020-04-19,Red Willow,Nebraska,1,0,US
2020-04-20,Red Willow,Nebraska,1,0,US
2020-04-21,Red Willow,Nebraska,1,0,US
2020-04-22,Red Willow,Nebraska,1,0,US
2020-04-23,Red Willow,Nebraska,1,0,US
2020-04-24,Red Willow,Nebraska,1,0,US
2020-04-25,Red Willow,Nebraska,1,0,US
2020-04-26,Red Willow,Nebraska,1,0,US
2020-04-27,Red Willow,Nebraska,2,0,US
2020-04-28,Red Willow,Nebraska,2,0,US
2020-04-29,Red Willow,Nebraska,2,0,US
2020-04-30,Red Willow,Nebraska,3,0,US
2020-05-01,Red Willow,Nebraska,3,0,US
2020-05-02,Red Willow,Nebraska,3,0,US
2020-05-03,Red Willow,Nebraska,3,0,US
2020-05-04,Red Willow,Nebraska,4,0,US
2020-05-05,Red Willow,Nebraska,4,0,US
2020-05-06,Red Willow,Nebraska,5,0,US
2020-05-07,Red Willow,Nebraska,5,0,US
2020-05-08,Red Willow,Nebraska,5,0,US
2020-05-09,Red Willow,Nebraska,5,0,US
2020-05-10,Red Willow,Nebraska,5,0,US
2020-05-11,Red Willow,Nebraska,5,0,US
2020-05-12,Red Willow,Nebraska,5,0,US
2020-05-13,Red Willow,Nebraska,5,0,US
2020-05-14,Red Willow,Nebraska,5,0,US
2020-05-15,Red Willow,Nebraska,5,0,US
2020-05-16,Red Willow,Nebraska,5,0,US
2020-05-17,Red Willow,Nebraska,5,0,US
2020-05-18,Red Willow,Nebraska,5,0,US
2020-05-19,Red Willow,Nebraska,5,0,US
2020-05-20,Red Willow,Nebraska,5,0,US
2020-05-21,Red Willow,Nebraska,5,0,US
2020-05-22,Red Willow,Nebraska,5,0,US
2020-05-23,Red Willow,Nebraska,5,0,US
2020-05-24,Red Willow,Nebraska,5,0,US
2020-05-25,Red Willow,Nebraska,5,0,US
2020-05-26,Red Willow,Nebraska,5,0,US
2020-05-27,Red Willow,Nebraska,5,0,US
2020-05-28,Red Willow,Nebraska,5,0,US
2020-05-29,Red Willow,Nebraska,5,0,US
2020-05-30,Red Willow,Nebraska,5,0,US
2020-05-31,Red Willow,Nebraska,5,0,US
2020-06-01,Red Willow,Nebraska,5,0,US
2020-06-02,Red Willow,Nebraska,5,0,US
2020-06-03,Red Willow,Nebraska,5,0,US
2020-06-04,Red Willow,Nebraska,5,0,US
2020-06-05,Red Willow,Nebraska,5,0,US
2020-06-06,Red Willow,Nebraska,5,0,US
2020-06-07,Red Willow,Nebraska,5,0,US
2020-06-08,Red Willow,Nebraska,5,0,US
2020-06-09,Red Willow,Nebraska,5,0,US
2020-06-10,Red Willow,Nebraska,5,0,US
2020-06-11,Red Willow,Nebraska,5,0,US
2020-06-12,Red Willow,Nebraska,5,0,US
2020-06-13,Red Willow,Nebraska,5,0,US
2020-06-14,Red Willow,Nebraska,5,0,US
2020-06-15,Red Willow,Nebraska,5,0,US
2020-06-16,Red Willow,Nebraska,6,0,US
2020-06-17,Red Willow,Nebraska,6,0,US
2020-06-18,Red Willow,Nebraska,6,0,US
2020-06-19,Red Willow,Nebraska,6,0,US
2020-06-20,Red Willow,Nebraska,6,0,US
2020-06-21,Red Willow,Nebraska,6,0,US
2020-06-22,Red Willow,Nebraska,6,0,US
2020-06-23,Red Willow,Nebraska,6,0,US
2020-06-24,Red Willow,Nebraska,6,0,US
2020-06-25,Red Willow,Nebraska,6,0,US
2020-06-26,Red Willow,Nebraska,6,0,US
2020-06-27,Red Willow,Nebraska,6,0,US
2020-06-28,Red Willow,Nebraska,6,0,US
2020-06-29,Red Willow,Nebraska,6,0,US
2020-06-30,Red Willow,Nebraska,6,0,US
2020-07-01,Red Willow,Nebraska,6,0,US
2020-07-02,Red Willow,Nebraska,6,0,US
2020-07-03,Red Willow,Nebraska,6,0,US
2020-07-04,Red Willow,Nebraska,6,0,US
2020-07-05,Red Willow,Nebraska,8,0,US
2020-07-06,Red Willow,Nebraska,8,0,US
2020-07-07,Red Willow,Nebraska,8,0,US
2020-07-08,Red Willow,Nebraska,8,0,US
2020-07-09,Red Willow,Nebraska,8,0,US
2020-07-10,Red Willow,Nebraska,8,0,US
2020-07-11,Red Willow,Nebraska,8,0,US
2020-07-12,Red Willow,Nebraska,8,0,US
2020-07-13,Red Willow,Nebraska,9,0,US
2020-07-14,Red Willow,Nebraska,9,0,US
2020-07-15,Red Willow,Nebraska,8,0,US
2020-07-16,Red Willow,Nebraska,9,0,US
2020-07-17,Red Willow,Nebraska,9,0,US
2020-07-18,Red Willow,Nebraska,9,0,US
2020-07-19,Red Willow,Nebraska,9,0,US
2020-07-20,Red Willow,Nebraska,10,0,US
2020-07-21,Red Willow,Nebraska,11,0,US
2020-07-22,Red Willow,Nebraska,11,0,US
2020-07-23,Red Willow,Nebraska,12,0,US
2020-07-24,Red Willow,Nebraska,13,0,US
2020-07-25,Red Willow,Nebraska,13,0,US
2020-07-26,Red Willow,Nebraska,13,0,US
2020-07-27,Red Willow,Nebraska,13,0,US
