Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Richland,Illinois,0,0,US
2020-01-23,Richland,Illinois,0,0,US
2020-01-24,Richland,Illinois,0,0,US
2020-01-25,Richland,Illinois,0,0,US
2020-01-26,Richland,Illinois,0,0,US
2020-01-27,Richland,Illinois,0,0,US
2020-01-28,Richland,Illinois,0,0,US
2020-01-29,Richland,Illinois,0,0,US
2020-01-30,Richland,Illinois,0,0,US
2020-01-31,Richland,Illinois,0,0,US
2020-02-01,Richland,Illinois,0,0,US
2020-02-02,Richland,Illinois,0,0,US
2020-02-03,Richland,Illinois,0,0,US
2020-02-04,Richland,Illinois,0,0,US
2020-02-05,Richland,Illinois,0,0,US
2020-02-06,Richland,Illinois,0,0,US
2020-02-07,Richland,Illinois,0,0,US
2020-02-08,Richland,Illinois,0,0,US
2020-02-09,Richland,Illinois,0,0,US
2020-02-10,Richland,Illinois,0,0,US
2020-02-11,Richland,Illinois,0,0,US
2020-02-12,Richland,Illinois,0,0,US
2020-02-13,Richland,Illinois,0,0,US
2020-02-14,Richland,Illinois,0,0,US
2020-02-15,Richland,Illinois,0,0,US
2020-02-16,Richland,Illinois,0,0,US
2020-02-17,Richland,Illinois,0,0,US
2020-02-18,Richland,Illinois,0,0,US
2020-02-19,Richland,Illinois,0,0,US
2020-02-20,Richland,Illinois,0,0,US
2020-02-21,Richland,Illinois,0,0,US
2020-02-22,Richland,Illinois,0,0,US
2020-02-23,Richland,Illinois,0,0,US
2020-02-24,Richland,Illinois,0,0,US
2020-02-25,Richland,Illinois,0,0,US
2020-02-26,Richland,Illinois,0,0,US
2020-02-27,Richland,Illinois,0,0,US
2020-02-28,Richland,Illinois,0,0,US
2020-02-29,Richland,Illinois,0,0,US
2020-03-01,Richland,Illinois,0,0,US
2020-03-02,Richland,Illinois,0,0,US
2020-03-03,Richland,Illinois,0,0,US
2020-03-04,Richland,Illinois,0,0,US
2020-03-05,Richland,Illinois,0,0,US
2020-03-06,Richland,Illinois,0,0,US
2020-03-07,Richland,Illinois,0,0,US
2020-03-08,Richland,Illinois,0,0,US
2020-03-09,Richland,Illinois,0,0,US
2020-03-10,Richland,Illinois,0,0,US
2020-03-11,Richland,Illinois,0,0,US
2020-03-12,Richland,Illinois,0,0,US
2020-03-13,Richland,Illinois,0,0,US
2020-03-14,Richland,Illinois,0,0,US
2020-03-15,Richland,Illinois,0,0,US
2020-03-16,Richland,Illinois,0,0,US
2020-03-17,Richland,Illinois,0,0,US
2020-03-18,Richland,Illinois,0,0,US
2020-03-19,Richland,Illinois,0,0,US
2020-03-20,Richland,Illinois,0,0,US
2020-03-21,Richland,Illinois,0,0,US
2020-03-22,Richland,Illinois,0,0,US
2020-03-23,Richland,Illinois,0,0,US
2020-03-24,Richland,Illinois,0,0,US
2020-03-25,Richland,Illinois,0,0,US
2020-03-26,Richland,Illinois,0,0,US
2020-03-27,Richland,Illinois,0,0,US
2020-03-28,Richland,Illinois,0,0,US
2020-03-29,Richland,Illinois,0,0,US
2020-03-30,Richland,Illinois,0,0,US
2020-03-31,Richland,Illinois,0,0,US
2020-04-01,Richland,Illinois,0,0,US
2020-04-02,Richland,Illinois,0,0,US
2020-04-03,Richland,Illinois,0,0,US
2020-04-04,Richland,Illinois,0,0,US
2020-04-05,Richland,Illinois,0,0,US
2020-04-06,Richland,Illinois,0,0,US
2020-04-07,Richland,Illinois,1,0,US
2020-04-08,Richland,Illinois,1,0,US
2020-04-09,Richland,Illinois,1,0,US
2020-04-10,Richland,Illinois,1,0,US
2020-04-11,Richland,Illinois,1,0,US
2020-04-12,Richland,Illinois,1,0,US
2020-04-13,Richland,Illinois,1,0,US
2020-04-14,Richland,Illinois,1,0,US
2020-04-15,Richland,Illinois,1,0,US
2020-04-16,Richland,Illinois,1,0,US
2020-04-17,Richland,Illinois,2,0,US
2020-04-18,Richland,Illinois,2,0,US
2020-04-19,Richland,Illinois,2,0,US
2020-04-20,Richland,Illinois,2,0,US
2020-04-21,Richland,Illinois,2,0,US
2020-04-22,Richland,Illinois,2,0,US
