Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Richmond,North Carolina,0,0,US
2020-01-23,Richmond,North Carolina,0,0,US
2020-01-24,Richmond,North Carolina,0,0,US
2020-01-25,Richmond,North Carolina,0,0,US
2020-01-26,Richmond,North Carolina,0,0,US
2020-01-27,Richmond,North Carolina,0,0,US
2020-01-28,Richmond,North Carolina,0,0,US
2020-01-29,Richmond,North Carolina,0,0,US
2020-01-30,Richmond,North Carolina,0,0,US
2020-01-31,Richmond,North Carolina,0,0,US
2020-02-01,Richmond,North Carolina,0,0,US
2020-02-02,Richmond,North Carolina,0,0,US
2020-02-03,Richmond,North Carolina,0,0,US
2020-02-04,Richmond,North Carolina,0,0,US
2020-02-05,Richmond,North Carolina,0,0,US
2020-02-06,Richmond,North Carolina,0,0,US
2020-02-07,Richmond,North Carolina,0,0,US
2020-02-08,Richmond,North Carolina,0,0,US
2020-02-09,Richmond,North Carolina,0,0,US
2020-02-10,Richmond,North Carolina,0,0,US
2020-02-11,Richmond,North Carolina,0,0,US
2020-02-12,Richmond,North Carolina,0,0,US
2020-02-13,Richmond,North Carolina,0,0,US
2020-02-14,Richmond,North Carolina,0,0,US
2020-02-15,Richmond,North Carolina,0,0,US
2020-02-16,Richmond,North Carolina,0,0,US
2020-02-17,Richmond,North Carolina,0,0,US
2020-02-18,Richmond,North Carolina,0,0,US
2020-02-19,Richmond,North Carolina,0,0,US
2020-02-20,Richmond,North Carolina,0,0,US
2020-02-21,Richmond,North Carolina,0,0,US
2020-02-22,Richmond,North Carolina,0,0,US
2020-02-23,Richmond,North Carolina,0,0,US
2020-02-24,Richmond,North Carolina,0,0,US
2020-02-25,Richmond,North Carolina,0,0,US
2020-02-26,Richmond,North Carolina,0,0,US
2020-02-27,Richmond,North Carolina,0,0,US
2020-02-28,Richmond,North Carolina,0,0,US
2020-02-29,Richmond,North Carolina,0,0,US
2020-03-01,Richmond,North Carolina,0,0,US
2020-03-02,Richmond,North Carolina,0,0,US
2020-03-03,Richmond,North Carolina,0,0,US
2020-03-04,Richmond,North Carolina,0,0,US
2020-03-05,Richmond,North Carolina,0,0,US
2020-03-06,Richmond,North Carolina,0,0,US
2020-03-07,Richmond,North Carolina,0,0,US
2020-03-08,Richmond,North Carolina,0,0,US
2020-03-09,Richmond,North Carolina,0,0,US
2020-03-10,Richmond,North Carolina,0,0,US
2020-03-11,Richmond,North Carolina,0,0,US
2020-03-12,Richmond,North Carolina,0,0,US
2020-03-13,Richmond,North Carolina,0,0,US
2020-03-14,Richmond,North Carolina,0,0,US
2020-03-15,Richmond,North Carolina,0,0,US
2020-03-16,Richmond,North Carolina,0,0,US
2020-03-17,Richmond,North Carolina,0,0,US
2020-03-18,Richmond,North Carolina,0,0,US
2020-03-19,Richmond,North Carolina,0,0,US
2020-03-20,Richmond,North Carolina,0,0,US
2020-03-21,Richmond,North Carolina,0,0,US
2020-03-22,Richmond,North Carolina,0,0,US
2020-03-23,Richmond,North Carolina,0,0,US
2020-03-24,Richmond,North Carolina,0,0,US
2020-03-25,Richmond,North Carolina,0,0,US
2020-03-26,Richmond,North Carolina,0,0,US
2020-03-27,Richmond,North Carolina,0,0,US
2020-03-28,Richmond,North Carolina,0,0,US
2020-03-29,Richmond,North Carolina,0,0,US
2020-03-30,Richmond,North Carolina,0,0,US
2020-03-31,Richmond,North Carolina,0,0,US
