Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Riley,Kansas,0,0,US
2020-01-23,Riley,Kansas,0,0,US
2020-01-24,Riley,Kansas,0,0,US
2020-01-25,Riley,Kansas,0,0,US
2020-01-26,Riley,Kansas,0,0,US
2020-01-27,Riley,Kansas,0,0,US
2020-01-28,Riley,Kansas,0,0,US
2020-01-29,Riley,Kansas,0,0,US
2020-01-30,Riley,Kansas,0,0,US
2020-01-31,Riley,Kansas,0,0,US
2020-02-01,Riley,Kansas,0,0,US
2020-02-02,Riley,Kansas,0,0,US
2020-02-03,Riley,Kansas,0,0,US
2020-02-04,Riley,Kansas,0,0,US
2020-02-05,Riley,Kansas,0,0,US
2020-02-06,Riley,Kansas,0,0,US
2020-02-07,Riley,Kansas,0,0,US
2020-02-08,Riley,Kansas,0,0,US
2020-02-09,Riley,Kansas,0,0,US
2020-02-10,Riley,Kansas,0,0,US
2020-02-11,Riley,Kansas,0,0,US
2020-02-12,Riley,Kansas,0,0,US
2020-02-13,Riley,Kansas,0,0,US
2020-02-14,Riley,Kansas,0,0,US
2020-02-15,Riley,Kansas,0,0,US
2020-02-16,Riley,Kansas,0,0,US
2020-02-17,Riley,Kansas,0,0,US
2020-02-18,Riley,Kansas,0,0,US
2020-02-19,Riley,Kansas,0,0,US
2020-02-20,Riley,Kansas,0,0,US
2020-02-21,Riley,Kansas,0,0,US
2020-02-22,Riley,Kansas,0,0,US
2020-02-23,Riley,Kansas,0,0,US
2020-02-24,Riley,Kansas,0,0,US
2020-02-25,Riley,Kansas,0,0,US
2020-02-26,Riley,Kansas,0,0,US
2020-02-27,Riley,Kansas,0,0,US
2020-02-28,Riley,Kansas,0,0,US
2020-02-29,Riley,Kansas,0,0,US
2020-03-01,Riley,Kansas,0,0,US
2020-03-02,Riley,Kansas,0,0,US
2020-03-03,Riley,Kansas,0,0,US
2020-03-04,Riley,Kansas,0,0,US
2020-03-05,Riley,Kansas,0,0,US
2020-03-06,Riley,Kansas,0,0,US
2020-03-07,Riley,Kansas,0,0,US
2020-03-08,Riley,Kansas,0,0,US
2020-03-09,Riley,Kansas,0,0,US
2020-03-10,Riley,Kansas,0,0,US
2020-03-11,Riley,Kansas,0,0,US
2020-03-12,Riley,Kansas,0,0,US
2020-03-13,Riley,Kansas,0,0,US
2020-03-14,Riley,Kansas,0,0,US
2020-03-15,Riley,Kansas,0,0,US
2020-03-16,Riley,Kansas,0,0,US
2020-03-17,Riley,Kansas,0,0,US
2020-03-18,Riley,Kansas,0,0,US
2020-03-19,Riley,Kansas,0,0,US
2020-03-20,Riley,Kansas,1,0,US
2020-03-21,Riley,Kansas,1,0,US
2020-03-22,Riley,Kansas,1,0,US
2020-03-23,Riley,Kansas,0,0,US
2020-03-24,Riley,Kansas,0,0,US
2020-03-25,Riley,Kansas,0,0,US
2020-03-26,Riley,Kansas,1,0,US
2020-03-27,Riley,Kansas,2,0,US
2020-03-28,Riley,Kansas,2,0,US
2020-03-29,Riley,Kansas,2,0,US
2020-03-30,Riley,Kansas,2,0,US
2020-03-31,Riley,Kansas,2,0,US
2020-04-01,Riley,Kansas,5,0,US
2020-04-02,Riley,Kansas,6,0,US
2020-04-03,Riley,Kansas,11,0,US
2020-04-04,Riley,Kansas,11,0,US
2020-04-05,Riley,Kansas,13,0,US
2020-04-06,Riley,Kansas,14,0,US
2020-04-07,Riley,Kansas,17,0,US
2020-04-08,Riley,Kansas,19,0,US
2020-04-09,Riley,Kansas,20,0,US
2020-04-10,Riley,Kansas,20,0,US
2020-04-11,Riley,Kansas,20,0,US
2020-04-12,Riley,Kansas,20,0,US
2020-04-13,Riley,Kansas,21,0,US
2020-04-14,Riley,Kansas,23,0,US
2020-04-15,Riley,Kansas,25,0,US
2020-04-16,Riley,Kansas,26,0,US
2020-04-17,Riley,Kansas,27,0,US
2020-04-18,Riley,Kansas,27,0,US
2020-04-19,Riley,Kansas,27,0,US
2020-04-20,Riley,Kansas,29,0,US
2020-04-21,Riley,Kansas,31,0,US
2020-04-22,Riley,Kansas,34,0,US
2020-04-23,Riley,Kansas,37,0,US
2020-04-24,Riley,Kansas,40,0,US
2020-04-25,Riley,Kansas,43,0,US
2020-04-26,Riley,Kansas,44,0,US
2020-04-27,Riley,Kansas,45,0,US
2020-04-28,Riley,Kansas,47,0,US
2020-04-29,Riley,Kansas,47,0,US
2020-04-30,Riley,Kansas,49,0,US
2020-05-01,Riley,Kansas,51,0,US
2020-05-02,Riley,Kansas,52,0,US
