Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Robertson,Texas,0,0,US
2020-01-23,Robertson,Texas,0,0,US
2020-01-24,Robertson,Texas,0,0,US
2020-01-25,Robertson,Texas,0,0,US
2020-01-26,Robertson,Texas,0,0,US
2020-01-27,Robertson,Texas,0,0,US
2020-01-28,Robertson,Texas,0,0,US
2020-01-29,Robertson,Texas,0,0,US
2020-01-30,Robertson,Texas,0,0,US
2020-01-31,Robertson,Texas,0,0,US
2020-02-01,Robertson,Texas,0,0,US
2020-02-02,Robertson,Texas,0,0,US
2020-02-03,Robertson,Texas,0,0,US
2020-02-04,Robertson,Texas,0,0,US
2020-02-05,Robertson,Texas,0,0,US
2020-02-06,Robertson,Texas,0,0,US
2020-02-07,Robertson,Texas,0,0,US
2020-02-08,Robertson,Texas,0,0,US
2020-02-09,Robertson,Texas,0,0,US
2020-02-10,Robertson,Texas,0,0,US
2020-02-11,Robertson,Texas,0,0,US
2020-02-12,Robertson,Texas,0,0,US
2020-02-13,Robertson,Texas,0,0,US
2020-02-14,Robertson,Texas,0,0,US
2020-02-15,Robertson,Texas,0,0,US
2020-02-16,Robertson,Texas,0,0,US
2020-02-17,Robertson,Texas,0,0,US
2020-02-18,Robertson,Texas,0,0,US
2020-02-19,Robertson,Texas,0,0,US
2020-02-20,Robertson,Texas,0,0,US
2020-02-21,Robertson,Texas,0,0,US
2020-02-22,Robertson,Texas,0,0,US
2020-02-23,Robertson,Texas,0,0,US
2020-02-24,Robertson,Texas,0,0,US
2020-02-25,Robertson,Texas,0,0,US
2020-02-26,Robertson,Texas,0,0,US
2020-02-27,Robertson,Texas,0,0,US
2020-02-28,Robertson,Texas,0,0,US
2020-02-29,Robertson,Texas,0,0,US
2020-03-01,Robertson,Texas,0,0,US
2020-03-02,Robertson,Texas,0,0,US
2020-03-03,Robertson,Texas,0,0,US
2020-03-04,Robertson,Texas,0,0,US
2020-03-05,Robertson,Texas,0,0,US
2020-03-06,Robertson,Texas,0,0,US
2020-03-07,Robertson,Texas,0,0,US
2020-03-08,Robertson,Texas,0,0,US
2020-03-09,Robertson,Texas,0,0,US
2020-03-10,Robertson,Texas,0,0,US
2020-03-11,Robertson,Texas,0,0,US
2020-03-12,Robertson,Texas,0,0,US
2020-03-13,Robertson,Texas,0,0,US
2020-03-14,Robertson,Texas,0,0,US
2020-03-15,Robertson,Texas,0,0,US
2020-03-16,Robertson,Texas,0,0,US
2020-03-17,Robertson,Texas,0,0,US
2020-03-18,Robertson,Texas,0,0,US
2020-03-19,Robertson,Texas,0,0,US
2020-03-20,Robertson,Texas,0,0,US
2020-03-21,Robertson,Texas,0,0,US
2020-03-22,Robertson,Texas,0,0,US
2020-03-23,Robertson,Texas,1,0,US
2020-03-24,Robertson,Texas,1,0,US
2020-03-25,Robertson,Texas,1,0,US
2020-03-26,Robertson,Texas,1,0,US
2020-03-27,Robertson,Texas,1,0,US
2020-03-28,Robertson,Texas,2,0,US
2020-03-29,Robertson,Texas,2,0,US
2020-03-30,Robertson,Texas,2,0,US
2020-03-31,Robertson,Texas,2,0,US
2020-04-01,Robertson,Texas,0,0,US
2020-04-02,Robertson,Texas,0,0,US
2020-04-03,Robertson,Texas,0,0,US
