Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Rolette,North Dakota,0,0,US
2020-01-23,Rolette,North Dakota,0,0,US
2020-01-24,Rolette,North Dakota,0,0,US
2020-01-25,Rolette,North Dakota,0,0,US
2020-01-26,Rolette,North Dakota,0,0,US
2020-01-27,Rolette,North Dakota,0,0,US
2020-01-28,Rolette,North Dakota,0,0,US
2020-01-29,Rolette,North Dakota,0,0,US
2020-01-30,Rolette,North Dakota,0,0,US
2020-01-31,Rolette,North Dakota,0,0,US
2020-02-01,Rolette,North Dakota,0,0,US
2020-02-02,Rolette,North Dakota,0,0,US
2020-02-03,Rolette,North Dakota,0,0,US
2020-02-04,Rolette,North Dakota,0,0,US
2020-02-05,Rolette,North Dakota,0,0,US
2020-02-06,Rolette,North Dakota,0,0,US
2020-02-07,Rolette,North Dakota,0,0,US
2020-02-08,Rolette,North Dakota,0,0,US
2020-02-09,Rolette,North Dakota,0,0,US
2020-02-10,Rolette,North Dakota,0,0,US
2020-02-11,Rolette,North Dakota,0,0,US
2020-02-12,Rolette,North Dakota,0,0,US
2020-02-13,Rolette,North Dakota,0,0,US
2020-02-14,Rolette,North Dakota,0,0,US
2020-02-15,Rolette,North Dakota,0,0,US
2020-02-16,Rolette,North Dakota,0,0,US
2020-02-17,Rolette,North Dakota,0,0,US
2020-02-18,Rolette,North Dakota,0,0,US
2020-02-19,Rolette,North Dakota,0,0,US
2020-02-20,Rolette,North Dakota,0,0,US
2020-02-21,Rolette,North Dakota,0,0,US
2020-02-22,Rolette,North Dakota,0,0,US
2020-02-23,Rolette,North Dakota,0,0,US
2020-02-24,Rolette,North Dakota,0,0,US
2020-02-25,Rolette,North Dakota,0,0,US
2020-02-26,Rolette,North Dakota,0,0,US
2020-02-27,Rolette,North Dakota,0,0,US
2020-02-28,Rolette,North Dakota,0,0,US
2020-02-29,Rolette,North Dakota,0,0,US
2020-03-01,Rolette,North Dakota,0,0,US
2020-03-02,Rolette,North Dakota,0,0,US
2020-03-03,Rolette,North Dakota,0,0,US
2020-03-04,Rolette,North Dakota,0,0,US
2020-03-05,Rolette,North Dakota,0,0,US
2020-03-06,Rolette,North Dakota,0,0,US
2020-03-07,Rolette,North Dakota,0,0,US
2020-03-08,Rolette,North Dakota,0,0,US
2020-03-09,Rolette,North Dakota,0,0,US
2020-03-10,Rolette,North Dakota,0,0,US
2020-03-11,Rolette,North Dakota,0,0,US
2020-03-12,Rolette,North Dakota,0,0,US
2020-03-13,Rolette,North Dakota,0,0,US
2020-03-14,Rolette,North Dakota,0,0,US
2020-03-15,Rolette,North Dakota,0,0,US
2020-03-16,Rolette,North Dakota,0,0,US
2020-03-17,Rolette,North Dakota,0,0,US
2020-03-18,Rolette,North Dakota,0,0,US
2020-03-19,Rolette,North Dakota,0,0,US
2020-03-20,Rolette,North Dakota,0,0,US
2020-03-21,Rolette,North Dakota,0,0,US
2020-03-22,Rolette,North Dakota,0,0,US
2020-03-23,Rolette,North Dakota,0,0,US
2020-03-24,Rolette,North Dakota,0,0,US
2020-03-25,Rolette,North Dakota,0,0,US
2020-03-26,Rolette,North Dakota,0,0,US
2020-03-27,Rolette,North Dakota,0,0,US
2020-03-28,Rolette,North Dakota,0,0,US
2020-03-29,Rolette,North Dakota,0,0,US
2020-03-30,Rolette,North Dakota,0,0,US
2020-03-31,Rolette,North Dakota,0,0,US
2020-04-01,Rolette,North Dakota,0,0,US
2020-04-02,Rolette,North Dakota,0,0,US
2020-04-03,Rolette,North Dakota,0,0,US
2020-04-04,Rolette,North Dakota,0,0,US
2020-04-05,Rolette,North Dakota,0,0,US
2020-04-06,Rolette,North Dakota,0,0,US
2020-04-07,Rolette,North Dakota,0,0,US
2020-04-08,Rolette,North Dakota,0,0,US
2020-04-09,Rolette,North Dakota,0,0,US
2020-04-10,Rolette,North Dakota,1,0,US
2020-04-11,Rolette,North Dakota,1,0,US
2020-04-12,Rolette,North Dakota,1,0,US
2020-04-13,Rolette,North Dakota,1,0,US
2020-04-14,Rolette,North Dakota,1,0,US
2020-04-15,Rolette,North Dakota,1,0,US
2020-04-16,Rolette,North Dakota,1,0,US
2020-04-17,Rolette,North Dakota,1,0,US
2020-04-18,Rolette,North Dakota,1,0,US
2020-04-19,Rolette,North Dakota,1,0,US
2020-04-20,Rolette,North Dakota,1,0,US
2020-04-21,Rolette,North Dakota,1,0,US
2020-04-22,Rolette,North Dakota,1,0,US
2020-04-23,Rolette,North Dakota,1,0,US
2020-04-24,Rolette,North Dakota,1,0,US
2020-04-25,Rolette,North Dakota,1,0,US
2020-04-26,Rolette,North Dakota,1,0,US
2020-04-27,Rolette,North Dakota,1,0,US
2020-04-28,Rolette,North Dakota,1,0,US
2020-04-29,Rolette,North Dakota,1,0,US
2020-04-30,Rolette,North Dakota,1,0,US
2020-05-01,Rolette,North Dakota,1,0,US
2020-05-02,Rolette,North Dakota,1,0,US
2020-05-03,Rolette,North Dakota,1,0,US
2020-05-04,Rolette,North Dakota,1,0,US
2020-05-05,Rolette,North Dakota,1,0,US
2020-05-06,Rolette,North Dakota,2,0,US
2020-05-07,Rolette,North Dakota,2,0,US
