Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Roosevelt,Montana,0,0,US
2020-01-23,Roosevelt,Montana,0,0,US
2020-01-24,Roosevelt,Montana,0,0,US
2020-01-25,Roosevelt,Montana,0,0,US
2020-01-26,Roosevelt,Montana,0,0,US
2020-01-27,Roosevelt,Montana,0,0,US
2020-01-28,Roosevelt,Montana,0,0,US
2020-01-29,Roosevelt,Montana,0,0,US
2020-01-30,Roosevelt,Montana,0,0,US
2020-01-31,Roosevelt,Montana,0,0,US
2020-02-01,Roosevelt,Montana,0,0,US
2020-02-02,Roosevelt,Montana,0,0,US
2020-02-03,Roosevelt,Montana,0,0,US
2020-02-04,Roosevelt,Montana,0,0,US
2020-02-05,Roosevelt,Montana,0,0,US
2020-02-06,Roosevelt,Montana,0,0,US
2020-02-07,Roosevelt,Montana,0,0,US
2020-02-08,Roosevelt,Montana,0,0,US
2020-02-09,Roosevelt,Montana,0,0,US
2020-02-10,Roosevelt,Montana,0,0,US
2020-02-11,Roosevelt,Montana,0,0,US
2020-02-12,Roosevelt,Montana,0,0,US
2020-02-13,Roosevelt,Montana,0,0,US
2020-02-14,Roosevelt,Montana,0,0,US
2020-02-15,Roosevelt,Montana,0,0,US
2020-02-16,Roosevelt,Montana,0,0,US
2020-02-17,Roosevelt,Montana,0,0,US
2020-02-18,Roosevelt,Montana,0,0,US
2020-02-19,Roosevelt,Montana,0,0,US
2020-02-20,Roosevelt,Montana,0,0,US
2020-02-21,Roosevelt,Montana,0,0,US
2020-02-22,Roosevelt,Montana,0,0,US
2020-02-23,Roosevelt,Montana,0,0,US
2020-02-24,Roosevelt,Montana,0,0,US
2020-02-25,Roosevelt,Montana,0,0,US
2020-02-26,Roosevelt,Montana,0,0,US
2020-02-27,Roosevelt,Montana,0,0,US
2020-02-28,Roosevelt,Montana,0,0,US
2020-02-29,Roosevelt,Montana,0,0,US
2020-03-01,Roosevelt,Montana,0,0,US
2020-03-02,Roosevelt,Montana,0,0,US
2020-03-03,Roosevelt,Montana,0,0,US
2020-03-04,Roosevelt,Montana,0,0,US
2020-03-05,Roosevelt,Montana,0,0,US
2020-03-06,Roosevelt,Montana,0,0,US
2020-03-07,Roosevelt,Montana,0,0,US
2020-03-08,Roosevelt,Montana,0,0,US
2020-03-09,Roosevelt,Montana,0,0,US
2020-03-10,Roosevelt,Montana,0,0,US
2020-03-11,Roosevelt,Montana,0,0,US
2020-03-12,Roosevelt,Montana,0,0,US
2020-03-13,Roosevelt,Montana,0,0,US
2020-03-14,Roosevelt,Montana,0,0,US
2020-03-15,Roosevelt,Montana,0,0,US
2020-03-16,Roosevelt,Montana,0,0,US
2020-03-17,Roosevelt,Montana,0,0,US
2020-03-18,Roosevelt,Montana,0,0,US
2020-03-19,Roosevelt,Montana,0,0,US
2020-03-20,Roosevelt,Montana,1,0,US
2020-03-21,Roosevelt,Montana,1,0,US
2020-03-22,Roosevelt,Montana,1,0,US
2020-03-23,Roosevelt,Montana,1,0,US
2020-03-24,Roosevelt,Montana,1,0,US
2020-03-25,Roosevelt,Montana,1,0,US
2020-03-26,Roosevelt,Montana,1,0,US
2020-03-27,Roosevelt,Montana,1,0,US
2020-03-28,Roosevelt,Montana,1,0,US
2020-03-29,Roosevelt,Montana,1,0,US
2020-03-30,Roosevelt,Montana,1,0,US
2020-03-31,Roosevelt,Montana,1,0,US
2020-04-01,Roosevelt,Montana,1,0,US
2020-04-02,Roosevelt,Montana,1,0,US
2020-04-03,Roosevelt,Montana,1,0,US
