Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Roseau,Minnesota,0,0,US
2020-01-23,Roseau,Minnesota,0,0,US
2020-01-24,Roseau,Minnesota,0,0,US
2020-01-25,Roseau,Minnesota,0,0,US
2020-01-26,Roseau,Minnesota,0,0,US
2020-01-27,Roseau,Minnesota,0,0,US
2020-01-28,Roseau,Minnesota,0,0,US
2020-01-29,Roseau,Minnesota,0,0,US
2020-01-30,Roseau,Minnesota,0,0,US
2020-01-31,Roseau,Minnesota,0,0,US
2020-02-01,Roseau,Minnesota,0,0,US
2020-02-02,Roseau,Minnesota,0,0,US
2020-02-03,Roseau,Minnesota,0,0,US
2020-02-04,Roseau,Minnesota,0,0,US
2020-02-05,Roseau,Minnesota,0,0,US
2020-02-06,Roseau,Minnesota,0,0,US
2020-02-07,Roseau,Minnesota,0,0,US
2020-02-08,Roseau,Minnesota,0,0,US
2020-02-09,Roseau,Minnesota,0,0,US
2020-02-10,Roseau,Minnesota,0,0,US
2020-02-11,Roseau,Minnesota,0,0,US
2020-02-12,Roseau,Minnesota,0,0,US
2020-02-13,Roseau,Minnesota,0,0,US
2020-02-14,Roseau,Minnesota,0,0,US
2020-02-15,Roseau,Minnesota,0,0,US
2020-02-16,Roseau,Minnesota,0,0,US
2020-02-17,Roseau,Minnesota,0,0,US
2020-02-18,Roseau,Minnesota,0,0,US
2020-02-19,Roseau,Minnesota,0,0,US
2020-02-20,Roseau,Minnesota,0,0,US
2020-02-21,Roseau,Minnesota,0,0,US
2020-02-22,Roseau,Minnesota,0,0,US
2020-02-23,Roseau,Minnesota,0,0,US
2020-02-24,Roseau,Minnesota,0,0,US
2020-02-25,Roseau,Minnesota,0,0,US
2020-02-26,Roseau,Minnesota,0,0,US
2020-02-27,Roseau,Minnesota,0,0,US
2020-02-28,Roseau,Minnesota,0,0,US
2020-02-29,Roseau,Minnesota,0,0,US
2020-03-01,Roseau,Minnesota,0,0,US
2020-03-02,Roseau,Minnesota,0,0,US
2020-03-03,Roseau,Minnesota,0,0,US
2020-03-04,Roseau,Minnesota,0,0,US
2020-03-05,Roseau,Minnesota,0,0,US
2020-03-06,Roseau,Minnesota,0,0,US
2020-03-07,Roseau,Minnesota,0,0,US
2020-03-08,Roseau,Minnesota,0,0,US
2020-03-09,Roseau,Minnesota,0,0,US
2020-03-10,Roseau,Minnesota,0,0,US
2020-03-11,Roseau,Minnesota,0,0,US
2020-03-12,Roseau,Minnesota,0,0,US
2020-03-13,Roseau,Minnesota,0,0,US
2020-03-14,Roseau,Minnesota,0,0,US
2020-03-15,Roseau,Minnesota,0,0,US
2020-03-16,Roseau,Minnesota,0,0,US
2020-03-17,Roseau,Minnesota,0,0,US
2020-03-18,Roseau,Minnesota,0,0,US
2020-03-19,Roseau,Minnesota,0,0,US
2020-03-20,Roseau,Minnesota,0,0,US
2020-03-21,Roseau,Minnesota,0,0,US
2020-03-22,Roseau,Minnesota,0,0,US
2020-03-23,Roseau,Minnesota,0,0,US
2020-03-24,Roseau,Minnesota,0,0,US
2020-03-25,Roseau,Minnesota,0,0,US
2020-03-26,Roseau,Minnesota,0,0,US
2020-03-27,Roseau,Minnesota,0,0,US
2020-03-28,Roseau,Minnesota,0,0,US
2020-03-29,Roseau,Minnesota,0,0,US
2020-03-30,Roseau,Minnesota,0,0,US
2020-03-31,Roseau,Minnesota,0,0,US
2020-04-01,Roseau,Minnesota,0,0,US
2020-04-02,Roseau,Minnesota,0,0,US
2020-04-03,Roseau,Minnesota,0,0,US
2020-04-04,Roseau,Minnesota,0,0,US
2020-04-05,Roseau,Minnesota,0,0,US
2020-04-06,Roseau,Minnesota,0,0,US
2020-04-07,Roseau,Minnesota,0,0,US
2020-04-08,Roseau,Minnesota,1,0,US
2020-04-09,Roseau,Minnesota,1,0,US
2020-04-10,Roseau,Minnesota,1,0,US
2020-04-11,Roseau,Minnesota,1,0,US
2020-04-12,Roseau,Minnesota,1,0,US
2020-04-13,Roseau,Minnesota,1,0,US
2020-04-14,Roseau,Minnesota,1,0,US
2020-04-15,Roseau,Minnesota,1,0,US
2020-04-16,Roseau,Minnesota,1,0,US
2020-04-17,Roseau,Minnesota,1,0,US
2020-04-18,Roseau,Minnesota,1,0,US
2020-04-19,Roseau,Minnesota,1,0,US
2020-04-20,Roseau,Minnesota,1,0,US
2020-04-21,Roseau,Minnesota,1,0,US
2020-04-22,Roseau,Minnesota,1,0,US
2020-04-23,Roseau,Minnesota,1,0,US
2020-04-24,Roseau,Minnesota,1,0,US
2020-04-25,Roseau,Minnesota,1,0,US
2020-04-26,Roseau,Minnesota,1,0,US
2020-04-27,Roseau,Minnesota,1,0,US
2020-04-28,Roseau,Minnesota,1,0,US
2020-04-29,Roseau,Minnesota,1,0,US
2020-04-30,Roseau,Minnesota,1,0,US
2020-05-01,Roseau,Minnesota,1,0,US
2020-05-02,Roseau,Minnesota,1,0,US
2020-05-03,Roseau,Minnesota,1,0,US
2020-05-04,Roseau,Minnesota,1,0,US
2020-05-05,Roseau,Minnesota,1,0,US
2020-05-06,Roseau,Minnesota,1,0,US
2020-05-07,Roseau,Minnesota,1,0,US
2020-05-08,Roseau,Minnesota,1,0,US
2020-05-09,Roseau,Minnesota,1,0,US
2020-05-10,Roseau,Minnesota,1,0,US
2020-05-11,Roseau,Minnesota,1,0,US
2020-05-12,Roseau,Minnesota,1,0,US
2020-05-13,Roseau,Minnesota,1,0,US
2020-05-14,Roseau,Minnesota,1,0,US
2020-05-15,Roseau,Minnesota,1,0,US
2020-05-16,Roseau,Minnesota,1,0,US
2020-05-17,Roseau,Minnesota,1,0,US
2020-05-18,Roseau,Minnesota,1,0,US
2020-05-19,Roseau,Minnesota,1,0,US
2020-05-20,Roseau,Minnesota,1,0,US
2020-05-21,Roseau,Minnesota,1,0,US
2020-05-22,Roseau,Minnesota,1,0,US
2020-05-23,Roseau,Minnesota,1,0,US
2020-05-24,Roseau,Minnesota,1,0,US
2020-05-25,Roseau,Minnesota,1,0,US
2020-05-26,Roseau,Minnesota,1,0,US
2020-05-27,Roseau,Minnesota,1,0,US
2020-05-28,Roseau,Minnesota,2,0,US
2020-05-29,Roseau,Minnesota,2,0,US
2020-05-30,Roseau,Minnesota,3,0,US
2020-05-31,Roseau,Minnesota,2,0,US
2020-06-01,Roseau,Minnesota,2,0,US
2020-06-02,Roseau,Minnesota,2,0,US
2020-06-03,Roseau,Minnesota,3,0,US
2020-06-04,Roseau,Minnesota,3,0,US
2020-06-05,Roseau,Minnesota,3,0,US
2020-06-06,Roseau,Minnesota,3,0,US
2020-06-07,Roseau,Minnesota,4,0,US
2020-06-08,Roseau,Minnesota,5,0,US
2020-06-09,Roseau,Minnesota,5,0,US
2020-06-10,Roseau,Minnesota,5,0,US
2020-06-11,Roseau,Minnesota,6,0,US
2020-06-12,Roseau,Minnesota,6,0,US
2020-06-13,Roseau,Minnesota,6,0,US
2020-06-14,Roseau,Minnesota,6,0,US
2020-06-15,Roseau,Minnesota,6,0,US
2020-06-16,Roseau,Minnesota,6,0,US
2020-06-17,Roseau,Minnesota,6,0,US
2020-06-18,Roseau,Minnesota,6,0,US
2020-06-19,Roseau,Minnesota,6,0,US
2020-06-20,Roseau,Minnesota,6,0,US
2020-06-21,Roseau,Minnesota,6,0,US
2020-06-22,Roseau,Minnesota,6,0,US
2020-06-23,Roseau,Minnesota,6,0,US
2020-06-24,Roseau,Minnesota,6,0,US
2020-06-25,Roseau,Minnesota,6,0,US
2020-06-26,Roseau,Minnesota,6,0,US
2020-06-27,Roseau,Minnesota,6,0,US
2020-06-28,Roseau,Minnesota,6,0,US
2020-06-29,Roseau,Minnesota,6,0,US
2020-06-30,Roseau,Minnesota,6,0,US
2020-07-01,Roseau,Minnesota,9,0,US
2020-07-02,Roseau,Minnesota,10,0,US
2020-07-03,Roseau,Minnesota,13,0,US
2020-07-04,Roseau,Minnesota,13,0,US
2020-07-05,Roseau,Minnesota,16,0,US
2020-07-06,Roseau,Minnesota,16,0,US
2020-07-07,Roseau,Minnesota,17,0,US
2020-07-08,Roseau,Minnesota,17,0,US
2020-07-09,Roseau,Minnesota,19,0,US
2020-07-10,Roseau,Minnesota,21,0,US
2020-07-11,Roseau,Minnesota,25,0,US
2020-07-12,Roseau,Minnesota,28,0,US
2020-07-13,Roseau,Minnesota,28,0,US
2020-07-14,Roseau,Minnesota,30,0,US
2020-07-15,Roseau,Minnesota,29,0,US
2020-07-16,Roseau,Minnesota,30,0,US
2020-07-17,Roseau,Minnesota,31,0,US
2020-07-18,Roseau,Minnesota,30,0,US
2020-07-19,Roseau,Minnesota,31,0,US
2020-07-20,Roseau,Minnesota,32,0,US
2020-07-21,Roseau,Minnesota,32,0,US
2020-07-22,Roseau,Minnesota,34,0,US
2020-07-23,Roseau,Minnesota,34,0,US
2020-07-24,Roseau,Minnesota,34,0,US
2020-07-25,Roseau,Minnesota,34,0,US
2020-07-26,Roseau,Minnesota,41,0,US
2020-07-27,Roseau,Minnesota,41,0,US
2020-07-28,Roseau,Minnesota,41,0,US
2020-07-29,Roseau,Minnesota,41,0,US
2020-07-30,Roseau,Minnesota,42,0,US
2020-07-31,Roseau,Minnesota,42,0,US
2020-08-01,Roseau,Minnesota,42,0,US
2020-08-02,Roseau,Minnesota,45,0,US
2020-08-03,Roseau,Minnesota,46,0,US
2020-08-04,Roseau,Minnesota,46,0,US
2020-08-05,Roseau,Minnesota,46,0,US
2020-08-06,Roseau,Minnesota,46,0,US
2020-08-07,Roseau,Minnesota,47,0,US
2020-08-08,Roseau,Minnesota,47,0,US
2020-08-09,Roseau,Minnesota,52,0,US
2020-08-10,Roseau,Minnesota,52,0,US
2020-08-11,Roseau,Minnesota,52,0,US
2020-08-12,Roseau,Minnesota,53,0,US
2020-08-13,Roseau,Minnesota,53,0,US
2020-08-14,Roseau,Minnesota,53,0,US
2020-08-15,Roseau,Minnesota,54,0,US
2020-08-16,Roseau,Minnesota,56,0,US
2020-08-17,Roseau,Minnesota,56,0,US
2020-08-18,Roseau,Minnesota,57,0,US
2020-08-19,Roseau,Minnesota,57,0,US
2020-08-20,Roseau,Minnesota,58,0,US
2020-08-21,Roseau,Minnesota,58,0,US
2020-08-22,Roseau,Minnesota,63,0,US
2020-08-23,Roseau,Minnesota,63,0,US
2020-08-24,Roseau,Minnesota,64,0,US
2020-08-25,Roseau,Minnesota,64,0,US
2020-08-26,Roseau,Minnesota,64,0,US
2020-08-27,Roseau,Minnesota,63,0,US
2020-08-28,Roseau,Minnesota,69,0,US
2020-08-29,Roseau,Minnesota,69,0,US
2020-08-30,Roseau,Minnesota,73,0,US
2020-08-31,Roseau,Minnesota,73,0,US
2020-09-01,Roseau,Minnesota,74,0,US
2020-09-02,Roseau,Minnesota,73,0,US
2020-09-03,Roseau,Minnesota,74,0,US
2020-09-04,Roseau,Minnesota,76,0,US
2020-09-05,Roseau,Minnesota,77,0,US
2020-09-06,Roseau,Minnesota,84,0,US
2020-09-07,Roseau,Minnesota,89,0,US
2020-09-08,Roseau,Minnesota,92,0,US
2020-09-09,Roseau,Minnesota,92,0,US
2020-09-10,Roseau,Minnesota,92,0,US
2020-09-11,Roseau,Minnesota,95,0,US
2020-09-12,Roseau,Minnesota,102,0,US
2020-09-13,Roseau,Minnesota,104,0,US
2020-09-14,Roseau,Minnesota,104,0,US
2020-09-15,Roseau,Minnesota,104,0,US
2020-09-16,Roseau,Minnesota,104,0,US
2020-09-17,Roseau,Minnesota,105,0,US
2020-09-18,Roseau,Minnesota,109,0,US
