Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Sabine,Louisiana,0,0,US
2020-01-23,Sabine,Louisiana,0,0,US
2020-01-24,Sabine,Louisiana,0,0,US
2020-01-25,Sabine,Louisiana,0,0,US
2020-01-26,Sabine,Louisiana,0,0,US
2020-01-27,Sabine,Louisiana,0,0,US
2020-01-28,Sabine,Louisiana,0,0,US
2020-01-29,Sabine,Louisiana,0,0,US
2020-01-30,Sabine,Louisiana,0,0,US
2020-01-31,Sabine,Louisiana,0,0,US
2020-02-01,Sabine,Louisiana,0,0,US
2020-02-02,Sabine,Louisiana,0,0,US
2020-02-03,Sabine,Louisiana,0,0,US
2020-02-04,Sabine,Louisiana,0,0,US
2020-02-05,Sabine,Louisiana,0,0,US
2020-02-06,Sabine,Louisiana,0,0,US
2020-02-07,Sabine,Louisiana,0,0,US
2020-02-08,Sabine,Louisiana,0,0,US
2020-02-09,Sabine,Louisiana,0,0,US
2020-02-10,Sabine,Louisiana,0,0,US
2020-02-11,Sabine,Louisiana,0,0,US
2020-02-12,Sabine,Louisiana,0,0,US
2020-02-13,Sabine,Louisiana,0,0,US
2020-02-14,Sabine,Louisiana,0,0,US
2020-02-15,Sabine,Louisiana,0,0,US
2020-02-16,Sabine,Louisiana,0,0,US
2020-02-17,Sabine,Louisiana,0,0,US
2020-02-18,Sabine,Louisiana,0,0,US
2020-02-19,Sabine,Louisiana,0,0,US
2020-02-20,Sabine,Louisiana,0,0,US
2020-02-21,Sabine,Louisiana,0,0,US
2020-02-22,Sabine,Louisiana,0,0,US
2020-02-23,Sabine,Louisiana,0,0,US
2020-02-24,Sabine,Louisiana,0,0,US
2020-02-25,Sabine,Louisiana,0,0,US
2020-02-26,Sabine,Louisiana,0,0,US
2020-02-27,Sabine,Louisiana,0,0,US
2020-02-28,Sabine,Louisiana,0,0,US
2020-02-29,Sabine,Louisiana,0,0,US
2020-03-01,Sabine,Louisiana,0,0,US
2020-03-02,Sabine,Louisiana,0,0,US
2020-03-03,Sabine,Louisiana,0,0,US
2020-03-04,Sabine,Louisiana,0,0,US
2020-03-05,Sabine,Louisiana,0,0,US
2020-03-06,Sabine,Louisiana,0,0,US
2020-03-07,Sabine,Louisiana,0,0,US
2020-03-08,Sabine,Louisiana,0,0,US
2020-03-09,Sabine,Louisiana,0,0,US
2020-03-10,Sabine,Louisiana,0,0,US
2020-03-11,Sabine,Louisiana,0,0,US
2020-03-12,Sabine,Louisiana,0,0,US
2020-03-13,Sabine,Louisiana,0,0,US
2020-03-14,Sabine,Louisiana,0,0,US
2020-03-15,Sabine,Louisiana,0,0,US
2020-03-16,Sabine,Louisiana,0,0,US
2020-03-17,Sabine,Louisiana,0,0,US
2020-03-18,Sabine,Louisiana,0,0,US
2020-03-19,Sabine,Louisiana,0,0,US
2020-03-20,Sabine,Louisiana,0,0,US
2020-03-21,Sabine,Louisiana,0,0,US
2020-03-22,Sabine,Louisiana,0,0,US
2020-03-23,Sabine,Louisiana,0,0,US
2020-03-24,Sabine,Louisiana,0,0,US
2020-03-25,Sabine,Louisiana,0,0,US
2020-03-26,Sabine,Louisiana,0,0,US
2020-03-27,Sabine,Louisiana,0,0,US
2020-03-28,Sabine,Louisiana,0,0,US
2020-03-29,Sabine,Louisiana,1,0,US
2020-03-30,Sabine,Louisiana,1,0,US
2020-03-31,Sabine,Louisiana,2,0,US
2020-04-01,Sabine,Louisiana,3,0,US
2020-04-02,Sabine,Louisiana,4,0,US
2020-04-03,Sabine,Louisiana,4,0,US
2020-04-04,Sabine,Louisiana,4,0,US
2020-04-05,Sabine,Louisiana,5,0,US
2020-04-06,Sabine,Louisiana,7,0,US
2020-04-07,Sabine,Louisiana,7,0,US
2020-04-08,Sabine,Louisiana,7,0,US
2020-04-09,Sabine,Louisiana,8,0,US
2020-04-10,Sabine,Louisiana,8,0,US
2020-04-11,Sabine,Louisiana,8,0,US
2020-04-12,Sabine,Louisiana,9,0,US
2020-04-13,Sabine,Louisiana,9,0,US
2020-04-14,Sabine,Louisiana,10,0,US
2020-04-15,Sabine,Louisiana,10,0,US
2020-04-16,Sabine,Louisiana,11,0,US
2020-04-17,Sabine,Louisiana,13,0,US
2020-04-18,Sabine,Louisiana,13,0,US
2020-04-19,Sabine,Louisiana,13,0,US
2020-04-20,Sabine,Louisiana,13,0,US
2020-04-21,Sabine,Louisiana,14,0,US
2020-04-22,Sabine,Louisiana,14,0,US
2020-04-23,Sabine,Louisiana,13,0,US
2020-04-24,Sabine,Louisiana,13,0,US
2020-04-25,Sabine,Louisiana,13,0,US
2020-04-26,Sabine,Louisiana,13,0,US
2020-04-27,Sabine,Louisiana,13,0,US
2020-04-28,Sabine,Louisiana,16,1,US
2020-04-29,Sabine,Louisiana,16,1,US
2020-04-30,Sabine,Louisiana,17,1,US
2020-05-01,Sabine,Louisiana,17,1,US
2020-05-02,Sabine,Louisiana,17,1,US
2020-05-03,Sabine,Louisiana,17,1,US
2020-05-04,Sabine,Louisiana,17,1,US
2020-05-05,Sabine,Louisiana,17,1,US
2020-05-06,Sabine,Louisiana,17,1,US
2020-05-07,Sabine,Louisiana,17,1,US
2020-05-08,Sabine,Louisiana,17,1,US
2020-05-09,Sabine,Louisiana,17,1,US
2020-05-10,Sabine,Louisiana,17,1,US
2020-05-11,Sabine,Louisiana,19,1,US
2020-05-12,Sabine,Louisiana,19,1,US
2020-05-13,Sabine,Louisiana,28,0,US
2020-05-14,Sabine,Louisiana,29,0,US
2020-05-15,Sabine,Louisiana,29,0,US
2020-05-16,Sabine,Louisiana,29,0,US
2020-05-17,Sabine,Louisiana,29,0,US
2020-05-18,Sabine,Louisiana,29,0,US
2020-05-19,Sabine,Louisiana,30,0,US
2020-05-20,Sabine,Louisiana,31,0,US
2020-05-21,Sabine,Louisiana,39,0,US
2020-05-22,Sabine,Louisiana,39,0,US
2020-05-23,Sabine,Louisiana,39,0,US
2020-05-24,Sabine,Louisiana,40,0,US
2020-05-25,Sabine,Louisiana,40,0,US
2020-05-26,Sabine,Louisiana,40,0,US
2020-05-27,Sabine,Louisiana,41,0,US
2020-05-28,Sabine,Louisiana,41,0,US
2020-05-29,Sabine,Louisiana,41,0,US
2020-05-30,Sabine,Louisiana,46,0,US
2020-05-31,Sabine,Louisiana,46,0,US
2020-06-01,Sabine,Louisiana,47,0,US
2020-06-02,Sabine,Louisiana,47,0,US
2020-06-03,Sabine,Louisiana,49,0,US
2020-06-04,Sabine,Louisiana,50,0,US
2020-06-05,Sabine,Louisiana,50,0,US
2020-06-06,Sabine,Louisiana,51,0,US
2020-06-07,Sabine,Louisiana,51,0,US
2020-06-08,Sabine,Louisiana,51,0,US
2020-06-09,Sabine,Louisiana,52,0,US
2020-06-10,Sabine,Louisiana,53,0,US
2020-06-11,Sabine,Louisiana,53,0,US
2020-06-12,Sabine,Louisiana,53,0,US
2020-06-13,Sabine,Louisiana,59,1,US
2020-06-14,Sabine,Louisiana,59,1,US
2020-06-15,Sabine,Louisiana,59,1,US
2020-06-16,Sabine,Louisiana,62,1,US
2020-06-17,Sabine,Louisiana,63,1,US
2020-06-18,Sabine,Louisiana,63,1,US
2020-06-19,Sabine,Louisiana,63,1,US
2020-06-20,Sabine,Louisiana,60,1,US
2020-06-21,Sabine,Louisiana,61,1,US
2020-06-22,Sabine,Louisiana,61,1,US
2020-06-23,Sabine,Louisiana,66,1,US
2020-06-24,Sabine,Louisiana,66,1,US
2020-06-25,Sabine,Louisiana,67,1,US
2020-06-26,Sabine,Louisiana,76,1,US
2020-06-27,Sabine,Louisiana,76,1,US
2020-06-28,Sabine,Louisiana,77,1,US
2020-06-29,Sabine,Louisiana,77,1,US
2020-06-30,Sabine,Louisiana,82,1,US
2020-07-01,Sabine,Louisiana,89,1,US
2020-07-02,Sabine,Louisiana,90,1,US
2020-07-03,Sabine,Louisiana,94,1,US
2020-07-04,Sabine,Louisiana,94,1,US
2020-07-05,Sabine,Louisiana,98,1,US
2020-07-06,Sabine,Louisiana,99,1,US
2020-07-07,Sabine,Louisiana,120,1,US
2020-07-08,Sabine,Louisiana,130,1,US
2020-07-09,Sabine,Louisiana,157,1,US
2020-07-10,Sabine,Louisiana,181,1,US
2020-07-11,Sabine,Louisiana,194,1,US
2020-07-12,Sabine,Louisiana,210,1,US
2020-07-13,Sabine,Louisiana,220,1,US
2020-07-14,Sabine,Louisiana,236,1,US
2020-07-15,Sabine,Louisiana,242,1,US
2020-07-16,Sabine,Louisiana,261,1,US
2020-07-17,Sabine,Louisiana,274,3,US
2020-07-18,Sabine,Louisiana,274,3,US
2020-07-19,Sabine,Louisiana,304,3,US
2020-07-20,Sabine,Louisiana,379,3,US
2020-07-21,Sabine,Louisiana,388,3,US
2020-07-22,Sabine,Louisiana,417,4,US
2020-07-23,Sabine,Louisiana,426,4,US
2020-07-24,Sabine,Louisiana,432,4,US
2020-07-25,Sabine,Louisiana,432,4,US
2020-07-26,Sabine,Louisiana,463,5,US
2020-07-27,Sabine,Louisiana,469,6,US
2020-07-28,Sabine,Louisiana,474,6,US
2020-07-29,Sabine,Louisiana,497,7,US
2020-07-30,Sabine,Louisiana,506,7,US
2020-07-31,Sabine,Louisiana,518,7,US
2020-08-01,Sabine,Louisiana,518,7,US
2020-08-02,Sabine,Louisiana,534,9,US
2020-08-03,Sabine,Louisiana,535,10,US
2020-08-04,Sabine,Louisiana,585,10,US
2020-08-05,Sabine,Louisiana,605,10,US
2020-08-06,Sabine,Louisiana,611,10,US
2020-08-07,Sabine,Louisiana,622,10,US
2020-08-08,Sabine,Louisiana,622,10,US
2020-08-09,Sabine,Louisiana,645,10,US
2020-08-10,Sabine,Louisiana,647,10,US
2020-08-11,Sabine,Louisiana,658,11,US
2020-08-12,Sabine,Louisiana,664,11,US
2020-08-13,Sabine,Louisiana,671,11,US
2020-08-14,Sabine,Louisiana,682,11,US
2020-08-15,Sabine,Louisiana,682,11,US
2020-08-16,Sabine,Louisiana,699,11,US
2020-08-17,Sabine,Louisiana,705,11,US
2020-08-18,Sabine,Louisiana,703,12,US
2020-08-19,Sabine,Louisiana,708,12,US
2020-08-20,Sabine,Louisiana,706,13,US
2020-08-21,Sabine,Louisiana,709,13,US
2020-08-22,Sabine,Louisiana,709,13,US
2020-08-23,Sabine,Louisiana,711,13,US
2020-08-24,Sabine,Louisiana,712,13,US
2020-08-25,Sabine,Louisiana,735,13,US
2020-08-26,Sabine,Louisiana,736,13,US
2020-08-27,Sabine,Louisiana,735,13,US
2020-08-28,Sabine,Louisiana,735,13,US
2020-08-29,Sabine,Louisiana,735,13,US
2020-08-30,Sabine,Louisiana,742,13,US
2020-08-31,Sabine,Louisiana,743,13,US
2020-09-01,Sabine,Louisiana,750,13,US
2020-09-02,Sabine,Louisiana,758,13,US
2020-09-03,Sabine,Louisiana,765,13,US
2020-09-04,Sabine,Louisiana,769,13,US
2020-09-05,Sabine,Louisiana,769,13,US
2020-09-06,Sabine,Louisiana,775,13,US
2020-09-07,Sabine,Louisiana,774,13,US
2020-09-08,Sabine,Louisiana,778,13,US
2020-09-09,Sabine,Louisiana,792,13,US
2020-09-10,Sabine,Louisiana,795,14,US
2020-09-11,Sabine,Louisiana,798,14,US
2020-09-12,Sabine,Louisiana,798,14,US
2020-09-13,Sabine,Louisiana,809,13,US
2020-09-14,Sabine,Louisiana,809,13,US
2020-09-15,Sabine,Louisiana,810,13,US
2020-09-16,Sabine,Louisiana,818,13,US
2020-09-17,Sabine,Louisiana,824,13,US
2020-09-18,Sabine,Louisiana,825,13,US
2020-09-19,Sabine,Louisiana,825,13,US
2020-09-20,Sabine,Louisiana,835,13,US
2020-09-21,Sabine,Louisiana,835,13,US
2020-09-22,Sabine,Louisiana,839,13,US
2020-09-23,Sabine,Louisiana,840,13,US
2020-09-24,Sabine,Louisiana,847,13,US
2020-09-25,Sabine,Louisiana,848,13,US
2020-09-26,Sabine,Louisiana,848,13,US
2020-09-27,Sabine,Louisiana,857,13,US
2020-09-28,Sabine,Louisiana,857,13,US
2020-09-29,Sabine,Louisiana,858,13,US
2020-09-30,Sabine,Louisiana,866,14,US
2020-10-01,Sabine,Louisiana,871,14,US
2020-10-02,Sabine,Louisiana,879,14,US
2020-10-03,Sabine,Louisiana,879,14,US
2020-10-04,Sabine,Louisiana,893,14,US
2020-10-05,Sabine,Louisiana,895,14,US
2020-10-06,Sabine,Louisiana,899,14,US
2020-10-07,Sabine,Louisiana,898,14,US
2020-10-08,Sabine,Louisiana,899,14,US
2020-10-09,Sabine,Louisiana,900,14,US
2020-10-10,Sabine,Louisiana,900,14,US
2020-10-11,Sabine,Louisiana,915,14,US
2020-10-12,Sabine,Louisiana,917,14,US
2020-10-13,Sabine,Louisiana,919,14,US
2020-10-14,Sabine,Louisiana,926,14,US
2020-10-15,Sabine,Louisiana,937,14,US
2020-10-16,Sabine,Louisiana,942,14,US
2020-10-17,Sabine,Louisiana,942,14,US
2020-10-18,Sabine,Louisiana,943,14,US
2020-10-19,Sabine,Louisiana,945,14,US
2020-10-20,Sabine,Louisiana,957,14,US
2020-10-21,Sabine,Louisiana,960,14,US
2020-10-22,Sabine,Louisiana,972,14,US
2020-10-23,Sabine,Louisiana,976,15,US
2020-10-24,Sabine,Louisiana,976,15,US
2020-10-25,Sabine,Louisiana,986,15,US
2020-10-26,Sabine,Louisiana,984,15,US
2020-10-27,Sabine,Louisiana,993,15,US
2020-10-28,Sabine,Louisiana,1001,15,US
2020-10-29,Sabine,Louisiana,1004,15,US
2020-10-30,Sabine,Louisiana,1005,15,US
2020-10-31,Sabine,Louisiana,1005,15,US
2020-11-01,Sabine,Louisiana,1015,15,US
2020-11-02,Sabine,Louisiana,1020,15,US
2020-11-03,Sabine,Louisiana,1035,15,US
2020-11-04,Sabine,Louisiana,1041,15,US
2020-11-05,Sabine,Louisiana,1044,15,US
2020-11-06,Sabine,Louisiana,1053,16,US
2020-11-07,Sabine,Louisiana,1053,16,US
2020-11-08,Sabine,Louisiana,1063,16,US
2020-11-09,Sabine,Louisiana,1068,16,US
2020-11-10,Sabine,Louisiana,1087,16,US
2020-11-11,Sabine,Louisiana,1087,16,US
2020-11-12,Sabine,Louisiana,1105,16,US
2020-11-13,Sabine,Louisiana,1121,17,US
2020-11-14,Sabine,Louisiana,1121,17,US
2020-11-15,Sabine,Louisiana,1134,18,US
2020-11-16,Sabine,Louisiana,1232,18,US
2020-11-17,Sabine,Louisiana,1249,18,US
2020-11-18,Sabine,Louisiana,1276,19,US
2020-11-19,Sabine,Louisiana,1289,19,US
2020-11-20,Sabine,Louisiana,1320,19,US
2020-11-21,Sabine,Louisiana,1320,19,US
2020-11-22,Sabine,Louisiana,1347,19,US
2020-11-23,Sabine,Louisiana,1353,19,US
2020-11-24,Sabine,Louisiana,1378,19,US
2020-11-25,Sabine,Louisiana,1393,20,US
2020-11-26,Sabine,Louisiana,1393,20,US
2020-11-27,Sabine,Louisiana,1451,21,US
2020-11-28,Sabine,Louisiana,1451,21,US
2020-11-29,Sabine,Louisiana,1458,21,US
2020-11-30,Sabine,Louisiana,1459,21,US
2020-12-01,Sabine,Louisiana,1522,21,US
2020-12-02,Sabine,Louisiana,1557,21,US
2020-12-03,Sabine,Louisiana,1600,21,US
2020-12-04,Sabine,Louisiana,1619,21,US
2020-12-05,Sabine,Louisiana,1619,21,US
2020-12-06,Sabine,Louisiana,1664,24,US
2020-12-07,Sabine,Louisiana,1662,28,US
2020-12-08,Sabine,Louisiana,1680,29,US
2020-12-09,Sabine,Louisiana,1709,31,US
2020-12-10,Sabine,Louisiana,1734,32,US
2020-12-11,Sabine,Louisiana,1759,33,US
2020-12-12,Sabine,Louisiana,1759,33,US
2020-12-13,Sabine,Louisiana,1794,36,US
2020-12-14,Sabine,Louisiana,1800,36,US
2020-12-15,Sabine,Louisiana,1833,38,US
2020-12-16,Sabine,Louisiana,1853,38,US
2020-12-17,Sabine,Louisiana,1863,38,US
2020-12-18,Sabine,Louisiana,1881,38,US
2020-12-19,Sabine,Louisiana,1881,38,US
2020-12-20,Sabine,Louisiana,1907,40,US
2020-12-21,Sabine,Louisiana,1907,41,US
2020-12-22,Sabine,Louisiana,1932,41,US
2020-12-23,Sabine,Louisiana,1948,41,US
2020-12-24,Sabine,Louisiana,1964,41,US
2020-12-25,Sabine,Louisiana,1964,41,US
2020-12-26,Sabine,Louisiana,1964,41,US
2020-12-27,Sabine,Louisiana,1973,41,US
2020-12-28,Sabine,Louisiana,1975,42,US
2020-12-29,Sabine,Louisiana,1984,43,US
2020-12-30,Sabine,Louisiana,2031,43,US
2020-12-31,Sabine,Louisiana,2064,44,US
2021-01-01,Sabine,Louisiana,2064,44,US
2021-01-02,Sabine,Louisiana,2064,44,US
2021-01-03,Sabine,Louisiana,2090,44,US
2021-01-04,Sabine,Louisiana,2095,44,US
2021-01-05,Sabine,Louisiana,2148,44,US
2021-01-06,Sabine,Louisiana,2187,45,US
2021-01-07,Sabine,Louisiana,2230,45,US
2021-01-08,Sabine,Louisiana,2242,45,US
2021-01-09,Sabine,Louisiana,2242,45,US
2021-01-10,Sabine,Louisiana,2279,45,US
2021-01-11,Sabine,Louisiana,2283,46,US
2021-01-12,Sabine,Louisiana,2306,47,US
2021-01-13,Sabine,Louisiana,2307,47,US
2021-01-14,Sabine,Louisiana,2331,47,US
2021-01-15,Sabine,Louisiana,2343,47,US
2021-01-16,Sabine,Louisiana,2343,47,US
2021-01-17,Sabine,Louisiana,2380,47,US
2021-01-18,Sabine,Louisiana,2376,47,US
2021-01-19,Sabine,Louisiana,2395,47,US
2021-01-20,Sabine,Louisiana,2418,48,US
2021-01-21,Sabine,Louisiana,2437,48,US
2021-01-22,Sabine,Louisiana,2455,48,US
2021-01-23,Sabine,Louisiana,2455,48,US
2021-01-24,Sabine,Louisiana,2483,48,US
2021-01-25,Sabine,Louisiana,2491,48,US
2021-01-26,Sabine,Louisiana,2509,48,US
2021-01-27,Sabine,Louisiana,2546,48,US
2021-01-28,Sabine,Louisiana,2557,48,US
2021-01-29,Sabine,Louisiana,2573,48,US
2021-01-30,Sabine,Louisiana,2573,48,US
2021-01-31,Sabine,Louisiana,2581,48,US
2021-02-01,Sabine,Louisiana,2591,48,US
2021-02-02,Sabine,Louisiana,2602,48,US
2021-02-03,Sabine,Louisiana,2622,48,US
2021-02-04,Sabine,Louisiana,2632,49,US
2021-02-05,Sabine,Louisiana,2635,49,US
2021-02-06,Sabine,Louisiana,2635,49,US
2021-02-07,Sabine,Louisiana,2672,49,US
2021-02-08,Sabine,Louisiana,2677,50,US
2021-02-09,Sabine,Louisiana,2684,50,US
2021-02-10,Sabine,Louisiana,2688,51,US
2021-02-11,Sabine,Louisiana,2710,51,US
2021-02-12,Sabine,Louisiana,2716,51,US
2021-02-13,Sabine,Louisiana,2716,51,US
2021-02-14,Sabine,Louisiana,2721,51,US
2021-02-15,Sabine,Louisiana,2724,51,US
2021-02-16,Sabine,Louisiana,2724,51,US
2021-02-17,Sabine,Louisiana,2736,52,US
2021-02-18,Sabine,Louisiana,2739,52,US
2021-02-19,Sabine,Louisiana,2736,52,US
2021-02-20,Sabine,Louisiana,2736,52,US
2021-02-21,Sabine,Louisiana,2740,52,US
2021-02-22,Sabine,Louisiana,2757,52,US
2021-02-23,Sabine,Louisiana,2756,52,US
2021-02-24,Sabine,Louisiana,2764,52,US
2021-02-25,Sabine,Louisiana,2769,52,US
2021-02-26,Sabine,Louisiana,2770,52,US
2021-02-27,Sabine,Louisiana,2770,52,US
2021-02-28,Sabine,Louisiana,2784,52,US
2021-03-01,Sabine,Louisiana,2782,52,US
2021-03-02,Sabine,Louisiana,2787,53,US
2021-03-03,Sabine,Louisiana,2785,54,US
2021-03-04,Sabine,Louisiana,2792,55,US
2021-03-05,Sabine,Louisiana,2789,55,US
2021-03-06,Sabine,Louisiana,2789,55,US
2021-03-07,Sabine,Louisiana,2795,55,US
2021-03-08,Sabine,Louisiana,2791,55,US
2021-03-09,Sabine,Louisiana,2796,55,US
