Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Santa Rosa,Florida,0,0,US
2020-01-23,Santa Rosa,Florida,0,0,US
2020-01-24,Santa Rosa,Florida,0,0,US
2020-01-25,Santa Rosa,Florida,0,0,US
2020-01-26,Santa Rosa,Florida,0,0,US
2020-01-27,Santa Rosa,Florida,0,0,US
2020-01-28,Santa Rosa,Florida,0,0,US
2020-01-29,Santa Rosa,Florida,0,0,US
2020-01-30,Santa Rosa,Florida,0,0,US
2020-01-31,Santa Rosa,Florida,0,0,US
2020-02-01,Santa Rosa,Florida,0,0,US
2020-02-02,Santa Rosa,Florida,0,0,US
2020-02-03,Santa Rosa,Florida,0,0,US
2020-02-04,Santa Rosa,Florida,0,0,US
2020-02-05,Santa Rosa,Florida,0,0,US
2020-02-06,Santa Rosa,Florida,0,0,US
2020-02-07,Santa Rosa,Florida,0,0,US
2020-02-08,Santa Rosa,Florida,0,0,US
2020-02-09,Santa Rosa,Florida,0,0,US
2020-02-10,Santa Rosa,Florida,0,0,US
2020-02-11,Santa Rosa,Florida,0,0,US
2020-02-12,Santa Rosa,Florida,0,0,US
2020-02-13,Santa Rosa,Florida,0,0,US
2020-02-14,Santa Rosa,Florida,0,0,US
2020-02-15,Santa Rosa,Florida,0,0,US
2020-02-16,Santa Rosa,Florida,0,0,US
2020-02-17,Santa Rosa,Florida,0,0,US
2020-02-18,Santa Rosa,Florida,0,0,US
2020-02-19,Santa Rosa,Florida,0,0,US
2020-02-20,Santa Rosa,Florida,0,0,US
2020-02-21,Santa Rosa,Florida,0,0,US
2020-02-22,Santa Rosa,Florida,0,0,US
2020-02-23,Santa Rosa,Florida,0,0,US
2020-02-24,Santa Rosa,Florida,0,0,US
2020-02-25,Santa Rosa,Florida,0,0,US
2020-02-26,Santa Rosa,Florida,0,0,US
2020-02-27,Santa Rosa,Florida,0,0,US
2020-02-28,Santa Rosa,Florida,0,0,US
2020-02-29,Santa Rosa,Florida,0,0,US
2020-03-01,Santa Rosa,Florida,0,0,US
2020-03-02,Santa Rosa,Florida,0,0,US
2020-03-03,Santa Rosa,Florida,0,0,US
2020-03-04,Santa Rosa,Florida,0,0,US
2020-03-05,Santa Rosa,Florida,1,0,US
2020-03-06,Santa Rosa,Florida,1,0,US
2020-03-07,Santa Rosa,Florida,1,0,US
2020-03-08,Santa Rosa,Florida,1,1,US
2020-03-09,Santa Rosa,Florida,1,1,US
2020-03-10,Santa Rosa,Florida,1,1,US
2020-03-11,Santa Rosa,Florida,1,1,US
2020-03-12,Santa Rosa,Florida,1,1,US
2020-03-13,Santa Rosa,Florida,1,1,US
2020-03-14,Santa Rosa,Florida,1,1,US
2020-03-15,Santa Rosa,Florida,1,1,US
2020-03-16,Santa Rosa,Florida,1,1,US
2020-03-17,Santa Rosa,Florida,1,1,US
2020-03-18,Santa Rosa,Florida,0,1,US
2020-03-19,Santa Rosa,Florida,2,1,US
2020-03-20,Santa Rosa,Florida,3,1,US
2020-03-21,Santa Rosa,Florida,3,1,US
2020-03-22,Santa Rosa,Florida,4,1,US
2020-03-23,Santa Rosa,Florida,4,1,US
2020-03-24,Santa Rosa,Florida,4,1,US
2020-03-25,Santa Rosa,Florida,7,1,US
2020-03-26,Santa Rosa,Florida,9,1,US
2020-03-27,Santa Rosa,Florida,11,1,US
2020-03-28,Santa Rosa,Florida,14,1,US
2020-03-29,Santa Rosa,Florida,20,1,US
2020-03-30,Santa Rosa,Florida,30,1,US
2020-03-31,Santa Rosa,Florida,44,2,US
2020-04-01,Santa Rosa,Florida,44,2,US
2020-04-02,Santa Rosa,Florida,47,2,US
2020-04-03,Santa Rosa,Florida,48,2,US
2020-04-04,Santa Rosa,Florida,50,2,US
2020-04-05,Santa Rosa,Florida,55,2,US
2020-04-06,Santa Rosa,Florida,58,2,US
2020-04-07,Santa Rosa,Florida,65,2,US
2020-04-08,Santa Rosa,Florida,69,2,US
2020-04-09,Santa Rosa,Florida,71,2,US
2020-04-10,Santa Rosa,Florida,103,2,US
2020-04-11,Santa Rosa,Florida,105,3,US
2020-04-12,Santa Rosa,Florida,109,4,US
2020-04-13,Santa Rosa,Florida,113,4,US
2020-04-14,Santa Rosa,Florida,114,4,US
2020-04-15,Santa Rosa,Florida,115,4,US
2020-04-16,Santa Rosa,Florida,118,5,US
2020-04-17,Santa Rosa,Florida,130,6,US
2020-04-18,Santa Rosa,Florida,133,6,US
2020-04-19,Santa Rosa,Florida,138,6,US
2020-04-20,Santa Rosa,Florida,140,6,US
2020-04-21,Santa Rosa,Florida,139,6,US
2020-04-22,Santa Rosa,Florida,144,6,US
2020-04-23,Santa Rosa,Florida,141,6,US
2020-04-24,Santa Rosa,Florida,143,6,US
2020-04-25,Santa Rosa,Florida,147,6,US
2020-04-26,Santa Rosa,Florida,149,6,US
2020-04-27,Santa Rosa,Florida,150,6,US
2020-04-28,Santa Rosa,Florida,151,7,US
2020-04-29,Santa Rosa,Florida,153,7,US
2020-04-30,Santa Rosa,Florida,154,7,US
2020-05-01,Santa Rosa,Florida,158,8,US
2020-05-02,Santa Rosa,Florida,157,8,US
