Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Sauk,Wisconsin,0,0,US
2020-01-23,Sauk,Wisconsin,0,0,US
2020-01-24,Sauk,Wisconsin,0,0,US
2020-01-25,Sauk,Wisconsin,0,0,US
2020-01-26,Sauk,Wisconsin,0,0,US
2020-01-27,Sauk,Wisconsin,0,0,US
2020-01-28,Sauk,Wisconsin,0,0,US
2020-01-29,Sauk,Wisconsin,0,0,US
2020-01-30,Sauk,Wisconsin,0,0,US
2020-01-31,Sauk,Wisconsin,0,0,US
2020-02-01,Sauk,Wisconsin,0,0,US
2020-02-02,Sauk,Wisconsin,0,0,US
2020-02-03,Sauk,Wisconsin,0,0,US
2020-02-04,Sauk,Wisconsin,0,0,US
2020-02-05,Sauk,Wisconsin,0,0,US
2020-02-06,Sauk,Wisconsin,0,0,US
2020-02-07,Sauk,Wisconsin,0,0,US
2020-02-08,Sauk,Wisconsin,0,0,US
2020-02-09,Sauk,Wisconsin,0,0,US
2020-02-10,Sauk,Wisconsin,0,0,US
2020-02-11,Sauk,Wisconsin,0,0,US
2020-02-12,Sauk,Wisconsin,0,0,US
2020-02-13,Sauk,Wisconsin,0,0,US
2020-02-14,Sauk,Wisconsin,0,0,US
2020-02-15,Sauk,Wisconsin,0,0,US
2020-02-16,Sauk,Wisconsin,0,0,US
2020-02-17,Sauk,Wisconsin,0,0,US
2020-02-18,Sauk,Wisconsin,0,0,US
2020-02-19,Sauk,Wisconsin,0,0,US
2020-02-20,Sauk,Wisconsin,0,0,US
2020-02-21,Sauk,Wisconsin,0,0,US
2020-02-22,Sauk,Wisconsin,0,0,US
2020-02-23,Sauk,Wisconsin,0,0,US
2020-02-24,Sauk,Wisconsin,0,0,US
2020-02-25,Sauk,Wisconsin,0,0,US
2020-02-26,Sauk,Wisconsin,0,0,US
2020-02-27,Sauk,Wisconsin,0,0,US
2020-02-28,Sauk,Wisconsin,0,0,US
2020-02-29,Sauk,Wisconsin,0,0,US
2020-03-01,Sauk,Wisconsin,0,0,US
2020-03-02,Sauk,Wisconsin,0,0,US
2020-03-03,Sauk,Wisconsin,0,0,US
2020-03-04,Sauk,Wisconsin,0,0,US
2020-03-05,Sauk,Wisconsin,0,0,US
2020-03-06,Sauk,Wisconsin,0,0,US
2020-03-07,Sauk,Wisconsin,0,0,US
2020-03-08,Sauk,Wisconsin,0,0,US
2020-03-09,Sauk,Wisconsin,0,0,US
2020-03-10,Sauk,Wisconsin,0,0,US
2020-03-11,Sauk,Wisconsin,0,0,US
2020-03-12,Sauk,Wisconsin,0,0,US
2020-03-13,Sauk,Wisconsin,0,0,US
2020-03-14,Sauk,Wisconsin,0,0,US
2020-03-15,Sauk,Wisconsin,0,0,US
2020-03-16,Sauk,Wisconsin,0,0,US
2020-03-17,Sauk,Wisconsin,0,0,US
2020-03-18,Sauk,Wisconsin,0,0,US
2020-03-19,Sauk,Wisconsin,1,0,US
2020-03-20,Sauk,Wisconsin,2,0,US
2020-03-21,Sauk,Wisconsin,2,0,US
2020-03-22,Sauk,Wisconsin,2,0,US
2020-03-23,Sauk,Wisconsin,3,0,US
2020-03-24,Sauk,Wisconsin,4,0,US
2020-03-25,Sauk,Wisconsin,6,0,US
2020-03-26,Sauk,Wisconsin,7,1,US
2020-03-27,Sauk,Wisconsin,8,1,US
2020-03-28,Sauk,Wisconsin,11,1,US
2020-03-29,Sauk,Wisconsin,12,2,US
2020-03-30,Sauk,Wisconsin,13,2,US
2020-03-31,Sauk,Wisconsin,13,2,US
2020-04-01,Sauk,Wisconsin,14,2,US
2020-04-02,Sauk,Wisconsin,16,2,US
2020-04-03,Sauk,Wisconsin,18,2,US
2020-04-04,Sauk,Wisconsin,18,2,US
2020-04-05,Sauk,Wisconsin,18,2,US
2020-04-06,Sauk,Wisconsin,18,2,US
2020-04-07,Sauk,Wisconsin,20,2,US
2020-04-08,Sauk,Wisconsin,20,2,US
2020-04-09,Sauk,Wisconsin,21,2,US
2020-04-10,Sauk,Wisconsin,25,2,US
2020-04-11,Sauk,Wisconsin,25,2,US
2020-04-12,Sauk,Wisconsin,26,2,US
2020-04-13,Sauk,Wisconsin,26,3,US
2020-04-14,Sauk,Wisconsin,28,3,US
2020-04-15,Sauk,Wisconsin,31,3,US
2020-04-16,Sauk,Wisconsin,31,3,US
2020-04-17,Sauk,Wisconsin,31,3,US
2020-04-18,Sauk,Wisconsin,32,3,US
2020-04-19,Sauk,Wisconsin,33,3,US
2020-04-20,Sauk,Wisconsin,34,3,US
2020-04-21,Sauk,Wisconsin,34,3,US
2020-04-22,Sauk,Wisconsin,36,3,US
2020-04-23,Sauk,Wisconsin,37,3,US
2020-04-24,Sauk,Wisconsin,38,3,US
2020-04-25,Sauk,Wisconsin,38,3,US
2020-04-26,Sauk,Wisconsin,40,3,US
2020-04-27,Sauk,Wisconsin,42,3,US
2020-04-28,Sauk,Wisconsin,44,3,US
2020-04-29,Sauk,Wisconsin,44,3,US
2020-04-30,Sauk,Wisconsin,45,3,US
2020-05-01,Sauk,Wisconsin,58,3,US
2020-05-02,Sauk,Wisconsin,64,3,US
2020-05-03,Sauk,Wisconsin,65,3,US
2020-05-04,Sauk,Wisconsin,66,3,US
2020-05-05,Sauk,Wisconsin,67,3,US
2020-05-06,Sauk,Wisconsin,70,3,US
2020-05-07,Sauk,Wisconsin,69,3,US
2020-05-08,Sauk,Wisconsin,69,3,US
2020-05-09,Sauk,Wisconsin,71,3,US
2020-05-10,Sauk,Wisconsin,71,3,US
2020-05-11,Sauk,Wisconsin,72,3,US
2020-05-12,Sauk,Wisconsin,73,3,US
2020-05-13,Sauk,Wisconsin,73,3,US
2020-05-14,Sauk,Wisconsin,74,3,US
2020-05-15,Sauk,Wisconsin,76,3,US
2020-05-16,Sauk,Wisconsin,77,3,US
2020-05-17,Sauk,Wisconsin,77,3,US
2020-05-18,Sauk,Wisconsin,77,3,US
2020-05-19,Sauk,Wisconsin,77,3,US
2020-05-20,Sauk,Wisconsin,77,3,US
2020-05-21,Sauk,Wisconsin,77,3,US
2020-05-22,Sauk,Wisconsin,77,3,US
2020-05-23,Sauk,Wisconsin,77,3,US
2020-05-24,Sauk,Wisconsin,77,3,US
2020-05-25,Sauk,Wisconsin,77,3,US
2020-05-26,Sauk,Wisconsin,77,3,US
2020-05-27,Sauk,Wisconsin,78,3,US
2020-05-28,Sauk,Wisconsin,78,3,US
2020-05-29,Sauk,Wisconsin,78,3,US
2020-05-30,Sauk,Wisconsin,78,3,US
2020-05-31,Sauk,Wisconsin,78,3,US
2020-06-01,Sauk,Wisconsin,78,3,US
2020-06-02,Sauk,Wisconsin,79,3,US
2020-06-03,Sauk,Wisconsin,81,3,US
2020-06-04,Sauk,Wisconsin,81,3,US
2020-06-05,Sauk,Wisconsin,81,3,US
2020-06-06,Sauk,Wisconsin,81,3,US
2020-06-07,Sauk,Wisconsin,83,3,US
2020-06-08,Sauk,Wisconsin,83,3,US
2020-06-09,Sauk,Wisconsin,84,3,US
2020-06-10,Sauk,Wisconsin,84,3,US
2020-06-11,Sauk,Wisconsin,84,3,US
2020-06-12,Sauk,Wisconsin,84,3,US
2020-06-13,Sauk,Wisconsin,86,3,US
2020-06-14,Sauk,Wisconsin,85,3,US
2020-06-15,Sauk,Wisconsin,85,3,US
2020-06-16,Sauk,Wisconsin,87,3,US
2020-06-17,Sauk,Wisconsin,87,3,US
2020-06-18,Sauk,Wisconsin,88,3,US
2020-06-19,Sauk,Wisconsin,90,3,US
2020-06-20,Sauk,Wisconsin,94,3,US
2020-06-21,Sauk,Wisconsin,96,3,US
2020-06-22,Sauk,Wisconsin,96,3,US
2020-06-23,Sauk,Wisconsin,97,3,US
2020-06-24,Sauk,Wisconsin,97,3,US
2020-06-25,Sauk,Wisconsin,98,3,US
2020-06-26,Sauk,Wisconsin,98,3,US
2020-06-27,Sauk,Wisconsin,100,3,US
2020-06-28,Sauk,Wisconsin,102,3,US
2020-06-29,Sauk,Wisconsin,105,3,US
2020-06-30,Sauk,Wisconsin,107,3,US
2020-07-01,Sauk,Wisconsin,108,3,US
2020-07-02,Sauk,Wisconsin,109,3,US
2020-07-03,Sauk,Wisconsin,117,3,US
2020-07-04,Sauk,Wisconsin,119,3,US
2020-07-05,Sauk,Wisconsin,123,3,US
2020-07-06,Sauk,Wisconsin,123,3,US
2020-07-07,Sauk,Wisconsin,123,3,US
2020-07-08,Sauk,Wisconsin,130,3,US
2020-07-09,Sauk,Wisconsin,137,3,US
2020-07-10,Sauk,Wisconsin,144,3,US
2020-07-11,Sauk,Wisconsin,147,3,US
2020-07-12,Sauk,Wisconsin,164,3,US
2020-07-13,Sauk,Wisconsin,169,3,US
2020-07-14,Sauk,Wisconsin,190,3,US
2020-07-15,Sauk,Wisconsin,191,3,US
2020-07-16,Sauk,Wisconsin,194,3,US
2020-07-17,Sauk,Wisconsin,201,3,US
2020-07-18,Sauk,Wisconsin,205,3,US
2020-07-19,Sauk,Wisconsin,218,3,US
2020-07-20,Sauk,Wisconsin,230,3,US
2020-07-21,Sauk,Wisconsin,232,3,US
2020-07-22,Sauk,Wisconsin,247,3,US
2020-07-23,Sauk,Wisconsin,253,3,US
2020-07-24,Sauk,Wisconsin,262,3,US
2020-07-25,Sauk,Wisconsin,273,3,US
2020-07-26,Sauk,Wisconsin,288,3,US
2020-07-27,Sauk,Wisconsin,293,3,US
2020-07-28,Sauk,Wisconsin,309,3,US
2020-07-29,Sauk,Wisconsin,319,3,US
2020-07-30,Sauk,Wisconsin,338,3,US
2020-07-31,Sauk,Wisconsin,347,3,US
2020-08-01,Sauk,Wisconsin,372,3,US
2020-08-02,Sauk,Wisconsin,386,3,US
2020-08-03,Sauk,Wisconsin,392,3,US
2020-08-04,Sauk,Wisconsin,405,3,US
2020-08-05,Sauk,Wisconsin,411,3,US
