Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Scurry,Texas,0,0,US
2020-01-23,Scurry,Texas,0,0,US
2020-01-24,Scurry,Texas,0,0,US
2020-01-25,Scurry,Texas,0,0,US
2020-01-26,Scurry,Texas,0,0,US
2020-01-27,Scurry,Texas,0,0,US
2020-01-28,Scurry,Texas,0,0,US
2020-01-29,Scurry,Texas,0,0,US
2020-01-30,Scurry,Texas,0,0,US
2020-01-31,Scurry,Texas,0,0,US
2020-02-01,Scurry,Texas,0,0,US
2020-02-02,Scurry,Texas,0,0,US
2020-02-03,Scurry,Texas,0,0,US
2020-02-04,Scurry,Texas,0,0,US
2020-02-05,Scurry,Texas,0,0,US
2020-02-06,Scurry,Texas,0,0,US
2020-02-07,Scurry,Texas,0,0,US
2020-02-08,Scurry,Texas,0,0,US
2020-02-09,Scurry,Texas,0,0,US
2020-02-10,Scurry,Texas,0,0,US
2020-02-11,Scurry,Texas,0,0,US
2020-02-12,Scurry,Texas,0,0,US
2020-02-13,Scurry,Texas,0,0,US
2020-02-14,Scurry,Texas,0,0,US
2020-02-15,Scurry,Texas,0,0,US
2020-02-16,Scurry,Texas,0,0,US
2020-02-17,Scurry,Texas,0,0,US
2020-02-18,Scurry,Texas,0,0,US
2020-02-19,Scurry,Texas,0,0,US
2020-02-20,Scurry,Texas,0,0,US
2020-02-21,Scurry,Texas,0,0,US
2020-02-22,Scurry,Texas,0,0,US
2020-02-23,Scurry,Texas,0,0,US
2020-02-24,Scurry,Texas,0,0,US
2020-02-25,Scurry,Texas,0,0,US
2020-02-26,Scurry,Texas,0,0,US
2020-02-27,Scurry,Texas,0,0,US
2020-02-28,Scurry,Texas,0,0,US
2020-02-29,Scurry,Texas,0,0,US
2020-03-01,Scurry,Texas,0,0,US
2020-03-02,Scurry,Texas,0,0,US
2020-03-03,Scurry,Texas,0,0,US
2020-03-04,Scurry,Texas,0,0,US
2020-03-05,Scurry,Texas,0,0,US
2020-03-06,Scurry,Texas,0,0,US
2020-03-07,Scurry,Texas,0,0,US
2020-03-08,Scurry,Texas,0,0,US
2020-03-09,Scurry,Texas,0,0,US
2020-03-10,Scurry,Texas,0,0,US
2020-03-11,Scurry,Texas,0,0,US
2020-03-12,Scurry,Texas,0,0,US
2020-03-13,Scurry,Texas,0,0,US
2020-03-14,Scurry,Texas,0,0,US
2020-03-15,Scurry,Texas,0,0,US
2020-03-16,Scurry,Texas,0,0,US
2020-03-17,Scurry,Texas,0,0,US
2020-03-18,Scurry,Texas,0,0,US
2020-03-19,Scurry,Texas,0,0,US
2020-03-20,Scurry,Texas,0,0,US
2020-03-21,Scurry,Texas,0,0,US
2020-03-22,Scurry,Texas,0,0,US
2020-03-23,Scurry,Texas,0,0,US
2020-03-24,Scurry,Texas,0,0,US
2020-03-25,Scurry,Texas,0,0,US
2020-03-26,Scurry,Texas,0,0,US
2020-03-27,Scurry,Texas,0,0,US
2020-03-28,Scurry,Texas,0,0,US
2020-03-29,Scurry,Texas,0,0,US
2020-03-30,Scurry,Texas,0,0,US
2020-03-31,Scurry,Texas,0,0,US
2020-04-01,Scurry,Texas,0,0,US
2020-04-02,Scurry,Texas,0,0,US
2020-04-03,Scurry,Texas,0,0,US
2020-04-04,Scurry,Texas,0,0,US
2020-04-05,Scurry,Texas,0,0,US
2020-04-06,Scurry,Texas,0,0,US
2020-04-07,Scurry,Texas,0,0,US
2020-04-08,Scurry,Texas,1,0,US
2020-04-09,Scurry,Texas,1,0,US
2020-04-10,Scurry,Texas,1,0,US
2020-04-11,Scurry,Texas,1,0,US
2020-04-12,Scurry,Texas,1,0,US
2020-04-13,Scurry,Texas,1,0,US
2020-04-14,Scurry,Texas,1,0,US
2020-04-15,Scurry,Texas,1,0,US
2020-04-16,Scurry,Texas,1,0,US
2020-04-17,Scurry,Texas,1,0,US
2020-04-18,Scurry,Texas,1,0,US
2020-04-19,Scurry,Texas,1,0,US
2020-04-20,Scurry,Texas,1,0,US
2020-04-21,Scurry,Texas,1,0,US
2020-04-22,Scurry,Texas,1,0,US
2020-04-23,Scurry,Texas,1,0,US
2020-04-24,Scurry,Texas,1,0,US
2020-04-25,Scurry,Texas,1,0,US
2020-04-26,Scurry,Texas,1,0,US
2020-04-27,Scurry,Texas,1,0,US
2020-04-28,Scurry,Texas,1,0,US
2020-04-29,Scurry,Texas,1,0,US
2020-04-30,Scurry,Texas,1,0,US
2020-05-01,Scurry,Texas,1,0,US
2020-05-02,Scurry,Texas,1,0,US
2020-05-03,Scurry,Texas,1,0,US
2020-05-04,Scurry,Texas,1,0,US
2020-05-05,Scurry,Texas,1,0,US
2020-05-06,Scurry,Texas,1,0,US
2020-05-07,Scurry,Texas,1,0,US
2020-05-08,Scurry,Texas,1,0,US
2020-05-09,Scurry,Texas,1,0,US
2020-05-10,Scurry,Texas,1,0,US
2020-05-11,Scurry,Texas,1,0,US
2020-05-12,Scurry,Texas,1,0,US
2020-05-13,Scurry,Texas,1,0,US
2020-05-14,Scurry,Texas,1,0,US
2020-05-15,Scurry,Texas,1,0,US
2020-05-16,Scurry,Texas,1,0,US
2020-05-17,Scurry,Texas,1,0,US
2020-05-18,Scurry,Texas,1,0,US
2020-05-19,Scurry,Texas,1,0,US
2020-05-20,Scurry,Texas,1,0,US
2020-05-21,Scurry,Texas,1,0,US
2020-05-22,Scurry,Texas,1,0,US
2020-05-23,Scurry,Texas,1,0,US
2020-05-24,Scurry,Texas,1,0,US
2020-05-25,Scurry,Texas,1,0,US
2020-05-26,Scurry,Texas,1,0,US
2020-05-27,Scurry,Texas,1,0,US
2020-05-28,Scurry,Texas,1,0,US
2020-05-29,Scurry,Texas,1,0,US
2020-05-30,Scurry,Texas,1,0,US
2020-05-31,Scurry,Texas,1,0,US
2020-06-01,Scurry,Texas,1,0,US
2020-06-02,Scurry,Texas,1,0,US
2020-06-03,Scurry,Texas,1,0,US
2020-06-04,Scurry,Texas,1,0,US
2020-06-05,Scurry,Texas,1,0,US
2020-06-06,Scurry,Texas,1,0,US
2020-06-07,Scurry,Texas,1,0,US
2020-06-08,Scurry,Texas,1,0,US
2020-06-09,Scurry,Texas,1,0,US
2020-06-10,Scurry,Texas,1,0,US
2020-06-11,Scurry,Texas,1,0,US
2020-06-12,Scurry,Texas,2,0,US
2020-06-13,Scurry,Texas,2,0,US
2020-06-14,Scurry,Texas,2,0,US
2020-06-15,Scurry,Texas,2,0,US
2020-06-16,Scurry,Texas,2,0,US
2020-06-17,Scurry,Texas,2,0,US
2020-06-18,Scurry,Texas,2,0,US
2020-06-19,Scurry,Texas,2,0,US
2020-06-20,Scurry,Texas,2,0,US
2020-06-21,Scurry,Texas,2,0,US
2020-06-22,Scurry,Texas,2,0,US
2020-06-23,Scurry,Texas,2,0,US
2020-06-24,Scurry,Texas,3,0,US
2020-06-25,Scurry,Texas,3,0,US
2020-06-26,Scurry,Texas,3,0,US
2020-06-27,Scurry,Texas,3,0,US
2020-06-28,Scurry,Texas,3,0,US
2020-06-29,Scurry,Texas,4,0,US
2020-06-30,Scurry,Texas,4,0,US
2020-07-01,Scurry,Texas,4,0,US
2020-07-02,Scurry,Texas,5,0,US
2020-07-03,Scurry,Texas,5,0,US
2020-07-04,Scurry,Texas,5,0,US
2020-07-05,Scurry,Texas,5,0,US
2020-07-06,Scurry,Texas,5,0,US
2020-07-07,Scurry,Texas,5,1,US
2020-07-08,Scurry,Texas,5,1,US
2020-07-09,Scurry,Texas,7,1,US
2020-07-10,Scurry,Texas,12,1,US
2020-07-11,Scurry,Texas,65,1,US
2020-07-12,Scurry,Texas,189,1,US
2020-07-13,Scurry,Texas,270,1,US
2020-07-14,Scurry,Texas,270,1,US
2020-07-15,Scurry,Texas,270,1,US
2020-07-16,Scurry,Texas,270,1,US
2020-07-17,Scurry,Texas,270,1,US
2020-07-18,Scurry,Texas,270,1,US
2020-07-19,Scurry,Texas,270,1,US
2020-07-20,Scurry,Texas,270,1,US
